"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"545","RSV3",0.246929674309005,0.448343169017686,"Streptococcus (RSV3)",86,77,93,0.924731182795699,0.827956989247312,0.103845591397849,0.142230083479752,53,46,60,0.883333333333333,0.766666666666667,0.0636453333333333,0.093741997596842,0.402880039260074,0.40625292263807,1,0,0.945697565055252,0,0.0413978494623656,0.0612903225806452,TRUE,TRUE,1,1,50,"ns","ns",0.479,0.100045444219569
"1009","RSV7",0.210095324027431,0.368894180193382,"Staphylococcus (RSV7)",88,80,93,0.946236559139785,0.860215053763441,0.0452305376344086,0.0613988203817714,56,52,60,0.933333333333333,0.866666666666667,0.0442833333333333,0.050779881398072,0.738152461046713,1,1,0,1,0,0.0129032258064516,-0.00645161290322582,TRUE,FALSE,2,1,50,"ns","ns",0.479,0.100045444219569
"1072","RSV8",0.197462195158826,0.349202718873314,"Staphylococcus (RSV8)",85,80,93,0.913978494623656,0.860215053763441,0.0212275268817204,0.0293001747900972,56,53,60,0.933333333333333,0.883333333333333,0.030932,0.0513899259665497,0.765528720536412,0.807773415072927,1,0,1,0,-0.0193548387096775,-0.0231182795698924,FALSE,FALSE,3,1,50,"ns","ns",0.479,0.100045444219569
"353","RSV2",0.178925449190934,0.317015180925698,"Escherichia/Shigella (RSV2)",78,71,93,0.838709677419355,0.763440860215054,0.116143655913979,0.161068534722935,54,45,60,0.9,0.75,0.130668,0.149145653627359,0.341523062361111,0.849174572291314,1,0,1,0,-0.0612903225806452,0.0134408602150538,FALSE,TRUE,4,1,50,"ns","ns",0.479,0.100045444219569
"799","RSV48",0.157312322458313,0.277981240931413,"Staphylococcus (RSV48)",70,61,93,0.752688172043011,0.655913978494624,0.00517978494623656,0.00760733427265148,46,37,60,0.766666666666667,0.616666666666667,0.00710533333333333,0.0152133000984995,1,0.730247598900852,1,0,0.987354280431353,0,-0.013978494623656,0.0392473118279569,FALSE,TRUE,5,1,50,"ns","ns",0.479,0.100045444219569
"546","RSV30",0.155126142208323,0.286399824251163,"Rothia (RSV30)",41,25,93,0.440860215053763,0.268817204301075,0.00141161290322581,0.00367065723599732,16,10,60,0.266666666666667,0.166666666666667,0.00118,0.00352685388201507,0.0395784607726515,0.169903768690752,1,0,0.945697565055252,0,0.174193548387097,0.102150537634409,TRUE,TRUE,6,1,50,"ns","ns",0.479,0.100045444219569
"481","RSV26",0.152689367751832,0.269482146943461,"Klebsiella (RSV26)",63,45,93,0.67741935483871,0.483870967741935,0.0187174193548387,0.0450676333511821,38,27,60,0.633333333333333,0.45,0.00700066666666667,0.0180485334271252,0.603118484438276,0.741236217882791,1,0,0.987354280431353,0,0.0440860215053763,0.0338709677419355,TRUE,TRUE,7,1,50,"ns","ns",0.479,0.100045444219569
"334","RSV19",0.147442627420072,0.26085469782792,"Klebsiella (RSV19)",68,55,93,0.731182795698925,0.591397849462366,0.0235298924731183,0.0457258277908911,43,33,60,0.716666666666667,0.55,0.022562,0.060249346484957,0.854738906401939,0.619960281586427,1,0,0.987354280431353,0,0.0145161290322581,0.0413978494623656,TRUE,TRUE,8,1,50,"ns","ns",0.479,0.100045444219569
"700","RSV4",0.144329658583523,0.254788570457294,"Streptococcus (RSV4)",64,19,93,0.688172043010753,0.204301075268817,0.000835698924731183,0.00173770926037292,43,10,60,0.716666666666667,0.166666666666667,0.00166066666666667,0.00449581042888036,0.856856537586781,0.67413601400621,1,0,0.987354280431353,0,-0.0284946236559139,0.0376344086021506,FALSE,TRUE,9,1,50,"ns","ns",0.479,0.100045444219569
"673","RSV38",0.139436494214289,0.249274819356598,"Streptococcus (RSV38)",60,42,93,0.645161290322581,0.451612903225806,0.00986709677419355,0.0421930813043788,38,24,60,0.633333333333333,0.4,0.00548733333333333,0.0124340799945446,1,0.616542523770561,1,0,0.987354280431353,0,0.0118279569892473,0.0516129032258064,TRUE,TRUE,10,1,50,"ns","ns",0.479,0.100045444219569
