"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Bifidobacterium",0.527114359185256,0.924160870109524,"Bifidobacterium","Bifidobacterium",53,50,53,1,0.943396226415094,0.359403773584906,0.241633313197963,76,67,77,0.987012987012987,0.87012987012987,0.393203116883117,0.266805406775976,1,0.237836308671225,NA,NA,0.746548454698977,0,0.012987012987013,0.0732663562852243,TRUE,TRUE,1,1,50,"ns","ns",0.5665,0.106138607680731
"Klebsiella",0.511010079252631,0.891502815553045,"Klebsiella","Klebsiella",40,35,53,0.754716981132076,0.660377358490566,0.0768384905660377,0.177102416082597,61,48,77,0.792207792207792,0.623376623376623,0.121817142857143,0.190533363115624,0.670719278738612,0.712991815360101,0.915254078983859,0,0.884765778632088,0,-0.0374908110757167,0.0370007351139426,FALSE,TRUE,2,1,50,"ns","ns",0.5665,0.106138607680731
"Streptococcus",0.504287006178921,0.881577766573349,"Streptococcus","Streptococcus",53,51,53,1,0.962264150943396,0.105288301886792,0.112357584211095,77,76,77,1,0.987012987012987,0.120605194805195,0.139101090441925,1,0.566530635062612,NA,NA,NA,NA,0,-0.0247488360695908,FALSE,FALSE,3,1,50,"ns","ns",0.5665,0.106138607680731
"Rothia",0.500050288383587,0.87758443905228,"Rothia","Rothia",34,15,53,0.641509433962264,0.283018867924528,0.00164075471698113,0.0034434105683937,60,28,77,0.779220779220779,0.363636363636364,0.00171012987012987,0.00273949020108837,0.110657605379213,0.351309355921233,0.423622407886273,0,0.746548454698977,0,-0.137711345258515,-0.0806174957118354,FALSE,FALSE,4,1,50,"ns","ns",0.5665,0.106138607680731
"Staphylococcus",0.488349649725369,0.855832364248336,"Staphylococcus","Staphylococcus",53,50,53,1,0.943396226415094,0.124667924528302,0.124798387707757,77,74,77,1,0.961038961038961,0.110292467532468,0.100548713359768,1,0.687290941829946,NA,NA,0.884765778632088,0,0,-0.0176427346238667,FALSE,FALSE,5,1,50,"ns","ns",0.5665,0.106138607680731
"Veillonella",0.469759867631635,0.829149282474352,"Veillonella","Veillonella",35,27,53,0.660377358490566,0.509433962264151,0.0417977358490566,0.0895650297193117,40,30,77,0.519480519480519,0.38961038961039,0.0318919480519481,0.0845951811654678,0.148282966802099,0.20946293073129,0.423622407886273,0,0.746548454698977,0,0.140896839010047,0.119823572653761,TRUE,TRUE,6,1,50,"ns","ns",0.5665,0.106138607680731
"Escherichia/Shigella",0.467438895161824,0.822268554161896,"Escherichia/Shigella","Escherichia/Shigella",46,39,53,0.867924528301887,0.735849056603774,0.131464150943396,0.178944103922404,65,50,77,0.844155844155844,0.649350649350649,0.116133506493506,0.179779760890097,0.803609669975407,0.340351567931311,1,0,0.746548454698977,0,0.0237686841460427,0.0864984072531242,TRUE,TRUE,7,1,50,"ns","ns",0.5665,0.106138607680731
"Corynebacterium_1",0.413163217997224,0.726249413611747,"Corynebacterium_1","Corynebacterium_1",33,1,53,0.622641509433962,0.0188679245283019,0.000132075471698113,0.000213481745666805,32,2,77,0.415584415584416,0.025974025974026,8.98701298701299e-05,0.000232438410102058,0.0317628951321213,1,0.366773548399194,0,NA,NA,0.207057093849547,-0.00710610144572409,TRUE,FALSE,8,1,50,"ns","ns",0.5665,0.106138607680731
"Enterococcus",0.379571662560542,0.667141214809254,"Enterococcus","Enterococcus",33,17,53,0.622641509433962,0.320754716981132,0.0219320754716981,0.0611291377507326,39,18,77,0.506493506493506,0.233766233766234,0.0133631168831169,0.0561000106074608,0.212461061890355,0.316673139970968,0.541775707820406,0,0.746548454698977,0,0.116148002940456,0.0869884832148983,TRUE,TRUE,9,1,50,"ns","ns",0.5665,0.106138607680731
"Haemophilus",0.337024595256693,0.603755205914625,"Haemophilus","Haemophilus",16,11,53,0.30188679245283,0.207547169811321,0.00669358490566038,0.0308067953976154,20,5,77,0.25974025974026,0.0649350649350649,0.000765194805194805,0.00542015090350949,0.69077416171744,0.0271098963478492,0.915254078983859,0,0.572646188121834,0,0.0421465327125705,0.142612104876256,TRUE,TRUE,10,1,50,"ns","ns",0.5665,0.106138607680731
