"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Streptococcus",0.482926656562429,0.85174120137298,"Streptococcus","Streptococcus",144,141,144,1,0.979166666666667,0.114774166666667,0.10427854172856,135,133,135,1,0.985185185185185,0.108267555555556,0.11890914504496,1,1,NA,NA,NA,NA,0,-0.00601851851851853,FALSE,FALSE,1,1,50,"ns","ns",0.5245,0.106480661686202
"Bifidobacterium",0.45005124105573,0.790717603763079,"Bifidobacterium","Bifidobacterium",144,143,144,1,0.993055555555556,0.471625277777778,0.209596204404139,134,131,135,0.992592592592593,0.97037037037037,0.396203555555556,0.209798353590664,0.483870967741935,0.201135162269828,NA,NA,NA,NA,0.00740740740740742,0.0226851851851853,TRUE,TRUE,2,1,50,"ns","ns",0.5245,0.106480661686202
"Escherichia/Shigella",0.418713573653094,0.745450445600115,"Escherichia/Shigella","Escherichia/Shigella",134,125,144,0.930555555555556,0.868055555555556,0.115565555555556,0.114687351530532,133,130,135,0.985185185185185,0.962962962962963,0.149799407407407,0.134920709671102,0.0357247000135784,0.00510615848453468,0.329673592984089,0,0.0629759546425944,1,-0.0546296296296296,-0.0949074074074073,FALSE,FALSE,3,1,50,"ns","responder",0.5245,0.106480661686202
"Klebsiella",0.395333711672661,0.703441455977508,"Klebsiella","Klebsiella",119,104,144,0.826388888888889,0.722222222222222,0.0336280555555556,0.0931189253392271,119,92,135,0.881481481481482,0.681481481481481,0.0402977777777778,0.115727076119911,0.236806561386145,0.512864987641376,0.597783332532221,0,0.763016193107136,0,-0.0550925925925927,0.0407407407407407,FALSE,TRUE,4,1,50,"ns","ns",0.5245,0.106480661686202
"Staphylococcus",0.381075933366576,0.67295134428889,"Staphylococcus","Staphylococcus",133,44,144,0.923611111111111,0.305555555555556,0.00306277777777778,0.012241512455372,117,49,135,0.866666666666667,0.362962962962963,0.00689481481481481,0.0445104555191828,0.168650055760058,0.313212551097897,0.538073987424948,0,0.724304024413887,0,0.0569444444444445,-0.0574074074074074,TRUE,FALSE,5,1,50,"ns","ns",0.5245,0.106480661686202
"Veillonella",0.376905650273229,0.664733268507739,"Veillonella","Veillonella",133,119,144,0.923611111111111,0.826388888888889,0.0941833333333333,0.121560110452183,124,110,135,0.918518518518519,0.814814814814815,0.0884675555555555,0.123542138556866,1,0.876231742129994,1,0,0.94779183216627,0,0.00509259259259265,0.0115740740740741,TRUE,TRUE,6,1,50,"ns","ns",0.5245,0.106480661686202
"Enterococcus",0.355035398060238,0.630721192030329,"Enterococcus","Enterococcus",114,91,144,0.791666666666667,0.631944444444444,0.0208283333333333,0.0417600398882536,119,95,135,0.881481481481482,0.703703703703704,0.028218962962963,0.0608132551987784,0.0526088165850717,0.25273081312379,0.35247907111998,0,0.667931434684302,0,-0.0898148148148149,-0.0717592592592593,FALSE,FALSE,7,1,50,"ns","ns",0.5245,0.106480661686202
"Lactobacillus",0.348735608173249,0.618475140458385,"Lactobacillus","Lactobacillus",108,88,144,0.75,0.611111111111111,0.0380891666666667,0.0873310634622901,106,87,135,0.785185185185185,0.644444444444444,0.0411632592592593,0.0865595064476579,0.571115198705194,0.620695861916967,0.797181631526,0,0.763016193107136,0,-0.0351851851851852,-0.0333333333333333,FALSE,FALSE,8,1,50,"ns","ns",0.5245,0.106480661686202
"Rothia",0.331418335398322,0.584051120911097,"Rothia","Rothia",118,51,144,0.819444444444444,0.354166666666667,0.00252611111111111,0.00472629027206537,108,42,135,0.8,0.311111111111111,0.00244266666666667,0.00653628074444093,0.760488902955764,0.525328614441359,0.926413754509749,0,0.763016193107136,0,0.0194444444444444,0.0430555555555556,TRUE,TRUE,9,1,50,"ns","ns",0.5245,0.106480661686202
"Dolosigranulum",0.280732103494117,0.506849106913632,"Dolosigranulum","Dolosigranulum",89,7,144,0.618055555555556,0.0486111111111111,0.000214166666666667,0.000391045755911995,59,4,135,0.437037037037037,0.0296296296296296,0.000128888888888889,0.000296835716830151,0.00274599197840312,0.542989982832833,0.170308852019596,0,NA,NA,0.181018518518519,0.0189814814814815,TRUE,TRUE,10,1,50,"ns","ns",0.5245,0.106480661686202
"Corynebacterium_1",0.266712847222963,0.471238219569149,"Corynebacterium_1","Corynebacterium_1",99,6,144,0.6875,0.0416666666666667,0.0002325,0.000438560104244521,85,4,135,0.62962962962963,0.0296296296296296,0.000176592592592593,0.000266649087314426,0.315233089101213,0.750721808817909,0.681310224831654,0,NA,NA,0.0578703703703703,0.012037037037037,TRUE,TRUE,11,1,50,"ns","ns",0.5245,0.106480661686202
"Gemella",0.216566246963835,0.396042541731744,"Gemella","Gemella",89,12,144,0.618055555555556,0.0833333333333333,0.000316111111111111,0.000710462383773271,70,11,135,0.518518518518518,0.0814814814814815,0.000577777777777778,0.00351695481123636,0.115630226557549,1,0.484201573709736,0,1,0,0.0995370370370371,0.00185185185185184,TRUE,TRUE,12,1,50,"ns","ns",0.5245,0.106480661686202
"Bacteroides",0.212248245772966,0.374099273072648,"Bacteroides","Bacteroides",56,43,144,0.388888888888889,0.298611111111111,0.030105,0.0854372183192189,57,42,135,0.422222222222222,0.311111111111111,0.0367700740740741,0.106327578508527,0.625896871056607,0.896559841238363,0.809824687743139,0,0.94779183216627,0,-0.0333333333333333,-0.0125,FALSE,FALSE,13,1,50,"ns","ns",0.5245,0.106480661686202
"Actinomyces",0.206376815709932,0.366848031760195,"Actinomyces","Actinomyces",64,27,144,0.444444444444444,0.1875,0.000949166666666667,0.00268414133109914,66,26,135,0.488888888888889,0.192592592592593,0.000914666666666667,0.0022829088540327,0.47336828312761,1,0.732783753285877,0,1,0,-0.0444444444444445,-0.00509259259259259,FALSE,FALSE,14,1,50,"ns","ns",0.5245,0.106480661686202
