"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1","RSV1",0.229202493251693,0.431141788031769,"Bifidobacterium (RSV1)",127,122,144,0.881944444444444,0.847222222222222,0.389790277777778,0.24746945561596,107,98,135,0.792592592592593,0.725925925925926,0.277063407407407,0.236322959964142,0.0507512636562196,0.0184551988942832,0.41819041252725,0,0.394941256337661,0,0.0893518518518518,0.121296296296296,TRUE,TRUE,1,1,50,"ns","ns",0.524,0.114035259477235
"366","RSV3",0.204817556245792,0.381660689727086,"Streptococcus (RSV3)",139,133,144,0.965277777777778,0.923611111111111,0.0666780555555556,0.0717401331075612,131,126,135,0.97037037037037,0.933333333333333,0.0682106666666667,0.0949865505263536,1,0.819163515335487,NA,NA,1,0,-0.00509259259259254,-0.00972222222222219,FALSE,FALSE,2,1,50,"ns","ns",0.524,0.114035259477235
"220","RSV2",0.19478799070761,0.364557200898833,"Escherichia/Shigella (RSV2)",134,123,144,0.930555555555556,0.854166666666667,0.0988825,0.100630640855661,133,129,135,0.985185185185185,0.955555555555556,0.129814518518519,0.117891957175814,0.0357247000135784,0.00438245415068173,0.391086607383549,0,0.173811082509992,0,-0.0546296296296296,-0.101388888888889,FALSE,FALSE,3,1,50,"ns","ns",0.524,0.114035259477235
"178","RSV17",0.159829216624545,0.309559838615494,"Streptococcus (RSV17)",90,76,144,0.625,0.527777777777778,0.00737416666666667,0.0142020075159295,80,66,135,0.592592592592593,0.488888888888889,0.00879851851851852,0.0222105901363909,0.624063890945133,0.550153709622464,0.892932790026197,0,1,0,0.0324074074074074,0.0388888888888889,TRUE,TRUE,4,1,50,"ns","ns",0.524,0.114035259477235
"525","RSV5",0.155726367064968,0.285643396236425,"Bifidobacterium (RSV5)",113,93,144,0.784722222222222,0.645833333333333,0.0413383333333333,0.109568276954077,107,92,135,0.792592592592593,0.681481481481481,0.0705158518518519,0.150491911918261,0.884529265929532,0.612337849438048,1,0,1,0,-0.00787037037037042,-0.0356481481481481,FALSE,FALSE,5,1,50,"ns","ns",0.524,0.114035259477235
"459","RSV4",0.154891589221112,0.283035652632306,"Streptococcus (RSV4)",127,67,144,0.881944444444444,0.465277777777778,0.00264333333333333,0.00510246012240167,110,49,135,0.814814814814815,0.362962962962963,0.00219792592592593,0.00488172056411609,0.133195586457818,0.0899484669926435,0.544232907631337,0,0.641632397880857,0,0.0671296296296297,0.102314814814815,TRUE,TRUE,6,1,50,"ns","ns",0.524,0.114035259477235
"621","RSV671",0.145988372112184,0.290659713059607,"Dolosigranulum (RSV671)",89,7,144,0.618055555555556,0.0486111111111111,0.000210833333333333,0.000381420788869482,59,4,135,0.437037037037037,0.0296296296296296,0.000125333333333333,0.000277979919815974,0.00274599197840312,0.542989982832833,0.338422177814715,0,NA,NA,0.181018518518519,0.0189814814814815,TRUE,TRUE,7,1,50,"ns","ns",0.524,0.114035259477235
"139","RSV15",0.14525542775386,0.286440438074329,"Veillonella (RSV15)",77,52,144,0.534722222222222,0.361111111111111,0.00949611111111111,0.0349139926486915,65,40,135,0.481481481481481,0.296296296296296,0.00763288888888889,0.0274478470424127,0.402802148594593,0.25507815768615,0.768307801948945,0,0.814276418282476,0,0.0532407407407408,0.0648148148148148,TRUE,TRUE,8,1,50,"ns","ns",0.524,0.114035259477235
"367","RSV30",0.140133199428345,0.270347973680848,"Rothia (RSV30)",97,47,144,0.673611111111111,0.326388888888889,0.00231694444444444,0.00466113844219538,88,38,135,0.651851851851852,0.281481481481481,0.00230103703703704,0.00654323272082818,0.705979191912507,0.43717829554965,0.91776646612389,0,1,0,0.0217592592592593,0.0449074074074074,TRUE,TRUE,9,1,50,"ns","ns",0.524,0.114035259477235
"307","RSV25",0.1301644114428,0.236312626273282,"Enterococcus (RSV25)",63,39,144,0.4375,0.270833333333333,0.00280944444444444,0.0142652286816423,78,53,135,0.577777777777778,0.392592592592593,0.00349718518518519,0.00745554873520806,0.0228561385141785,0.0411980578407626,0.362181887224675,0,0.489799132106844,0,-0.140277777777778,-0.121759259259259,FALSE,FALSE,10,1,50,"ns","ns",0.524,0.114035259477235
"206","RSV19",0.119881530024515,0.213314588061131,"Klebsiella (RSV19)",109,70,144,0.756944444444444,0.486111111111111,0.00898083333333333,0.0301906460644719,104,69,135,0.77037037037037,0.511111111111111,0.0114705185185185,0.0501670720829004,0.888017836541753,0.71988023864417,1,0,1,0,-0.013425925925926,-0.025,FALSE,FALSE,11,1,50,"ns","ns",0.524,0.114035259477235
"296","RSV24",0.115667754521245,0.210122713694018,"Enterococcus (RSV24)",88,62,144,0.611111111111111,0.430555555555556,0.00965888888888889,0.0222629332604263,80,58,135,0.592592592592593,0.42962962962963,0.0111955555555556,0.0341295532344052,0.806947097111707,1,0.975969438345451,0,1,0,0.0185185185185186,0.000925925925925941,TRUE,TRUE,12,1,50,"ns","ns",0.524,0.114035259477235
"321","RSV26",0.111940463283221,0.206528768637609,"Klebsiella (RSV26)",103,64,144,0.715277777777778,0.444444444444444,0.00701527777777778,0.0207842436268218,100,58,135,0.740740740740741,0.42962962962963,0.00977155555555556,0.0315706377345339,0.687213462165772,0.810417725132593,0.91776646612389,0,1,0,-0.0254629629629629,0.0148148148148148,FALSE,TRUE,13,1,50,"ns","ns",0.524,0.114035259477235
"357","RSV29",0.109386644196482,0.201186416098198,"Klebsiella (RSV29)",95,56,144,0.659722222222222,0.388888888888889,0.00545416666666667,0.013325418557039,95,55,135,0.703703703703704,0.407407407407407,0.00559288888888889,0.0181936750476998,0.443656821430586,0.806947097111707,0.801695659778076,0,1,0,-0.0439814814814815,-0.0185185185185185,FALSE,FALSE,14,1,50,"ns","ns",0.524,0.114035259477235
"638","RSV7",0.106664807991419,0.195331339268183,"Staphylococcus (RSV7)",90,14,144,0.625,0.0972222222222222,0.000435277777777778,0.00103623305451956,74,14,135,0.548148148148148,0.103703703703704,0.000951407407407407,0.00766592052898157,0.223851479984567,1,0.610623973156375,0,1,0,0.0768518518518518,-0.00648148148148148,TRUE,FALSE,15,1,50,"ns","ns",0.524,0.114035259477235
"85","RSV13",0.102683632617384,0.182381069295131,"Bifidobacterium (RSV13)",89,81,144,0.618055555555556,0.5625,0.0247080555555556,0.048848066452959,76,72,135,0.562962962962963,0.533333333333333,0.025629037037037,0.0500995935705216,0.394081011533643,0.632420889370499,0.768307801948945,0,1,0,0.0550925925925926,0.0291666666666667,TRUE,TRUE,16,1,50,"ns","ns",0.524,0.114035259477235
"421","RSV35",0.0967354900036138,0.173813279241045,"Gemella (RSV35)",78,12,144,0.541666666666667,0.0833333333333333,0.000275,0.000686360626122237,61,9,135,0.451851851851852,0.0666666666666667,0.000465777777777778,0.0027261277186347,0.151106206536242,0.65476671109502,0.570341370362719,0,1,0,0.0898148148148148,0.0166666666666667,TRUE,TRUE,17,1,50,"ns","ns",0.524,0.114035259477235
"341","RSV278",0.0931926700839019,0.186969351372587,"Enterococcus (RSV278)",35,22,144,0.243055555555556,0.152777777777778,0.00160583333333333,0.00589003751754112,49,36,135,0.362962962962963,0.266666666666667,0.00288977777777778,0.0103956241846776,0.036493459200862,0.0262995118990959,0.391086607383549,0,0.421163209151153,0,-0.119907407407407,-0.113888888888889,FALSE,FALSE,18,1,50,"ns","ns",0.524,0.114035259477235
