"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1136","RSV384",0.05214188638324,0.101394818833226,"Lachnospiraceae_NK4A136_group (RSV384)",105,30,145,0.724137931034483,0.206896551724138,0.000726620689655172,0.0011885660248393,99,20,140,0.707142857142857,0.142857142857143,0.00047,0.000753147830559352,0.793457005107125,0.16444870034169,1,0,0.82971844263307,0,0.0169950738916256,0.0640394088669951,TRUE,TRUE,1,1,50,"ns","ns",0.533,0.0985295935649833
"629","RSV2",0.0483217906295147,0.0887217796858954,"Escherichia/Shigella (RSV2)",143,116,145,0.986206896551724,0.8,0.0550019310344828,0.105521550861638,138,123,140,0.985714285714286,0.878571428571429,0.0731971428571429,0.122067582144003,1,0.0781982352361229,NA,NA,0.814920267267196,0,0.000492610837438345,-0.0785714285714285,TRUE,FALSE,2,1,50,"ns","ns",0.533,0.0985295935649833
"452","RSV16",0.0482300545197024,0.094315038038098,"Bifidobacterium (RSV16)",128,103,145,0.882758620689655,0.710344827586207,0.0253508965517241,0.0536344857437467,127,107,140,0.907142857142857,0.764285714285714,0.0223922857142857,0.0352754465801437,0.565203003141295,0.346801831376499,1,0,0.905237232883502,0,-0.024384236453202,-0.0539408866995074,FALSE,FALSE,3,1,50,"ns","ns",0.533,0.0985295935649833
"307","RSV133",0.0436808960799543,0.0799413621289341,"Blautia (RSV133)",136,122,145,0.937931034482759,0.841379310344828,0.00769186206896552,0.0111923417509354,132,117,140,0.942857142857143,0.835714285714286,0.00740571428571429,0.0114926439496641,1,1,1,0,1,0,-0.00492610837438423,0.00566502463054186,FALSE,TRUE,4,1,50,"ns","ns",0.533,0.0985295935649833
"1664","RSV658",0.0425713652711118,0.0908019009156316,"Roseburia (RSV658)",61,28,145,0.420689655172414,0.193103448275862,0.000764965517241379,0.00216843457492891,36,12,140,0.257142857142857,0.0857142857142857,0.000499142857142857,0.00261651849681848,0.00405376975131212,0.0103726491904711,0.845372743319054,0,0.675280301862378,0,0.163546798029557,0.107389162561576,TRUE,TRUE,5,1,50,"ns","ns",0.533,0.0985295935649833
"453","RSV160",0.0410237599043088,0.0760360572296963,"Dorea (RSV160)",133,117,145,0.917241379310345,0.806896551724138,0.00655779310344828,0.00666061855537681,132,117,140,0.942857142857143,0.835714285714286,0.00724314285714286,0.00932091583835923,0.489020042657997,0.540653670689886,1,0,0.963313974588475,0,-0.0256157635467981,-0.0288177339901479,FALSE,FALSE,6,1,50,"ns","ns",0.533,0.0985295935649833
"1558","RSV6",0.0402482578573784,0.0727475907802209,"Bifidobacterium (RSV6)",140,129,145,0.96551724137931,0.889655172413793,0.0339384827586207,0.0617026631913422,136,128,140,0.971428571428571,0.914285714285714,0.0405014285714286,0.0555588327302453,1,0.553072295259911,NA,NA,0.963313974588475,0,-0.00591133004926103,-0.0246305418719212,FALSE,FALSE,7,1,50,"ns","ns",0.533,0.0985295935649833
"1336","RSV474",0.0392334998797415,0.0757022301324304,"Blautia (RSV474)",128,67,145,0.882758620689655,0.462068965517241,0.00152524137931034,0.00216834424887037,129,61,140,0.921428571428571,0.435714285714286,0.001826,0.00299671157900953,0.32209967181247,0.721042281387835,0.995971260144006,0,0.988778204356506,0,-0.0386699507389162,0.0263546798029556,FALSE,TRUE,8,1,50,"ns","ns",0.533,0.0985295935649833
"544","RSV178",0.0390469350700537,0.0819081159964347,"unassigned Firmicutes (RSV178)",76,46,145,0.524137931034483,0.317241379310345,0.00351006896551724,0.0101403698497469,86,60,140,0.614285714285714,0.428571428571429,0.00542971428571429,0.014252205884692,0.151124897926829,0.0657656478532299,0.992802526843335,0,0.814920267267196,0,-0.0901477832512315,-0.111330049261084,FALSE,FALSE,9,1,50,"ns","ns",0.533,0.0985295935649833
"1369","RSV499",0.0387357350732829,0.0752391468187422,"Butyricicoccus (RSV499)",114,80,145,0.786206896551724,0.551724137931034,0.00193131034482759,0.00261267297544648,114,66,140,0.814285714285714,0.471428571428571,0.00161771428571429,0.00278575315439192,0.657059755094132,0.193210471690054,1,0,0.831194371528472,0,-0.0280788177339901,0.0802955665024631,FALSE,TRUE,10,1,50,"ns","ns",0.533,0.0985295935649833
"1722","RSV70",0.038373783658821,0.070394672772247,"Faecalibacterium (RSV70)",128,97,145,0.882758620689655,0.668965517241379,0.00622648275862069,0.012429039670322,125,94,140,0.892857142857143,0.671428571428571,0.00724342857142857,0.0178458870086179,0.852295085638279,1,1,0,1,0,-0.0100985221674877,-0.00246305418719206,FALSE,FALSE,11,1,50,"ns","ns",0.533,0.0985295935649833
"372","RSV1454",0.0383136504141847,0.0828206933508701,"CAG-56 (RSV1454)",61,13,145,0.420689655172414,0.0896551724137931,0.00029848275862069,0.000683488123763442,51,9,140,0.364285714285714,0.0642857142857143,0.000309142857142857,0.00104093862300094,0.335184314515601,0.507962889540034,0.995971260144006,0,0.963050661106608,0,0.0564039408866995,0.0253694581280788,TRUE,TRUE,12,1,50,"ns","ns",0.533,0.0985295935649833
"316","RSV135",0.037994206949945,0.0733105694286311,"Faecalibacterium (RSV135)",130,112,145,0.896551724137931,0.772413793103448,0.0063271724137931,0.0101256765688526,127,99,140,0.907142857142857,0.707142857142857,0.00597942857142857,0.00968288022518573,0.843383222635731,0.225860851349685,1,0,0.831194371528472,0,-0.0105911330049261,0.0652709359605911,FALSE,TRUE,13,1,50,"ns","ns",0.533,0.0985295935649833
"30","RSV102",0.0379213624825807,0.067258630763476,"Faecalibacterium (RSV102)",133,121,145,0.917241379310345,0.83448275862069,0.0113809655172414,0.0175903376777383,132,121,140,0.942857142857143,0.864285714285714,0.0123708571428571,0.0186195922760464,0.489020042657997,0.511644534000342,1,0,0.963050661106608,0,-0.0256157635467981,-0.0298029556650247,FALSE,FALSE,14,1,50,"ns","ns",0.533,0.0985295935649833
"482","RSV166",0.0378812947636606,0.0779869727942719,"Prevotella_9 (RSV166)",94,72,145,0.648275862068965,0.496551724137931,0.00526262068965517,0.0105068039476999,83,58,140,0.592857142857143,0.414285714285714,0.00407628571428571,0.00862087130608348,0.392723208907197,0.190890082381852,1,0,0.831194371528472,0,0.0554187192118226,0.0822660098522167,TRUE,TRUE,15,1,50,"ns","ns",0.533,0.0985295935649833
"1774","RSV73",0.0375388174195136,0.0719367017333022,"Faecalibacterium (RSV73)",133,123,145,0.917241379310345,0.848275862068966,0.0119953103448276,0.0137516588926155,133,121,140,0.95,0.864285714285714,0.01408,0.0233876381292808,0.344025329032312,0.737909761968832,0.995971260144006,0,0.998877848518785,0,-0.0327586206896552,-0.0160098522167488,FALSE,FALSE,16,1,50,"ns","ns",0.533,0.0985295935649833
"1739","RSV71",0.0372371905733901,0.0819149291348369,"Agathobacter (RSV71)",123,100,145,0.848275862068966,0.689655172413793,0.0168369655172414,0.0281014622327177,118,94,140,0.842857142857143,0.671428571428571,0.0148771428571429,0.0266655722934056,1,0.799713831002731,1,0,1,0,0.00541871921182269,0.0182266009852218,TRUE,TRUE,17,1,50,"ns","ns",0.533,0.0985295935649833
"1533","RSV589",0.0372219524181616,0.0826388976231478,"Coprococcus_2 (RSV589)",83,35,145,0.572413793103448,0.241379310344828,0.00115089655172414,0.00396453652840499,69,23,140,0.492857142857143,0.164285714285714,0.000886571428571429,0.00256405080013104,0.192758257760985,0.140733361113755,0.992802526843335,0,0.814920267267196,0,0.0795566502463054,0.0770935960591133,TRUE,TRUE,18,1,50,"ns","ns",0.533,0.0985295935649833
"208","RSV120",0.0366575797298544,0.0682585475617573,"Subdoligranulum (RSV120)",136,124,145,0.937931034482759,0.855172413793103,0.00877627586206896,0.0148827144302463,133,116,140,0.95,0.828571428571429,0.00836114285714286,0.0170159961595901,0.79839687694257,0.626510213732049,1,0,0.963472839900807,0,-0.0120689655172413,0.0266009852216749,FALSE,TRUE,19,1,50,"ns","ns",0.533,0.0985295935649833
"822","RSV26",0.0359015692562757,0.0654627255964768,"Klebsiella (RSV26)",100,41,145,0.689655172413793,0.282758620689655,0.00213351724137931,0.00540628897301745,101,64,140,0.721428571428571,0.457142857142857,0.00435771428571429,0.0120169939826153,0.604071359399553,0.00311951664212932,1,0,0.675280301862378,0,-0.0317733990147783,-0.174384236453202,FALSE,FALSE,20,1,50,"ns","ns",0.533,0.0985295935649833
"793","RSV249",0.0351192198636569,0.0643415722822569,"Blautia (RSV249)",135,108,145,0.931034482758621,0.744827586206897,0.00448303448275862,0.00709336949044453,132,110,140,0.942857142857143,0.785714285714286,0.00487742857142857,0.00598699830765538,0.808952619445216,0.485157428778155,1,0,0.963050661106608,0,-0.0118226600985222,-0.0408866995073891,FALSE,FALSE,21,0,50,"ns","ns",0.533,0.0985295935649833
"1164","RSV40",0.0345283522168216,0.0638731197425456,"Prevotella_9 (RSV40)",111,82,145,0.76551724137931,0.56551724137931,0.0100217931034483,0.0201882314339102,102,80,140,0.728571428571429,0.571428571428571,0.00719514285714286,0.0158808299207646,0.497702512700115,1,1,0,1,0,0.0369458128078818,-0.00591133004926103,TRUE,FALSE,22,0,50,"ns","ns",0.533,0.0985295935649833
"2096","RSV966",0.0345017443323203,0.0732966944199975,"Lachnoclostridium (RSV966)",106,28,145,0.731034482758621,0.193103448275862,0.00068248275862069,0.00138617956740945,105,15,140,0.75,0.107142857142857,0.000409142857142857,0.00058211903368046,0.787274929755364,0.0478080366081365,1,0,0.786176602000466,0,-0.0189655172413793,0.0859605911330049,FALSE,TRUE,23,0,50,"ns","ns",0.533,0.0985295935649833
"1951","RSV857",0.0339342066625186,0.0760029205238278,"Lachnoclostridium (RSV857)",84,16,145,0.579310344827586,0.110344827586207,0.000335172413793103,0.000471359003674299,82,5,140,0.585714285714286,0.0357142857142857,0.000238285714285714,0.000335209464970727,1,0.0217912846363488,1,0,0.675280301862378,0,-0.00640394088669949,0.0746305418719212,FALSE,TRUE,24,0,50,"ns","ns",0.533,0.0985295935649833
"1082","RSV358",0.0337825297853268,0.0629243063256227,"Dorea (RSV358)",131,98,145,0.903448275862069,0.675862068965517,0.00233103448275862,0.00231268234240205,132,105,140,0.942857142857143,0.75,0.00254342857142857,0.00246318731676078,0.26862914558398,0.191215575813581,0.995971260144006,0,0.831194371528472,0,-0.0394088669950738,-0.0741379310344827,FALSE,FALSE,25,0,50,"ns","ns",0.533,0.0985295935649833
"1144","RSV390",0.0335682302202608,0.0630197320117994,"Fusicatenibacter (RSV390)",123,65,145,0.848275862068966,0.448275862068966,0.00134841379310345,0.00182135430223031,114,50,140,0.814285714285714,0.357142857142857,0.00172085714285714,0.00302658710032404,0.527021395906382,0.147164358931231,1,0,0.814920267267196,0,0.0339901477832513,0.0911330049261084,TRUE,TRUE,26,0,50,"ns","ns",0.533,0.0985295935649833
"905","RSV29",0.0334364176693116,0.0614477060569832,"Klebsiella (RSV29)",84,45,145,0.579310344827586,0.310344827586207,0.00216220689655172,0.00717583874975268,97,57,140,0.692857142857143,0.407142857142857,0.00276114285714286,0.00646074756635296,0.0498637543320753,0.108043455383003,0.992802526843335,0,0.814920267267196,0,-0.113546798029557,-0.0967980295566502,FALSE,FALSE,27,0,50,"ns","ns",0.533,0.0985295935649833
"207","RSV12",0.0332184917986263,0.0590506522280452,"Collinsella (RSV12)",137,129,145,0.944827586206897,0.889655172413793,0.0490091034482759,0.0538456887255563,133,129,140,0.95,0.921428571428571,0.0476537142857143,0.0553509107545362,1,0.42108793900423,1,0,0.925559628306328,0,-0.0051724137931034,-0.0317733990147783,FALSE,FALSE,28,0,50,"ns","ns",0.533,0.0985295935649833
"588","RSV19",0.0331478421021937,0.0610923535725338,"Klebsiella (RSV19)",103,49,145,0.710344827586207,0.337931034482759,0.00369020689655172,0.013706713504549,109,66,140,0.778571428571429,0.471428571428571,0.00559514285714286,0.0153488669694421,0.222091375017046,0.0225134173607517,0.992802526843335,0,0.675280301862378,0,-0.0682266009852217,-0.133497536945813,FALSE,FALSE,29,0,50,"ns","ns",0.533,0.0985295935649833
"635","RSV201",0.0330212564295385,0.0661948032739512,"Prevotella_9 (RSV201)",68,47,145,0.468965517241379,0.324137931034483,0.00288579310344828,0.00681600400904672,51,34,140,0.364285714285714,0.242857142857143,0.00148914285714286,0.00432181508060627,0.0924220575719367,0.148884449224135,0.992802526843335,0,0.814920267267196,0,0.104679802955665,0.0812807881773399,TRUE,TRUE,30,0,50,"ns","ns",0.533,0.0985295935649833
"1295","RSV455",0.0325318815377659,0.0674836101778676,"Senegalimassilia (RSV455)",91,74,145,0.627586206896552,0.510344827586207,0.0022631724137931,0.00310174026051153,79,63,140,0.564285714285714,0.45,0.00175685714285714,0.00313370194707698,0.280448583952419,0.343389536823104,0.995971260144006,0,0.905237232883502,0,0.0633004926108375,0.0603448275862069,TRUE,TRUE,31,0,50,"ns","ns",0.533,0.0985295935649833
"2014","RSV90",0.0324539521960771,0.0603160349403754,"Subdoligranulum (RSV90)",132,110,145,0.910344827586207,0.758620689655172,0.00662703448275862,0.0102421600182325,125,105,140,0.892857142857143,0.75,0.00857371428571429,0.0181897925499799,0.692603606002623,0.891202474580202,1,0,1,0,0.017487684729064,0.00862068965517238,TRUE,TRUE,32,0,50,"ns","ns",0.533,0.0985295935649833
"860","RSV274",0.0321568407448253,0.0654807646555705,"Asteroleplasma (RSV274)",55,15,145,0.379310344827586,0.103448275862069,0.000403310344827586,0.00121298074957955,72,29,140,0.514285714285714,0.207142857142857,0.00284485714285714,0.0172950510443574,0.023947384590986,0.0210272714550313,0.992802526843335,0,0.675280301862378,0,-0.134975369458128,-0.103694581280788,FALSE,FALSE,33,0,50,"ns","ns",0.533,0.0985295935649833
"1819","RSV756",0.0320170993972753,0.0725550869679547,"Lachnoclostridium (RSV756)",93,20,145,0.641379310344828,0.137931034482759,0.000507034482758621,0.000959211282004598,79,13,140,0.564285714285714,0.0928571428571429,0.000305714285714286,0.000515164488444383,0.225780812314566,0.269239092284629,0.992802526843335,0,0.860015517801261,0,0.0770935960591133,0.0450738916256158,TRUE,TRUE,34,0,50,"ns","ns",0.533,0.0985295935649833
"936","RSV300",0.0312196746782294,0.0562016415643187,"Blautia (RSV300)",133,90,145,0.917241379310345,0.620689655172414,0.00279558620689655,0.00473452125290962,128,82,140,0.914285714285714,0.585714285714286,0.00294828571428571,0.00431242740618406,1,0.62816343857223,1,0,0.963472839900807,0,0.00295566502463052,0.0349753694581281,TRUE,TRUE,35,0,50,"ns","ns",0.533,0.0985295935649833
