"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"275","RSV2",0.0548612538724717,0.103085226387641,"Escherichia/Shigella (RSV2)",15,13,15,1,0.866666666666667,0.132570666666667,0.202647717109085,25,24,30,0.833333333333333,0.8,0.210074666666667,0.245079526849795,0.152615204798982,0.699191515115329,0.713661202185792,0,0.953157939888162,0,0.166666666666667,0.0666666666666667,TRUE,TRUE,1,1,15,"ns","ns",0.406666666666667,0.208301344345438
"297","RSV21",0.0447614292435306,0.0886064778514143,"Escherichia/Shigella (RSV21)",5,4,15,0.333333333333333,0.266666666666667,0.00593066666666667,0.0152214169917947,14,14,30,0.466666666666667,0.466666666666667,0.0343506666666667,0.0704685189156188,0.525918683032657,0.333251101954269,0.845320292831771,0,0.625514403292181,0,-0.133333333333333,-0.2,FALSE,FALSE,2,1,15,"ns","ns",0.406666666666667,0.208301344345438
"165","RSV15",0.0365999523190492,0.0654500147591342,"Veillonella (RSV15)",9,4,15,0.6,0.266666666666667,0.00179733333333333,0.0039161925143593,13,12,30,0.433333333333333,0.4,0.0170573333333333,0.0435264988597579,0.353412512653543,0.513751571532072,0.754177682231253,0,0.793388429752066,0,0.166666666666667,-0.133333333333333,TRUE,FALSE,3,1,15,"ns","ns",0.406666666666667,0.208301344345438
"921","RSV87",0.0331713244238427,0.0670789742172739,"Acinetobacter (RSV87)",8,6,15,0.533333333333333,0.4,0.012296,0.0449436594606435,19,11,30,0.633333333333333,0.366666666666667,0.0201493333333333,0.0691511654941217,0.538117266627138,1,0.845320292831771,0,1,0,-0.1,0.0333333333333334,FALSE,TRUE,4,1,15,"ns","ns",0.406666666666667,0.208301344345438
"256","RSV19",0.0325944518674129,0.0637750605124492,"Klebsiella (RSV19)",7,4,15,0.466666666666667,0.266666666666667,0.00189866666666667,0.00536504808481536,15,11,30,0.5,0.366666666666667,0.00714933333333333,0.017209225860353,1,0.738377204248235,1,0,0.984502938997646,0,-0.0333333333333333,-0.1,FALSE,FALSE,5,1,15,"ns","ns",0.406666666666667,0.208301344345438
"822","RSV7",0.0302016767369952,0.05789088534446,"Staphylococcus (RSV7)",6,3,15,0.4,0.2,0.000842666666666667,0.00178926747448169,22,11,30,0.733333333333333,0.366666666666667,0.005512,0.0114062603500189,0.0497467867107132,0.321215314918219,0.713661202185792,0,0.625514403292181,0,-0.333333333333333,-0.166666666666667,FALSE,FALSE,6,1,15,"ns","ns",0.406666666666667,0.208301344345438
"460","RSV3",0.0300825530279826,0.0564909026787762,"Streptococcus (RSV3)",13,10,15,0.866666666666667,0.666666666666667,0.0196346666666667,0.0420877012688414,26,21,30,0.866666666666667,0.7,0.021832,0.0353755721679084,1,1,1,0,1,0,0,-0.0333333333333333,FALSE,FALSE,7,1,15,"ns","ns",0.406666666666667,0.208301344345438
"1","RSV1",0.0284398933504031,0.0528685481083817,"Bifidobacterium (RSV1)",10,10,15,0.666666666666667,0.666666666666667,0.184874666666667,0.315632668186718,16,16,30,0.533333333333333,0.533333333333333,0.154545333333333,0.228139172402216,0.525918683032656,0.525918683032656,0.845320292831771,0,0.793388429752066,0,0.133333333333333,0.133333333333333,TRUE,TRUE,8,1,15,"ns","ns",0.406666666666667,0.208301344345438
"441","RSV29",0.028092718842608,0.0551240924681865,"Klebsiella (RSV29)",7,4,15,0.466666666666667,0.266666666666667,0.008544,0.0303965028063615,13,11,30,0.433333333333333,0.366666666666667,0.00651866666666667,0.0221281496076258,1,0.738377204248235,1,0,0.984502938997646,0,0.0333333333333333,-0.1,TRUE,FALSE,9,1,15,"ns","ns",0.406666666666667,0.208301344345438
"382","RSV26",0.0279353950980773,0.0533712206423417,"Klebsiella (RSV26)",9,6,15,0.6,0.4,0.00385333333333333,0.00955027199812106,19,12,30,0.633333333333333,0.4,0.00891066666666667,0.0248733790576819,1,1,1,0,1,0,-0.0333333333333333,0,FALSE,FALSE,10,1,15,"ns","ns",0.406666666666667,0.208301344345438
