"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Escherichia/Shigella",0.123738218523131,0.223758290043153,"Escherichia/Shigella","Escherichia/Shigella",15,15,16,0.9375,0.9375,0.29791,0.257049409310091,25,21,27,0.925925925925926,0.777777777777778,0.17361037037037,0.214970573898302,1,0.229176634615928,1,0,0.705018359853121,0,0.0115740740740741,0.159722222222222,TRUE,TRUE,1,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Enterococcus",0.119720520582506,0.20654926866766,"Enterococcus","Enterococcus",10,5,16,0.625,0.3125,0.0085025,0.0295329545874886,7,3,27,0.259259259259259,0.111111111111111,0.00367851851851852,0.0179432660828735,0.0257959789079787,0.125020473797976,0.828527131782946,0,0.705018359853121,0,0.365740740740741,0.201388888888889,TRUE,TRUE,2,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Rothia",0.116572546904859,0.205956784766256,"Rothia","Rothia",11,5,16,0.6875,0.3125,0.0008375,0.00125342996081419,19,16,27,0.703703703703704,0.592592592592593,0.00817481481481482,0.0151273289040756,1,0.115910362128982,1,0,0.705018359853121,0,-0.0162037037037037,-0.280092592592593,FALSE,FALSE,3,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Bacteroides",0.113730133246277,0.193285102550325,"Bacteroides","Bacteroides",13,12,16,0.8125,0.75,0.1687275,0.230692902809485,14,11,27,0.518518518518518,0.407407407407407,0.0673111111111111,0.134772915486451,0.101238281713789,0.0563196910427116,0.828527131782946,0,0.705018359853121,0,0.293981481481482,0.342592592592593,TRUE,TRUE,4,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Staphylococcus",0.100897939217525,0.184296630642629,"Staphylococcus","Staphylococcus",13,6,16,0.8125,0.375,0.0392875,0.126548056932271,25,19,27,0.925925925925926,0.703703703703704,0.00809333333333333,0.0166875356525116,0.343651243821408,0.0553662385318785,0.828527131782946,0,0.705018359853121,0,-0.113425925925926,-0.328703703703704,FALSE,FALSE,5,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Streptococcus",0.100445779773385,0.182415073691439,"Streptococcus","Streptococcus",16,14,16,1,0.875,0.037325,0.0473802791605678,27,25,27,1,0.925925925925926,0.0756414814814815,0.0968976560684878,1,0.620776274207925,NA,NA,0.914920995057126,0,0,-0.0509259259259259,FALSE,FALSE,6,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Collinsella",0.092861899965995,0.162524923756035,"Collinsella","Collinsella",10,9,16,0.625,0.5625,0.0089125,0.0113832177641766,14,10,27,0.518518518518518,0.37037037037037,0.00303111111111111,0.0052161445630431,0.541934172295505,0.34126909001557,0.901025399517506,0,0.705018359853121,0,0.106481481481482,0.19212962962963,TRUE,TRUE,7,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Bifidobacterium",0.0862681500565729,0.159711304766399,"Bifidobacterium","Bifidobacterium",15,15,16,0.9375,0.9375,0.221965,0.222852787462935,26,25,27,0.962962962962963,0.925925925925926,0.326176296296296,0.277360848495354,1,1,1,0,1,0,-0.0254629629629629,0.0115740740740741,FALSE,TRUE,8,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Veillonella",0.0748087571768127,0.136922331698148,"Veillonella","Veillonella",14,12,16,0.875,0.75,0.0765725,0.106376273764407,26,22,27,0.962962962962963,0.814814814814815,0.0576592592592593,0.102670033600025,0.54493152904951,0.70604870625768,0.901025399517506,0,0.977605900972172,0,-0.0879629629629629,-0.0648148148148148,FALSE,FALSE,9,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Gemella",0.073301958424316,0.135674778646482,"Gemella","Gemella",9,0,16,0.5625,0,4.5e-05,5.44058820349418e-05,16,4,27,0.592592592592593,0.148148148148148,8e-04,0.00193102603256961,1,0.279474920995057,1,0,0.705018359853121,0,-0.0300925925925926,-0.148148148148148,FALSE,FALSE,10,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Dialister",0.0695063885861997,0.130461469779766,"Dialister","Dialister",9,4,16,0.5625,0.25,0.0021125,0.00615094084944192,8,2,27,0.296296296296296,0.0740740740740741,0.000936296296296296,0.00416542928635226,0.112768371537017,0.173998524388111,0.828527131782946,0,0.705018359853121,0,0.266203703703704,0.175925925925926,TRUE,TRUE,11,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Lawsonella",0.0687945981296897,0.118970350949394,"Lawsonella","Lawsonella",8,1,16,0.5,0.0625,0.0002425,0.000429441497761919,4,1,27,0.148148148148148,0.037037037037037,0.000115555555555556,0.00045611514515638,0.0318313765760332,1,0.828527131782946,0,1,0,0.351851851851852,0.025462962962963,TRUE,TRUE,12,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Lactobacillus",0.0660977444514417,0.126652463553109,"Lactobacillus","Lactobacillus",11,7,16,0.6875,0.4375,0.00444,0.00749936175062029,16,13,27,0.592592592592593,0.481481481481481,0.081877037037037,0.215703684480761,0.745240128420325,1,1,0,1,0,0.0949074074074074,-0.0439814814814815,TRUE,FALSE,13,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Megasphaera",0.0655373201823891,0.119225793099168,"Megasphaera","Megasphaera",7,4,16,0.4375,0.25,0.01478,0.0375199289267273,3,2,27,0.111111111111111,0.0740740740740741,0.000358518518518518,0.0013385862338352,0.0243737001040991,0.173998524388111,0.828527131782946,0,0.705018359853121,0,0.326388888888889,0.175925925925926,TRUE,TRUE,14,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Acinetobacter",0.0635178168989496,0.120162979705912,"Acinetobacter","Acinetobacter",10,6,16,0.625,0.375,0.00486,0.00913960465957545,19,14,27,0.703703703703704,0.518518518518518,0.0283762962962963,0.0699685390920667,0.738806798329929,0.528198169639438,1,0,0.891706138444652,0,-0.0787037037037037,-0.143518518518518,FALSE,FALSE,15,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Corynebacterium_1",0.0573191967325077,0.106538452763302,"Corynebacterium_1","Corynebacterium_1",12,1,16,0.75,0.0625,0.0002725,0.00043944662171114,19,4,27,0.703703703703704,0.148148148148148,0.000491851851851852,0.000891036721323223,1,0.635361802123005,1,0,0.914920995057126,0,0.0462962962962963,-0.0856481481481481,TRUE,FALSE,16,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Klebsiella",0.0566306973873662,0.104565543942398,"Klebsiella","Klebsiella",11,7,16,0.6875,0.4375,0.0049425,0.0108529071374141,19,12,27,0.703703703703704,0.444444444444444,0.0174162962962963,0.0428333561741267,1,1,1,0,1,0,-0.0162037037037037,-0.00694444444444442,FALSE,FALSE,17,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Haemophilus",0.054907685488147,0.0979382148528642,"Haemophilus","Haemophilus",2,0,16,0.125,0,1.25e-05,3.4928498393146e-05,12,7,27,0.444444444444444,0.259259259259259,0.0152207407407407,0.0542659857997145,0.0447132284468081,0.0346227052200722,0.828527131782946,0,0.705018359853121,0,-0.319444444444444,-0.259259259259259,FALSE,FALSE,18,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Parabacteroides",0.0538332366313203,0.0975565353583195,"Parabacteroides","Parabacteroides",9,8,16,0.5625,0.5,0.02593,0.0408097935958188,9,7,27,0.333333333333333,0.259259259259259,0.0222311111111111,0.0596549342425853,0.203508004920932,0.184938632549823,0.828527131782946,0,0.705018359853121,0,0.229166666666667,0.240740740740741,TRUE,TRUE,19,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Eggerthella",0.049952954206118,0.0904469532144065,"Eggerthella","Eggerthella",5,1,16,0.3125,0.0625,0.000215,0.000637808748764079,0,0,27,0,0,0,0,0.00453771979580261,0.372093023255814,0.757799205899036,0,0.705018359853121,0,0.3125,0.0625,TRUE,TRUE,20,1,16,"ns","ns",0.603333333333333,0.167908603725967
"Sutterella",0.0412462949190921,0.0765784977080955,"Sutterella","Sutterella",7,6,16,0.4375,0.375,0.0054975,0.0106543659282631,8,5,27,0.296296296296296,0.185185185185185,0.00711851851851852,0.0183065166420855,0.509136914102797,0.278090205074009,0.901025399517506,0,0.705018359853121,0,0.141203703703704,0.189814814814815,TRUE,TRUE,21,0,16,"ns","ns",0.603333333333333,0.167908603725967
"unassigned_Lachnospiraceae",0.0407144480979695,0.075790352870301,"unassigned_Lachnospiraceae","unassigned_Lachnospiraceae",8,5,16,0.5,0.3125,0.0131275,0.0353883482707703,9,7,27,0.333333333333333,0.259259259259259,0.00539555555555556,0.0146944775951672,0.342664054296125,0.73657857408202,0.828527131782946,0,1,0,0.166666666666667,0.0532407407407408,TRUE,TRUE,22,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Actinomyces",0.0388824652289472,0.0760276712447187,"Actinomyces","Actinomyces",8,2,16,0.5,0.125,0.0004425,0.000987437761751764,14,8,27,0.518518518518518,0.296296296296296,0.00152740740740741,0.00302003641418774,1,0.275732306995862,1,0,0.705018359853121,0,-0.0185185185185185,-0.171296296296296,FALSE,FALSE,23,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Senegalimassilia",0.0383400818158722,0.0714267041431198,"Senegalimassilia","Senegalimassilia",9,5,16,0.5625,0.3125,0.001495,0.00269988147888014,12,9,27,0.444444444444444,0.333333333333333,0.0013837037037037,0.00247993199061238,0.536507282777324,1,0.901025399517506,0,1,0,0.118055555555556,-0.0208333333333333,TRUE,FALSE,24,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Prevotella_9",0.0372597158239722,0.0724720057994394,"Prevotella_9","Prevotella_9",6,3,16,0.375,0.1875,0.004305,0.0114218398984869,6,3,27,0.222222222222222,0.111111111111111,0.0290992592592593,0.147821598659328,0.312582651613013,0.654553286221794,0.828527131782946,0,0.924075227607238,0,0.152777777777778,0.0763888888888889,TRUE,TRUE,25,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Enhydrobacter",0.0354158374309124,0.0667547328025721,"Enhydrobacter","Enhydrobacter",3,1,16,0.1875,0.0625,2e-04,0.000631442792341476,11,2,27,0.407407407407407,0.0740740740740741,0.000362962962962963,0.00116771576762503,0.186471550437391,1,0.828527131782946,0,1,0,-0.219907407407407,-0.0115740740740741,FALSE,FALSE,26,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Pseudomonas",0.0324712649849083,0.0604711091813506,"Pseudomonas","Pseudomonas",3,1,16,0.1875,0.0625,0.00017,0.000578088805173277,3,0,27,0.111111111111111,0,1.33333333333333e-05,4.83576419861591e-05,0.654553286221794,0.372093023255814,1,0,0.705018359853121,0,0.0763888888888889,0.0625,TRUE,TRUE,27,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Libanicoccus",0.0293621755835209,0.0550832270571034,"Libanicoccus","Libanicoccus",4,2,16,0.25,0.125,0.008255,0.0229570816960693,5,4,27,0.185185185185185,0.148148148148148,0.00792148148148148,0.0279208540347263,0.70604870625768,1,1,0,1,0,0.0648148148148148,-0.0231481481481481,TRUE,FALSE,28,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Prevotella_2",0.028378026076463,0.0533959557674234,"Prevotella_2","Prevotella_2",4,3,16,0.25,0.1875,0.010465,0.0358451927041828,0,0,27,0,0,0,0,0.0147475893363585,0.045377197958026,0.828527131782946,0,0.705018359853121,0,0.25,0.1875,TRUE,TRUE,29,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Prevotella",0.0259705795153749,0.0490364687003641,"Prevotella","Prevotella",5,2,16,0.3125,0.125,0.0018375,0.00490932106643407,11,2,27,0.407407407407407,0.0740740740740741,0.000404444444444444,0.00132884372332703,0.745240128420325,0.620776274207925,1,0,0.914920995057126,0,-0.0949074074074074,0.0509259259259259,FALSE,TRUE,30,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Atopobium",0.0254526656737866,0.0510500677164724,"Atopobium","Atopobium",5,1,16,0.3125,0.0625,0.000245,0.000798648859011268,10,3,27,0.37037037037037,0.111111111111111,0.000945185185185185,0.00340712643459419,0.75231679151976,1,1,0,1,0,-0.0578703703703703,-0.0486111111111111,FALSE,FALSE,31,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Brevundimonas",0.0253758743151427,0.0556544591579958,"Brevundimonas","Brevundimonas",0,0,16,0,0,0,0,6,0,27,0.222222222222222,0,5.77777777777778e-05,0.000170549639363968,0.0692130212087223,1,0.828527131782946,0,NA,NA,-0.222222222222222,0,FALSE,FALSE,32,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Dolosigranulum",0.0245765293999829,0.0459759842875635,"Dolosigranulum","Dolosigranulum",5,0,16,0.3125,0,4.25e-05,9.29157324317757e-05,12,1,27,0.444444444444444,0.037037037037037,9.77777777777778e-05,0.000212337418951958,0.522953256344552,1,0.901025399517506,0,NA,NA,-0.131944444444444,-0.037037037037037,FALSE,FALSE,33,0,16,"ns","ns",0.603333333333333,0.167908603725967
