"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.182222933523963,0.325714675878328,"Bifidobacterium (RSV1)",80,110,72.7,32,31.6,36,46,78.3,38.5,31.8,0.549399939017494,0.981798039170151,-5.59999999999999,FALSE,7,1,46,"ns",15.9169744760905,15.7353421717276,16.3268036377818,0.34748978255149,14.8137875173039,0.0279072645111445,0.469429348121123,0.482756343450398,0.906278908525472,0.688430410109709,0.951848315269528,33.516,40.137,0.526315789473684,0.421052631578947,0.611111111111111
"2","RSV10",0.118444991373864,0.218923669325048,"Veillonella (RSV10)",38,110,34.5,3.3,9.7,16,46,34.8,1.3,3.9,1,1,-0.299999999999997,FALSE,18,1,46,"ns",0.733391961840427,0.741260326011586,0.721894730060149,-0.42899843545344,10.859010730247,-0.0403004478207888,0.476222826316089,0.589270935523966,0.924621437307256,0.634080413784724,0.942061444238428,3.637,1.426,0.526315789473684,0.421052631578947,0.611111111111111
"3","RSV100",0.0076863647973752,0.0202993094203619,"Megamonas (RSV100)",6,110,5.5,0.1,0.5,1,46,2.2,0,0,0.674506755583508,0.995683768265425,3.3,TRUE,190,0,46,"ns",-0.881638520544557,-0.858281939184122,-0.927048545983833,-0.0955699254856501,4.73716570784163,-0.0139038216965817,0.490489130526261,0.436575667819839,0.872015955255187,0.507369558825845,0.912450426881791,0.096,0,0.526315789473684,0.421052631578947,0.611111111111111
"4","RSV101",0.0211703070938495,0.0416305012385838,"Corynebacterium_1 (RSV101)",4,110,3.6,0,0,4,46,8.7,0,0,0.235904001921613,0.771685972387651,-5.1,FALSE,117,0,46,"ns",-0.831614880043929,-0.853822861688354,-0.768432510442175,0.078916544434751,4.79509336588336,0.0121144876004616,0.493546195714237,0.506231081275308,0.887104557815623,0.518306159913914,0.913352927736687,0,0.001,0.526315789473684,0.421052631578947,0.611111111111111
"5","RSV1026",0.0122370320243966,0.0243786725304144,"Enterococcus (RSV1026)",5,110,4.5,0,0,3,46,6.5,0,0.1,0.694167421353632,0.995683768265425,-2,FALSE,169,0,46,"ns",-0.865829283835463,-0.897146368410477,-0.782444105413822,0.137014570286247,4.98152489580968,0.0214452729370967,0.488624787885245,0.56430325142038,0.897234369368345,0.525396390802842,0.905687025885259,0.008,0.015,0.526315789473684,0.421052631578947,0.611111111111111
"6","RSV1040",0.0218115051819703,0.0416146874535817,"Anaerococcus (RSV1040)",6,110,5.5,0,0,4,46,8.7,0,0,0.482306487213726,0.954299271628568,-3.2,FALSE,116,0,46,"ns",-0.749401740235875,-0.791933401426215,-0.660282847442645,0.133200649521367,4.69401722562754,0.0243070835832044,0.487771739248078,0.483418425823362,0.874579366980155,0.479652096880958,0.90008389669109,0,0.001,0.526315789473684,0.421052631578947,0.611111111111111
"7","RSV1046",0.0151731823437224,0.0310079204327214,"Streptococcus (RSV1046)",0,110,0,0,0,3,46,6.5,0.1,0.3,0.0244594115561858,0.51672379020826,-6.5,FALSE,151,0,46,"ns",-1.00846001552746,-1.0602148922667,-0.868792102793025,0.312911459672431,4.85343807642325,0.0561884849410451,0.469769022030864,0.342751055403111,0.832465788393257,0.464270355508217,0.896462745033356,0,0.077,0.526315789473684,0.421052631578947,0.611111111111111
"8","RSV1049",0.0739744916401451,0.137137134563122,"Corynebacterium_1 (RSV1049)",19,110,17.3,0,0,10,46,21.7,0,0,0.506829037671374,0.954299271628568,-4.4,FALSE,38,0,46,"ns",-0.213822857230062,-0.280622293564177,-0.00776534569581955,0.550179164747078,6.08022957305741,0.0775050236828435,0.460258152558455,0.556325691338756,0.907746179885421,0.559932030026634,0.924572029614353,0.005,0.007,0.526315789473684,0.421052631578947,0.611111111111111
"9","RSV105",0.0476136710852928,0.0888025037519952,"Staphylococcus (RSV105)",15,110,13.6,0,0,4,46,8.7,0,0,0.591743312779936,0.993099646665458,4.9,TRUE,55,0,46,"ns",-0.599543376431004,-0.599002469075108,-0.602892469638087,-0.109009778124092,5.75175703862173,-0.0186739658919802,0.491847826165359,0.488844674285216,0.88096495744418,0.51217642245436,0.909446439011716,0.007,0.002,0.526315789473684,0.421052631578947,0.611111111111111
"10","RSV106",0.0664438964986847,0.120654709107164,"Streptococcus (RSV106)",27,110,24.5,0,0.1,13,46,28.3,0,0.1,0.688810059251887,0.995683768265425,-3.8,FALSE,41,0,46,"ns",0.0698960993960398,0.00976851129925471,0.25105498528278,0.30013811147492,7.7163690668428,0.0387610933455515,0.478260869774632,0.616632189627368,0.923547071648822,0.60067937209872,0.931572289768715,0.032,0.03,0.526315789473684,0.421052631578947,0.611111111111111
