"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Escherichia/Shigella",0.513506964936956,0.914964659069821,"Escherichia/Shigella","Escherichia/Shigella",105,100,108,0.972222222222222,0.925925925925926,0.138518518518519,0.136358680937238,42,40,46,0.91304347826087,0.869565217391304,0.0990982608695652,0.147428297529558,0.197740358397887,0.357421270354883,0.897437011190412,0,1,0,0.0591787439613527,0.0563607085346216,TRUE,TRUE,1,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Bifidobacterium",0.441678777828288,0.775572106114101,"Bifidobacterium","Bifidobacterium",108,107,108,1,0.990740740740741,0.445991851851852,0.250926123022754,46,46,46,1,1,0.488682608695652,0.227199139497928,1,1,NA,NA,NA,NA,0,-0.0092592592592593,FALSE,FALSE,2,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Streptococcus",0.428922301118672,0.757316378816329,"Streptococcus","Streptococcus",108,106,108,1,0.981481481481482,0.0942107407407407,0.0909712215941101,46,45,46,1,0.978260869565217,0.102990434782609,0.0907712526924814,1,1,NA,NA,NA,NA,0,0.0032206119162641,FALSE,TRUE,3,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Veillonella",0.393146878627659,0.693645440317384,"Veillonella","Veillonella",98,87,108,0.907407407407407,0.805555555555556,0.0906766666666667,0.124510285834162,42,39,46,0.91304347826087,0.847826086956522,0.0753939130434783,0.12870066783006,1,0.650593656853819,1,0,1,0,-0.00563607085346207,-0.0422705314009661,FALSE,FALSE,4,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Klebsiella",0.374620467184473,0.658702882214788,"Klebsiella","Klebsiella",96,78,108,0.888888888888889,0.722222222222222,0.052482962962963,0.111354022788307,42,33,46,0.91304347826087,0.717391304347826,0.042,0.0816448748068256,0.778476129987824,1,1,0,1,0,-0.0241545893719807,0.00483091787439616,FALSE,TRUE,5,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Staphylococcus",0.368007867612774,0.649873360436711,"Staphylococcus","Staphylococcus",101,61,108,0.935185185185185,0.564814814814815,0.00577333333333333,0.0117934675407835,44,23,46,0.956521739130435,0.5,0.0131313043478261,0.0351562128290732,0.725442413050537,0.483902898699281,1,0,1,0,-0.0213365539452496,0.0648148148148148,FALSE,TRUE,6,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Rothia",0.336818571619883,0.593687787232645,"Rothia","Rothia",85,45,108,0.787037037037037,0.416666666666667,0.00237333333333333,0.0045582977639326,36,24,46,0.782608695652174,0.521739130434783,0.00354608695652174,0.00632099129998553,1,0.288413679325484,1,0,1,0,0.00442834138486314,-0.105072463768116,TRUE,FALSE,7,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Gemella",0.335034801836869,0.591378604772512,"Gemella","Gemella",62,6,108,0.574074074074074,0.0555555555555556,0.000222962962962963,0.000488345019866612,27,3,46,0.58695652173913,0.0652173913043478,0.000466086956521739,0.00143436471150257,1,1,1,0,1,0,-0.0128824476650564,-0.00966183574879227,FALSE,FALSE,8,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Enterococcus",0.308759461317297,0.543639755265572,"Enterococcus","Enterococcus",84,54,108,0.777777777777778,0.5,0.0225281481481481,0.0928205088132557,30,21,46,0.652173913043478,0.456521739130435,0.0154408695652174,0.0354079448602577,0.112473532060848,0.725059712102974,0.897437011190412,0,1,0,0.1256038647343,0.0434782608695652,TRUE,TRUE,9,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Lactobacillus",0.295608638244698,0.522423101745104,"Lactobacillus","Lactobacillus",74,60,108,0.685185185185185,0.555555555555556,0.0451296296296296,0.0956607020938859,29,24,46,0.630434782608696,0.521739130434783,0.0361982608695652,0.0853129525480379,0.575749859766262,0.726389754603,1,0,1,0,0.0547504025764896,0.033816425120773,TRUE,TRUE,10,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Dolosigranulum",0.293890360220427,0.524844453905202,"Dolosigranulum","Dolosigranulum",48,0,108,0.444444444444444,0,0.000107777777777778,0.00020193148339855,24,4,46,0.521739130434783,0.0869565217391304,0.00031304347826087,0.000626655565735782,0.385063284491734,0.00724200450483436,0.946613907708847,0,0.246228153164368,0,-0.0772946859903382,-0.0869565217391304,FALSE,FALSE,11,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Corynebacterium_1",0.281111384678985,0.502531620809931,"Corynebacterium_1","Corynebacterium_1",69,2,108,0.638888888888889,0.0185185185185185,0.000153703703703704,0.000218895240563368,35,1,46,0.760869565217391,0.0217391304347826,0.000218260869565217,0.000277859311705491,0.187943043744639,1,0.897437011190412,0,NA,NA,-0.121980676328503,-0.00322061191626409,FALSE,FALSE,12,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Actinomyces",0.208695053190461,0.368701449836715,"Actinomyces","Actinomyces",32,11,108,0.296296296296296,0.101851851851852,0.000430740740740741,0.00217145874725608,20,8,46,0.434782608695652,0.173913043478261,0.00071304347826087,0.00186929917891435,0.135772924690245,0.283316889807219,0.897437011190412,0,1,0,-0.138486312399356,-0.072061191626409,FALSE,FALSE,13,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Enterobacter",0.195956843378074,0.357762895030031,"Enterobacter","Enterobacter",44,21,108,0.407407407407407,0.194444444444444,0.00256111111111111,0.00844919720052345,18,4,46,0.391304347826087,0.0869565217391304,0.00521478260869565,0.0266879040215376,1,0.15039229704448,1,0,0.872015340989301,0,0.0161030595813204,0.107487922705314,TRUE,TRUE,14,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Clostridium_sensu_stricto_1",0.194477653531344,0.354264556980666,"Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1",37,19,108,0.342592592592593,0.175925925925926,0.00906333333333333,0.0389586812515492,10,6,46,0.217391304347826,0.130434782608696,0.00888,0.0411398490787487,0.131760317795116,0.634363305552216,0.897437011190412,0,1,0,0.125201288244767,0.0454911433172303,TRUE,TRUE,15,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Haemophilus",0.17377797307349,0.315754227374828,"Haemophilus","Haemophilus",35,10,108,0.324074074074074,0.0925925925925926,0.00028,0.000829331450148617,13,4,46,0.282608695652174,0.0869565217391304,0.000853913043478261,0.003976796856355,0.705235280718274,1,1,0,1,0,0.0414653784219002,0.00563607085346216,TRUE,TRUE,16,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Bacteroides",0.169618863294947,0.301333270269043,"Bacteroides","Bacteroides",35,26,108,0.324074074074074,0.240740740740741,0.0264792592592593,0.0823022817696624,15,12,46,0.326086956521739,0.260869565217391,0.0419060869565217,0.120852221300383,1,0.839203571395887,1,0,1,0,-0.00201288244766507,-0.0201288244766506,FALSE,FALSE,17,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Atopobium",0.165125315733057,0.298409809661845,"Atopobium","Atopobium",23,8,108,0.212962962962963,0.0740740740740741,0.000294814814814815,0.00147722996740552,14,6,46,0.304347826086957,0.130434782608696,0.00042,0.00109864563086658,0.225284941508851,0.357421270354882,0.901974347939873,0,1,0,-0.0913848631239936,-0.0563607085346216,FALSE,FALSE,18,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Granulicatella",0.159363807964238,0.285494643539135,"Granulicatella","Granulicatella",16,0,108,0.148148148148148,0,2.92592592592593e-05,0.00011685683951529,13,3,46,0.282608695652174,0.0652173913043478,0.000141739130434783,0.000400151662069527,0.0705108087193637,0.0254312251216276,0.897437011190412,0,0.432330827067669,0,-0.134460547504026,-0.0652173913043478,FALSE,FALSE,19,1,46,"ns","ns",0.49822514619883,0.113384643442289
"unassigned_Lachnospiraceae",0.13140742412804,0.233880893378765,"unassigned_Lachnospiraceae","unassigned_Lachnospiraceae",32,20,108,0.296296296296296,0.185185185185185,0.00600259259259259,0.025474553195402,12,9,46,0.260869565217391,0.195652173913043,0.0018095652173913,0.00753062221319556,0.701157081782697,1,1,0,1,0,0.035426731078905,-0.0104669887278583,TRUE,FALSE,20,1,46,"ns","ns",0.49822514619883,0.113384643442289
"Collinsella",0.131305026110095,0.235969167783486,"Collinsella","Collinsella",30,21,108,0.277777777777778,0.194444444444444,0.0156288888888889,0.0475858440690426,11,8,46,0.239130434782609,0.173913043478261,0.0164852173913043,0.0677258949242092,0.693354885847466,0.825767592390454,1,0,1,0,0.0386473429951691,0.0205314009661836,TRUE,TRUE,21,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Prevotella",0.120786818214359,0.22178999563463,"Prevotella","Prevotella",20,1,108,0.185185185185185,0.00925925925925926,6.62962962962963e-05,0.000191182217687698,7,1,46,0.152173913043478,0.0217391304347826,6.43478260869565e-05,0.000292176903596381,0.817254758755337,0.509549274255157,1,0,NA,NA,0.0330112721417069,-0.0124798711755233,TRUE,FALSE,22,0,46,"ns","ns",0.49822514619883,0.113384643442289
"unassigned_Enterobacteriaceae",0.119711815033334,0.212983785676422,"unassigned_Enterobacteriaceae","unassigned_Enterobacteriaceae",22,7,108,0.203703703703704,0.0648148148148148,0.00177222222222222,0.00909972407236321,9,0,46,0.195652173913043,0,5.65217391304348e-05,0.000160571443307324,1,0.103875940641469,1,0,0.872015340989301,0,0.00805152979066021,0.0648148148148148,TRUE,TRUE,23,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Anaerococcus",0.110689647092933,0.197583050104959,"Anaerococcus","Anaerococcus",23,2,108,0.212962962962963,0.0185185185185185,8.2962962962963e-05,0.00052932554380619,12,1,46,0.260869565217391,0.0217391304347826,6e-05,0.000205307357664335,0.533373617449859,1,1,0,NA,NA,-0.0479066022544283,-0.00322061191626409,FALSE,FALSE,24,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Acinetobacter",0.108925866754289,0.195025680347929,"Acinetobacter","Acinetobacter",25,7,108,0.231481481481481,0.0648148148148148,0.00023,0.000773778204836744,10,4,46,0.217391304347826,0.0869565217391304,0.000524347826086957,0.00221028268898288,1,0.733909629273681,1,0,1,0,0.0140901771336554,-0.0221417069243156,TRUE,FALSE,25,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Clostridioides",0.105911094472145,0.188294802315589,"Clostridioides","Clostridioides",24,14,108,0.222222222222222,0.12962962962963,0.000903333333333333,0.00299626246931852,8,7,46,0.173913043478261,0.152173913043478,0.00150260869565217,0.00458991863146595,0.664720362779339,0.798279117997762,1,0,1,0,0.0483091787439613,-0.0225442834138486,TRUE,FALSE,26,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Sutterella",0.103068812128359,0.184329785496301,"Sutterella","Sutterella",17,6,108,0.157407407407407,0.0555555555555556,0.00125851851851852,0.00970235223573108,3,1,46,0.0652173913043478,0.0217391304347826,5.82608695652174e-05,0.000311521744187222,0.188736701886856,0.674947322864664,0.897437011190412,0,1,0,0.0921900161030596,0.0338164251207729,TRUE,TRUE,27,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Finegoldia",0.0978230200172904,0.196286349154299,"Finegoldia","Finegoldia",26,0,108,0.240740740740741,0,2.48148148148148e-05,6.22848668480807e-05,7,0,46,0.152173913043478,0,2.17391304347826e-05,7.66899775525122e-05,0.284923775533904,1,0.901974347939873,0,NA,NA,0.0885668276972625,0,TRUE,FALSE,28,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Salmonella",0.0827111713006485,0.152247031264007,"Salmonella","Salmonella",19,13,108,0.175925925925926,0.12037037037037,0.00225407407407407,0.0105540131922294,7,4,46,0.152173913043478,0.0869565217391304,0.00129304347826087,0.0052482686540167,0.817104351149375,0.779412523158166,1,0,1,0,0.0237520128824477,0.0334138486312399,TRUE,TRUE,29,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Peptoniphilus",0.0793701317827316,0.144569439186742,"Peptoniphilus","Peptoniphilus",19,1,108,0.175925925925926,0.00925925925925926,8.2962962962963e-05,0.000565518964801374,8,0,46,0.173913043478261,0,3.73913043478261e-05,0.000124622715650232,1,1,1,0,NA,NA,0.00201288244766507,0.00925925925925926,TRUE,TRUE,30,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Eggerthella",0.0787802625467293,0.143054478280341,"Eggerthella","Eggerthella",12,7,108,0.111111111111111,0.0648148148148148,0.000895925925925926,0.0049930611734999,7,2,46,0.152173913043478,0.0434782608695652,0.00048695652173913,0.00258687702715517,0.59278656056972,0.725442413050537,1,0,1,0,-0.0410628019323672,0.0213365539452496,FALSE,TRUE,31,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Megasphaera",0.0772070481201072,0.140574067914757,"Megasphaera","Megasphaera",19,10,108,0.175925925925926,0.0925925925925926,0.00226259259259259,0.0110293654226733,5,2,46,0.108695652173913,0.0434782608695652,0.000168695652173913,0.000738619158206423,0.341395773603191,0.511857525031205,0.934105921947615,0,1,0,0.0672302737520129,0.0491143317230274,TRUE,TRUE,32,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Parabacteroides",0.0760497279512642,0.141255492836831,"Parabacteroides","Parabacteroides",16,12,108,0.148148148148148,0.111111111111111,0.0087337037037037,0.0433983925494252,4,3,46,0.0869565217391304,0.0652173913043478,0.0133765217391304,0.082556422220534,0.433265626319967,0.554880182960229,0.954642271390577,0,1,0,0.0611916264090177,0.0458937198067633,TRUE,TRUE,33,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Senegalimassilia",0.0682797248971075,0.134956966760754,"Senegalimassilia","Senegalimassilia",18,10,108,0.166666666666667,0.0925925925925926,0.00153777777777778,0.00765197639039273,5,4,46,0.108695652173913,0.0869565217391304,0.000370434782608696,0.00180132168331014,0.46204525352624,1,0.973595355644577,0,1,0,0.0579710144927536,0.00563607085346216,TRUE,TRUE,34,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Prevotella_9",0.0582287646079775,0.105280042387169,"Prevotella_9","Prevotella_9",10,5,108,0.0925925925925926,0.0462962962962963,0.00577444444444444,0.0346660110230355,5,1,46,0.108695652173913,0.0217391304347826,0.000494782608695652,0.00311813458417435,0.770894211817765,0.669589311703093,1,0,NA,NA,-0.0161030595813205,0.0245571658615137,FALSE,TRUE,35,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Megamonas",0.0563862561993036,0.104509046301777,"Megamonas","Megamonas",9,6,108,0.0833333333333333,0.0555555555555556,0.00247074074074074,0.0128555739904426,4,1,46,0.0869565217391304,0.0217391304347826,0.00725652173913043,0.0491679032259141,1,0.674947322864664,1,0,1,0,-0.0036231884057971,0.0338164251207729,FALSE,TRUE,36,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Dialister",0.0549239589462961,0.101970108083035,"Dialister","Dialister",12,3,108,0.111111111111111,0.0277777777777778,0.000138518518518519,0.000889253403972281,5,1,46,0.108695652173913,0.0217391304347826,0.000286086956521739,0.00179324098679318,1,1,1,0,NA,NA,0.00241545893719806,0.00603864734299517,TRUE,TRUE,37,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Negativicoccus",0.054447242629957,0.0989060362789297,"Negativicoccus","Negativicoccus",11,1,108,0.101851851851852,0.00925925925925926,4.44444444444444e-05,0.000255647732710219,6,2,46,0.130434782608696,0.0434782608695652,9.39130434782609e-05,0.000334899509046251,0.585489466593916,0.212697519199067,1,0,NA,NA,-0.0285829307568438,-0.034219001610306,FALSE,FALSE,38,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Citrobacter",0.0544228254511005,0.0985473625059434,"Citrobacter","Citrobacter",10,6,108,0.0925925925925926,0.0555555555555556,0.000345555555555556,0.00178916747377689,5,2,46,0.108695652173913,0.0434782608695652,0.000134782608695652,0.000521492469873982,0.770894211817765,1,1,0,1,0,-0.0161030595813205,0.0120772946859903,FALSE,TRUE,39,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Weissella",0.0526307933508344,0.100856756491238,"Weissella","Weissella",10,0,108,0.0925925925925926,0,3.07407407407407e-05,0.000137329018270937,1,0,46,0.0217391304347826,0,1.73913043478261e-06,1.17953564923918e-05,0.175141922804012,1,0.897437011190412,0,NA,NA,0.07085346215781,0,TRUE,FALSE,40,0,46,"ns","ns",0.49822514619883,0.113384643442289
"Cutibacterium",0.049966485095443,0.0953662741821798,"Cutibacterium","Cutibacterium",13,6,108,0.12037037037037,0.0555555555555556,0.000938148148148148,0.00612074244903179,4,0,46,0.0869565217391304,0,6.95652173913044e-06,2.70694222913679e-05,0.779412523158166,0.17953257020368,1,0,0.872015340989301,0,0.0334138486312399,0.0555555555555556,TRUE,TRUE,41,0,46,"ns","ns",0.49822514619883,0.113384643442289
