"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"224","RSV2",0.219440108628327,0.39478779722641,"Escherichia/Shigella (RSV2)",105,100,108,0.972222222222222,0.925925925925926,0.119908518518519,0.125169109091189,42,40,46,0.91304347826087,0.869565217391304,0.0907034782608696,0.128553887036049,0.197740358397887,0.357421270354883,0.738106997545304,0,0.937450620316806,0,0.0591787439613527,0.0563607085346216,TRUE,TRUE,1,1,46,"ns","ns",0.53030701754386,0.107396458821971
"471","RSV4",0.185733164976825,0.326155166016779,"Streptococcus (RSV4)",84,41,108,0.777777777777778,0.37962962962963,0.00147,0.0021914575015976,41,19,46,0.891304347826087,0.41304347826087,0.00453652173913043,0.00909120434935543,0.118083412420809,0.720815705976889,0.641581471823076,0,1,0,-0.113526570048309,-0.0334138486312399,FALSE,FALSE,2,1,46,"ns","ns",0.53030701754386,0.107396458821971
"311","RSV26",0.165282746249229,0.305803430163884,"Klebsiella (RSV26)",70,50,108,0.648148148148148,0.462962962962963,0.0102192592592593,0.0239398745186674,38,23,46,0.826086956521739,0.5,0.0101921739130435,0.030139276841066,0.0340363854614777,0.7260380966993,0.641581471823076,0,1,0,-0.177938808373591,-0.037037037037037,FALSE,FALSE,3,1,46,"ns","ns",0.53030701754386,0.107396458821971
"358","RSV3",0.156038887810838,0.278074471928027,"Streptococcus (RSV3)",100,97,108,0.925925925925926,0.898148148148148,0.0670418518518519,0.0765330712481175,43,42,46,0.934782608695652,0.91304347826087,0.0744417391304348,0.0824672316688904,1,1,1,0,1,0,-0.00885668276972629,-0.0148953301127214,FALSE,FALSE,4,1,46,"ns","ns",0.53030701754386,0.107396458821971
"1","RSV1",0.144714740057377,0.259438263657644,"Bifidobacterium (RSV1)",80,76,108,0.740740740740741,0.703703703703704,0.327607037037037,0.300236075877681,35,31,46,0.760869565217391,0.673913043478261,0.342004347826087,0.294171628722283,0.842322467640364,0.706860888226123,1,0,1,0,-0.0201288244766507,0.0297906602254429,FALSE,TRUE,5,1,46,"ns","ns",0.53030701754386,0.107396458821971
"421","RSV35",0.136389411526775,0.243186114771398,"Gemella (RSV35)",56,6,108,0.518518518518518,0.0555555555555556,0.000211111111111111,0.000487966088398355,27,2,46,0.58695652173913,0.0434782608695652,0.000374782608695652,0.00108449627657869,0.482705597041667,1,0.897589078382465,0,1,0,-0.068438003220612,0.0120772946859903,FALSE,TRUE,6,1,46,"ns","ns",0.53030701754386,0.107396458821971
"213","RSV19",0.1334275059099,0.239869526105641,"Klebsiella (RSV19)",86,59,108,0.796296296296296,0.546296296296296,0.0160503703703704,0.0389037792634988,34,21,46,0.739130434782609,0.456521739130435,0.0122130434782609,0.0294415096887647,0.52462936425885,0.378733493256773,0.917118248131989,0,0.937450620316806,0,0.0571658615136876,0.0897745571658615,TRUE,TRUE,7,1,46,"ns","ns",0.53030701754386,0.107396458821971
"643","RSV671",0.12625660990363,0.230819079913928,"Dolosigranulum (RSV671)",47,0,108,0.435185185185185,0,0.000102592592592593,0.000194140186224373,24,4,46,0.521739130434783,0.0869565217391304,0.00031304347826087,0.000626655565735782,0.378494111995155,0.00724200450483436,0.865420229619473,0,0.186481615999485,0,-0.0865539452495974,-0.0869565217391304,FALSE,FALSE,8,1,46,"ns","ns",0.53030701754386,0.107396458821971
"543","RSV5",0.125420237881893,0.227025990882806,"Bifidobacterium (RSV5)",71,56,108,0.657407407407407,0.518518518518518,0.0650374074074074,0.134521661809611,33,24,46,0.717391304347826,0.521739130434783,0.0850234782608696,0.18195037693732,0.573466277368204,1,0.939298212930679,0,1,0,-0.0599838969404186,-0.0032206119162641,FALSE,FALSE,9,1,46,"ns","ns",0.53030701754386,0.107396458821971
"244","RSV21",0.117933370970868,0.221747717411083,"Escherichia/Shigella (RSV21)",44,42,108,0.407407407407407,0.388888888888889,0.00952481481481481,0.0209427043697925,12,9,46,0.260869565217391,0.195652173913043,0.0015304347826087,0.00416475313742029,0.100614869164636,0.024493466872312,0.641581471823076,0,0.263108607301091,0,0.146537842190016,0.193236714975845,TRUE,TRUE,10,1,46,"ns","ns",0.53030701754386,0.107396458821971
