"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"766","RSV7",0.147195937105873,0.260452938128822,"Staphylococcus (RSV7)",93,88,99,0.939393939393939,0.888888888888889,0.0534064646464646,0.0633602246200591,31,28,32,0.96875,0.875,0.07364125,0.0877206477974257,1,0.759862107202593,1,0,0.988736235878072,0,-0.0293560606060606,0.0138888888888888,FALSE,TRUE,1,1,32,"ns","ns",0.519542124542125,0.11562253727099
"449","RSV3",0.142042326938276,0.257396790909237,"Streptococcus (RSV3)",92,75,99,0.929292929292929,0.757575757575758,0.0561220202020202,0.0876725649264073,28,28,32,0.875,0.875,0.06384625,0.0778159430446967,0.461719305196694,0.216478453388735,0.851715223178368,0,0.695819075361602,0,0.0542929292929293,-0.117424242424242,TRUE,FALSE,2,1,32,"ns","ns",0.519542124542125,0.11562253727099
"279","RSV2",0.136557365624648,0.244623989799135,"Escherichia/Shigella (RSV2)",86,74,99,0.868686868686869,0.747474747474748,0.111647272727273,0.148132634154901,26,16,32,0.8125,0.5,0.0984075,0.204925060968402,0.404505137804156,0.0148423591033108,0.809809762762215,0,0.400743695789392,0,0.0561868686868687,0.247474747474748,TRUE,TRUE,3,1,32,"ns","ns",0.519542124542125,0.11562253727099
"816","RSV8",0.134283870376906,0.239441124992496,"Staphylococcus (RSV8)",93,87,99,0.939393939393939,0.878787878787879,0.0255490909090909,0.0291422497517555,26,26,32,0.8125,0.8125,0.0366925,0.0462238005305045,0.0701268425358854,0.379416342295667,0.779056898641755,0,0.731731517284501,0,0.126893939393939,0.0662878787878788,TRUE,TRUE,4,1,32,"ns","ns",0.519542124542125,0.11562253727099
"1","RSV1",0.130424825032904,0.232577578262411,"Bifidobacterium (RSV1)",52,39,99,0.525252525252525,0.393939393939394,0.159292929292929,0.25920236190838,21,17,32,0.65625,0.53125,0.28760875,0.324744172976603,0.223677993902847,0.218141467122159,0.779056898641755,0,0.695819075361602,0,-0.130997474747475,-0.137310606060606,FALSE,FALSE,5,1,32,"ns","ns",0.519542124542125,0.11562253727099
"619","RSV48",0.129561081515799,0.229728578876969,"Staphylococcus (RSV48)",80,72,99,0.808080808080808,0.727272727272727,0.00581252525252525,0.00972588156053002,26,24,32,0.8125,0.75,0.0083525,0.0123337896747892,1,1,1,0,1,0,-0.00441919191919193,-0.0227272727272727,FALSE,FALSE,6,1,32,"ns","ns",0.519542124542125,0.11562253727099
"557","RSV4",0.12539017784366,0.227982463575756,"Streptococcus (RSV4)",82,36,99,0.828282828282828,0.363636363636364,0.00145535353535354,0.00221770027654652,25,12,32,0.78125,0.375,0.0017875,0.00316756851900328,0.601402872449457,1,0.960701663093456,0,1,0,0.0470328282828283,-0.0113636363636364,TRUE,FALSE,7,1,32,"ns","ns",0.519542124542125,0.11562253727099
"388","RSV26",0.0977386437580534,0.17662863286452,"Klebsiella (RSV26)",61,45,99,0.616161616161616,0.454545454545455,0.0248032323232323,0.0551948420177451,22,13,32,0.6875,0.40625,0.020265,0.0393620649209199,0.531124133620344,0.685867611935095,0.934385049887642,0,0.940775036570701,0,-0.0713383838383839,0.0482954545454545,FALSE,TRUE,8,1,32,"ns","ns",0.519542124542125,0.11562253727099
"262","RSV19",0.0958077529035557,0.176239766555949,"Klebsiella (RSV19)",70,49,99,0.707070707070707,0.494949494949495,0.034109898989899,0.0798789940650659,22,16,32,0.6875,0.5,0.038245,0.0702198580496723,0.827282435810656,1,1,0,1,0,0.0195707070707071,-0.00505050505050503,TRUE,FALSE,9,1,32,"ns","ns",0.519542124542125,0.11562253727099
"917","RSV99",0.0936263620294987,0.168802242776068,"Staphylococcus (RSV99)",53,46,99,0.535353535353535,0.464646464646465,0.00218464646464646,0.00353439407188418,19,12,32,0.59375,0.375,0.00299625,0.00623891106606935,0.683469923146256,0.418064550689682,0.960701663093456,0,0.778465025422166,0,-0.0583964646464646,0.0896464646464646,FALSE,TRUE,10,1,32,"ns","ns",0.519542124542125,0.11562253727099
