"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.195521747478147,0.349640692557597,"Bifidobacterium (RSV1)",64,98,65.3,28.9,30.5,23,30,76.7,43.4,37.4,0.272599105480079,0.929548502050934,-11.4,FALSE,1,1,30,"ns",15.8733914195154,15.1657571267682,16.7618014198395,1.20318815936089,15.4674395287855,0.0924639814046205,0.393750002515434,0.254210546894602,0.871875290350681,0.107515561209538,0.834970206355167,30.268,44.514,0.5,0.416666666666667,0.583333333333333
"2","RSV10",0.10814254516426,0.198686259583342,"Veillonella (RSV10)",40,98,40.8,3.5,8.5,8,30,26.7,1.4,4.9,0.198632182591432,0.902873557233781,14.1,TRUE,13,1,30,"ns",1.0702665353489,1.32257070479388,0.542613090886951,-1.32030609938221,11.6554442165552,-0.125886601589264,0.438313379863268,0.162652621139765,0.821078517882982,0.312890453628125,0.883234729470479,3.978,1.365,0.5,0.416666666666667,0.583333333333333
"3","RSV1023",0.0132188872186467,0.0268129751121661,"Streptococcus (RSV1023)",1,98,1,0,0,2,30,6.7,0,0.1,0.13677001312336,0.902873557233781,-5.7,FALSE,111,0,30,"ns",-0.770578130530641,-0.892561886016132,-0.351255080781836,0.711967643109341,4.75783870683781,0.127208723404892,0.438020834756275,0.279364260535981,0.813432183742985,0.316887383510326,0.84681336338222,0,0.026,0.5,0.416666666666667,0.583333333333333
"4","RSV1046",0.0113445947035676,0.0241144464527883,"Streptococcus (RSV1046)",1,98,1,0,0,2,30,6.7,0,0,0.13677001312336,0.902873557233781,-5.7,FALSE,121,0,30,"ns",-0.764346387694408,-0.858270482466514,-0.456053806854488,0.295438451433286,4.59615614358923,0.0541614920692615,0.468750000709196,0.390356453012301,0.879357263964884,0.403964181100011,0.88707874233689,0.005,0.007,0.5,0.416666666666667,0.583333333333333
"5","RSV1049",0.0424109699242029,0.0789860351972476,"Corynebacterium_1 (RSV1049)",14,98,14.3,0,0,6,30,20,0,0.1,0.565321668701236,0.984613774949259,-5.7,FALSE,44,0,30,"ns",-0.124561696891288,-0.2874437688786,0.498283339544463,0.781895595307763,5.9915064347567,0.127083566437118,0.439354504253042,0.310236999666621,0.850548315155619,0.309060658127587,0.861567245721786,0.003,0.024,0.5,0.416666666666667,0.583333333333333
"6","RSV105",0.053135749078788,0.108736574119058,"Staphylococcus (RSV105)",13,98,13.3,0,0,7,30,23.3,0,0,0.248293372601444,0.929548502050934,-10,FALSE,32,0,30,"ns",-0.286690536470513,-0.419996304162954,0.203907161065777,0.640855360013044,6.23101292698467,0.10213304237053,0.449245185957666,0.348024723276917,0.859175601153819,0.38192692339396,0.887396942405141,0.005,0.008,0.5,0.416666666666667,0.583333333333333
"7","RSV106",0.0526158187874983,0.105581227848517,"Streptococcus (RSV106)",22,98,22.4,0,0.1,4,30,13.3,0,0,0.436288026958689,0.984613774949259,9.1,TRUE,33,0,30,"ns",-0.0545256969647792,-0.0228073567423941,-0.147021206488091,-0.338666826844543,6.30040900141123,-0.0451131700324337,0.475000000566557,0.446430948103582,0.900289248359861,0.567816852503206,0.927859756223552,0.03,0.005,0.5,0.416666666666667,0.583333333333333
"8","RSV1061",0.00962232995565472,0.0191578221239255,"Staphylococcus (RSV1061)",3,98,3.1,0,0,2,30,6.7,0,0.1,0.333705020743375,0.929548502050934,-3.6,FALSE,135,0,30,"ns",-0.752147404960793,-0.806609026147871,-0.556184075969789,0.281335682533181,5.02610058466961,0.0477472147883461,0.469026549374706,0.440018295421408,0.883259400612779,0.464069268575545,0.906301517070104,0.003,0.03,0.5,0.416666666666667,0.583333333333333
"9","RSV107",0.00521683160843349,0.0155358574615529,"Acinetobacter (RSV107)",5,98,5.1,0,0,1,30,3.3,0,0,1,1,1.8,TRUE,188,0,30,"ns",-0.641627355662671,-0.643652235823968,-0.630826169080102,-0.0393847095170692,4.8195951067321,-0.00661516162711537,0.495575221338867,0.544120786603703,0.918274084271025,0.51749587630392,0.925512469267959,0.001,0.001,0.5,0.416666666666667,0.583333333333333
"10","RSV108",0.00620934125967809,0.0139975889599952,"Lactobacillus (RSV108)",6,98,6.1,0,0.4,0,30,0,0,0,0.334637460738336,0.929548502050934,6.1,TRUE,177,0,30,"ns",-0.655055752108,-0.65164815593984,-0.66160862423448,0.0797389339893133,4.79474286118219,0.0147944098684059,0.492972410361748,0.508175886855137,0.907042277023921,0.519002693221046,0.921718157067521,0.06,0,0.5,0.416666666666667,0.583333333333333
