"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.0164109473880994,0.0329069699856619,"Bifidobacterium (RSV1)",18,98,18.4,1.3,9,11,31,35.5,3.6,10.7,0.0815829232030294,0.801059909726298,-17.1,FALSE,86,0,31,"ns",-0.349654719799352,-0.577643620968258,0.58471378141912,1.86236968190464,10.0211505877407,0.181997335994344,0.394458440623386,0.0612984761380426,0.753768315118471,0.11822057375969,0.780174496277556,1.312,3.639,0.5,0.416666666666667,0.583333333333333
"2","RSV10",0.00175298917094516,0.00462310619124352,"Veillonella (RSV10)",1,98,1,0,0.1,3,31,9.7,0,0,0.0428702771165232,0.6524447262148,-8.7,FALSE,725,0,31,"ns",-1.05529276913881,-1.17619722451598,-0.654033700267624,0.59325878560184,5.02544271322955,0.0992138260056677,0.444836273221357,0.401031221105796,0.876346841126721,0.384804819207729,0.871678704013512,0.012,0.002,0.5,0.416666666666667,0.583333333333333
"3","RSV100",0.0077667117128511,0.0165381429822302,"Megamonas (RSV100)",22,98,22.4,0.5,1.7,5,31,16.1,0.3,1,0.613715647709391,1,6.3,TRUE,247,0,31,"ns",-0.364920511492782,-0.385441106472436,-0.289140660354963,-0.0278281674854597,8.89926068821343,-0.00344625470931978,0.496725440875303,0.687381397183142,0.954164566823181,0.598881670593525,0.935652744224025,0.498,0.258,0.5,0.416666666666667,0.583333333333333
"4","RSV10000",0.000308186238707905,0.00160588785587997,"Sutterella (RSV10000)",5,98,5.1,0,0.1,0,31,0,0,0,0.336182831797188,0.889812889978,5.1,TRUE,1126,0,31,"ns",-0.907165906091741,-0.846958037201246,-1.06375985592308,-0.271873244916321,4.52116695320906,-0.0514250409369671,0.473551637840533,0.491014850738326,0.900665903228834,0.495978352018883,0.894972938001942,0.006,0,0.5,0.416666666666667,0.583333333333333
"5","RSV1003",0.00514465852461554,0.0112146901484628,"Lachnospiraceae_UCG-010 (RSV1003)",23,98,23.5,0,0.2,9,31,29,0,0.1,0.633723986421473,1,-5.5,FALSE,376,0,31,"ns",0.105974725793356,-0.00944031965727277,0.453871480413076,0.380425895531216,6.87702951338322,0.0522948117256289,0.475566751147708,0.622271709248021,0.940498866581075,0.60436561053203,0.937099805079142,0.053,0.025,0.5,0.416666666666667,0.583333333333333
"6","RSV1004",0.00245696514340565,0.00615891246827738,"Megasphaera (RSV1004)",9,98,9.2,0.1,0.3,3,31,9.7,0.2,0.7,1,1,-0.5,FALSE,608,0,31,"ns",-0.794713689514937,-0.863672104968053,-0.594948536236135,0.344207363395171,5.64593178847599,0.0492908577400808,0.471536524533413,0.576861985008226,0.92464775458366,0.504959358512689,0.904980407438418,0.076,0.159,0.5,0.416666666666667,0.583333333333333
"7","RSV10042",0.00149998227413176,0.00374801204590202,"Allisonella (RSV10042)",0,98,0,0,0,3,31,9.7,0,0,0.012861083134957,0.6524447262148,-9.7,FALSE,789,0,31,"ns",-1.05550564224542,-1.20996792690116,-0.500410735585119,0.937292158575607,4.90899295416079,0.171406797943964,0.415322582490776,0.25782643196264,0.816153893013317,0.279742167398516,0.826335568406764,0,0.003,0.5,0.416666666666667,0.583333333333333
"8","RSV1007",0.00049456604655066,0.00185145916199635,"Ruminococcaceae_UCG-014 (RSV1007)",8,98,8.2,0,0.1,1,31,3.2,0,0,0.686078709904789,1,5,TRUE,1097,0,31,"ns",-0.900491849301936,-0.874730556620442,-0.950511626593745,-0.0954968123893671,5.31970961442405,-0.0158353569885896,0.491431451794359,0.515825335423677,0.913448253331284,0.505776109220278,0.9065336092539,0.012,0.009,0.5,0.416666666666667,0.583333333333333
"9","RSV1008",0.0190397297096386,0.054704881050214,"unassigned Firmicutes (RSV1008)",55,98,56.1,0.1,0.2,14,31,45.2,0,0.1,0.308441516788709,0.889812889978,10.9,TRUE,64,0,31,"ns",3.75907786273682,3.91353263858973,2.99642374417515,-0.499473215580642,6.20210978688399,-0.0724358439922626,0.465994962939152,0.537844405596739,0.924546500963563,0.485483990868438,0.919860939747541,0.06,0.046,0.5,0.416666666666667,0.583333333333333
"10","RSV10119",0.00089177298098595,0.00250024616152848,"Lachnospiraceae_UCG-001 (RSV10119)",3,98,3.1,0,0,2,31,6.5,0,0,0.593144316262793,1,-3.4,FALSE,978,0,31,"ns",-0.992880960448453,-1.08620561595126,-0.695244076370162,0.475667049901537,4.68668361910969,0.0887997718087654,0.45161290425988,0.461372572375519,0.896716496057467,0.438130642877788,0.890948516354063,0.002,0.001,0.5,0.416666666666667,0.583333333333333
