"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.105421759609012,0.191400688545889,"Acinetobacter",43,202,21.3,0,0.2,20,79,25.3,0.1,0.4,0.524850830845359,0.994454205812259,-4,FALSE,32,0,50,"ns",-1.15260332501509,-1.27147228941769,-0.855532176879127,0.453019258097356,6.54824757558347,0.0639744237176668,0.466706658779694,0.49025143179185,0.909105352226783,0.459294416471588,0.910768614557287,0.036,0.076,0.45,0.4,0.55
"2","Actinomyces",0.265336531115466,0.484549412660311,"Actinomyces",97,202,48,0.1,0.3,37,79,46.8,0.1,0.2,0.89480055406895,1,1.2,TRUE,13,1,50,"ns",1.51585844456661,1.46881192460258,1.63695187480749,0.326066972457927,7.89968287336891,0.0356085388684094,0.480703859292545,0.618125404485949,0.942716256874758,0.622821682388606,0.949034602669206,0.092,0.104,0.45,0.4,0.55
"3","Aeromonas",0.0328517986473933,0.0689497092114375,"Aeromonas",4,202,2,0,0,6,79,7.6,0,0,0.0322663081523212,0.572115466371794,-5.6,FALSE,55,0,50,"ns",-2.0760946189458,-2.1501635998894,-1.88279687028139,0.402239828790886,4.71069296152169,0.0786500572662538,0.461200000130117,0.366589149951529,0.849087422317784,0.382588779432732,0.860632527219987,0.003,0.002,0.45,0.4,0.55
"4","Akkermansia",0.0267582629745782,0.0522103762697409,"Akkermansia",7,202,3.5,0.2,2.1,4,79,5.1,0.8,4.2,0.509499322660709,0.991458141393812,-1.6,FALSE,65,0,50,"ns",-2.09332893556029,-2.14433159836073,-1.97720294498891,0.191134877507812,4.95912619451717,0.0290139220548781,0.480600000064764,0.457420271440401,0.894915213879993,0.450973930123945,0.908599220277312,0.235,0.815,0.45,0.4,0.55
"5","Anaerococcus",0.115314071403712,0.216130638240417,"Anaerococcus",43,202,21.3,0,0,17,79,21.5,0,0,1,1,-0.199999999999999,FALSE,30,0,50,"ns",-0.666234216767778,-0.648936477711768,-0.70173107338498,-0.020261208252168,5.35447421674774,-0.00335244727851459,0.498100379930345,0.582687492333446,0.919985485878952,0.619777360357915,0.939165669618927,0.004,0.005,0.45,0.4,0.55
"6","Atopobium",0.231715287677078,0.418109859376675,"Atopobium",82,202,40.6,0.1,0.5,35,79,44.3,0.1,0.2,0.592208100098008,1,-3.7,FALSE,14,1,50,"ns",0.50348358726762,0.332887033964289,1.02218984459009,0.237253193475308,7.47195412539733,0.0303958902259928,0.486200000046035,0.655691114392878,0.95048307804011,0.666169996514716,0.950717826473468,0.098,0.063,0.45,0.4,0.55
"7","Bacteroides",0.195245361921276,0.352402006375832,"Bacteroides",87,202,43.1,3.7,10.3,27,79,34.2,2.4,7.3,0.179824048550859,0.991458141393812,8.9,TRUE,15,1,50,"ns",0.26164787621142,0.531107767460547,-0.30195655223913,-0.897068330863581,11.3032707859079,-0.0831417630781846,0.458800000138272,0.199267405647616,0.854168580248843,0.249643839013763,0.880960898064034,3.687,2.46,0.45,0.4,0.55
"8","Bifidobacterium",0.445138289952958,0.793416041792041,"Bifidobacterium",200,202,99,44,21.8,79,79,100,42.2,19.9,1,1,-1,FALSE,6,1,50,"ns",15.3699239881836,15.3803667865706,15.3535232715135,0.0333222595416833,2.3884462364828,0.00940380433372494,0.4947010598057,0.90044725797015,0.973980091674277,0.822542486268603,0.963355401506397,44.077,42.516,0.45,0.4,0.55
"9","Bilophila",0.0277239242268288,0.0627463673412011,"Bilophila",11,202,5.4,0,0.1,2,79,2.5,0,0.1,0.364054066459419,0.991458141393812,2.9,TRUE,64,0,50,"ns",-2.06281496788851,-2.04136328323041,-2.11172346348893,-0.132988242546937,4.92480015386994,-0.0232813952455582,0.487400000042027,0.507499449422243,0.907447480340007,0.496872624602234,0.911530030946155,0.009,0.015,0.45,0.4,0.55
"10","Blautia",0.0491847678291498,0.102013415942227,"Blautia",14,202,6.9,0.2,2.3,8,79,10.1,0,0.1,0.458253713166812,0.991458141393812,-3.2,FALSE,47,0,50,"ns",-1.9211456011545,-1.97620016343005,-1.79031482745371,0.226000798762669,5.36488099009852,0.033687851721167,0.48270345936584,0.588126161597521,0.926667759651156,0.533692269688281,0.918676759970588,0.202,0.023,0.45,0.4,0.55
"11","Buttiauxella",0.0158872018468677,0.0326301949467257,"Buttiauxella",7,202,3.5,0,0,4,79,5.1,0,0,0.509499322660709,0.991458141393812,-1.6,FALSE,71,0,50,"ns",-2.07115920542967,-2.10492952602075,-1.9827173489056,0.176181250747481,4.71468119903284,0.0345512918734537,0.480903819299874,0.567444416088634,0.921348138833012,0.568379248369872,0.928365108411468,0.002,0.002,0.45,0.4,0.55
"12","Campylobacter",0.0576461908066015,0.111208412786903,"Campylobacter",19,202,9.4,0.1,0.6,5,79,6.3,0,0,0.484096916933408,0.991458141393812,3.1,TRUE,45,0,50,"ns",-1.89372914133654,-1.84740097902012,-1.99909892355669,-0.219205101366822,4.97315016052865,-0.0397766515324911,0.480000000066773,0.433313256875558,0.867177366880259,0.4855300498385,0.896599243691282,0.079,0.002,0.45,0.4,0.55
"13","Citrobacter",0.165037762499638,0.317656680219584,"Citrobacter",29,202,14.4,0,0.1,20,79,25.3,0.1,0.2,0.0360150202780247,0.572115466371794,-10.9,FALSE,19,1,50,"ns",-1.41118048281246,-1.57610472787117,-0.935098760052002,0.948863920741447,6.90213751861001,0.1303917013398,0.432800000228121,0.129784513665376,0.741974819003526,0.16011213299398,0.781947304832761,0.032,0.057,0.45,0.4,0.55
