"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Actinomyces",0.0627763218823072,0.11587610165258,"Actinomyces",4,23,17.4,0.6,2.6,2,27,7.4,0,0,0.394594007815892,0.973065903035353,10,TRUE,22,0,23,"ns",-2.01296254704509,-1.66014461933483,-2.26418765375795,-0.708349683197,6.01442244910279,-0.094665617908017,0.445349628736705,0.460565396205666,0.921058787470621,0.483347300197508,0.913766639882829,0.56,0.006,0.472222222222222,0.364583333333333,0.555555555555556
"2","Alistipes",0.0490615153210036,0.0901545896785784,"Alistipes",3,23,13,0,0,4,27,14.8,0,0,1,1,-1.8,FALSE,26,0,23,"ns",-2.27756289073376,-2.2506295012715,-2.29710493522941,0.0416158520709793,6.19930635490873,0.00543516023377117,0.497623896900495,0.606631804549764,0.940574806476909,0.578410834766593,0.945059100085859,0.004,0.005,0.472222222222222,0.364583333333333,0.555555555555556
"3","Anaerococcus",0.0260156624171082,0.0510101783152457,"Anaerococcus",1,23,4.3,0,0,3,27,11.1,0,0,0.61440295267043,0.973065903035353,-6.8,FALSE,33,0,23,"ns",-2.29519092285776,-2.42247187002216,-2.18505694554994,0.331601471671831,4.57415701232006,0.069148091731908,0.467073999912332,0.507746484961536,0.929005241201664,0.530648936310853,0.930016393927791,0,0.001,0.472222222222222,0.364583333333333,0.555555555555556
"4","Bacteroides",0.25181042751419,0.444104126227994,"Bacteroides",14,23,60.9,16.5,24.9,18,27,66.7,16.3,20.1,0.77087977258521,0.973065903035353,-5.8,FALSE,5,1,23,"ns",10.8170563291742,7.94593840629389,12.6787319222029,0.858631806484958,14.36274973171,0.0715417614835924,0.455532927722832,0.609040508437548,0.942826055623095,0.634114960272539,0.953633723451926,16.798,17.946,0.472222222222222,0.364583333333333,0.555555555555556
"5","Barnesiella",0.0209362534558421,0.0413219529064929,"Barnesiella",2,23,8.7,0,0,2,27,7.4,0,0,1,1,1.3,TRUE,38,0,23,"ns",-2.37401178650497,-2.33509138262628,-2.38534120012594,-0.0600293862695604,5.388168778455,-0.00913811761573963,0.493885869800399,0.546351840165183,0.935286716509453,0.538160422091469,0.933972332165914,0.012,0.004,0.472222222222222,0.364583333333333,0.555555555555556
"6","Bifidobacterium",0.294709909246945,0.514952928440778,"Bifidobacterium",17,23,73.9,15.5,19.9,23,27,85.2,12.7,16.3,0.480382809765752,0.973065903035353,-11.3,FALSE,2,1,23,"ns",12.2071004011151,12.5131342802812,11.9162724431694,-0.0631365756248661,10.7655659288025,-0.00614031259477619,0.492527174200508,0.803300614252331,0.96060068023194,0.900439070136995,0.978325465161394,15.537,13.08,0.472222222222222,0.364583333333333,0.555555555555556
"7","Bilophila",0.0401920792947368,0.0778160572726849,"Bilophila",3,23,13,0.3,1.3,5,27,18.5,0,0.1,0.7105393369619,0.973065903035353,-5.5,FALSE,28,0,23,"ns",-1.86976581433969,-2.113905806312,-1.67141996826966,0.462544302639731,5.91301787084373,0.0659416615299697,0.462635871010291,0.632381936567306,0.944729485963877,0.52618085713396,0.939559659726289,0.285,0.021,0.472222222222222,0.364583333333333,0.555555555555556
"8","Blautia",0.0260651317424527,0.0511463847554772,"Blautia",1,23,4.3,0,0.1,3,27,11.1,0.1,0.5,0.61440295267043,0.973065903035353,-6.8,FALSE,32,0,23,"ns",-2.33060804766156,-2.45717083399422,-2.21337639725335,0.40193619619108,5.78044526190556,0.0576549535532042,0.468070653406926,0.512800396803693,0.930318723048778,0.590135344945425,0.947023866309054,0.02,0.217,0.472222222222222,0.364583333333333,0.555555555555556
"9","Clostridium_sensu_stricto_1",0.12223166996901,0.220759187856258,"Clostridium_sensu_stricto_1",7,23,30.4,0.3,0.6,7,27,25.9,2,6.1,0.761037533714065,0.973065903035353,4.5,TRUE,12,1,23,"ns",-1.12838472832471,-0.938466705030713,-1.25272844522587,-0.19093987645749,10.4464367442732,-0.0145298473548359,0.48811948450272,0.74938435582459,0.950480186256925,0.681465504187717,0.955882375026546,0.267,2.544,0.472222222222222,0.364583333333333,0.555555555555556
"10","Collinsella",0.0873655260235371,0.167874344549968,"Collinsella",7,23,30.4,0.8,2.3,6,27,22.2,1.1,4.6,0.536867982007734,0.973065903035353,8.2,TRUE,19,1,23,"ns",-1.13457266581961,-1.15893936035001,-1.12352124941778,-0.407973772891697,9.49643467596127,-0.0419754137463514,0.479293958705658,0.676585487060481,0.946133341673187,0.624930421013424,0.94881125113856,0.863,1.131,0.472222222222222,0.364583333333333,0.555555555555556
