"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.00273198348835028,0.00615925933231467,"Bifidobacterium (RSV1)",3,23,13,0.1,0.3,4,25,16,0,0,1,1,-3,FALSE,439,0,23,"ns",-0.980344081968351,-1.09393266324015,-0.874286068847265,0.262472437674072,6.76813457632659,0.037718022439544,0.477936185506226,0.650897910754868,0.984173103463726,0.571617077782594,0.988729405306442,0.093,0.019,0.444444444444444,0.333333333333333,0.555555555555556
"2","RSV1003",0.0104963158588667,0.0212231470657766,"Lachnospiraceae_UCG-010 (RSV1003)",14,23,60.9,0.1,0.2,9,25,36,0.1,0.3,0.147557137633467,1,24.9,TRUE,115,0,23,"ns",2.22501092178432,3.86138160091732,0.640477958385572,-2.1556470391071,7.76389653910842,-0.260130453609836,0.386286494761785,0.257458093013715,0.969784596928102,0.238385516663255,0.982087507802642,0.111,0.085,0.444444444444444,0.333333333333333,0.555555555555556
"3","RSV10069",0.00372408606711211,0.0102436421651634,"UBA1819 (RSV10069)",6,23,26.1,0,0,4,25,16,0,0,0.48690756128815,1,10.1,TRUE,358,0,23,"ns",-0.491344466632013,-0.277711401680138,-0.703069885769171,-0.58301243109695,5.56659555508468,-0.0951932763614837,0.458248474119913,0.51378901799052,0.977789374661804,0.556943336972835,0.990813897440515,0.015,0.003,0.444444444444444,0.333333333333333,0.555555555555556
"4","RSV1007",0.00316399980846701,0.00745974598738694,"Ruminococcaceae_UCG-014 (RSV1007)",4,23,17.4,0.1,0.5,3,25,12,0.1,0.4,0.69572956182308,1,5.4,TRUE,389,0,23,"ns",-0.732413830560795,-0.758050722188749,-0.710229508618918,-0.0299091223244439,7.10482979680862,-0.00329914618751423,0.497623896900495,0.697936024695802,0.986084771755739,0.634821792290171,0.992186322455771,0.167,0.109,0.444444444444444,0.333333333333333,0.555555555555556
"5","RSV1008",0.00636765849771336,0.0148253935568709,"unassigned Firmicutes (RSV1008)",9,23,39.1,0.1,0.2,8,25,32,0,0,0.763996283638365,1,7.1,TRUE,221,0,23,"ns",0.645661880826069,1.02046724824928,0.311598008840098,-0.588124011620064,7.11689552209675,-0.0817397376894274,0.461956523210781,0.582257144517227,0.983229456253711,0.619358859818301,0.992545642290956,0.069,0.025,0.444444444444444,0.333333333333333,0.555555555555556
"6","RSV1016",0.00384678740805362,0.00917436930198127,"Ruminococcaceae_NK4A214_group (RSV1016)",4,23,17.4,0,0.1,5,25,20,0.1,0.1,1,1,-2.6,FALSE,352,0,23,"ns",-0.659062445957034,-0.805829363184765,-0.533526047517269,0.608877557608692,7.3077585638009,0.0765285766250351,0.457569587520614,0.614085857590431,0.984831421081924,0.597977078057941,0.992401051273887,0.022,0.055,0.444444444444444,0.333333333333333,0.555555555555556
"7","RSV102",0.0533285515247537,0.102931145175735,"Faecalibacterium (RSV102)",21,23,91.3,0.7,0.7,20,25,80,0.7,1.5,0.419120072571334,1,11.3,TRUE,2,1,23,"ns",9.30559746424155,9.67959315885703,8.0819310164545,-1.48313355891912,5.53866386601592,-0.220250059405966,0.337635876545737,0.134935613598999,0.96310026227348,0.0753599812123344,0.977347011077187,0.865,0.761,0.444444444444444,0.333333333333333,0.555555555555556
"8","RSV1025",0.000943830994774178,0.00274860748978493,"unassigned Actinobacteria (RSV1025)",1,23,4.3,0,0.1,2,25,8,0,0.1,1,1,-3.7,FALSE,705,0,23,"ns",-1.26829057618148,-1.48196859707456,-1.07529107368577,0.494545538329414,5.52755434600395,0.0733388792314399,0.452445654019522,0.518144195382824,0.979347556385483,0.519855084630889,0.986584227598596,0.011,0.028,0.444444444444444,0.333333333333333,0.555555555555556
"9","RSV1032",0.00284361665592515,0.00810042589508943,"Enterorhabdus (RSV1032)",3,23,13,0,0.1,0,25,0,0,0,0.102393617021277,1,13,TRUE,425,0,23,"ns",-1.21272384291702,-1.01319799897156,-1.42603072604748,-0.64760198479315,5.26621242921618,-0.118443619258183,0.442934784832357,0.417537280613427,0.97045666103377,0.477158361499629,0.975924819979712,0.023,0,0.444444444444444,0.333333333333333,0.555555555555556
"10","RSV10370",0.00300860050522206,0.00768994012867078,"unassigned Firmicutes (RSV10370)",2,23,8.7,0,0,4,25,16,0,0,0.668068612897905,1,-7.3,FALSE,408,0,23,"ns",-0.913784311956093,-1.290660181919,-0.522500243042787,0.850607274369779,6.04981346893359,0.126011214890036,0.437881876150275,0.460902744745004,0.97543928190532,0.450078639521361,0.984475612082073,0.007,0.011,0.444444444444444,0.333333333333333,0.555555555555556
"11","RSV1038",0.0022165381695696,0.00566861882083908,"Barnesiella (RSV1038)",3,23,13,0.1,0.2,0,25,0,0,0,0.102393617021277,1,13,TRUE,489,0,23,"ns",-1.26232075794965,-1.09070219980253,-1.38955254658328,-0.499601048492732,5.55171278501821,-0.0773386735121431,0.451086958421084,0.367623290944091,0.971709142741819,0.537851411828278,0.990788565190631,0.096,0,0.444444444444444,0.333333333333333,0.555555555555556
"12","RSV104",0.0151275031731855,0.0292670825201041,"Bacteroides (RSV104)",17,23,73.9,2.4,3.9,16,25,64,1.4,3,0.541875138827414,1,9.90000000000001,TRUE,62,0,23,"ns",8.8456832899866,8.10271247037436,9.15277491946034,-0.932893853610035,10.3911412148831,-0.0810858005959774,0.466032610008076,0.505441481521292,0.9809436116365,0.671877218773396,0.992161343858059,2.589,1.494,0.444444444444444,0.333333333333333,0.555555555555556
"13","RSV1044",0.0119171851674845,0.0248701360313882,"Alistipes (RSV1044)",12,23,52.2,0.3,0.5,15,25,60,0.2,0.3,0.771466115089593,1,-7.8,FALSE,101,0,23,"ns",6.1225893183953,3.94195858411184,7.83471852324452,1.2190276153146,8.79712353299842,0.136609191839535,0.424304144183884,0.406359852764519,0.975505377012561,0.388143869460143,0.990643611045375,0.286,0.253,0.444444444444444,0.333333333333333,0.555555555555556
"14","RSV1045",0.000522457592345245,0.0024173159363295,"Prevotella_9 (RSV1045)",2,23,8.7,0.1,0.3,0,25,0,0,0,0.224290780141844,1,8.7,TRUE,814,0,23,"ns",-1.43418726425477,-1.30980940489283,-1.56082383188117,-0.516006104073378,4.86281171054499,-0.0888289389605637,0.455532927722832,0.453551931921074,0.970282409985381,0.491427865032967,0.979007890642123,0.06,0,0.444444444444444,0.333333333333333,0.555555555555556
