"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds"
"Streptococcus",0.0848586124105553,0.0335210481921783,0.0528445481850725,0.0284131228350562,0.0432787239592676,0.0559860133214308,0.0674948691925727,0.046028366704242,0.0618011162521616,0.0309131050469545,-0.00876955319171401,0.182147140678021,0.0034341471566782,0.028761030318037,0.128918420831162,-0.00894529398202866,0.192101017238923,0.0639765204991779,0.12539773009519,0.0310273605044069,0.0698579077817638,0.0982378626774531,-0.00793980217749257,0.0279848676607909,0.0349276310255993,0.0232397934325397,0.133576520001329,0.0558107399573682,0.0476106602220683,0.0131952380096139,0.0450170949824276,0.0335555358551133,0.115602898045787,0.150801928468969,0.00395531323293583,0.0465656474924294,0.0419198652171522,0.0543658140706143,0.0487303326539278,0.0620883249467629,0.0069975625170935,0.199816061254303,0.0256878077522282,0.0835577065822688,0.0209248343872957,0.0789748699480725,0.0316982422062337,0.0538271608551637,0.0440888793476085,0.0346869882192138,0.134677082993991,0.0778991593873764,0.0651063725969584,0.00505634248322218,0.0177168761452591,0.0265277977404056,0.0645982667361736,0.0907934325957659,0.0517784308357714,0.0288964363571223,0.0548422237296886,0.0793541018877845,0.0724031278169148,0.0597583703877748,0.0555152039062116,0.0300989714365202,0.0533391474153749,0.0414205825995495,0.0726089727666987,0.180968836419302,0.106668107030559,0.0177010259738513,0.0245028582293442,0.0967069707532925,0.0676432026029999,0.0179651573706009,0.0274735118960279,0.0229800268444948,0.0705288014873487,0.168143858031351,0.137293686596058,0.0628652520387407,0.0227356389452054,0.0204728194724395,0.0396598127206916,0.054017835200517,0.0126280549934694,0.0789198987132848,0.0695367215109765,0.0611771531390941,0.0643462061886457,0.144311591073751,0.0117081523965052,0.0571293850828709,0.00994325174910595,0.0383190920680827,-0.0013751224573405,0.150934183328251,0.0396841547588846,0.00392933902363051,0.051875495512899,0.0506557212350382
"Enterobacter",0.00191850770522629,0.1168410621646,0.0868879620986459,0.0752867187993931,0.0400371529324619,0.0261135473767939,0.121558693645407,0.0434919123552069,0.0340803998080179,0.0426530127327723,0.112260193829211,0.02984693752646,0.0958898298062512,0.0394439770570161,0.0804564520213073,0.0351973869959606,0.0515489701317945,0.022126700142317,0.0511015198242688,0.07199017410382,0.0862155990404783,0.0842165162191891,0.0725390972145786,0.079654490390879,-0.00661602246968791,0.126842337705231,0.126111602047328,0.0480520152369088,0.0575718475619044,-0.0072790059117976,0.115549233404327,0.0247585961470775,0.106975217481418,0.0817447327945605,0.0704013084240151,0.0598778477380693,0.0189082851840677,0.0691594746060882,0.00424568311684376,0.127032677657749,0.00409551731380368,0.0642803150935438,0.10219766370204,0.0873280998886645,0.0668469530787211,0.101726441348126,0.0105361924077272,0.115527753964149,0.0653905017623055,0.0596611308792621,0.0854481653257529,0.0219530179363182,0.108537862596866,0.0865752147034763,-0.00714685414005586,0.0565850326232758,0.0316594213427066,0.19691121295021,0.0371679963235874,0.0870129628376455,0.114933825223802,0.0743790611049907,0.0284743838599752,0.123146109911842,0.0232187062707541,0.0920539087172769,0.0583830250756635,0.0202598836040481,0.139196143763152,0.0343487659537775,0.0929853438549861,0.0452184110704846,0.0244290101427237,0.0616575761573301,0.06761823575318,0.0310613000133331,0.0325182295967837,0.103776022865258,0.0283467430025743,0.0692335585883035,0.026499586060455,0.154527906665924,0.149821977995459,0.0604303473386833,-0.00680216161103525,0.0967408457729888,0.0324153275194149,0.0479859601550941,0.0134887606800194,0.160077884969634,0.0754635539547704,0.00284697797171819,0.112734528157048,0.15606803660993,0.0537818198127252,0.0253626620526134,0.0678094144068148,0.0878500280727443,0.0951534405356865,-0.0144182373816885,0.0506054257250932,0.0462012887430763
"Haemophilus",0.00287401965668514,0.0341618257335509,0.0318064243337223,0.0100195740609982,0.04207723488592,0.0553705761809785,-0.000416952376565644,0.0391389584522713,0.0233423578378559,0.0122845414964391,0.00726902273369633,0.0662388755633634,0.0104172775276551,0.00843860490739713,0.0158787424081546,0.035530349449492,0.0106592934199133,0.00203217905374423,0.0481557761910594,0.0234373243911104,0.00687491505993321,0.0350309079642685,0.0257338247123313,0.0213940563766878,0.0367251547482649,0.018051987935236,0.0171151913986243,0.041038898141488,0.00803722143767452,0.0247912599310754,0.0156383680844548,0.0469119204431122,0.0266867880252326,0.0466518410212854,0.0109476824614316,0.0270829484030011,0.0329720807693755,0.00765707197803814,0.0425651936628482,0.00963079501053375,0.00717718050502427,0.017483325748257,0.0294692174033512,0.0338391149644538,0.0137662853091678,0.059420751117234,-0.00764794238329786,0.0219099634020759,0.00514053114078606,0.0224344393855103,0.0112267617190221,0.030125903640519,0.0134695031648486,0.0258363254809362,0.0543530970646975,0.00440367289149115,0.0841503473717244,0.0141353884268991,0.0249674860246699,0.0263766963845165,0.00690432315826667,0.00915920779124957,0.0502495831615579,0.0324399214422656,0.0217140762861328,0.0304668968064868,0.0375676796433474,0.00608955679940414,0.0181171549832293,0.0242967332748503,0.0953461485040748,0.0411653660994024,-0.00117013845386715,0.0113338248168436,0.0420654011733405,0.037611565261196,0.0089772907225482,0.0169917179172161,0.0147306567066822,0.0488977442323388,0.0700555179867119,-0.0134924675477133,0.0262759938925339,0.014968755804424,0.0419443334944281,0.0360170725482689,0.0335942023904703,0.0253153225547857,0.018893952918233,0.0179184110506003,0.0498880062270308,0.0273769712838215,0.0160576414728192,0.00900373966249069,0.0174952785647713,0.00897667577521354,0.0223303534329652,0.051042971152075,0.0725227427986872,0.0258515378434148,0.0266443384698349,0.0132193745185621
"Atopobium",0.0359583501128948,0.00449167625387205,0.0422855116925326,0.0349521281768586,0.0177402400037014,0.0307852995940949,0.0163223083594716,0.0160945596311179,0.0235248903951576,0.0172838715468444,0.0146743939713464,0.0311767219638473,0.0457427536947991,0.01117306579823,0.0235361924418717,0.0428333661259924,0.0228213399068188,0.0171674010142849,0.000130313061671115,0.00898670009282627,0.0169933376465224,0.0684448542307701,0.00225021263904941,0.0235507435864801,0.0242812959334339,0.0193907596021056,0.0648554877179396,0.0452829118546746,-0.00278608156187118,0.0355991603217527,0.0339089301418453,0.0205320078231381,0.0521787649019336,0.0683473317544578,-0.00155313132803472,0.00859262062469472,0.0108393326117443,0.0344220248340115,0.0437759457830525,0.0423748100857195,0.0260325225955211,0.0242632562279415,0.0141500810389306,0.0457573351624935,0.0168217870708313,0.0466504690570293,0.00405487012585244,0.0253586778558001,0.0500668321509255,0.0103643065530318,0.00117621014637048,0.0206086949130813,0.00549986529650061,0.0716951678056607,0.0360798216845067,0.00600450320101772,0.0346066947174982,0.0955684489349308,0.011866056747215,0.0200156493550281,0.0194424664107039,0.0162201194743679,0.0159098302949588,0.0275661151452126,0.0373333914229322,0.0239302547399619,0.00337793411328383,0.0402383302721808,0.0462663393468883,0.0124115846952454,0.0608459135648964,0.0279897092330339,0.00590265606120273,0.0079467594751635,0.0118478556986704,0.00387194123648296,0.111525023253346,0.022451135171546,0.00669520627993264,0.0502468102403595,0.127248495727139,0.00710312531121933,0.00678746131466397,0.0129202024025991,0.0558177797904769,0.0167070360668224,0.0257264625771046,0.0273451505425689,0.0160095590569168,0.0429775182385453,0.0663693262634033,0.013491620683079,0.0394823783927927,0.0221468568689012,0.00203596528772488,-0.000759447647157121,-0.00519686599688278,0.06058003145872,0.00614987139021051,0.0644912117576184,0.0264346410446543,0.0182942934374715
"Rothia",0.0258341718824783,0.00867611859563487,0.0722156648053332,0.00647247288220563,0.000526988247293338,0.0142809840214315,0.0390273353135618,0.00537927279133707,0.0176570028455694,0.0066920014438394,-0.0146730830507307,0.0507497367842102,-0.0147101389155487,0.0331094864598021,0.00703070104832576,0.0185261268758292,0.01508587160534,0.0889439267663604,0.00648164273340134,0.0315016070966026,0.0314687423191939,0.0638190533291061,-0.021772430953837,-0.00454786072480041,0.0391953693152237,-0.006030168367776,0.0222510934367159,0.0352696873482755,-0.0015799890781376,0.0293446193773294,0.0164966139805584,-0.02419564913532,0.0729631448493143,0.0139146115020971,0.0369040836936632,0.0098159028546431,-0.0113751499572709,0.0283309047995114,0.0444745017871906,0.0264475319556261,0.0523257565399036,0.0247527777142373,-0.0319968182757335,0.0173136285852223,0.00603886534671728,0.0118063757782017,0.00504078160688162,0.00163147803883516,0.0119030253865457,0.0641090220749189,-0.000767492188793131,0.0152524223554929,0.0413147650323341,0.0153800408241358,0.0234301624420681,-0.010473261227822,0.0436131335294536,0.0249673482782295,0.00434922379043679,0.0340184498998137,0.0369753456765976,0.0467976879450221,0.0147223907459889,0.0235030763441403,0.0442882685834121,-0.0139689584971161,0.00640610904000823,0.0562807784219019,-0.00557092893924629,0.0510682786025673,0.0162205451140699,0.00838093773926111,0.030237840905781,0.0540028063409614,0.0564552951027777,0.0147730034596653,0.0262222551310363,0.0440889175295944,0.00959387901742153,0.0351242645769408,0.0623856718616825,0.0133247320087494,0.0280238031030871,0.0402102245124414,0.0041197597326297,0.0237150195040024,0.0399651089933495,0.0475614510505267,0.0144256093725157,0.0266301392635267,0.0278275475917923,0.0515764241155446,-0.0153055845592613,0.0237758216700264,-0.0102943098391989,0.022094740717595,0.0211458093163714,0.0174841040292641,0.0408215771646669,0.00243400542153731,0.0257532551692807,0.0204708222136012
"Campylobacter",0.00220730713397214,0.0242351102576444,0.0286365382215952,0.0580336049692865,0.0386925030072843,0.0665374589450339,0.00259968126493287,0.0159140932312256,0.0425337813544665,0.0207782936319022,0.0578773407324926,0.0434975195484505,0.00916674282722255,0.0257651026981561,0.0105284663303379,0.0283120381511896,0.0396796822541786,0.0196715744521394,0.0199149784014481,0.0164766357396335,0.0169730539733953,0.0280154500968661,0.0489973831982308,0.00644361341889581,0.0497709276819045,0.0432220825625525,0.00311667916468296,0.0788755331822532,0.0397979628667461,0.0092006349497303,0.0194381126015261,0.065020114240649,0.00723244976941152,0.0158275766517956,0.0741261688030092,0.0511623098677753,0.0300561279887806,0.0459013862498514,0.0354266917636535,0.000872453466977645,0.0302302901133795,0.0264527334852252,0.0365221292378664,0.0015214801068267,0.0437094137985785,0.0611904494643895,0.00517688694395695,0.0503183894691254,0.0793234900423959,0.00457932541466402,0.0264278296847195,0.0179463398451823,0.0478352036320039,0.0318029385818058,0.0112496087876751,0.0155689212383852,0.0489013953068072,0.00784335236325328,0.0264734676602737,0.0287917938866757,0.0595462475785789,0.0406103285095009,0.000314833874736257,0.0180598098953259,0.0512119823743367,0.0159841582714811,0.0398767930009131,0.0527962209092321,0.0105027861266421,0.013895337303792,0.0564750314105085,0.0461074940644186,0.0445632664093035,0.000243946537636825,0.023094672516928,0.0705215127952575,0,0.0287165498540601,0.0615072893421248,0.0320387427724304,0.0254000980455329,0.056677052221596,0.0318998912012466,0.0195212536657848,0.0075697352180831,0.0562698950919454,0.0341177611302985,0.0358168105458284,0.000438683097485302,0.0494087577113718,0.00701475407188173,0.0354876492942852,0.0502625662520229,0.0236395817061093,0.0170817417212201,0.0165962394994091,0.0405306609277485,0.0409387816328169,0.0346657977101369,0.00970917995698444,0.025639318753676,0.0196925126461692
"Gemella",-0.00953965492029027,0.0354968267203571,0.0224912654542608,0.0396050561795798,0.0416743956872997,-0.00192176553389124,0.082982766352605,0.00717607335629957,0.0236168312888045,0.00565760538209339,0.0798766128014262,0.0291779148829475,0.00158560115023063,0.00302493401470937,0.0418991458254605,0.00835907788880544,0.0276606054345077,0.0160602070021022,0.049956540124459,0.0449317213911625,0.0193643870175027,0.0241025562205013,0.030682714723048,0.0325297809854475,0.00358226559887385,0.023333644414281,0.0172583183684304,0.0388604794755359,0.0281611827531861,0.00225604269959297,0.0239298916670434,0.0447245551883185,0.0567141574952432,-0.000899032107908755,0.054613332463985,0.00330526589809544,0.134936003483205,0.0292421249533481,0.00115127757579191,0.0136483908032607,-0.00110850889363799,0.0156195578147943,0.0176080201085045,0.014544916022082,0.0664259284629242,0.0663973840811095,0.00118119655827009,0.0240781699141477,0.0048314885666261,0.00575418656879532,0.0868329965028226,-0.00452170107337888,0.0310530171178909,-0.00204513127583888,0.0286854087099043,0.0260872983234335,0.0169045209297055,0.040729953731178,0.0142607308291074,0.0577309864036589,0.019167848560876,0.0505369008696729,0.0249097017489657,0.0181399600690718,0.0142643780732487,0.0201045554691435,0.00641948130484319,0.0274789110248192,0.10890625132709,0.00809932025847583,0.0146798684336734,0.0143479286687151,0.039595459004076,0.0180829439834829,0.0226306665917521,0.0359617224324954,-0.0191700231506263,0.0279286829689149,0.0159409639222941,0.0608403650946038,-0.00926341444698291,0.0548116660635393,0.0783876204060677,0.034671222123824,0.0153550239553157,0.0442910949603191,0.000366141969684041,0.0604915450926852,0.00399456028125705,0.0148883776371197,0.0960447927971651,0.000102325142278837,0.0249794584530038,0.0353528465524331,0.00508423118114128,0.00444790354660798,0.0389416281214849,0.0551016587108953,0.0234263536869739,-0.0106035601558684,0.02487091063164,0.0229856510944248
"Actinomyces",0.0852128829443431,0.0679959521090028,0.00979555470610319,0.00317009222296505,0.00897999498151362,0.00229167452377673,0.0323617173147511,0.0419301008751546,0.0142959882607592,0.0328034669012885,0.00847292024377585,0.0229375865296568,0.0437180578432255,0.0182240914976153,0.0232041198206831,0.025456677678206,0.0132968911251464,0.0245819064038685,0.0181690683609586,0.000202733332408271,0.00875588517497872,0.0224268289317959,0.025646928656594,0.0537968275235842,0.00230627494041739,0.0297129300055839,0.0341404889833891,0.025514477016307,0.000887295541908292,0.0263703064128184,0.0112942994244373,0.0268884203875819,0.00446660507978909,0.0400297987550538,0.0170214347989368,0.0194365966296729,0.0481309392794879,0.0486590790124277,0.00992366289210804,0.00895827644444454,0.00278185728711339,0.0144904258416246,0.013259401849721,0.032240867162938,0.025406418625514,0.0269193506750289,0.0442873904390681,0.0159812808599628,0.027732759271422,0.0119798241331249,0.0400216991798584,0.0323636758833553,0.00736777609457267,0.04217131901414,-0.00529585013151095,0.0889468188592449,0.00662532743553073,0.00950381143419593,0.0257491671798382,0.0113234943803761,-0.00259439058140802,0.0325599796774302,0.0507414962434571,0.02672069394823,0.00576217625100279,0.012371923814223,0.0570144217663468,0.0410631557009564,0.00502379557367907,0.0160275563421834,0.0100841284776367,0.0235048351887615,0.00372866245557245,0.0369923871246559,0.02754025189179,0.0224303814044726,0.0337492794324903,0.0158262297386412,0.00305567120119815,0.0256688439755373,0.0131952715929005,0.0466548645774854,0.0407769843668723,0.00376757981460979,0.00880806372876651,0.0235591065047953,0.0205734009745539,0.0209809752648087,0.00473888480880578,0.0304096895186045,0.0130839716905526,0.0214098797727161,0.0521444691834292,0.0213760718593894,0.0108836596391935,0.050625577311504,0.0325286800349372,0.0176107662896652,0.00388159438784033,0.0169307288821051,0.0152645732434599,0.0106767651485819
"Prevotella",0.0123515435261882,0.0106485546474835,0.0108787374636067,0.00212406993581481,0.0186673174850667,0.00607592001220548,0.0090662483919528,-0.00103301726748681,0.00212579644664138,0.0469080657260637,0.0028124352695313,0.021061887462878,-0.00464831768991332,0.0183417037728821,0.0205633337731728,0.042074191674461,0.0227627194271099,0.0014922292575259,0.0136804711038141,0.00165459990929668,0.0213686711349835,0.0248632463560064,0.00181093871460879,0.00536688572657974,-0.000553992023592269,0.009656997166483,0.00849334648194617,0.0119998225332861,0.00479118806858164,0.00389554058481176,0.0248769841593867,-0.000871316497286439,0.014589540250245,0.0083343856663316,0.00802998993413804,0.00783238397585807,0.00236456843608673,0.00681859272049713,0.0175603850915262,0.00156766759276207,0.0222872370129512,0.00165027460759029,0.0175436444414591,-0.0021534382733868,0.0113618683185202,0.00467803559982143,0.0175461731571991,0.0157171286197913,0.0183413163040583,0.00339565694656861,0.00946770943637593,0.00692661773328817,0.00228113498689227,0.0248727269800734,0.00925351490381009,0.00298955803954249,0.000633150420767566,0.00243748124217661,0.00914376075256304,0.0447119429841266,0.00556345246533694,0.00477877365513443,0.0151782106602381,3.24645487564866e-05,0.0192699823532984,-0.00200864765520821,0.0228733663306617,0.00211040002283624,0.0193955443967839,0.0272486575297529,0.0100735103457953,0.029246023607103,-0.00289004847750851,0.0176095264192317,0.00521165095764563,0.00297858789342367,0.00383344994128172,0.0301155961905972,-0.000724947139372997,0.009997964220967,0.0155421996193262,0.00853367443115152,0.0188893162264764,-0.00528329925424594,0.00493331793432805,-0.00571499628100043,0.02825866598578,-0.00209270221195651,0.0229947668856445,0.016418499143679,0.0170031573476851,0.00250082393865553,0.0310182094228138,0.00854284522370553,0.000855762986445068,0.0312253754273055,-0.00204930463556255,0.0312203326635031,0.00180858529816387,0.020490774086832,0.0136941057673847,0.0135474459484498
"Acinetobacter",-0.00170809564759089,0.0239062921401358,0.00515108102404972,0.00384035535975269,0.00902356290833164,-0.00400543362174961,0.0470425086861527,0.00406326226176096,0.00649208838314503,0.000563754075967867,0.038434455992225,0.00341849592800226,0.0100254868885514,-0.0081510449638951,-0.00302647411813644,-0.00746646814196899,0.00127366077154318,0.00991880763400502,0.0118184879225316,0.0331450482437801,0.00425606120959037,0.000961710306505962,0.0186311406674319,0.00692370939362455,0.0100118349970786,0.0187268214721517,0.00920939244876083,0.0288974717075522,0.000831797974707973,-0.00830343036741617,0.0120767797207235,0.0144697720771581,0.0147132776096554,-0.0020547304359365,0.0160211313344786,0.00885433656969037,-0.0014455086695186,0.00981857350688264,-0.0068367909723151,0.016309051418989,-0.00474976526959134,-0.000122881207795785,0.0143223664309697,0.0221207842730722,0.021566170141604,0.0173830042818066,-0.00493825300665053,0.0125580780529941,0.00513908886677961,-0.00124458278818053,0.012006223160099,0.00557021361559091,0.0125897157211674,-0.00180247280302021,-0.000184916599255101,0.00104348025800738,0.00289169838977806,0.00983595899639196,0.00699278427561437,0.00324458290431194,0.0111215966527475,0.0184980763697712,0.000704959102938124,0.00923390679763153,-0.00819834924960857,0.00554341603867771,0.0010118852522584,-0.00421000817540244,0.0468023307699063,0.00996948815598995,0.0091302325902739,0.000332052456697621,0.0144706009790846,-0.00350264366891207,0.0302244935533932,0.00465805073783388,-0.000357728902732657,-0.00552578595660389,0.0240534849589393,0.00746575303190935,-0.00292771011856993,0.018031362666834,0.00359475746188369,0.00112296413702339,-0.00486922661566986,0.00465699062053899,0.00360438372159337,0.00598197320007208,-0.00610849873407235,0.0232877371722644,-0.00431364358467253,-0.00316020237911444,0.00787775096969159,0.0368966912988646,0.000153297285863913,0.0801665061474295,0.00432834531930369,0.000399698745657251,-0.000659260180407978,-0.00479938828750966,0.00751797685990932,0.0124670077276941
