"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds"
"Bifidobacterium",0.0425210848462893,0.075603079262395,0.0550309472624537,0.22910695161756,0.179347666020135,-0.0498174536364045,0.237927563826493,0.0837730849942994,0.0543094568073557,0.0271238112455199,0.0566108117315612,0.031064656265874,0.0567134012339441,-0.0101118565958234,0.23765683610483,0.0976050407767359,0.0303521282794012,-0.0476073045441793,0.127096577407911,0.104871731803733,-0.0400169925730671,0.0843099454042489,0.526610166905236,0.1006227357506,0.00355873351469901,0.0663827474809064,0.0337330295355837,0.0997695423324139,0.104169396652698,0.0316109225947618,0.0145904495815305,-0.0447127259426454,0.110653404435279,0.107409161546602,0.191104823985907,0.199435063308928,-0.0603611719438565,0.0807616963343854,0.233419382853107,0.0248019542709727,0.0522580115577577,0.0308801180310997,-0.0036626699940584,0.067767538904587,0.271655099515163,0.0508191607757183,0.0109791059053851,-0.00479552583433435,0.0666215391352886,0.161578458791855,0.131468433874456,0.019680913238883,0.00996871030806522,0.0867668471675494,0.123864101290099,0.0257938827226518,0.0079789520200716,0.0698378879089797,0.00774332180145797,0.366042504346285,0.035793731324019,-0.0422210116006207,-0.0417299987719076,0.461161120786446,0.0741216673957353,0.0391879099322187,0.00651819012057901,-0.0451938102440929,0.333863311873627,0.0818100633580342,-0.0667461339385849,0.222663117278974,0.0718126850985101,-0.0488231144622005,0.283335930175709,0.0603522608854247,0.042314077376439,0.178424051442382,0.0628026683561539,0.116953228187707,0.0449779698511258,0.00419130703501564,0.170622312936683,0.0116892403913251,0.145142435591258,-0.0453835082077066,0.105602921950974,0.245257780718596,0.0434032816560877,0.0711814767478861,0.182448105423992,0.0814259421897161,0.00289451154126854,-0.011707211339792,0.107516234607259,0.144428526596694,-0.0229964707997646,0.0920091028292153,0.0361596456263903,0.152903897486199,0.137809078851687,0.0960130496952643
"Staphylococcus",0.0275673216059139,0.0205948692291741,0.0119797912666446,0.0126981064594484,0.0212145223540267,0.0100374249450347,0.0762469667502676,0.018086544064367,-0.0133167734030546,0.0667635669993296,0.00685679234849968,0.0440246508103641,0.00267594247653549,0.00638025303884317,0.0543391457249108,0.0299999262699717,0.0468281707182229,0.0426810067927195,0.0159746087228351,0.0188287681658315,-0.0151893169055045,0.0440514981228196,0.0850878966178341,-0.0136226028172807,0.0392145843175058,0.0239109144952476,0.0581324809665015,-0.000504234219755524,0.0653354316605527,0.0047945081156376,0.0595370636623907,0.00140289575577403,-0.00106952423353714,0.0382029190181749,0.0372548090507811,0.0592539457844871,0.00903747497559082,0.0294778959404339,-0.0016492979037045,0.0486648448749888,0.058942086019246,0.00911915153829234,0.0666986285770198,0.0272872110991367,-0.0107304095328997,0.00891411045793736,0.17178347080394,0.0157217750810128,-0.0135528451880086,-0.00101144085821928,0.0181920772563958,0.00047702152027407,0.0161645106016633,0.0192952441851757,0.0590496085620914,-0.00390230239049305,0.0256601512578485,-0.0215357070903309,0.0107693629846244,0.112168467781482,0.0416296861811405,0.0506661751226486,0.012046900757197,0.00122239526300069,0.0129438089221049,0.00842607563647114,0.0187031537407356,0.126141424919445,0.0145331576407205,0.0283150049208386,0.0250439845221152,-0.000937915541051015,-0.00483718569240679,0.0314438435250851,0.0804008753765244,0.0383581626282365,0.030830596587742,-0.0438757040048646,0.0509357104431505,0.036882079651374,0.0373858935064779,0.0595919393602332,0.00010136691334329,0.0495536412516188,0.0175411994047675,0.125982923206178,0.0309513060295551,-0.028504570243913,0.053959203516902,-0.0240175450702546,0.0154491606278002,0.0358873810419048,0.0254914746512713,0.0636629722693252,0.0513548453471257,-0.00804239374598465,0.0987176758396475,0.0650443534569561,0.00868720815260251,0.0271841255119439,0.0340577684809945,0.0320956723123005
"Klebsiella",0.0237492368052908,0.0169569142425743,-0.0123022103778252,0.0489058407687103,0.0151471516774701,0.0436305343943569,-0.00870647175896827,-0.00320869970808483,0.00139022120291826,0.0564955289640075,-0.0192140376712213,0.0108603633425346,0.0900752423897965,0.0555757724596598,0.0142358609229188,0.0152375607247611,0.00293375123643602,0.0870668986879537,0.0123141723209184,-0.0115454977003301,-0.00144493002145235,0.0584078719959838,0.0138033820115223,0.00338367554694967,0.0182513628066619,0.0537049435181292,0.046378295669085,0.020492435818573,-0.00966038608168352,-0.0135236185851564,0.0286516090620763,-0.0234015565390824,0.0971606736540903,0.0126978879810435,-0.0104375787304375,0.00914300725840353,-0.0113226741016294,0.0200304568299374,0.0628019588607341,0.016270317223222,0.0151369855687399,0.000847543451948846,0.0244382788316407,0.0349221050520335,0.0160384253693061,-0.0139060253151643,-0.0103585501362647,0.0251423834800626,0.0569633662293314,0.0199695383553129,0.0214416143119786,0.0215213431751945,0.0228606222064962,-0.0167052730952333,0.0337281273798183,0.0194142395825071,-0.01236782473291,0.00271423914023411,0.0613903754474022,0.0276843673722298,0.00816170111882431,0.0548952361943549,0.0110551147342136,0.0502788745999562,-0.0263972176863975,0.0363548407080247,0.0221078780981404,0.0452906822322298,-0.00276984092731512,0.00249693314424351,0.0467694465010435,0.00110411688340616,0.0688855395480592,-0.00894070354691281,0.0146313963103432,0.0170735824557508,-0.0291827927079954,0.00373338030405623,0.00531120695851729,0.130689445629801,-0.0195992806035971,0.0228640686521983,0.0356392443178814,0.0734984968362549,-0.0113111177568926,0.00986524994681431,0.113541087436275,-0.000363302228429694,-0.00146305200599185,0.0173877459228863,0.0496149977052439,-0.0203220344115735,0.00409677303613839,0.0215984397639871,0.0492358979432614,-0.000365828953930252,0.0224001563369674,0.0104549950624091,0.0244443963502063,-0.00152203413147533,0.0178762517215397,0.0337710907972753
"Rothia",-0.00768487134430501,-0.00150361791569108,-0.0121644920872971,0.100460405868179,0.00851108025556297,-0.00504673927786718,0.0118486353834823,0.0138272955147512,0.00804113350991751,0.0860985786296918,-0.0175004514538446,0.0119492856179852,0.0174411178149843,0.0595910709393722,0.0288992242953348,0.0348909404557883,0.0634157208876158,0.00501433659845518,0.00451908637424693,0.00676718562233851,-0.0233431979497514,-0.00176664286816588,0.0560108555579301,-0.018899728054436,0.0639420342811779,-0.0220563647766147,0.0426553585045299,0.0141659694365515,0.0177639845243013,0.0251770810306563,0.0250968879444918,0.10383246047268,-0.0138003798971982,0.0475483040806678,0.0452484986937466,0.00893747589158638,0.0377291442506445,-0.0091002938640217,0.00384760062360259,-0.0012125262297766,-0.0277125245643215,0.0370082553407889,0.129026324462116,0.0361433096782673,-0.0212011612565365,-0.0130717299072752,0.0386706854915518,0.074093848753107,0.00818407182551908,0.0358760018844855,0.103196648423051,0.0770292586979363,0.0463429961100402,-0.0251791625001393,0.014679626265694,0.115301824161005,0.00712846899901187,-0.0250641969447644,-0.0043495490205893,0.00863704789237597,0.0062049161319042,0.0479657754094107,0.0159629427435524,0.0392016586709571,-0.023330808962978,0.00967316767570549,-0.00725290654307663,0.104520097968155,-0.00488794791450956,-0.000915293802516889,0.0191565968920803,0.0947996061408038,0.0102625026399752,0.0207538491406005,-0.015547759305793,0.0575961298912789,-0.0152869068163488,0.0611157721827319,0.0706575111196429,0.000293932849035149,0.058613675661639,0.0373344104419902,0.0321848901676847,-0.00544484022292299,-0.0091282832610432,0.0611473049272625,-0.00180468354713265,0.00762964375634812,0.0202498938643837,0.00629883971823393,0.0210432333267433,0.0517416019800528,0.00638698827308708,-0.00993585303488024,0.0120478629287136,0.00266926706469333,0.0512134409697412,-0.00590613938886842,-0.00149383487930833,0.061238044203385,0.0166189602865894,0.0294205739696542
"Enterococcus",0.0171238347252312,0.00563859027020123,-0.00525696405293098,0.0384881323142378,0.0229279923226292,-0.0178812710875138,0.000597798220316556,0.0556705390014982,0.012409823527591,0.0382792390218796,0.0275962297967408,0.0212662743155412,0.05679504087059,0.00401338015075634,-0.00358808271040029,8.66838079930842e-05,0.000326374079015634,0.0105930454255693,0.00510456927739057,0.0171003612365034,0.0136333751175785,-0.00370466513624522,0.0302057118326567,-0.00634088794344102,0.0501225735556988,-0.00297321164005079,0.0235520449972307,0.0234502329399153,0.0212299442174993,0.0128272596872475,0.00847087013622832,0.00556424932514137,-0.0171079147013751,0.0374726060056219,0.0364163908750783,0.00882721131662203,0.0650079598895926,0.0136143272605412,0.0141708114986332,-0.00927504534240352,0.00846318165430871,-0.00122842103914304,0.0268829341308387,0.00861478136702151,0.0338928394336911,-0.00512771522288549,0.00478766670796531,0.0172751469475246,0.0105098528365681,0.0199480038394537,0.0226060898302884,0.000196539406983516,-0.00828081718327817,0.00746915321745491,0.0583956058141411,0.051695342423246,-0.00494890096552434,-0.0152150689720426,0.0377197165114838,0.0160967818357345,-0.00968522881769518,0.00725215024681011,0.024910271135389,0.0416890127553862,-0.00840589136948235,-0.00652023615293989,0.0250983950864791,-0.00332527457435463,0.0148063310746498,0.0203751639404506,-0.00932964721602546,0.0269420945004657,0.00181898504785625,0.00730126008124008,0.0182349834256229,-0.000867268457082018,0.0284216407347504,0.0146960829773558,0.0451142072336399,0.000954813211168977,-0.00149555025961056,0.0123844120166097,0.0176864710125647,0.0194664990449453,0.02042338076623,0.0452265515832243,0.00554627148138946,0.0321966873677407,0.0190158590645348,-0.0197360270944792,0.0477960486482439,0.0209477761491622,0.00765789903758087,-0.0111701117941983,-0.00192665288658827,0.00292378799799068,0.00771123825766504,0.0402189770506623,0.00175936469595325,0.00519027531880457,0.016412698244049,0.0203522360585306
"Streptococcus",0.0294696778323511,0.0601825619538682,0.0258397791841572,0.0316585677513234,0.0293499564255099,-0.00171637818478111,0.0269053006920725,0.0328458783606869,0.0141533765798728,-0.00358221209668407,-0.00555133743778369,0.0147008242336052,0.0121889886454733,0.0259902088667203,0.00195164471036827,0.0218147686921114,0.0231298999191495,0.016505049728703,0.0444116971755837,7.91887432954711e-05,0.0206096396376176,0.0621876757933359,0.0321598369677073,0.00176755063522188,-0.00815100719207017,0.0241035896739581,-0.014684507071838,0.0799141334193399,0.00841631223433765,-0.00164204352848197,0.0392622691718722,0.00417952114977618,0.0133092980641238,0.0128118864626107,0.00173706180963396,0.037452327571497,0.0563946871792275,0.0101750311307675,-0.0027550622032474,0.0306794761429899,0.0396846245859135,0.0186020173071825,0.036398979484749,-0.00331539503285501,0.0400030145058592,-0.00288893251170384,0.0550011163577605,0.010004528167206,0.0312646049701367,0.0424007168199994,0.0095762876722398,0.0456287843754445,0.00101793757007941,0.0781249224601396,-0.00159397395341651,0.0544688466714877,0.0183607143240211,0.0307795166393508,0.025287553744936,0.0358042521083654,0.00508023727031341,0.0343407571501811,0.0236735135626813,0.0344867240138402,0.0294719524308738,0.0130111951457315,0.0330633684303664,0.0281388691071386,0.0656955080810788,0.00469609662622685,0.0105076240419842,0.0291210238237157,0.0356933020813439,0.00217808157445634,0.0147296219350402,0.0253140277783982,0.0123866688434846,0.00702966233041504,0.0326573208495791,0.0317838443469636,0.0109457730072308,0.0600081823900007,0.0231223137322431,0.0375163343480357,-0.00737564360092589,-0.0129345407469075,0.0974882721977607,0.0192769921033449,0.03019914845897,0.00278808971007734,0.0130896301167325,0.0488100241075703,0.0389873520133327,0.0160283939643415,0.00064585612486647,-0.00499492423411128,0.0189565372452368,0.0151221388910644,0.0117782868571496,0.023954499608114,0.0133865195838303,0.0173876118298951
"Enterobacter",0.00581231892224372,0.00334867151204801,0.0114558055184085,0.0120614179309722,0.0102152341734194,-0.00239868904508751,0.00248250242982902,0.00119103209188567,0.010932574929034,0.0123236498871332,0.0113570069473412,0.0201161552322459,0.00350575866923872,0.00151061776473415,0.0111729109649426,0.0120417168869945,0.00682706771168413,0.0054410708772121,0.00741035234154208,0.00449467794423961,0.00413339926699378,0.00728779794577186,0.0169957749372824,-0.000315990263770652,0.000573818972657677,-0.00200550676887246,0.029804104551835,0.00280130036248825,0.00278196894406315,0.00248590845729203,0.00556134165425761,0.00129458552298487,0.00134372400795515,0.000910312677368793,0.014914008094997,0.00815202650404721,4.08549610502626e-05,0.00447756282150638,0.0138709677716973,0.00926184355551748,0.0108267717731262,0.00226643200351561,0.00582138244955764,0.00991624955845018,0.00423717755268092,0.0130118959332583,0.0212388458653508,-0.00573676181600451,0.0126827914067322,0.00306522607728644,0.00480594032868555,0.00702044009005338,0.0031499544482752,0.00362697942640687,0.01290290743823,0.0214005138192157,0.00623257287127426,0.00549834053909837,-0.00078546426850774,0.018943730494029,0.0104737540570504,0.00153858801542871,0.00439304940220041,0.00188099916056636,0.00439747198175203,-0.00141166452320398,0.00259633696960162,0.00864426859162053,0.00606338900639847,0.0205118408595552,-0.00306546166324591,0.00165286226743729,0.00328870372226069,0.0167453794288923,0.00179922829174885,0.00858507052515747,0.00879373826622416,0.010412065999594,0.00682378317933968,-0.00193736601729924,0.00159224035664021,-0.000222386859898783,0.00946239134795164,0.0193844921007217,0.0194349403135853,0.00870715445342629,0.00421432552758221,0.00691242001490414,0.00764029208788078,0.00824134497279498,-9.15283445075847e-05,0.00646328868622678,0.00313025371156952,0.00530203719592807,0.0262322844727504,0.00847371571764031,0.00766778614195488,0.00347859631990241,0.00352380340796124,0.0115078229223177,0.00973893307048153,0.00755681670066487
"Veillonella",0.029017652325062,0.0269462940824678,0.081024647984587,-0.0201713339058839,-0.0209847934271056,0.0184516047934641,0.041987329514001,-0.0173856008005683,0.0144243173882191,-0.0273262469386497,0.0488993417693163,0.039131114224858,-0.00525996452659781,-0.00613972638075843,-0.0261105019418289,0.0214965688522127,0.00681163724321911,-0.0303592177329228,0.0578452133777067,0.00437003404263734,0.0546617711735801,-0.00609092094829082,-0.02627507403503,0.00616743330200534,0.0421112108389092,0.0016863305171021,0.0143249122015017,-0.0144504583602095,0.0223318892240333,-0.00597730216556444,0.0712421259774752,0.0238372052357287,-0.015589145696421,-0.0142457791688367,-0.0050058462636806,0.084984724190175,0.000188314159066213,0.0440918616348664,-0.0182290951929891,-0.0161859059613031,0.0429443423526162,0.162300084737527,-0.00648239944947447,-0.00909406873090244,-0.0214049153914636,-0.0198599710861067,0.0306022268638839,-0.0397207638137832,0.0761751491127159,0.0859557653355729,0.0233071707485054,-0.0282996534493187,-0.00677531932356249,0.112744317136118,-0.0269626642249836,-0.0244541143537133,-0.00738190500082768,0.0204445870308519,0.0226303509425667,-0.0261342208232939,-0.000327937873172685,-0.0101186735318582,0.0705554278934595,-0.00913044238896066,0.0515902516581588,-0.00268432680951172,0.104999486265136,-0.0212407497124867,-0.00181671933643425,-0.0102816533716822,-0.0238898744432154,-0.0350229994822614,0.0089707010584422,0.0465374913008983,0.052579173083525,0.02927850315633,0.0859305960871168,-0.0316401160870489,-0.0236062339838622,0.0281178015033274,-0.041163689733239,-0.0147578772186342,0.0784174877628603,-0.0217745665271752,0.0767877622949718,0.000848793415439344,0.0275652094057836,-0.00259129166935841,0.00716138084889397,-0.0204875389179159,-0.0168408887786511,0.0485800565002086,-0.00632931387809599,-0.0248412650748686,0.0304999179544458,0.0402542966840845,0.0515056259938286,0.0238705850546244,0.0163914359098495,-0.0384660430475763,0.00633421421182501,0.0380350214559709
"Anaerococcus",0.00677687939462102,0.00842977494109266,0.00548225186265152,0.00800082933212691,0.00170374577863008,0.00809627437221086,0.0234270901739709,0.00569063860711578,0.00175214752243421,0.00167013335997637,0.00833242543881021,0.00138491848485054,0.00221959835865987,0.0297821746001866,0.000773293507847754,0.010627236153357,0.00263817707593079,0.000130997797768911,0.00690070758357899,0.0109646830799321,0.016322183703707,0.0150852030855867,0.0119106598963408,0.00162130269814308,-0.00195959676085632,0.00144852188027935,0.017870641139033,0.00926798794596645,0.00229361749452496,0.00118172185959298,0.0122409412015322,0.00364428209969846,0.000524936133726362,0.00473977320797586,0.00651589154475095,0.00113419271941174,0.010471815029097,0.00674636627581158,0.0123854568054384,-0.00136895766346751,0.00295250764215527,0.0119863824987057,0.00442773044261632,0.00501725888476945,0.00220224514766418,0.00409625389393836,0.00411272426352939,-0.00100855609431626,0.00957206964892373,0.0126294588093104,0.000796892442541867,0.00603332236667723,0.00283833996267624,0.0165545717313751,0.0101620540115108,0.000377646641759226,0.00641524193481445,0.00606510095408761,0.00464783055921862,0.00360752794752097,0.00680441336978438,0.00597154660337786,-7.6179419713573e-05,0.00978038637151091,0.0170725005119011,0.00589119467867138,0.0116597208868893,0.00764562051546717,-4.57016975733444e-05,-0.000869927961946236,0.0103813815775806,0.00126277992008335,-0.000279552410753277,0.0193273047428496,0.00161606618734399,0.00411083311879372,0.0136019840222178,0.00309050248436214,0.00118375337785521,0.00333917680381647,-0.00123026199596912,0.0164039889947318,0.0031945805591913,0.0141464088875013,0.0206240520965067,-0.00160344779841257,0.0225523776575409,0.000736568015621187,-0.000255494991562261,0.0186860907393844,0.000494346735917404,0.00195857341842766,0.00526021224118895,0.0206211801690135,0.0105928002033333,0.0119160724486596,-0.00162549584069458,0.00474338609991434,0.0193791853891358,0.00295685367497999,0.00610499064388663,0.0069310854184124
"Proteus",0.00135201141836191,0.00794173780792278,0.0129616843131154,0.00430690798501958,0.00104094776813142,0.00136223302855883,0.00915208503822769,-0.000123659594689071,0.00598666600547358,0.00765355032511285,0.0153899571183055,0.0101405286310522,0.000595672462050586,0.00946057783051391,0,0.00293791015376761,0.0106081647025626,0.00985630697300287,0.00919105196756911,9.14981346887914e-05,0.0049455182525678,0.00268241281341717,0.0175568821973393,0,0.00801848253629983,0.00105160853375144,7.85847568952408e-05,0.00507136379943704,0.0155099622596824,0.0104138338380814,0.0136244578359158,0.00238770559094351,0.00657873856536145,0.000329607933850963,0.00450966765484008,0.00308190696860278,0.000338169802467388,0.013687959549865,0.006582748642226,0.00976936705372923,0.00820610193972491,0.00136310938687546,0.000159546086448913,0.0109786801143383,0.0082945257835052,0.00438135970564194,0.00594644468989019,0.000342567054268881,0.00496952049907886,0.00936397510069928,0.00617262090096931,0.0027707237250737,0.0119516800075272,0.00261907425920552,0.00376291955222236,0.00973899410043453,0.00119515585497867,0.0122095668603998,0.00420036242116129,0.000494155112599745,0.0111732190473014,0,0.00763740290070417,0.00163875091397994,0.0082180705308768,0.000205397436388713,0.00602088212263893,0.00896910745036906,0.0040033988410519,0.0106621426139857,0.00706840487130979,0.00037012274442706,0.0115913063521419,0.00586453807674857,0.00399829485286009,0.00153082239340106,0.00891280941510318,0.0079259965512203,0.000252053384601559,0.0106105220900003,0.00992354352058593,0.000781575507146864,0.00287379153287471,0.0126043575056704,0.0023779597602849,0.0131796699242534,0,0.0119629590451846,0.00942488402387731,0.00508410871099665,0.0080977369887998,0.00245589482349358,0.000455854498056466,0.00788584579409904,0.00883114770887619,0.00551031794465057,0.00353289778867793,0.000458742814877023,0.00799334385647458,0.00808958435150611,0.00606423767396485,0.00375778970767712
