"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds"
"Klebsiella",0.0178537023244044,0.0804885007091306,0.09670716470744,0.201229174785973,0.0441427698713156,0.0942619391533569,0.210981897078165,0.0471447272486567,0.0103301715044115,0.179470224970545,0.051142001635647,0.102999126112443,0.0267066482846661,0.0701447437733076,0.0743197986613482,0.00359307804167538,0.0666958762684081,0.105980541990015,0.179158556976738,0.0710167779741846,0.156904414932614,0.0170409781858075,-0.00324410549135177,0.113346798203169,0.161297385404327,0.0992854271688604,0.0123755379771741,0.182770055838055,0.0569577161499499,0.0344214275382053,0.0445045825422126,0.0814816429421297,0.0613497535698713,0.138235744404193,0.0996067312694858,0.0354044302655462,0.082266443495077,0.0237347964660613,0.12688633681412,0.120243286634943,0.0904442138868821,0.0383024854057787,0.00893539536758516,0.110146956070718,0.186794834284229,0.109164012162027,0.0865138666965995,0.014223394948519,0.071605347896851,0.0963276244961815,0.0476419248014503,0.103423885351306,0.100971329726306,0.0331745281074863,0.0318241782169975,0.0781127049936288,0.157747346568296,0.0217280973815635,0.116495255058843,0.0273296666380464,0.155199174754034,0.0481874242254834,0.0916833581012551,0.0245777187691902,0.0578439860107368,0.144273886591919,0.0560643196639209,0.0229345351604064,0.10308539483432,0.0620026033729194,0.351121636122956,0.0533009491771737,0.101265305765546,-0.00452247565490864,0.013921863197596,0.0239141454442728,0.131832271924583,0.0709428821964101,0.090527334864473,0.0720869389616986,0.0550983734840337,0.238132353609882,0.0623640188999937,0.047995605287207,0.0155095718186833,0.0415941164652185,0.05539763450016,0.126623082238796,0.0772918358109533,0.0823865460141698,0.093244828192395,0.0579491063028418,0.136599121478239,0.0649697552912663,0.0104541002508203,0.0521730572300517,0.0473015577257635,0.0526321068314894,0.0379678624231187,0.256536824626745,0.0848768570106589,0.0663662482864997
"Rothia",0.0286356441945172,0.0424668126394574,0.0428704058817135,0.138114956444016,0.0592657704734046,0.064588189061757,0.0887143248553121,0.0183290378641239,0.0643708435187215,0.106244468622936,0.0498830340377698,0.164949995791181,0.0171455680489471,0.100616277494874,0.030388176510443,0.0704998762412918,0.0199065674326139,0.130604708801436,0.0655297637555992,0.121350432770568,0.0656552750736181,0.0836867377859794,0.0408588571106037,0.0706221752585684,0.0463850782436261,0.0575991417205894,0.0916562783246038,0.0576548762222045,0.0691897256794343,0.0541749380091752,0.0657092631019523,0.011336709813103,0.0358331386403005,0.0946345802148937,0.140076199364391,0.0554332914446219,0.0772463810332782,0.0789207397917695,0.0635695531407463,0.0352468803960813,0.0354069702626439,0.0489973486830486,0.0844246264190268,0.0609364263025136,0.0629354558956899,0.0407385047839819,0.0804699581622068,0.0405241447721141,0.0271947572725015,0.139644288737623,0.0622944473649285,0.139131310072471,0.0270935197267884,0.0930716501467798,0.0705450739196823,0.0788067712476411,0.0507632588731831,0.0809466155723936,0.0456155414673569,0.0415860918541612,0.0700715730893938,0.0927888861878477,0.0366498966960771,0.0661110498541608,0.0618647383724403,0.0113417778920971,0.205846596918316,0.0580531276419892,0.0375490890787235,0.0331786085362076,0.146373694891277,0.0303997444201956,0.0679535233400463,0.0873791976474719,0.0793280674463939,0.0273688637777365,0.0735395445742561,0.139934034973229,0.0818275830268844,0.0660013140374871,0.024696082987517,0.0987704900760118,0.0659004273004607,0.0862082932136392,0.0998419457087574,0.067081596229219,0.11079328584044,0.0279307026184225,0.109968556674553,0.075572545916014,0.0266439202867877,0.0802588021430406,0.0549529168614236,0.0813771306743724,0.0463076993395348,0.0701914363335563,0.0783307056848513,0.0662508754985521,0.0981976670788954,0.00659784969896671,0.0688267811926791,0.0364688074867663
"Enterococcus",0.0825349707387281,0.0183624342780605,0.0197205171545998,0.111949138974907,0.0621706385719538,0.0560736332511478,0.0180298240705557,0.0524157975527521,0.0294825449131222,0.0610137887737494,0.0289389869257114,0.0502306372147388,0.0351380478667447,0.0909917948117382,0.00547276818018826,0.0709728388897041,-0.00496870381086562,0.0494418976756317,0.0319523204716135,0.0893273687923804,0.0450436226466492,0.0119966236986037,0.0875440553766315,0.0263994880645879,0.0365998452440051,0.0553221517159684,0.0869851521440556,0.043301818062581,0.0109599574976998,0.0372998790000186,0.0383117816322947,0.0566696350698428,0.0533139741091862,0.040117652204975,0.028828413165458,0.0378670440762473,0.0989294794213474,0.0294831793989506,0.070881491797752,0.0300499830802014,0.038712764814647,0.0792613541097939,0.102380685192299,0.0253895304947622,0.067082526644341,0.0160961044546664,0.0130641838095188,0.0734646449067057,0.0464146799182954,0.0525998921078887,0.0545966128091519,0.0433754390980604,0.0384257374082553,0.0226731337896993,0.0491437999971252,0.0542953789558229,0.0324518810160781,0.0224442894181166,0.0286729679418633,0.0272556616916949,0.0313225839241356,0.0162493704989273,0.0666815892633187,0.178086020943245,0.0432851495173509,0.0108751941086969,0.0665846544970411,0.0766745090334125,0.0443017993739796,0.00795332389133812,0.116096831827585,0.00055429329565178,0.0318438789304936,0.10428204201723,0.0657408152675558,0.0353754090405562,0.0468487500521196,0.0480645565906179,0.0134306152641864,0.070336681985484,0.0101071665247244,0.0568141916589123,0.0710806214904117,0.0302231019900976,0.0142154451544996,0.0319549557649896,0.0547096513006312,0.0618246164800055,0.0326923584468841,0.0524599362739477,0.0313729455743607,0.0281009326466668,0.0235257086493715,0.0494597337407387,0.0819743625009444,0.0163753938510477,0.0365218034355419,0.0228372566238145,0.042627165528607,0.0878715501864076,0.0485340915013266,0.0251071798252473
"Megasphaera",-0.0050827444724061,0.06245154417041,0.043001178081301,0.0395271656279277,0.0345265309076772,0.0285967578001413,0.0455754483849052,0.0335258229247972,0.0184128670002107,0.0262817053527384,0.0201868588147688,0.0255749681872443,0.0356003834600643,0.104559683577927,0.00131111093555231,0.0480679051779869,0.0262939820300289,0.00822024179027106,0.0353922084576379,0.0996362827247263,0.0330702171843541,0.05605560657554,0.00651664593445886,0.00367856431694491,0.0496702461950764,0.0178655240562199,0.0249307552491156,0.0312999527099672,0.100941336597245,0.0196941467976233,0.0723098344438135,-0.00122665290460708,0.0285775509263896,0.0125795625962398,0.110634934631855,0.0228339582440997,-0.000181637275791124,0.0327543172509501,0.0310020828626708,0.0838923434055375,0.00751203369985426,0.0393853716915804,0.00714897814186388,0.020030946035503,0.0767617569200891,0.00917240649099032,0.0607051088874833,0.0663946819685802,-0.00625386900034809,0.091481430933146,0.0127367541455369,0.0512258988592571,0.00492523263878323,0.128428442592633,-0.000721533619355358,0.0131931915670009,0.0373950130303701,0.0384753733010232,0.044096214772774,0.0234743003578382,0.0652511802341982,0.0108844715236822,0.00727755729176252,0.0559420451098679,0.0411261885753436,0.0550060307544302,0.0282374530335164,0.0238399035109884,0.0455272706342265,0.00143383829581762,0.0664252210531517,0.050105853938399,0.0208016258813255,0.0239642489969671,0.0165383436676827,0.0839793828488244,0.0160346101327849,0.0393642059005772,0.0385268337646429,0.0154639558369535,0.0480531992606447,0.0231447648461474,0.0408468851868635,0.015008711120143,0.0425838757444588,0.0142551209271596,0.0699510038977292,0.0435611831787314,0.0268573283942702,0.00626904483912333,0.0843769378107626,0.0258683452868213,0.034903307574764,0.0211617667217605,0.00693595494672511,0.0117997612870321,0.00342846130570574,0.0635688743133651,0.0146834175094952,0.108911754102409,0.0427953105775509,0.0384554218190136
"Lactobacillus",-0.00981874018837182,0.0292840499831324,0.0132949077888333,0.0169784324185686,0.062035516164081,-0.00815744282432075,0.011163235591584,0.022413518899254,0.0368879875686865,0.0536208083080329,0.0060260415638546,0.026906918307293,-0.0169483865399212,-0.00967687925069328,0.125695257115696,-0.0157198698727264,-0.0170512170870062,0.132184975466057,0.0697311299107915,0.00937676012652374,0.0705776371414855,0.01806359919082,-0.0135367237515401,0.0140068207131031,0.0346524281513848,0.0187317869291078,0.00736892188385717,0.0721234053603674,0.00743624125324711,0.0351197194659763,0.00700212593798915,0.0394464873557149,0.0192298490939668,0.0525245808346025,-0.00325769817767102,-0.00153879129145503,-0.00220675924016563,0.0799726350785299,-0.0160466751264973,0.092703904910669,0.00282311457740946,0.0587542705676459,-0.0258068301103296,0.0689537520879194,0.018980860854083,-0.0288038056632682,0.0692904912029175,-0.024135697636822,0.0241675731676853,0.00154530333516958,0.0284293755248139,-0.020032440385772,-0.00529008729199119,0.0966161879509515,-0.00334202864550221,0.0225786060772521,0.0740051050912896,0.0100521079123806,-0.0138731155278578,0.053164030865614,-0.0216254402591599,0.136623862102753,0.0175308812087954,0.0157650519660875,-0.024899003608812,-0.00655308748409251,-0.0170355615382302,0.00079884295581867,0.0754533306904704,0.169866448959269,0.0184335241226782,0.0625872845985499,0.0299833666973309,-0.00669524659833477,-0.017012695493322,0.0516842356895864,0.117763368573015,-0.0141463176810953,-0.0270896528031922,-0.00554662378713846,0.028710291363503,-0.0193215993508461,-0.00557725260960413,0.0830674120526044,0.00586269615399723,0.00121491240838044,-0.0186921735021724,0.0183700181876268,0.0185898854233409,0.0253253198624962,0.0224580799232081,0.00932267578169575,0.0101312319960354,0.0409452052243484,-0.0273879026270491,-0.0186033693206929,0.016419531609191,0.127000695125129,0.011282366878375,-0.00691622465617857,0.0299793438638659,0.051372271351829
"Atopobium",0.0970447484587798,0.0428938406831131,0.0484231600994976,0.0158335674907461,-0.00751663644535855,0.0237937330495337,0.0385431709842774,0.0558629733003593,0.00724654764353334,-0.0100298333822606,-0.00375252848903734,0.0619890041357288,0.0356837238639234,0.0074803585695782,0.0584697626551563,0.0813331173679143,0.00632910216686365,0.0149252159507517,0.00708931778575923,0.0544629022350217,0.0271806730445835,0.0466444928354631,0.0476453677071041,0.02748384207752,0.0037535747267573,-0.0158923153911618,0.0895666380372927,0.022485874319089,0.0832721888808833,0.0246232271884495,0.0600061812232184,0.0149313999663046,0.0178004706850571,-0.0074992354009054,0.0192595542794547,0.0488654158812725,0.112046568863592,0.0823356614797312,-0.0302655273406323,0.0134441224305126,0.0680463608787813,0.0258846285272321,-0.00548029255237468,0.0690794227426242,0.0654508794506962,-0.00551700591420926,0.084008330673755,0.0871228385506004,-0.0194122788745255,0.035508665571746,0.114088721630179,0.0139158361866304,0.0162012509710876,0.0884912549130265,-0.010302930515203,-0.0170241092734361,0.0151813766588505,0.0381163475804926,0.0429189213363997,0.16790363234949,0.0586306300310946,0.0209476805113726,-0.00353302462249062,0.0298852342178279,0.0615545983962956,-0.00681271342426283,0.0171988526971192,0.0459155331275496,0.0063049229352505,0.047985832513161,0.0490305141362795,0.0898053285416474,0.0095694330629571,0.0513612598533276,-0.00995645542872425,0.10356282759298,-0.01361046925274,0.00982699242351422,0.078138253675178,0.032637986150187,0.00271745125762791,0.0648702247379008,0.0527724945596263,0.118647967404821,-0.00456685333031714,0.0317103422763889,0.0388840235249256,0.0399881714325655,0.00456503342312789,0.0242630239414099,0.0195266067825984,0.0123689851701593,0.0133046468692815,0.0624857432178199,-0.00496565983403002,-0.0155142747430475,0.274881283849159,0.0627132462700694,0.00744249667309309,-0.0150364707929307,0.0273471461079757,0.0427449611602123
"Escherichia/Shigella",-0.018568858851327,0.0172717412193425,0.00393381142379365,-0.0169803181700009,0.0437877602027617,0.0280974583402603,-0.00775505898949273,-0.00899161742005339,0.0724885526272273,-0.0202552697040865,-0.0217863470062101,0.00834149965778877,0.0159355297185346,-0.0286855290754322,0.12454125049244,0.0104969626249868,0.0157216347534587,0.0114494026160602,0.0329112467371813,-0.027392647974977,0.0232865196109441,-0.00312795652428167,0.00705637071175859,-0.0324571487576379,0.0542986729101683,0.018598902046,0.0144167701864885,0.0097422011476789,-0.000548881735437095,0.00692777739350918,-0.0406142428253491,0.0297601639572687,0.0689608838172624,0.0119061295875273,-0.000837381389425483,-0.00933207397612097,-0.0466989871461978,0.00948611767350881,0.0122035522291337,0.0384164339417372,0.00421837522546015,0.0124339135741101,0.0615338727236083,0.0234351880140711,-0.0166070938401275,0.0270496892263285,-0.0236450398259394,-0.0309232131579816,0.0342453754132422,-0.000797965794213733,0.0937042542017582,0.00260038264495203,-0.0256260043140728,0.000478167629994482,0.0685047288783278,-0.0125464856125763,0.00800968616310945,0.105938910963066,0.0509140064017074,-0.0395207359530574,-0.0211791680335408,-0.00487531968643339,0.0390576802221744,0.0599344000689173,-0.0167828055614848,0.0132186151578435,-0.0181025678077858,0.027189978960519,0.00806325066674154,0.00680335230311177,-0.0465935624941685,0.0993137105441305,-0.00413778496508136,0.0396594768408055,0.0500558053479904,0.00371497316567288,0.033715116570518,-0.00532753959997495,-0.0514006244197525,0.0728584160373167,0.00309039186884697,-0.0331942394180608,0.0405685871176685,0.0349105317605308,0.0123793168448668,0.0214381408176578,-0.0322300727023034,0.0438503544828945,0.00118872683958233,0.0112829377648582,-0.0249007246388547,0.00907954849670467,-0.00537055167062697,0.0274644719757155,0.103900772199343,-0.0110538176721882,0.00935036758636064,0.0139321439249412,0.0194598067175087,0.00312367524166399,0.0237343499670361,0.0444580107605208
"Erysipelatoclostridium",0.0872337401156541,0.0339781166384484,0.00210459147725709,0.00309598432401355,0.038344465796237,0.0446707911670417,0.0423144539084747,0.0156674246007623,0.0169935993140538,0.00614890857935461,0.017314191132312,-0.000252692551589664,0.0384420501680968,0.0344894948350627,0.0262612467720723,0.0587813053611194,0.087985007044957,0.00681702028941579,0.0104719933458239,0.0149459556902939,0.0152568569357077,0.01067802764532,0.0201330724830396,0.0536286131286963,0.0207067411734307,0.016309446517101,0.0133024604369066,0.0330342596513151,0.0393879766023759,0.0168083430930756,0.0339839107497753,0.0171675226313677,0.0531032021652879,0.0171333835074621,0.00599980829601373,0.0207574004709167,0.0178337363742328,0.0594771189520423,0.0317387781416177,0.0106760345675817,0.0139650221663438,0.0918409623348262,0.00562504882819814,0.0147222362447772,0.0196869709211246,0.0181885297375575,0.0258554689951015,0.0475896554191108,0.0249627148323394,0.00973786512506733,0.145425105468054,0.00164684166642952,0.0130521870007692,0.0105234295968877,0.0185191450219893,0.022061078191721,0.00502592206193732,0.031137859573814,0.0489109867571999,0.0114106955287339,0.00689308914346233,0.0212791582954141,0.0374615865779274,0.0398336662969529,0.00451479275214295,0.0177433142312001,0.0276332253545982,0.0153241249305158,0.039915045044202,0.0199936998665762,0.0488835434646563,0.0629624513331455,0.0529322831602755,0.00799877011123645,-0.00325354225891157,0.0158027363596623,0.00266672745710075,0.0447899436670675,0.013840809348457,0.0732406110786397,0.00297554811891023,0.0328486511987187,-0.00211763666841191,0.0676931812172656,0.0284841532101917,0.0496448505960875,0.0055248776314462,0.0121537056331962,0.0878834267079929,0.0152444897838749,0.0335460372702704,0.0196622494859594,0.0230916081746739,0.040592800283853,0.0045724755014036,0.022050583659398,0.0263786204748714,0.0585122147035699,0.00245654476152967,0.0594267850385571,0.0200734822768725,0.0185956620320096
"Campylobacter",0.0171770485615372,0.00832021174121323,0.0125955441955167,0.00950044014286442,0.00576918203503519,0.0207684951289936,-0.000785883900796797,0.0163428368610462,0.00665168999569655,0.0172374619796879,0.0369331828890452,0.000941404799236946,0.0192668886076441,0.0233248223616245,0.00500686662922267,0.0122695448566399,0.0170153287314346,0.0148187572957833,-0.000772204145407675,0.0521708434952814,0.00170979384911354,0.0284597569624099,0.032832220960677,0.0142725878892436,0.0049955345776616,0.00128260748716178,0.0118802271679388,0.0226077185202741,0.0217220245054626,0.0131180445236753,0.0291406334561127,0.020362287985503,0.0141485034949052,0.00078246575617408,0.0178353755151842,0.0139134556788157,0.0221928503499229,0.016656382246391,0.00861255879366787,0.00238486895406508,0.0148077513087725,0.00954752600021633,0.0172513048901567,0.000864354293250539,0.0267031153480761,0.00841810094241464,0.0051747917079838,0.0225170118249441,0.00925632771745703,0.0111443081102028,0.0151597336153444,0.00427401727820847,0.0391595952489682,0.0215367910872506,-0.00042652391096584,0.0052571870066581,0.00754637584546371,0.00415329500541983,0.0250787063314615,0.0179625087393981,0.0135920143083951,0.0239921509179227,0.0155207344356401,0.00271252646222829,0.0067675537254989,-0.000925208701287329,0.0143906465369924,0.00406896822553986,0.0265186931782286,0.0543443978844558,0.0124864964712949,0.0207760918915485,0.0270688602672118,-0.00175809198996899,0.0155491052840083,0.0230051656812666,-0.00011264385544353,0.0144398638105572,0.0323356363681984,0.00525362460353312,0.00963948870440883,0.0362521375287607,0.0266094245616947,0.0114909494283581,0.000673903264346153,0.00757188271092456,0.0017986949528945,0.027256467423473,0.00475709764502592,0.0319239564280231,0.0115420755852358,0.0175599981521561,0.0182491582300447,0.0164918528360168,0.00439150930314638,0.0322008955619183,0.0165263795857253,0.0293274557238785,0.00113107223171576,0.0002127503627112,0.0146509193426124,0.015848983182295
"Megamonas",-0.00408775247803542,0.00676541281407257,0.00728917274194902,0.0443910529946284,0.0145293708351137,0.00332556232722602,0.00596133256847782,0.00299385544600299,0.0287203949122619,0.0192387825458555,-0.00381311265034216,0.0284549224096364,0.00861328215378819,0.0178417305079697,0.011094820625354,0.0138357560575877,0.0156608293578499,0.0139451865787012,-0.00226220519043073,0.00866495581178017,-0.000413270866849766,0.0150370775708216,0.00132168359444264,-0.00280187602471507,0.0371007236108474,0.0223341243736083,0.00367006292041727,0.00860416250428301,0.0144546038339142,0.00515850594205856,0.012508872805414,0.00699651245344724,0.0118482238109596,-0.00145342175678032,0.0222665568183743,-0.00293179845118204,-0.00169951457152313,0.0169346191378096,4.87565187907903e-05,0.0307325830656537,0.0164793829718706,0.00541039038064964,-0.00204356068201434,0.0267076096717514,-2.11371694195625e-05,0.000337250688922679,-0.0021782694237418,0.0217863413533495,0.00381865907928914,0.0284747727123919,0.0437525807672364,-0.000818807006305418,0.00277411926712465,-0.00141187953580914,0.0441563193385347,-0.00302458711665238,0.0310994780132635,0.027186996894762,-0.0062901050290985,0.0238136200272952,0.0337865355596642,0.0402041111772332,0.00307197970197643,0.00383706631631138,-0.00200009503109414,0.0624399787273244,0.00124066107371935,0.0057237705427447,0.0101634919920355,0.00442146794827522,0.0149047585831156,0.02401183064587,0.0154663295595963,0.0109571484349594,-0.00551835100242519,-0.00107809796691656,0.0467216821255224,0.0443772217134348,-0.00414540965583694,-0.00183058695490451,0.00170055926987167,0.0226764208890638,-0.00580546175522311,0.0389335481073095,0.017490774738928,0.012677319416317,0.00497146584558596,0.0178938325475401,0.00577046367926069,-0.00110642372888953,0.0247947459939723,0.0125549280555756,0.00163917358296188,-0.0021664935253817,0.0280249003122359,0.008733637754558,-0.00221265874150945,0.00686310999959112,0.0813039927853813,0.00312107461084546,0.0143906317528405,0.0144519020935351
