"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds"
"Lactobacillus",0.0308529615936066,0.0612108550956874,0.080450856267045,0.0286300045016842,0.000651913350865616,0.0791618622018149,0.0173905559780054,0.00899469546696486,0.110533314756078,0.00595689930286633,0.01639975986405,0.106985301597997,0.00363104221700256,0.100921100391805,0.0178021603331901,0.0245322301702359,0.0750687244866647,0.0168958198316106,0.0768852989188139,-0.0014864979279043,0.0589831127594716,0.00342193417088403,0.0735344086733415,0.0621717613108096,0.0291109390837008,0.0134978412452393,0.102227743761575,0.00433433310136516,0.0426225675382136,0.0384747787126614,0.092177735884706,0.0219515250757996,0.0314350919628178,0.0108023009527252,0.0147571505790186,0.0156309751199258,0.0258124180541531,0.0341063488726706,0.00871834123354695,0.0593090886781613,0.00943104336287446,0.0714028861405691,0.0245981010083458,-0.00492110465009762,0.324831483234181,0.0107371210318743,0.0079554342519692,0.0140670447199366,0.0455519297201217,0.162743511095478,0.0255294217055177,0.0185564192834175,0.0563730864543076,0.0500481630173869,0.00488451177733421,0.00774516244907546,0.0118995769659434,0.0708315677955145,0.0661161989096685,0.0851452626656428,0.0114658538331133,0.109414562319881,-0.00684616681371773,0.00540274029085905,0.0855807889298484,-0.000559122497694675,0.0282068103508474,0.0468620311166784,0.0945683882318922,0.0228504158892522,0.0261721969450226,-0.0104629781562223,0.0110142372829717,0.0317148071189028,0.174111621486228,0.0306496694909752,0.0427024220897565,0.00430993581402496,0.0325320055784185,0.0718777590770934,0.0464583468377377,0.0103614382488866,0.0059170077288299,0.0186780916919683,0.0756788319820751,0.0377598090164679,0.0326953385151766,0.0321384552020411,0.0125724279131574,0.0864017567209456,-0.00101893960166124,0.0691852187091935,0.0109415424352878,0.106666165234149,0.0112764500100489,0.00988892257378915,0.0313577870240986,0.029482311999682,0.0288319842513086,0.11269515198412,0.0691326988482404,0.0792907494149323
"Enhydrobacter",0.114312115163751,0.0518322633064571,0.116949697850787,0.0514682903193616,0.0355605350798567,0.0837073851316449,0.114687903634286,0.0232947717196971,0.0266535252471413,0.114592673508465,0.0186986280374955,0.0673629617114701,0.259223348131451,0.0435441947945109,0.0739949761397571,0.0232983416051386,0.0185526421285104,0.234762423926162,0.0522798585251613,0.0865159914625999,0.0662135668358167,0.145737621121297,0.0344058328638628,0.0609833756530567,0.077023707202241,0.203232192591913,0.0794557709766731,0.15007693630857,-0.00160449002349838,-0.00280618474345954,0.0170169165881984,0.103681939750843,0.0468155739025133,0.120664696460543,0.0871805309294264,0.168703522069455,0.00404815472653633,0.0130203130870183,0.0991384538154372,0.163329850559329,0.0901522013544685,0.11169640655779,0.131492435029183,0.0133654338594468,0.00515694706154847,0.0624473508575156,0.0240528757698374,0.0756448867851667,0.128529889720075,0.0404402682775699,0.0807975455138195,0.107795287318962,0.0639897156364686,0.0143465605265382,0.14673761925839,0.189949001639432,0.0458713720339673,0.0887899747397431,0.0898214536573147,0.0143604074395599,0.181745007804044,0.0845256890723661,0.046864235785154,0.0797933984592582,0.0289989986038932,0.0567482481192537,0.097464766720484,0.0969122168261838,0.198681293112682,0.012055490164041,0.0634473941914735,0.0149304222406391,0.0890490796786782,0.216229159727647,0.0420752650129516,0.151410523704696,0.0670728494554199,0.0243218561377999,0.0774283651989564,0.0247888167939188,0.0331736308179115,0.059492858108272,0.0339143575270435,0.105443498124795,0.169642534575468,0.0524123321544785,0.0805315462223334,0.0697237644817497,0.0864179369915827,0.0675973209540389,0.128172013625925,0.0384130218011259,0.0716372113951984,0.0617528475782266,0.0632272772941704,0.00984581546047237,0.0711587709942588,0.0884909059770294,0.0859810656630372,0.110319633208592,0.0680396329391178,0.05194806671813
"Paracoccus",0.0625454757008057,0.144770039462267,0.0483877227252145,0.000486226750883339,0.00508738632088173,0.128219167291761,0.0801985169222774,0.00226739951518711,0.00421004789906991,0.00173249844427059,0.00562176334341065,0.0487408270811344,0.125380045731689,0.0646048913618719,-0.000206176761451475,0.00316099567175298,0.00951910183269611,-0.000757934015086527,0.0657963255620712,0.211498076717527,0.085780242313293,-0.000495562746548019,0.028111490715327,0.0417604987343956,0.0604072796096765,0.000780033794787291,0.0589928772307226,0.0378253098298598,0.0221572089310986,0.00432583393937159,0.0796238171746007,0.00877705041538988,0.00283160065642176,-0.000762439873389438,0.180265706591337,0.00429216385483788,-0.00238206066229884,0.0837286824979278,0.0653922287681362,0.0519823430683401,0.0552385057695868,0.0577335931934971,0.145866998260725,-0.000733820655068937,0.00623231739604229,0.0145674158916883,0.0089326425896633,0.0440925773759502,0.00173910813990304,0.137561256584741,0.0231064670261176,-0.0004291016426097,0.000145221891293417,0.0973989534599554,0.0543508198248774,0.143995387050736,0.00801789445087569,-0.000296097617700493,0.0137643671184495,0.0585908570251821,0.0637806258344944,0.00700194999043579,0.0100440159633038,0.00966215635932533,0.0499720388947356,0.0671393213602691,0.0723284132767203,0.00908061438119653,0.000441447709602391,0.0228364447827179,0.0610096712947067,0.000102411942847841,0.0426836256633247,0.131269340399792,0.0596003083319025,0.00555664513117568,0.00141117931867673,0.00496737630557952,0.202764218127502,0.0484537547552887,0.00546194123124731,0.0600211431247414,0.00329244332927133,0.0764363468760325,0.00417758778564962,-0.000198382986841466,0.149037169313998,0.00220830608434343,0.0685452156068887,0.0691609887360231,0.00215485191268229,0.0828516060054339,0.000108282052004177,0.118989843895309,0.0467839844208086,-0.000176570005895426,0.0294037041908418,0.0400005418217527,0.064444465495427,0.0542651229899148,0.0563539214728918,0.0581795612214975
"Roseomonas",0.00767635653650768,0.0763767517377837,0.0667423851855043,0,0.12535448601306,0.0645536296227503,0.00500747198696636,0.109399009199105,0.0019692338182564,0.00278794538675027,0.0103839045948712,0.0781459631697066,0.0636866878323619,0.0715657635752726,0,0,0.0996422288119649,0.00277454919971704,0.092847197702938,0.0909589094215187,0.11152322231546,0,0.116303613684395,0.0579287240617272,0.00292514154597404,0,0.0928091333615925,0.0562555782663126,0.119408880814331,0.00127361551473055,0.0977068846670141,0.000331280120537116,0.103611392468386,0.00349390811412036,0.0095513755585797,0,0.000287421976043604,0.0949973100362018,0.0820022066945277,0.0752881689403971,0.094861446854545,0.0745104835810548,0.00333810351316705,0.00353133404908116,0.00147802336583878,0.121105921103898,0.00176144808661792,0.0796496946790589,0,0.0605315876295807,0.102576299828464,0,0.00154937270553798,0.0968166063417254,0.0842358538984833,0.068523568019702,0.00241397635201418,0.00298126019110962,0.00999729920428519,0.0781332356991119,0.00305661100514234,0.00190190403865463,0.00741355007778454,0.112148806477261,0.0662197771912822,0.0827133970217365,0.0803600026895296,0.0130187721804619,0.00400875423223462,0.00198781697817995,0.00531142795477661,0,0.0594352853263809,0.0612836733473967,0.10499973474053,0.00188656164416932,0.005102679687916,0.124105122545099,0.00349657081137643,0.0590415643572331,0.00402265049001821,0.0731914206937305,0.101962324092189,0.0951162849632377,0,0.00900278560057824,0.0720594119142085,0.0014491776578384,0.0879953198614476,0.00338096991406128,0.00165643019764339,0.00580072417492257,0.00556793543942202,0.0646374238182835,0.0692562126106293,0.00905091311648833,0.0025503440692203,0.0595913262934506,0.00245087112466264,0.0690851366910696,0.0453244777728505,0.0423182200661232
"Acinetobacter",-0.006805418313362,0.0337504722210348,0.0204005576555578,-0.000642568795300683,0.0670459174150383,0.00103230896540546,0.0362319626340019,0.00700860272110751,0.00717614710105573,0.0139076896598212,0.0222016629020016,-0.00439210675109204,-0.00781702888987458,0.111044119841606,0.000856897743948068,-0.0223158518308753,0.0579540059314936,-0.00336538944359708,0.00833751584569685,0.111800442692304,0.0154032298125038,0.000495157456061814,0.029627733485193,0.0174777396071525,0.0343368653818755,-0.00266444747589506,0.0724773194024692,0.0790208320770741,0.0103926813142693,-0.0142611601794612,0.0146661785384544,0.0841385128103508,0.0392080357344073,-0.0109615655832848,-0.000538442125677688,-0.00219648574361898,0.0414145028738227,0.00936295662924024,0.0551657024267283,-0.00589733510082588,-0.00511028187181205,0.123261460871676,0.00928042606304444,-0.00629217845416257,-0.00965098151258135,0.0130874668058901,-0.00110164594366354,0.102720218787924,-0.0108396545269894,0.00545814905026764,0.0184045814283184,0.000926501622015593,0.0188957083259279,0.0304224197182629,0.00143937461621983,0.00524424845981136,0.03039355860243,0.0034384249651489,0.0293512388616005,0.00495887752504961,0.0865188247347435,-0.0139710884652829,-0.00641347169553533,0.0137108092826746,0.0539589790114456,-0.0136580783557497,0.0895520678723283,0.00116531979787284,0.00772440763296613,0.0358697603816926,0.0300756570577752,-0.00400496999422,0.0642866729212583,-0.0134131030875762,0.0686677176218981,-0.0190857548983702,0.00402994089342753,0.0277571591559237,0.00948703738559532,0.0638696583044357,-0.0150888499168689,0.00220776812026121,0.0904479903130746,0.0443916842049958,-0.00359489251366198,0.0007921229416413,0.00359510826762475,-0.0156009792526077,0.0441178447064418,0.117367688225847,0.00118077162731713,0.00840750742496679,-0.00112103407715275,0.0691063440763993,0.0175085671519187,-0.00561152883631211,0.0207656697765033,0.0257450212854239,0.0370880970808343,0.0252566937078601,0.0294180233528707,0.0391842225118644
"Granulicatella",0.00838962909629761,0.0701229737623076,0.00639887367845715,0.0422699803884341,0.00268727974649572,0.0364796699951559,0.00646840614127245,0.0246018645687273,0.00473593980352953,0.0390935597404593,0.0535298409943445,0.0187282359729911,0.0234292795810594,0.00442749873972787,0.0056381127387669,0.0202133092504301,0.0906068941848646,0.0182612539634612,0.00123450061450939,0.0105889001941001,0.00844619439867716,0.0153497493223391,0.0667440417349515,0.013674253432794,0.0484197242614228,0.0437137445659791,0.00376332764715274,0.0642456190458817,0.0543561773227569,0.000199994292729769,0.0036569762490379,0.0218540852024158,0.0607499342720027,0.0666334810292454,0.00454814964485429,0.0719587567054128,0.0065778427144776,0.00941990552982063,0.0200358410259998,0.0102551213871583,0.00908355899892966,0.0233763712008864,0.021707728729451,0.148528320337054,0.000125026171126151,0.0483602232219118,0.00580905900135729,0.0368028094110284,0.00220805870691214,0.0231989645871845,0.0567943109944581,0.02198795765514,0.00337984838395977,0.0200316043778991,0.0153274902698927,0.00247671565390157,0.00978593776179035,0.0192301109649179,0.103800377804697,0.0131762194878806,0.0356533557396876,0.00634545616369673,0.0150606834614791,0.0144171938749543,0.0341438367462919,0.0196552313174994,0.054344543919182,0.00862784716912742,0.00679213994298249,0.0235276047357553,0.0144280574455609,0.0185560635613733,0.0108493999982924,0.0234636915145713,0.0382960188259294,0.00789778880614617,0.00633694937736759,0.0342276473690287,0.0258720142405787,0.0791695735425981,0.0019930688864917,0.0381576689235494,0.0405134030750113,0.0320754860239381,0.0285185930174909,0.00414303503083046,0.0853159234029028,0.00914673607395172,0.00882191651447106,0.0477323518607202,0.0151144920644715,0.000361505404808018,0.0119286939333664,0.0681014838023763,0.0317340298412385,0.00899475254131863,0.0161825335503086,0.0153665919961279,0.029123137637186,0.0328177334297937,0.0244599142260945,0.0202098258492291
"Ruminococcaceae_UCG-002",0.0093533755917223,0.0195550690694911,0.0468870657557172,0.0489506879929023,0.000859555348513743,0.0229103604662304,0,0.0358801837289473,0.0403691723209827,0.0585774934323342,0.00783583401410127,0.00235418174763591,0.0356349085550456,0.039934613666991,0.0177053838280474,0.00167358915176955,0.00125335494817416,0.0261279944164251,0.0602975787541379,0.0273427900927719,0.0610445623906202,0.0511335809477989,0.000131575259374155,0.0389815657274284,0.00932125747818311,0.0227633132521329,0.000430363447562243,0.0259345428386976,0.0441192994460306,0.0546413709930393,0.0378873658342326,0.0389174384305173,0.000843527250522098,0.0386391135356109,0,5.09781113455739e-05,0.0370600139629967,0.0242881116672681,0.025399100183225,0.0353256567476138,0.0115641936316404,0.0347957850901368,-1.49762840270255e-05,0.0672860181062126,0.0530337965058738,0.0622895827589843,0.0226298590987259,-0.000245482760674014,0.0101669623390557,0.0230563464680567,0.0370378536386103,0.00476595544784292,0.00109680964890383,0.0725686648522174,0.0254889396753422,0.0327030707624165,0.0331004511222283,0.0385477485218939,0,0.0327777037735602,0.00912742880604168,0.0208674217013472,0.0583327803757234,0.0168919498700689,0.00200478453831541,0.02857862701302,0.0403011418730029,0.00753832124117237,0.000101926560953602,0.0162301592551021,0.0188874481305402,0.0701725646829459,0.0319610432463819,0.0305155588115708,-4.36944090258703e-05,0.000809370923689682,0.0517690481298188,0.0347813333801709,0.00104511686451016,0.034022532433064,0.000904604065169552,0.0491955689705401,0.0277097562269707,0.0111767927574956,0.0108536093504927,0.0451748276640408,0.000979442516937687,0.0436339023102844,0.0270743478832558,0.00359227256399658,0.0338627568987865,0.00151675272658949,0.0592309869579453,0.00256430345082499,0.0305958288650557,0.0517584434313686,0.0153139220244196,0.000202193905836878,0.0116978883908731,0.0337414042341494,0.0234563595587243,0.0185076490342739
"Chryseobacterium",0.00455850111005451,0.0341810064094074,0.0341375571880107,0.0698867029040677,0.00501672872575482,0.0124091421169021,0.0581497335002623,-0.00924193712367977,0.0139651734442043,0.0128752944763513,-0.00465612971306099,0.0786729345055045,0.0562485580719359,0.000564627363770561,0.0534961391950153,0.0116717771288978,0.00973758049203323,0.0798738102789553,0.0389576789226434,0.0117023449748275,0.0347073371871301,0.00912741225555183,0.0162918622331761,0.0407066006851959,0.0121973842929968,0.0541650656377674,0.065414162436385,0.0592291514222945,-0.000738283420144742,0.00919841790161375,0.00224747649660635,0.00784751408354787,0.0129915083610906,0.0756021139446332,0.0412680752099705,0.0388228168622129,0.00771823882349938,-0.00146904928034543,0.0714175212204819,0.0630581812182677,0.157985881381058,0.00527586755146485,0.0398592156574724,-7.60210375714916e-05,0.0226976958382813,-0.00257709774838653,0.0192159642130784,0.0265883044878735,0.0725157918060515,0.024724406103153,0.023428641377351,0.124942180369905,0.0291370696966295,0.000227042780836653,0.0235128881272328,0.0455816365135866,0.0103260745586529,0.0748962451442097,0.00336608418015531,0.0144280416519466,0.00475964761448164,0.0357192472716982,0.0168272570966792,0.0503721796057881,0.00776693174182782,0.0275039112044879,0.0279635402444379,0.0221363612816713,0.0455213899929238,-0.00299398701225701,0.0181016120103625,0.0164007169070629,0.0480389090927379,0.0313493157621276,0.0142619680063902,0.0399740379503344,0.00328409391513637,0.0171449346897605,0.0300934365298893,0.00927382268426464,0.0767154581935713,-0.00305903550913581,0.00574210597641573,0.037212583618672,0.0570171913775521,0.0581168626238086,0.0341934899583031,0.0259242656312975,0.00292876111540501,0.0235107594056666,0.0094112281760519,0.0223426987335021,-0.0031465096321029,0.0822443061424066,0.0245825305165995,-0.00134627304328952,0.0420297471871604,0.0618781680500605,0.0253243728328645,0.0121609072374266,0.0219877860836441,0.0181156376108278
"Subdoligranulum",0.0749612758782699,-0.00183755549836732,0.000472457344618374,-0.00274004768387159,-0.00272264825021693,0.00641485351083401,0.000251071342537013,0.0107369058636729,-0.00350695783906188,0.0410562293582055,0.0607381269490361,-0.00137571007798604,-0.00110628954359316,-0.0041885541538222,-0.000392062099368103,0.0293670619080893,0.0129426727256623,-2.89016263076341e-05,0.00202260398479289,0.0220093104150965,-0.003657468342077,-0.00181946922957207,0.0193303240221066,0.00690177157311645,0.01837881274011,-0.000268024878706179,0.000459701828828697,0.0646491064541456,-0.00132153583408916,-0.00787440735396415,-0.00121742117619157,0.0288133903714062,-0.000103900290585242,-0.00267151572869477,0.0329294118429813,0.0130903040652079,0.00172527398247264,-0.00397673468513216,0.000548137175095365,0.00473257369908427,-0.0161727005986768,0.0145923397469276,0.000886671672803495,0.00049072111855182,-0.00554519667724444,0.0259370388039787,-0.0165759573481238,-0.000249036480066491,0.000285905147043252,0.0290362149649242,0.00817354593470069,-0.00373192474865126,0.0370902542535162,-0.00395396152218546,0.000807807117532476,0.0359975862436113,0.0283608987823371,1.1553940056055e-05,0.00283457430057846,-0.00826203302048397,0.00837935324755461,0.000363198333164782,-0.00324475279334372,0.0198217516723395,0.00347009252596513,0.00783376042348907,-0.00256600164247586,-0.00290226114082676,0.00976476688997011,-0.00503003409421462,0.00605334251310639,-5.23911327420092e-05,0.0020640969228792,0.0125732139031978,0.039302824354226,0.012496585664172,-0.00143435076060793,-0.000961941735223724,-0.00175137385487392,0.0612073654684946,0.0368737176085915,0.0267351858858665,0.0123358744397558,-0.0059724842938105,-0.00409101902853852,-0.00389150726992123,0.0151865898365778,0.0121715052829349,-0.00183899272498366,0.00366151600175564,0.0184590340847994,-0.0049612500549719,0.00704896731979787,-0.00198642581802139,0.0439025586566996,0.00150732470407321,-0.00493269511605019,0.00168723194195028,0.00852254071469689,0.0143929650025444,0.0140485140811794,0.0207399970644068
"Aeromonas",0.029530741008784,0.00680296782525237,0.00331943333081589,-0.0108537815885453,0.0121624555332578,-0.00604749081114084,0.022335573809685,-0.00865829440881568,-0.00907000020195216,0.0345258346322482,-0.0129342957022127,0.00674676523414933,0.0303907909152634,0.0251884210803891,-0.0168996943586043,0.0122569777603468,-0.00980453130620934,0.00613972961168755,-0.0125523218815343,0.0293846900030682,0.099319267418152,-0.000502377141467822,-0.00851527018294667,0.00295095293515071,0.0148664847089653,0.015223234880293,0.0053676105579837,-0.00110274077085675,-0.000756874957403409,0.0122295875311864,-0.00831097634132216,-0.000105184674822999,0.0125494334193995,0.00868799304613298,0.0141826165428635,0.0181350152499685,0.00302261762046202,-0.0189547011089085,0.0107133770303194,0.0120083124961829,-0.000683610126778062,0.0137690330080017,0.00273346952257977,0.0026291609556382,-0.0122541871229867,-0.00205618146319742,0.0172574243730976,0.00320990034783541,-0.000130772084112702,0.00139887358014819,-0.00770156178369016,0.115511446264319,-0.00771626418770424,0.0038849304676823,0.00674136296036698,0.00887930239927611,-0.00840526273792421,0.00800737945120509,0.000509500802048015,0.0728149988991032,0.0232321001009669,-0.0137830343795841,0.0347185022815532,-0.00500924340541362,0.00609086456140174,0.0231140532841785,0.000140107276434851,-0.00821060714745847,0.0141757020674389,0.00158331325222142,0.0168582232142088,-0.00428413622944704,-0.00155633867588046,0.032435001458645,0.00327676306248074,-0.00920604385522444,0.056966549531732,-0.00945314216589656,0.0275992610724811,0.0047747609224369,-0.0169950795637976,0.0230395937238049,-0.00924639005191753,0.0109351628692331,0.0189312496085976,-0.0131959295287457,0.000827374358529498,-0.0108492243024074,0.0253528009221057,0.0340840517035651,0.000124586981071212,0.0191548936254804,-0.0157883981542106,-0.00807611220348903,0.00559770635098899,0.00301485456291768,-0.0100536923909242,0.0100536973324086,0.0181318341687716,0.00900437748247755,0.0132252211174985,0.0190733640208788
