"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds"
"Erysipelatoclostridium",0.0383904405088723,-0.00221645873379886,0.0341003605675807,0.0386331884862469,0.00864125845196846,0.0160732969034606,0.0497560686901504,0.015156399890056,0.000378108179425891,-0.00644416740005993,0.0199407397992877,0.000266623365163324,0.0517338193205448,0.0237812055054047,-0.00153520913590632,0.00332933175735945,0.034501457655884,0.0469264780071683,-0.000856367957794464,0.0547707576623445,0.0147962417963208,0.0140157068367704,0.00252964912178709,0.0556715900195014,0.00195506785841845,0.0151237509728732,-0.00556435581839548,0.0114809723247941,0.0865861256151046,0.0132278790809844,0.0815231454460327,-0.0155398418082494,0.0696690318840805,0.0247047767021007,-0.00261436616129281,0.0238614193123526,0.00177955774151865,0.00365959602647032,0.0669434929329592,-0.00106338492514381,-0.00627137965063056,0.0408372714429042,-0.00109558764553988,0.0655196799648882,0.0119174236757617,0.0383318113298655,0.000557204966561609,0.061572989352275,0.00745195240248047,0.00426304218662837,0.00111963522275931,-0.00619646716072217,0.0867548472790405,0.00105646174872201,0.0577333279003761,-0.00792620767508994,0.0167616848021718,0.0345503351713298,0.0177668342176411,0.207858205064038,0.00716340846491678,-0.0088187839402012,0.0652080834013777,0.00927735816256429,0.0570505561679314,0.0208838576212409,0.0333259905238744,0.050723162836548,-0.0025124593800123,0.0347019371696504,0.00860814937885341,0.0529641073137247,-0.00258397606545232,0.0432849273753703,0.0935250154224622,0.00215239499320678,0.158994315527085,0.0575715122717049,0.00577382664580031,-0.0080673981604114,0.0495895489468183,0.0390259891285953,0.0184945326327375,-0.00237354757005679,-0.000338492676251461,-0.00259248603328237,0.0554433329781784,0.00187685846314156,0.0503310307960389,0.0254474277413249,0.0184552936938207,0.0104113491098983,0.0273534860142026,0.002389263734667,0.0291859943329384,0.00129400547573419,0.0165345137055246,0.00282563836149619,0.0128749966181917,0.00618833108623989,0.0293201602671001,0.0500625371969125
"Intestinimonas",0.0142719247312993,0.0297483830899285,0.0239144735257507,0.00527543634370407,-0.0107319777003594,0.0132482628638983,0.0834066685885791,0.0198408798536352,-0.00606935705367038,0.00423275074488113,0.0132668012535192,-0.00243910319492017,0.0195399060581421,-0.00456724494787075,-0.000682853783563788,0.0545684114915297,0.0131633330114171,-0.00287881269072661,0.0179123238946694,-0.00503907745112934,0.0225624439185921,-0.0139905716595524,-0.0080620953527512,0.0106075722824612,0.176311574743336,-0.00859474411159442,0.0447078853413356,-0.00737413779665274,0.0329272037399004,0.012096963955089,0.00932940702912582,-0.0125591391303395,-0.00410195528064566,0.0443508618824104,0.0429490760287101,0.0406394694005027,-0.00173956408627716,0.00444136426063857,0.0689376973045494,-0.00841115273796414,0.0105881033856077,-0.00138086112907101,-0.0147767272180642,0.135489259116945,-0.0114725922417044,0.0736469832391198,0.0203851557993624,0.00758805233116805,0.0376807967534891,-0.00350540430303037,-0.00225467593288104,0.0425066118989296,0.0257498249671552,0.0121987778950072,0.00079766729604883,-0.00207066645093194,0.001385968125839,-0.00425607856277527,0.013546191316316,0.237169925315648,0.00720873446403923,0.0204437107283438,0.0122202473679357,-0.00782090588637016,0.108817443005322,-0.0011737691542371,0.00056302689098997,0.00500705284108405,0.00786011575752354,0.0257160251965272,0.0793115853403646,-0.0087153671115932,-0.00596056218153543,0.0491800903827811,0.0225280941208244,0.00609651349075801,0.00700306747853702,-0.0139903829447008,0.0511228264441411,0.00679024446950965,-0.00714029033974218,0.0401365201449404,0.0107977681497056,0.0343173310075672,-0.0162162049295555,0.0297953806753612,-0.00835384768728861,0.029293983087563,0.0201222813280308,-0.010811804077968,0.00160751892225251,0.352042615206216,0.00763368006873851,-0.00483854877354646,-0.0290926403249351,-0.00429890063882223,0.0311153060015667,-0.000345546356498498,-0.00648871039025621,-0.00641951624407608,0.0267513270540805,0.0687143213745499
"Howardella",0.00958183791971499,0.00530564622366603,0.00349990487760613,0.00718631323256675,0.050693302248759,0.0191609328725954,0.00630874954232693,0.00394082300378788,0.00189538271487957,0.0338086045475289,0.00628320176373843,0.00585927399045023,0.0117193286667485,0.0251490923994675,0.00774955229695025,0.0107180553624166,0.0159994528410979,0.0187414189454519,0.00353642169991493,0.0141924304643786,0.0110728025200101,0.00244116534823523,0.0231533083193834,0.00470096164771688,0.0510004212620723,0.00619950347847218,0.015574341659205,0.0174912779512994,0.0059337723074143,0.0190579606962229,0.000978380452473986,0.0196681411365555,0.0276604359786153,0.00488135834954845,0.0163034954513344,0.0104322567937376,0.0051175131207635,0.00115269661419645,0.0148084864283952,0.0176863735768411,0.0136725689818325,0.00169346782923495,0.0404777323917172,0.00524893615526284,0.0129706063301126,0.0289850666757137,0.0144891097155191,0.0387476619344533,0.00629204585635388,0.00244521540648569,0.0065074851951075,0.00469641970753969,0.00311157322009568,0.0202131673026385,0.0137834204748281,0.0150517182284661,0.00348888202061199,0.0203934202969948,0.000620914427049334,0.0543295370037637,0.000745039367264708,0.0807552627843543,0.00955063396818585,0.0226634392926272,0.000597851532871654,0.00568483579046418,0.00861303500698716,0.0070710672596432,0.00358649328287907,0.032150561735314,0.00680653067111085,0.00938948199610491,0.0285458873709529,0.0221320943037322,0.000291184381755019,0.0189114253730942,0.00264255450261828,0.0105518045607505,0.00577610146739148,0.0450495089505209,0.00314664907728549,0.0112602442011644,0.00895960379359996,0.0207583143236777,0.0117360935207762,0.00650071798867232,0.00243598354700278,0.018255159225178,0.0486749670097133,0.0117459076360246,0.00666452755671397,0.00690674648197244,0.0014067078074795,0.0213641385885984,0.0182748888646577,0.00538804068011688,0.00872758520447661,0.00402233078317543,0.00831973546338526,0.0342325045579898,0.0224049710469594,0.0172268358159672
"Akkermansia",0.0112573236660855,-0.00116376785518814,0.0226951908928885,-0.0091020414421661,0.0605574659399497,0.00291092442620828,0.177151830742342,0.0424448997958016,0.000556988502699675,-0.00782925335191917,0.0276807672165301,-0.00754935011401757,0.0105250050163511,0.0153514590050624,0.0516954405078366,0.0540075625975265,0.0490214713974223,0.0516786007613259,-0.00775790878432425,0.00124797818015059,0.00323081779092381,-0.00672746653164819,0.140637537304687,0.052450133584446,0.0261660333267292,-0.0163165223374168,0.0593732054334986,0.00600962797707833,0.122882239320489,0.00620597111244802,0.0811891758300781,0.0498600636806561,0.0266553161928347,-0.0146942665479977,0.0268426128401474,0.00201407473333661,0.144196813974609,0.0383123490683588,0.184694804849413,-0.0132947412205628,0.00741649299857205,0.148728544052344,-0.0118226281173069,0.000306453166135707,0.0174914007213769,0.00441644416744209,0.228492801116899,-0.00566235751240185,-0.000871623652066481,-0.0145908407304402,-0.0110880752537469,-0.00224943245739962,0.274110682362787,0.0549711838439974,-0.00403715790576936,0.00186567742327515,-0.00706769018362419,0.178059725017399,0.0478596856084135,0.0260010325178495,-0.00540837469670362,0.0533911504204853,0.0354105788556371,0.0247678962267271,0.0180655119891326,0.42972497616665,-0.000793790197285796,0.00280101296058336,-0.0107858703767513,-9.22276199376366e-05,-0.00529783549007565,0.218710194884139,-0.00308849718231427,0.0291907730900162,0.0151864145928769,-0.00486514825441401,0.0380554748539621,0.0101124205878083,0.0062627967591828,0.0559826490316041,0.0308874429393231,0.0333157211840587,-0.00635052926558923,0.00864634209148696,0.0464322112960468,-0.0217293332088125,0.0914707699416272,0.187708944895622,0.0019975212847377,0.0155964736735627,0.0127125609261799,0.0655034352078078,0.224796706956675,-0.0317482048208865,0.0129366391506268,0.0412494670596119,0.0070111823153438,0.0676088919910313,-0.0150044722731357,0.0547234197025758,0.0197643516877142,0.0237018746236338
"Negativibacillus",0.000596016215234472,0.0226891240185065,0.0364502196322948,-0.00330970242195226,-0.0124335579001329,0.0147445174189055,0.00738461397121339,0.131452155636047,-0.0082175972173122,0.0114708761714957,-0.00818529716607362,0.00890428239073685,-0.00823484866550949,0.0338773020875222,0.126272952138145,0.000902565017524496,0.0114867221156081,0.0333531544535972,0.00544488364579131,0.0283276534611953,0.0060896982182424,-0.000335687471715833,0.0662543030081041,-0.011618811128489,0.0211548156280899,0.000955377371784336,0.0220359779225261,0.0803583842549465,-0.00692422240579504,0.0407033247886371,0.00335251247862907,0.0899019200046321,-0.00212619417381428,-0.00887129707168684,0.0111232742172744,0.0293826445037295,0.0244896084953187,0.00756994162491564,0.0046413658403965,-0.00297507420497625,0.0585209769277756,0.0760439927494361,0.012171577244286,-0.00585744566801946,-0.000184402966246774,-0.00432001899994195,0.0105881427915489,0.0435535819264228,0.00152479954316441,0.00629948865907175,-0.000659469465753983,-0.00287348841530849,-0.00671360510015024,0.0709921636012186,0.0266264113440563,0.0155648032660755,0.00514969096493979,-0.0022312490643367,0.0421558683172011,0.00349426192366099,0.0175010789140586,-0.00032583283367422,0.0373514091563013,0.000288951209800404,0.0181777706792029,0.0131090577305392,0.0189262842976906,0.00581299435860545,0.00461457033921444,-0.000122436758606075,0.0347731272109099,0.0300730711672172,-0.00607789727439504,0.0244361017165095,-0.00510997329711661,0.029603729429548,0.0366543076618478,-0.00360860349798058,0.013818223840183,-0.00394993375100957,0.00796211368177749,0.0315818566240489,0.022200993744745,-9.28252289037671e-05,-0.00452694533601677,-0.00206679434082161,0.00302508174739789,0.0156491843967247,-0.000360855827373224,0.0702024954718313,0.0216723304246653,-0.00570806730282655,0.113615775017092,-0.00856993594103853,-0.0049337098858759,0.0224688614456588,0.00536413471466519,-0.000239940354559047,-0.00435360422068733,0.0568584387980874,0.0193237864590383,0.0333571896867261
"Ruminococcus_2",-0.0179685203768862,0.00561743223789295,-0.00685838690307589,0.0198666888345922,0.0335314483453159,0.0133469673997013,-0.0137587021417472,0.00664147740162523,0.0533543676638358,-0.00605668154253168,0.00942650812579912,-0.00526120833972522,-0.00533188330091811,0.0138565939072886,0.0541303350768068,0.00130261989748869,-0.00706350673215445,0.0122794480628103,-0.00209959107741049,0.00237034072569685,-0.0101574555402349,-0.00895905047143321,0.0752549047977643,0.00560451995278369,0.0882225648366494,-0.00803712012459978,0.0153210634411411,-0.00982857188587001,0.108381981574367,-0.0213347237124844,-0.00388968504943964,-0.0101881952571971,0.0578395899564106,-0.0138171268445393,0.0101274835676835,0.0110878186266963,0.0152560136195894,-0.0117508359548868,0.022659573840754,0.0326659457137535,-0.00747015537070167,0.00187464581849001,-0.012677250765766,0.00270154877001418,0.200168611630216,-0.00289048757340323,0.0224245297019035,0.0404176636900124,-0.0111853468608575,-0.00965337734587899,-0.00982553761867743,0.00615495272113411,0.00622074651432939,0.102278858837889,0.0140747543780424,0.0400183478169831,-0.00657795096346142,0.0121724745208404,0.0201579792060417,-0.0218776720511276,0.0654713971062057,0.0155942301490643,0.020404004430892,-0.00838220848949543,-0.0118748391360222,-0.00401774591614248,-0.0120525411345708,0.0129819916342274,-0.00030361794109053,-0.030950270779842,-0.000766106886131483,-0.00836876644373475,-0.00434086217215634,0.0381986789356233,0.0299397298717339,0.00227774106442559,-0.00478187281016196,-0.00543551469082345,0.0381063215660069,0.0245454351188721,0.0334479060132123,-0.0144679402734644,0.0166475988882707,-0.0116019117411711,-0.00102599126810649,-0.0148683751129618,-0.0117305737596721,0.0087165321884643,0.117921335132155,-0.0199654937201647,0.00479211307599342,0.0216301853306788,0.0274656909164847,-0.020815697092311,0.00066802629741716,0.0495644822971454,-0.00932168898865095,-0.00542154193863221,0.00127095725287145,-0.00215081486865339,0.0182777405568688,0.0516380078228428
"Ruminococcaceae_UCG-003",0.0114944970657837,0.0662456814462018,0.0172108184620272,0.00389433132369078,0.00285656319496463,0.0130714567510302,0.00920019570424217,0.00246820013315433,-0.0024466977694817,0.0340999554491775,0.00357909847703422,0.0153879143611906,-0.001054091069147,0.0651426784961293,0.0276384419041813,0.035056117256186,0.0117171028995864,0.00648674890196437,0.0244571831647511,0.00200407514115645,0.0225814850200653,0.0252827291821466,0.0282283417845939,-0.000383435229127939,0.0102455911402001,0.00750810070278481,0.025725261954926,0.0482683740048422,0.00321451826452362,0.0133304364389587,-0.00185699795785828,0.0252505019874034,0.0105741698086685,0.0108618849214266,0.016495852587997,0.0283100238123233,-0.00819261055365242,0.0543216854711566,0.00989895831667522,0.00724086861890132,0.00333827959540945,0.0109230570804044,0.0202386644127006,0.00498115249428342,0.0309453758696226,0.0291234021179176,0.0286429174509047,0.0176169584785061,0.0164613417769425,0.0217500054979514,0.0841079578964059,0.0371118619760458,0.00797823523383254,0.00997757681441304,0.00358792688306445,0.0776144338280199,0.0333490856111404,0.00145160478447372,0.00903663513184373,0.00801377796109564,0.00283377190592294,0.0168346636591754,-0.00214512503086219,0.0138338443297359,0.0467666520445403,0.000935760969277442,0.0279557898832812,0.00876363812317832,0.00970293141662769,0.0107048241487178,0.0173738762470223,-0.00308727533610278,0.0393940216746916,0.033185877665147,0.00666123027300253,0.0243711013016472,0.0181670962544516,-0.0026727149797143,0.0177071635696713,0.00843253428178551,0.00424316836067689,0.0125223395387212,0.0175329731906514,0.0264511781740158,-0.00145563577170344,0.00696843200865482,0.00486560040675476,0.0163393486146581,-0.00543329318146983,0.0287157696482355,0.0333114378882492,0.00592609141126913,0.0127042030308607,0.0164613371390224,-0.00232417334008012,0.0106806116237971,0.0109053368633059,0.00481474994871111,-0.00875118774798494,0.0836844145708502,0.017969724327131,0.0203237295782092
"unassigned_Peptococcaceae",0.00953427211001288,0.0134381113747013,0.00147211984547116,0.0738838888694835,0.000473773735473592,0.0100293466612488,0.00225144436548226,0.00470178287234466,0.0469439787134214,0.00985768644202544,0.0122662438453494,0.00522395006905332,0.0186859631729241,0.0070958678734715,-0.000817466158670757,0.055995458748432,0.000164257518063564,0.0158881221001202,-0.000720513944802875,0.0170833179129525,0.0373823719448732,0.00830781190524864,0.000383517722393116,0.0066299219170018,0.0315123998607906,0.0245978121318943,0.0011164772566328,0.0013722638089006,-0.000464531496927714,0.0590371119409779,-0.000881643598924623,0.024879232928691,0.0312665008728572,0.000138948248787179,0.0440781357376704,0.0228198046599736,-0.00344509442365617,0.0239607065483948,0.00724189093925512,0.0120365713897039,0.00141207597464817,0.0259648374868299,0.010937187776785,0.000940246324489231,0.00924459883538788,0.0053455164074061,0.00188716878679068,0.00127109437921847,0.041411305987754,0.0337966183112232,0.0446574710784365,0.015257105954414,0.000387314161450771,0.04071519016771,0.00772921834971845,0.0191656135872576,0.0288070628882715,0.0516391509029737,-0.00292832731483948,-2.09867905984594e-05,0.00129022182411048,0.0635724058253136,-0.00219034626875916,0.0713858768967575,0.00605866641996037,-0.00020462187320749,0.0402508002539582,0.0266048612343275,0.00173416632963629,0.0277645836174401,0.0922135886763504,0.000508891063170354,0.0255079495364193,0.00214338358984337,0.00308991327730742,0.0103168965138903,0.00102021147220695,0.0687768713284665,0.00119943376242614,0.0142604536104107,0.0353116187119803,-0.000433871643571484,0.0452559431238517,0.0263821216896065,-0.00573431786810401,0.0196396166551914,0.0130939034329176,0.00183010196473068,0.0478516855750343,0.0298874234121222,0.119352391466695,-0.000738760718376285,0.000429637266884269,0.0126611424642915,0.0125100085293661,0.0117277606146671,0.0328972722723089,-0.000625729761994301,0.0905290220768313,0.00121822389801882,0.0156532967231588,0.0169326736334712
"GCA-900066575",0.0155055017845592,0.00241601552956679,0.0206067757817735,0.000662824978121189,-0.00156827617853482,-0.00474258917808594,-0.00378051614032755,0.0115383366842514,0.00369043851769773,-0.00338428285754521,0.0132785656374338,0.00617074287926605,0.00100616343963582,0.00283581651970878,0.030135926648231,0.00430200199743591,0.00180569252719621,0.00801717870662885,0.011688208803952,0.0122880983665623,0.0141399091523924,-0.00663081096770974,0.00710330819300317,0.00216355346216025,0.0398514171630431,0.0108080280779442,0.0284240368641777,0.0921318813792259,-0.00402751017534387,0.00489104597640301,0.00300737237721089,0.0339402301862076,0.00247810775516575,-0.00203567906146827,0.00895059499781359,-0.0014963785821956,0.0909394841137747,0.00517597245224882,-0.00325896088430643,0.000152197259820719,0.0520755221156624,0.00488861846147976,0.017795929527046,0.00482982481262979,-0.00473604024153888,0.000992834113682775,0.0132311389001226,0.0879792358826276,-0.00259538141958968,0.00487557459467649,0.0198212320284733,-8.99747465265612e-05,0.00694978930544198,0.00764146058679578,0.0110495211000573,0.0192464074328172,0.000303761979247864,-0.000292563763075109,0.0305530187335408,0.00432949586751229,0.00833853726625179,0.00689701373374306,0.00538009479430899,-0.00298073668947825,0.00809621218493822,0.00407220031768613,0.00542103212578024,-0.0058002756202287,0.0288719276596591,0.0319995745770277,0.0213900732178516,-0.00228301848487837,0.0330333955722924,0.00774924444609292,-0.0038552618294975,0.0320148654939958,0.00790369522868529,-0.00219028522909779,0.00182066541480249,0.0637660757344651,0.00328686542942454,0.018274172285466,-0.00182146685116414,0.0500315083111632,0.0132665427321828,0.000417767543180667,0.00658997899617461,0.0555878427617001,0.000172853581338415,0.0141757911719641,-0.000485966978379915,-0.000384732514946506,0.0386586430972013,0.00335524637992702,0.0158661681500742,0.0033799283391768,-0.00267909082916573,0.0195857597820494,-0.000161232715402398,0.0244722621026693,0.0137311318760162,0.0171364715633568
"Family_XIII_AD3011_group",-0.00858451352865048,0.0330704771677076,0.0359258894119496,-0.0125245651022025,0.10104033628066,0.0622967148222885,0.0991458398982117,-0.00475642111167687,-0.0103843591608084,-0.00771893352066253,0.00277367813087342,-0.00452587520806394,0.109247976565545,0.0585222812772209,-0.000905887721199989,0.00389969260444626,0.00330427625381958,0.0981084960947395,-0.00574472656869513,-0.0139482249663999,0.0300047526808584,0.0274825837340317,0.0142452052868867,-0.0179507548775921,0.002705875692675,-0.00716005694817117,0.00634752864269745,-0.0049298373926756,0.131563295970009,-0.0118866055314311,-0.00714427985564286,0.020629806620378,0.00402757914313828,-0.00858015861100539,0.0768066934558524,0.0849596273213792,-0.00543477277177546,0.0494777381480574,0.0473098601748098,-0.0131098700958335,0.000155478926827505,0.0045872829341915,-0.0160770672487572,0.0874830705529594,0.0494220649892989,-0.00683316108249186,0.101400157150855,-0.0101712492042145,0.0577878482405904,-0.0181917816719234,-0.00923268293839904,0.0586453459806903,0.00990331107217728,0.00689231585469982,-0.000523825847390008,-0.000562938535079428,0.0206892974000706,0.0884864515407843,-0.00487598689453651,0.0139604127592826,-0.0106020733901155,0.0752802740164304,0.0174422136113923,0.016789218853823,0.0148950915911154,0.151286250231736,0.0127231663392943,0.00166976315727556,-0.0054279179650045,-0.0163997513321159,0.0653789082754432,0.0152952631401129,-0.00332480894120731,-0.000525076886548681,-0.00649708547746532,-0.000736126370225814,-0.00974811597492538,0.0971477762490289,0.0227607773223189,-0.00363281869293017,0.00582775539393645,0.0112006520779139,0.0645761748947259,0.000904845422564108,0.00880038375277812,0.010723976395873,0.0460060255556493,0.0141780720572147,-0.00840761385868274,0.0417459957557639,0.000594912145925944,0.0812539585702407,0.00164277272139973,-0.0153760324120754,0.0435726376558596,0.178744656439968,0.0423987536377981,-0.00829603114581695,-0.0152557778069003,0.0109455411870982,0.0135540124131516,0.0327374392428421
