"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",4e-04,4e-04,125,0.0231,0.0115499108821367,31
"B1.F2",0.0342,0.0342,125,0.0183,0.0682726326742976,31
"B1.F3",0.0012,0.0012,125,0.0038,0.0108227107180021,31
"B1.F4",0.0243,0.0243,124,0.0025,0.00296376511634783,32
"B1.F5",0.0134,0.0134,125,0.0501,0.0365303069719043,31
"B2.F1",0.0974,0.0974,125,1e-04,0.000300630853277836,31
"B2.F2",0.0054,0.0054,124,0.0637,0.059422997953234,32
"B2.F3",0.0067,0.0067,125,0.0157,0.0195774258584808,31
"B2.F4",0.0045,0.0045,125,0.0714,0.0721327791112932,31
"B2.F5",0.0138,0.0138,125,0.0068,0.00686764533692407,31
"B3.F1",0.0545,0.0545,124,0.0071,0.0303178560985888,32
"B3.F2",0.0016,0.0016,125,0.0036,0.00599375650364204,31
"B3.F3",0.0193,0.0193,125,0.0348,0.0321970928720083,31
"B3.F4",6e-04,6e-04,125,0.012,0.0107476437814054,31
"B3.F5",0.0076,0.0076,125,0.0204,0.0161330970343392,31
"B4.F1",0.0081,0.0081,125,0.0026,0.00156152445369407,31
"B4.F2",0.0316,0.0316,125,1e-04,0.00765779391006251,31
"B4.F3",2e-04,2e-04,124,0.0246,0.002767544908892,32
"B4.F4",0.0249,0.0249,125,0.0224,0.0109911550468262,31
"B4.F5",0.0057,0.0057,125,0.0195,0.0199174037460978,31
"B5.F1",0.0336,0.0336,125,0.0224,0.00182687304890739,31
"B5.F2",0.0204,0.0204,125,0.0356,0.0188546484397869,31
"B5.F3",0.0086,0.0086,125,0.0139,0.00860106659729449,31
"B5.F4",0.015,0.015,125,0.0092,0.0256309804916444,31
"B5.F5",1e-04,1e-04,124,0.0579,0.0576492773969952,32
"B6.F1",0.0182,0.0182,125,4e-04,0.0071760524876982,31
"B6.F2",0.0045,0.0045,125,6e-04,0.0017585848074922,31
"B6.F3",5e-04,5e-04,124,0.0095,0.0113007499075515,32
"B6.F4",0.0126,0.0126,125,0.0333,0.0344042663891779,31
"B6.F5",0.0255,0.0255,125,0.0086,0.018465303069719,31
"B7.F1",0.0098,0.0098,125,0.0302,0.09765625,31
"B7.F2",0.0135,0.0135,125,0.0016,2.60198140884283e-06,31
"B7.F3",0.0157,0.0157,124,0,0.0206482572389298,32
"B7.F4",9e-04,9e-04,125,0.0538,0.0182615077195449,31
"B7.F5",0.0269,0.0269,125,3e-04,4.06477627471384e-06,31
"B8.F1",0.0433,0.0433,124,0.0026,0.00720265918700323,32
"B8.F2",0.0382,0.0382,125,0.0199,0.0174921956295526,31
"B8.F3",0.0059,0.0059,125,0.0943,0.129948621227888,31
"B8.F4",0.0166,0.0166,125,0.0109,0.00593148413111342,31
"B8.F5",0.0055,0.0055,125,0.1756,0.166651045327918,31
"B9.F1",0.0035,0.0035,125,0.0033,0.0157797569098869,31
"B9.F2",0.0224,0.0224,125,0.0023,1.46450050769351e-06,31
"B9.F3",0.0152,0.0152,125,0.0119,0.0152243756503642,31
"B9.F4",0.0228,0.0228,125,0.0022,0.0130217546826223,31
"B9.F5",0.006,0.006,124,0.0099,0.00735771536192499,32
"B10.F1",0.0422,0.0422,125,7e-04,6.50364203954214e-07,31
"B10.F2",0.001,0.001,125,0.0152,0.0210718002081165,31
"B10.F3",0.0011,0.0011,124,0.0038,0.000649173052783236,32
"B10.F4",0.0048,0.0048,125,0.0182,0.00411046436004162,31
"B10.F5",0.0027,0.0027,125,0.0156,0.0152274456999005,31
"B11.F1",0.0075,0.0075,125,6e-04,0.00159355489073881,31
"B11.F2",0.038,0.038,125,0.002,0.000585327783558793,31
"B11.F3",0.0253,0.0253,124,0.0277,0.0173180968945915,32
"B11.F4",0.0062,0.0062,125,0.0077,0.00539001275742665,31
"B11.F5",0.0044,0.0044,125,1e-04,0.00390625,31
"B12.F1",0.0195,0.0195,125,0.0014,0.00274834286309024,31
"B12.F2",5e-04,5e-04,124,0.0047,0.00490295163575078,32
"B12.F3",0.0384,0.0384,125,0.0451,0.0614960002601457,31
"B12.F4",0.0155,0.0155,125,0.0413,0.0608975026014568,31
"B12.F5",0.01,0.01,125,0.014,0.0212520490603595,31
"B13.F1",0.0097,0.0097,125,0.0027,0.00226574500768049,31
"B13.F2",2e-04,2e-04,125,0.0348,0.0234781477627471,31
"B13.F3",0.0409,0.0409,125,0.0079,0.00497935093652445,31
"B13.F4",0.0119,0.0119,124,0.0087,0.00965118979024948,32
"B13.F5",0.0208,0.0208,125,0.0103,0.00194990047421111,31
"B14.F1",0.0066,0.0066,125,0.005,0.00556467872008325,31
