"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0066,0.0066,123,0.0045,0.0131139438085328,31
"B1.F2",0.0132,0.0132,123,0.0028,0.00100212874604011,31
"B1.F3",0,0,123,0.0611,0.0456718262226847,31
"B1.F4",0.0052,0.0052,123,0.071,0.0815010405827264,31
"B1.F5",0.015,0.015,124,0.0016,0.000114285289117228,30
"B2.F1",0.0322,0.0322,123,0.0051,0.000109911550468262,31
"B2.F2",0.0307,0.0307,123,0.0043,0.00550468262226847,31
"B2.F3",0.0032,0.0032,123,0.0817,0.0941788797169044,31
"B2.F4",0.0166,0.0166,123,0.0285,0.0885720976523623,31
"B2.F5",0.0065,0.0065,124,0.0223,0.0155763727092642,30
"B3.F1",0.0025,0.0025,123,0.0041,0.00458896982310094,31
"B3.F2",0.0025,0.0025,123,0.1437,0.180147573001841,31
"B3.F3",0.0574,0.0574,124,0.0641,0.0780215727462835,30
"B3.F4",0.0099,0.0099,123,0.0052,0.00875130072840791,31
"B3.F5",3e-04,3e-04,123,0.0991,0.0535698491155047,31
"B4.F1",0.009,0.009,123,7e-04,0.000843552292431461,31
"B4.F2",0.0055,0.0055,123,0.0227,0.0295063735691988,31
"B4.F3",0.0126,0.0126,123,0,0.0017925663371488,31
"B4.F4",0.0013,0.0013,124,0.0468,0.0597772583800317,30
"B4.F5",0.0298,0.0298,123,0.0019,3.65829864724246e-05,31
"B5.F1",0.0149,0.0149,123,0.0056,0.0112462604058273,31
"B5.F2",0.0114,0.0114,123,0.0063,0.0257602664428963,31
"B5.F3",0.0035,0.0035,124,0.0815,0.0584789674845738,30
"B5.F4",0.0017,0.0017,123,0.133,0.150781900364204,31
"B5.F5",0.0039,0.0039,123,0.0468,0.13268521049754,31
"B6.F1",0.0053,0.0053,124,0.101,0.0332862553606267,30
"B6.F2",0.0183,0.0183,123,0.0019,0.00670021462018731,31
"B6.F3",0.0266,0.0266,123,0.0143,0.017599017950052,31
"B6.F4",0,0,123,0.0589,0.0465376235691988,31
"B6.F5",0.0034,0.0034,123,1e-04,0.00426790000585446,31
"B7.F1",0.0078,0.0078,123,0.0082,0.00396000937280325,31
