"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0046,0.0046,96,0.0672,0.0581052631578947,24
"B1.F2",0.0231,0.0231,96,0.0082,0.0252942851718246,24
"B1.F3",1e-04,1e-04,96,3e-04,0.0176618568445035,24
"B1.F4",0,0,96,0.0139,0.0191680583549285,24
"B1.F5",0,0,96,0.0244,0.0386155606407323,24
"B2.F1",0.0017,0.0017,96,0,0.000781083142639207,24
"B2.F2",0.0351,0.0351,96,0.3333,0.344997911524587,24
"B2.F3",0.0127,0.0127,96,6e-04,0.00967201939100136,24
"B2.F4",0.0039,0.0039,96,0,0.00267280929071888,24
"B2.F5",0.0057,0.0057,96,8e-04,0.00946040886841347,24
"B3.F1",0.0017,0.0017,96,0.0351,0.0139161435325118,24
"B3.F2",1e-04,1e-04,96,0.0274,0.0129987880624148,24
"B3.F3",0.0114,0.0114,96,0.0904,0.0488266294660156,24
"B3.F4",0.006,0.006,96,0.0488,0.0394790203151699,24
"B3.F5",0.008,0.008,96,5e-04,0.000109074382669293,24
"B4.F1",0,0,96,0.1639,0.103010869565217,24
"B4.F2",0.0011,0.0011,96,0.0013,0.00204817451901227,24
"B4.F3",0.0092,0.0092,96,0.0162,0.0147376048817696,24
"B4.F4",0.0016,0.0016,96,0.0266,0.00460037807183365,24
"B4.F5",0.0089,0.0089,96,0.0261,0.0638693753559901,24
"B5.F1",0.0347,0.0347,96,9e-04,0.000369183829138063,24
"B5.F2",0.0071,0.0071,96,8e-04,0.000128909229595728,24
"B5.F3",0.0112,0.0112,96,0,0.00181550094517958,24
"B5.F4",0.0045,0.0045,96,0.0411,0.0112652383768625,24
"B5.F5",0.0072,0.0072,96,0.0406,0.064194004080992,24
"B6.F1",0.0128,0.0128,96,0.1142,0.0646436980065924,24
"B6.F2",0.0027,0.0027,96,0.19,0.1831678918077,24
"B6.F3",0.0078,0.0078,96,0.0531,0.106332703213611,24
"B6.F4",0.0082,0.0082,96,0,0.00821416366052781,24
"B6.F5",0.0083,0.0083,96,0.004,0.0142037491412307,24
"B7.F1",0.0123,0.0123,96,3e-04,0.00459505541346974,24
"B7.F2",0.0055,0.0055,96,0.0044,0.00555173723182077,24
"B7.F3",0.0407,0.0407,96,0.0284,0.0162664784325696,24
"B7.F4",0.0048,0.0048,96,0.0061,0.00967201939100136,24
"B7.F5",0.032,0.032,96,0.3633,0.385599542334096,24
"B8.F1",0.0279,0.0279,96,0.2175,0.206090556029175,24
"B8.F2",0.0031,0.0031,96,0.0254,0.0489963926333776,24
"B8.F3",0.044,0.044,96,0.0885,0.0606085057907727,24
"B8.F4",0.0066,0.0066,96,0.1117,0.101177140687298,24
"B8.F5",0.0208,0.0208,96,0.0854,0.117023534104507,24
"B9.F1",0,0,96,0.0509,0.0480390339845301,24
"B9.F2",0.0074,0.0074,96,1e-04,0.00717696414950419,24
"B9.F3",0.0049,0.0049,96,0.0125,0.00337595907928389,24
"B9.F4",0.0062,0.0062,96,5e-04,0.00352707856598017,24
"B9.F5",0.0111,0.0111,96,0.0369,0.0263890160183066,24
"B10.F1",0.0019,0.0019,96,0.1557,0.162177156266097,24
"B10.F2",3e-04,3e-04,96,0.0283,0.08361646991074,24
"B10.F3",1e-04,1e-04,96,0.028,0.0126862340904363,24
"B10.F4",0.0026,0.0026,96,0.0297,0.0378524374176548,24
"B10.F5",0.0357,0.0357,96,0.1781,0.248478450730966,24
"B11.F1",0.0122,0.0122,96,0.0141,0.00237126654064272,24
"B11.F2",0.0095,0.0095,96,0.0551,0.0190789823428897,24
"B11.F3",2e-04,2e-04,96,0.0447,0.050124004223054,24
"B11.F4",4e-04,4e-04,96,0.061,0.0519610983981693,24
"B11.F5",5e-04,5e-04,96,0.0321,0.0637458797676974,24
"B12.F1",0.0187,0.0187,96,0,0.00806324110671937,24
"B12.F2",7e-04,7e-04,96,0.0042,0.00093440122044241,24
"B12.F3",0.0342,0.0342,96,0.1662,0.34040649325992,24
"B12.F4",0.0194,0.0194,96,0,0.000261174809699143,24
"B12.F5",8e-04,8e-04,96,0.0013,0.000193910013634298,24
"B13.F1",7e-04,7e-04,96,0.0298,0.0119183829138063,24
"B13.F2",0.0102,0.0102,96,0.0067,0.00143768875719414,24
"B13.F3",6e-04,6e-04,96,0.0547,0.0723670217871197,24
"B13.F4",0.0012,0.0012,96,0.0487,0.0883090943611163,24
"B13.F5",0.0077,0.0077,96,0.0727,0.0539710144927536,24
"B14.F1",0.0042,0.0042,96,0.0016,0.000100436681222707,24
