"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0045,0.0045,96,8e-04,0.011108097327483,24
"B1.F2",0.0017,0.0017,96,0.0251,0.0330292324348966,24
"B1.F3",4e-04,4e-04,96,0.0029,0.00498272261249288,24
"B1.F4",0.0017,0.0017,96,0.0244,0.0411496304827719,24
"B1.F5",3e-04,3e-04,96,0.0466,0.0858744801512287,24
"B2.F1",0.0126,0.0126,96,3e-04,0.000218525519848771,24
"B2.F2",7e-04,7e-04,96,0.022,0.0122924028268551,24
"B2.F3",0.008,0.008,96,0.0734,0.127121599627993,24
"B2.F4",4e-04,4e-04,96,0.0172,0.0328710087944232,24
"B2.F5",0.0044,0.0044,96,0.01,0.0565983299740858,24
"B3.F1",0.0064,0.0064,96,9e-04,0.0073257055682685,24
"B3.F2",0,0,96,0.0471,0.0378416354736539,24
"B3.F3",0.0116,0.0116,96,0.1843,0.138037047701315,24
"B3.F4",0.0146,0.0146,96,0.0142,0.00103696409634904,24
"B3.F5",0,0,96,6e-04,0.00209322194797798,24
"B4.F1",0.0919,0.0919,96,0.2491,0.246743876969812,24
"B4.F2",0.0024,0.0024,96,0.0014,0.00432902980823998,24
"B4.F3",0.0287,0.0287,96,0.011,0.00281483442706659,24
"B4.F4",6e-04,6e-04,96,0.0113,0.00965297167929796,24
"B4.F5",0.0051,0.0051,96,6e-04,0.000781083142639207,24
"B5.F1",0.0108,0.0108,96,0.006,0.00332265446224256,24
"B5.F2",3e-04,3e-04,96,0.0179,0.00392532872636529,24
"B5.F3",0.0017,0.0017,96,0.0221,0.0892565389091326,24
"B5.F4",0.001,0.001,96,0.0098,0.00957410594398321,24
"B5.F5",8e-04,8e-04,96,0.005,0.00426163739322392,24
"B6.F1",8e-04,8e-04,96,0.0445,0.0410527814695272,24
"B6.F2",0.0107,0.0107,96,5e-04,0.00473970001898614,24
"B6.F3",3e-04,3e-04,96,0.0089,0.0147790013290298,24
"B6.F4",0.0177,0.0177,96,0.0808,0.127750135627373,24
"B6.F5",0.0023,0.0023,96,0.0339,0.0525831314268272,24
"B7.F1",8e-04,8e-04,96,0.0134,0.00222425629290618,24
"B7.F2",4e-04,4e-04,96,0.0648,0.0672837528604119,24
"B7.F3",0.0261,0.0261,96,0.0719,0.0420747113074479,24
"B7.F4",0.0014,0.0014,96,0.0011,0.007627765064836,24
"B7.F5",0,0,96,0.0135,0.0289125706829056,24
"B8.F1",0.0134,0.0134,96,0.0066,0.00460839266777761,24
"B8.F2",0.0077,0.0077,96,0.0529,0.0806035128131298,24
"B8.F3",0.008,0.008,96,0.0209,0.0282146644447811,24
"B8.F4",0.031,0.031,96,0.0027,0.00271830310010558,24
"B8.F5",0.0037,0.0037,96,0.0126,0.00862731548133218,24
"B9.F1",3e-04,3e-04,96,0.0095,0.0330597946060082,24
"B9.F2",0.0015,0.0015,96,0.0321,0.0457719764571862,24
"B9.F3",0.008,0.008,96,0.0837,0.0512043629753068,24
"B9.F4",0.0346,0.0346,96,0.0224,0.003797566457413,24
"B9.F5",4e-04,4e-04,96,0.0015,0.011961458135561,24
"B10.F1",0,0,96,0.008,0.0269714024076159,24
"B10.F2",4e-04,4e-04,96,0.0035,0.027138113062674,24
"B10.F3",0.0012,0.0012,96,0.0576,0.0667645718625403,24
"B10.F4",0,0,96,0.0027,0.00110874364142432,24
"B10.F5",0.0011,0.0011,96,0.0049,0.0148462354188759,24
"B11.F1",0.0042,0.0042,96,0.0056,0.00476048817696415,24
"B11.F2",0.0073,0.0073,96,0.1259,0.122248992945893,24
"B11.F3",0.0136,0.0136,96,0.0018,2.37403861246272e-05,24
"B11.F4",0.0042,0.0042,96,0.0445,0.0236584393392823,24
"B11.F5",0.0019,0.0019,96,0.0049,0.00793592677345538,24
"B12.F1",0.0048,0.0048,96,0.0544,0.0976056578697551,24
"B12.F2",0.0086,0.0086,96,0.0397,0.01475935828877,24
"B12.F3",5e-04,5e-04,96,0.1124,0.0882395623380363,24
"B12.F4",0.0038,0.0038,96,1e-04,0.0011906442566343,24
"B12.F5",0.0067,0.0067,96,0.0058,0.000400173988690735,24
"B13.F1",0.0238,0.0238,96,0.0308,0.000607610633186081,24
"B13.F2",0.006,0.006,96,0.0293,0.0155299031706854,24
"B13.F3",0,0,96,0.0035,0.000334040296924708,24
"B13.F4",0.0069,0.0069,96,0.0408,0.0262051204362975,24
"B13.F5",0.0018,0.0018,96,0.1126,0.0828714252499419,24
"B14.F1",1e-04,1e-04,96,0,0.0104850958800076,24
"B14.F2",0.0191,0.0191,96,5e-04,0.00117879562892351,24
"B14.F3",0.0014,0.0014,96,0.03,0.0251104394326901,24
"B14.F4",0.0034,0.0034,96,0.0571,0.0614965715045492,24
"B14.F5",0.0019,0.0019,96,0.025,0.0415986156551998,24
"B15.F1",0.003,0.003,96,0.0192,0.0164580063165459,24
"B15.F2",0.0021,0.0021,96,0.0132,0.0202754582973414,24
"B15.F3",9e-04,9e-04,96,0.0119,0.00395423340961098,24
"B15.F4",0.0088,0.0088,96,3e-04,1.906941266209e-05,24
"B15.F5",0.0097,0.0097,96,0.0013,0.00387062098090028,24
"B16.F1",0.0048,0.0048,96,0.1234,0.0833632786255879,24
"B16.F2",8e-04,8e-04,96,0.0163,0.00696862003780718,24
"B16.F3",5e-04,5e-04,96,0.0299,0.0261486019357812,24
"B16.F4",0.0109,0.0109,96,0,0.00186080756413237,24
"B16.F5",0.0076,0.0076,96,0.0011,0.000930320865767989,24
"B17.F1",0,0,96,0.0282,0.041766590389016,24
"B17.F2",0.0054,0.0054,96,7e-04,0.001906941266209,24
"B17.F3",0.0096,0.0096,96,0.0249,0.0582783376523659,24
"B17.F4",0.0031,0.0031,96,0.0229,0.0133987274655355,24
"B17.F5",0.0158,0.0158,96,3e-04,0.00525476735316552,24
"B18.F1",0.0116,0.0116,96,1e-04,0.00150389215872413,24
"B18.F2",6e-04,6e-04,96,0.0035,0.000109074382669293,24
"B18.F3",0.0114,0.0114,96,2e-04,0.00808526918851043,24
"B18.F4",0.0169,0.0169,96,0.0427,0.0433802923865578,24
"B18.F5",0.0105,0.0105,96,0.0139,0.00279317778583284,24
"B19.F1",2e-04,2e-04,96,0.0557,0.0704159863299791,24
"B19.F2",8e-04,8e-04,96,0.0373,0.0612538446933738,24
"B19.F3",0.0062,0.0062,96,3e-04,1.91957001631635e-05,24
"B19.F4",0.0116,0.0116,96,0.0011,0.00581169018139937,24
"B19.F5",0.0141,0.0141,96,0.0033,0.00427188152648566,24
"B20.F1",0,0,96,0.0201,0.0215286041189931,24
"B20.F2",0.0045,0.0045,96,0.1842,0.15453947993238,24
"B20.F3",0.013,0.013,96,0.0319,0.034932112890923,24
"B20.F4",0.0043,0.0043,96,0.0269,0.0197160963741956,24
