"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",3e-04,3e-04,103,0.0261,0.0093930890912023,26
"B1.F2",0.0173,0.0173,103,0.0185,0.0184433779727897,26
"B1.F3",0.0931,0.0931,103,0.0254,0.0141219451408131,26
"B1.F4",0.0331,0.0331,103,0.0023,0.00109060894107623,26
"B1.F5",0.0617,0.0617,104,0.0186,0.0116851155769971,25
"B2.F1",0.0047,0.0047,103,0.1293,0.0635600508680094,26
"B2.F2",0.0037,0.0037,103,0.0839,0.120579827187153,26
"B2.F3",0.0714,0.0714,103,0.0038,0.0197152951869933,26
"B2.F4",0.0704,0.0704,104,7e-04,0.00198305593042435,25
"B2.F5",0.0206,0.0206,103,0.0073,0.000647798184130364,26
"B3.F1",0.0047,0.0047,103,0.0332,0.0397813651220019,26
"B3.F2",0.041,0.041,103,0.0357,0.00739360600952296,26
"B3.F3",0.0055,0.0055,103,0.0868,0.0883384722631847,26
"B3.F4",0.0209,0.0209,103,0,0.0258865204407373,26
"B3.F5",0.0982,0.0982,104,2e-04,0.000813186813186813,25
"B4.F1",1e-04,1e-04,104,0.0451,0.0576750149075731,25
"B4.F2",0.0723,0.0723,103,3e-04,0.00166656369066008,26
"B4.F3",0.0281,0.0281,103,0.0032,0.00520518480783381,26
"B4.F4",0.0524,0.0524,103,0.0013,0.00323185409977863,26
"B4.F5",0.0336,0.0336,103,3e-04,0.00035490323753879,26
"B5.F1",8e-04,8e-04,103,0.1143,0.0777884276933907,26
"B5.F2",0.0108,0.0108,103,0.0695,0.0598283537078718,26
"B5.F3",0.0718,0.0718,103,0.0054,0.00115344896067788,26
"B5.F4",0.0713,0.0713,103,4e-04,2.66169816342827e-05,26
"B5.F5",0.0162,0.0162,104,0.0707,0.0103100591715976,25
"B6.F1",0.0542,0.0542,104,0.0044,0.00238855937385349,25
"B6.F2",0.0331,0.0331,103,0.0021,0.0172633684922842,26
"B6.F3",0.0849,0.0849,103,0.0055,0.024794386336555,26
"B6.F4",0.011,0.011,103,0.0652,0.0246670179135933,26
"B6.F5",0.0087,0.0087,103,0.0631,0.0829521338200584,26
"B7.F1",0.0168,0.0168,103,0.0387,0.0820542242228989,26
"B7.F2",0,0,103,0.0522,0.0272281506980302,26
"B7.F3",0.0291,0.0291,103,0.0191,0.0406370169194676,26
"B7.F4",0.035,0.035,104,0.0091,0.000386248886248886,25
"B7.F5",0.0925,0.0925,103,0.0553,0.0635773864689527,26
"B8.F1",0.0854,0.0854,104,2e-04,0.01442218798151,25
"B8.F2",0.0073,0.0073,103,0.0467,0.0745583946281053,26
"B8.F3",0.0092,0.0092,103,0.0334,0.00942542330494138,26
"B8.F4",0.0471,0.0471,103,0.0019,0.000531038358027977,26
"B8.F5",0.0513,0.0513,103,0.0055,0.00239832285115304,26
"B9.F1",0.0087,0.0087,103,0.0261,0.00604348272272801,26
"B9.F2",0.0428,0.0428,104,0.0158,0.0328307934204161,25
"B9.F3",0.0428,0.0428,103,0.125,0.121842764263277,26
"B9.F4",0.0121,0.0121,103,0.0947,0.0914751636090548,26
"B9.F5",0.0057,0.0057,103,0.0343,0.0372307692307692,26
"B10.F1",0.0324,0.0324,103,2e-04,0.00115344896067788,26
"B10.F2",0.0438,0.0438,103,0.0054,0.000635022775141283,26
"B10.F3",0.0506,0.0506,103,0,0.00362178025652718,26
"B10.F4",0.0097,0.0097,104,0.0086,0.00219623784951398,25
"B10.F5",0.073,0.073,103,0.0153,0.0375685893758183,26
"B11.F1",0.0276,0.0276,103,0.0916,0.0719054624440052,26
"B11.F2",0.0116,0.0116,103,4e-04,0.00110389572297602,26
"B11.F3",0.171,0.171,104,0.136,0.135973094701908,25
"B11.F4",0.0128,0.0128,103,0.0471,0.0126687675746217,26
"B11.F5",0.0123,0.0123,103,0.0178,0.0150175915250854,26
"B12.F1",0.023,0.023,103,0.0175,0.00394239418526641,26
"B12.F2",0.0423,0.0423,103,0.0069,0.0278159241178109,26
"B12.F3",0.0568,0.0568,103,0.0147,0.0340732139977423,26
"B12.F4",0.0261,0.0261,104,0.0026,0.000214434214434214,25
"B12.F5",0.0169,0.0169,103,6e-04,0.0031268223075452,26
"B13.F1",0.0804,0.0804,103,0.0013,0.0106259694184222,26
"B13.F2",0.0185,0.0185,104,0.0219,0.00189254483474137,25
"B13.F3",0.0901,0.0901,103,0.0162,0.0196991239981894,26
"B13.F4",0.0273,0.0273,103,0.0096,0.00875213675213675,26
"B13.F5",0.002,0.002,103,0.0776,0.0772323071008192,26
"B14.F1",0.0161,0.0161,103,0.0035,0.000334730526434953,26
"B14.F2",0.0372,0.0372,103,0.0308,9.49993402823591e-06,26
"B14.F3",0.053,0.053,104,0.0105,0.00103339133565343,25
"B14.F4",0.0368,0.0368,103,0.0191,0.00491869954382792,26
"B14.F5",0.0381,0.0381,103,2e-04,0.00544007531959339,26
"B15.F1",0.1003,0.1003,104,0.0375,0.0861061419200954,25
"B15.F2",0.0596,0.0596,103,0.0036,0.00186193110557,26
"B15.F3",0.0707,0.0707,103,0.0283,0.0376277881652753,26
"B15.F4",0.0149,0.0149,103,0.0265,0.0189709628120224,26
"B15.F5",0.0048,0.0048,103,0.0793,0.120105103918866,26
"B16.F1",0.0638,0.0638,103,0.0179,0.0851609769514596,26
"B16.F2",0.0378,0.0378,104,0.0064,0.0704783233459704,25
"B16.F3",0.028,0.028,103,0.0134,0.00497146068080324,26
"B16.F4",0.0216,0.0216,103,0.0537,0.00811754296592219,26
"B16.F5",0.0035,0.0035,103,0.0209,0.0317266126086639,26
"B17.F1",0.0265,0.0265,103,0.0399,0.035729849802139,26
"B17.F2",0.03,0.03,103,0.0024,0.0176258440354826,26
"B17.F3",0.0558,0.0558,103,0,0.00198300131377859,26
"B17.F4",0.0522,0.0522,104,1e-04,0.00282803682803683,25
"B17.F5",0.0169,0.0169,103,0.0024,0.00229874946856079,26
"B18.F1",0.0122,0.0122,103,0.0127,0.00658080929952662,26
"B18.F2",0.0162,0.0162,103,0.0261,0.0147502465201883,26
"B18.F3",0.0258,0.0258,103,0.0031,0.00562197971194511,26
