"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0304,0.0304,230,0.02,0.00351969082936541,57
"B1.F2",0.0137,0.0137,229,0.006,0.00180053656499222,58
"B1.F3",1e-04,1e-04,229,0.1298,0.117687634001502,58
"B1.F4",0.0092,0.0092,230,0.0589,0.0233937330557284,57
"B1.F5",0.0296,0.0296,230,0.005,0.000888064830792557,57
"B2.F1",0.0044,0.0044,230,0.0376,0.0551212906753041,57
"B2.F2",0.0154,0.0154,230,0.001,0.00234699455419751,57
"B2.F3",0.031,0.031,230,0.0018,0.00300896501863125,57
"B2.F4",0.0098,0.0098,229,0.0056,0.0176144624015275,58
"B2.F5",0.0076,0.0076,229,0.013,0.0181278321891739,58
"B3.F1",0.0028,0.0028,229,0.0519,0.0619892562868352,58
"B3.F2",0.0036,0.0036,230,0.0144,0.00814404306173065,57
"B3.F3",0.0229,0.0229,230,1e-04,0.00191598811601155,57
"B3.F4",0.0086,0.0086,229,0.0307,0.0301313653302575,58
"B3.F5",0.0109,0.0109,230,2e-04,8.41461772737016e-05,57
"B4.F1",0.004,0.004,229,0.0329,0.0225828131385383,58
"B4.F2",0.0019,0.0019,230,0.0931,0.0792943032183812,57
"B4.F3",0.0254,0.0254,229,0,0.0025882505221909,58
"B4.F4",0.0214,0.0214,230,0.0237,0.0328929850254714,57
"B4.F5",0.0069,0.0069,230,0.0202,0.0130079060167212,57
"B5.F1",0.0057,0.0057,229,0.0201,0.0123700830133987,58
"B5.F2",0.0118,0.0118,230,2e-04,1.85396238257355e-06,57
"B5.F3",0.0123,0.0123,229,0.0163,0.0327261116200487,58
"B5.F4",0.0126,0.0126,230,0.0092,0.00801544838361017,57
"B5.F5",0.0056,0.0056,230,0.0318,0.0258864806440642,57
"B6.F1",0.0152,0.0152,230,0.0441,0.0457344276518952,57
"B6.F2",0.01,0.01,229,0.0157,0.00794224371286124,58
"B6.F3",0.0187,0.0187,230,0.0039,0.00431053001963036,57
"B6.F4",0.0082,0.0082,230,0.0215,0.0227431175120866,57
"B6.F5",0.0035,0.0035,229,0.0055,0.0117945403553866,58
"B7.F1",3e-04,3e-04,229,0.0754,0.0564265536052181,58
"B7.F2",0.0137,0.0137,230,0.0133,0.012049537188246,57
"B7.F3",0.0114,0.0114,230,0.0018,0.00261834968240216,57
"B7.F4",0.0315,0.0315,229,2e-04,0.00131568455257814,58
"B7.F5",0.0159,0.0159,230,0.0036,0.00791096993400739,57
"B8.F1",0.0238,0.0238,230,9e-04,2.20900919874087e-05,57
"B8.F2",0.0242,0.0242,229,0.0041,0.00248709526874697,58
"B8.F3",0.0139,0.0139,230,0.0137,0.0176534484442185,57
"B8.F4",3e-04,3e-04,229,0.1087,0.0757903182533132,58
"B8.F5",0.0131,0.0131,230,0.0045,9.69732885729774e-06,57
"B9.F1",0.0077,0.0077,230,0.0756,0.112058063999674,57
"B9.F2",0,0,229,0.0562,0.0477804327585625,58
"B9.F3",0.0386,0.0386,229,0.0031,0.000616415372829162,58
"B9.F4",0.0071,0.0071,230,0.0081,0.00406509069762051,57
"B9.F5",0.0139,0.0139,230,0.0114,0.00614789217090392,57
