"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0068,0.0068,230,0.0104,0.00521714263248129,57
"B1.F2",2e-04,2e-04,229,0.0384,0.0477298545000123,58
"B1.F3",1e-04,1e-04,229,0.0709,0.0564661614494372,58
"B1.F4",0.0241,0.0241,230,2e-04,0.000499969019511086,57
"B1.F5",0.0015,0.0015,230,0.0225,0.0155374737047697,57
"B2.F1",0.0155,0.0155,230,0.0087,0.00845711441199244,57
"B2.F2",0.0014,0.0014,229,0.0471,0.0415122795250282,58
"B2.F3",0.0021,0.0021,230,0.0022,0.00840960069926746,57
"B2.F4",0.0028,0.0028,229,0.009,0.0121198845654678,58
"B2.F5",0.0139,0.0139,230,0.0446,0.0278390318531613,57
"B3.F1",0.0113,0.0113,229,0.001,0.000166964819549918,58
"B3.F2",2e-04,2e-04,229,0.0535,0.0322581481402942,58
"B3.F3",0.0328,0.0328,230,8e-04,4.82881506842012e-05,57
"B3.F4",0.0012,0.0012,230,0.0388,0.0502148322498784,57
"B3.F5",0.0041,0.0041,230,0.0579,0.0351414427265276,57
"B4.F1",0.0013,0.0013,229,0.0804,0.0669702251719724,58
"B4.F2",0.002,0.002,230,0.0512,0.0377732861152338,57
"B4.F3",0.0024,0.0024,230,0.0507,0.0398808069698356,57
"B4.F4",0.0015,0.0015,230,0.0021,0.00278791646177304,57
"B4.F5",0.0337,0.0337,229,0.0036,0.00180403490897355,58
"B5.F1",0.0019,0.0019,230,0.0938,0.0699794028654571,57
"B5.F2",9e-04,9e-04,230,0.0507,0.0476183314299977,57
"B5.F3",0.0089,0.0089,229,0.0028,0.00762469597115068,58
"B5.F4",0.0263,0.0263,229,0.0039,0.00202219073524815,58
"B5.F5",0.0093,0.0093,230,0.0122,0.00799449178947745,57
"B6.F1",0.014,0.014,229,6e-04,0.000241726517869715,58
"B6.F2",0.0061,0.0061,230,0.0953,0.0953102577165514,57
"B6.F3",0.0133,0.0133,230,0.0099,0.0173926800578797,57
"B6.F4",0.0011,0.0011,230,0.0483,0.0512062062904687,57
