"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0028,0.0028,228,0.0066,0.00303713841326035,58
"B1.F2",0.0021,0.0021,229,0.008,0.00485666826215443,57
"B1.F3",1e-04,1e-04,229,0,0.000272205618177876,57
"B1.F4",0.0121,0.0121,229,0.0285,0.028670590702075,57
"B1.F5",9e-04,9e-04,229,3e-04,0.00270965112750949,57
"B2.F1",1e-04,1e-04,229,0.0012,0.00879021978571578,57
"B2.F2",4e-04,4e-04,229,0.019,0.01759841631086,57
"B2.F3",0.0031,0.0031,229,0.0078,0.00114492766338249,57
"B2.F4",0.0102,0.0102,229,0.007,0.00412685401195452,57
"B2.F5",0.0011,0.0011,228,0.0073,0.0212210250645893,58
"B3.F1",0,0,229,0.0148,0.0202813638597627,57
"B3.F2",1e-04,1e-04,229,0,0.00130338965855418,57
"B3.F3",0,0,228,0.0022,0.00506333034303795,58
"B3.F4",0.0016,0.0016,229,4e-04,0.000863117742174265,57
"B3.F5",0.0113,0.0113,229,0.0409,0.026965038375047,57
"B4.F1",0.0071,0.0071,229,0.0011,0.00309145909740137,57
"B4.F2",0.003,0.003,228,0.0012,0.00242684874359892,58
"B4.F3",0.0198,0.0198,229,0.0529,0.0423461356317257,57
"B4.F4",0.0046,0.0046,229,0.0086,0.00340921717639374,57
"B4.F5",0,0,229,0.0061,0.0017026223390375,57
"B5.F1",0.0052,0.0052,229,0.0043,0.00038979325090296,57
"B5.F2",0.0017,0.0017,228,0.0277,0.0246915292580289,58
"B5.F3",5e-04,5e-04,229,2e-04,0.00216052761944637,57
"B5.F4",0.0025,0.0025,229,0.0018,0.00402667078010351,57
"B5.F5",0.003,0.003,229,0.016,0.00949531800841109,57
"B6.F1",3e-04,3e-04,229,0.0036,0.000311179836347435,57
"B6.F2",0.001,0.001,229,0.0036,0.00754869581439699,57
"B6.F3",0.0181,0.0181,228,0.0619,0.0838911528806262,58
"B6.F4",0.002,0.002,229,2e-04,0.00231008989798746,57
"B6.F5",0.0034,0.0034,229,3e-04,0.00081003509852638,57
"B7.F1",0.0021,0.0021,229,0.0377,0.0407137874566404,57
"B7.F2",0.0059,0.0059,228,0.0041,0.00264552288876081,58
"B7.F3",0.0011,0.0011,229,0.0064,0.00210068211934635,57
"B7.F4",8e-04,8e-04,229,0.002,0.00175538041447242,57
"B7.F5",0,0,229,0.0181,0.0390754119585035,57
"B8.F1",5e-04,5e-04,229,0.0059,0.00705131421375065,57
"B8.F2",7e-04,7e-04,229,7e-04,0.00453555597109955,57
"B8.F3",0.0074,0.0074,228,0.0262,0.0209237994020519,58
"B8.F4",0.0013,0.0013,229,8e-04,0.00704247997499803,57
"B8.F5",0.0028,0.0028,229,0.0106,0.00622649272390812,57
"B9.F1",5e-04,5e-04,229,0.0018,0.00134638701215513,57
"B9.F2",3e-04,3e-04,229,0.0194,0.0374589554008303,57
"B9.F3",0.0021,0.0021,229,0.0165,0.0394105505591116,57
"B9.F4",0.0019,0.0019,229,1e-04,0.000181822732888133,57
"B9.F5",0,0,228,0.0055,0.00545070242454418,58
"B10.F1",0.0069,0.0069,229,0.0178,0.0107385784064559,57
"B10.F2",1e-04,1e-04,229,0.0011,0.00417910534279553,57
"B10.F3",0,0,228,0.0036,0.00450847215715579,58
"B10.F4",5e-04,5e-04,229,0,6.36022605123703e-05,57
"B10.F5",0.002,0.002,229,2e-04,0.00075666102111526,57
