"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0249,0.0249,58,0.0053,0.00127551020408163,15
"B1.F2",0.0073,0.0073,58,0.0101,0.017023383593151,15
"B1.F3",0.012,0.012,58,0.0011,0.0139902363823227,15
"B1.F4",0.0063,0.0063,59,0.4373,0.414679386547518,14
"B1.F5",0.0182,0.0182,59,0.13,0.0987755102040816,14
"B2.F1",0.0011,0.0011,59,0.0552,0.023720772619451,14
"B2.F2",0.0015,0.0015,59,0.1091,0.101557782876464,14
"B2.F3",0.0453,0.0453,58,0.0047,2.87503194479939e-05,15
"B2.F4",0.0765,0.0765,58,0.0389,0.000115621788283659,15
"B2.F5",0.0862,0.0862,58,0.025,1.27551020408163e-05,15
"B3.F1",0.0463,0.0463,58,0.0362,0.0483246753246753,15
"B3.F2",0.0156,0.0156,59,0.4542,0.354744596063277,14
"B3.F3",0.0822,0.0822,59,0.0015,1.93638960158784e-05,14
"B3.F4",0.0901,0.0901,58,0.0855,0.005625,15
"B3.F5",9e-04,9e-04,58,0.0165,0.00674744897959183,15
"B4.F1",6e-04,6e-04,58,0.1805,0.0474617346938775,15
"B4.F2",0.2027,0.2027,59,0.2344,0.130202836810766,14
"B4.F3",0.1298,0.1298,58,0.0155,0.0194005102040816,15
"B4.F4",0.0272,0.0272,58,0.2229,0.25719387755102,15
"B4.F5",0.102,0.102,59,0.1483,0.123198752467045,14
"B5.F1",0.0068,0.0068,59,0.2284,0.231667672986354,14
"B5.F2",0.0887,0.0887,58,0.02,0.0626118067978533,15
"B5.F3",3e-04,3e-04,59,0.0048,0.000584470474580365,14
"B5.F4",0.0235,0.0235,58,0.0216,0.0738052645029389,15
"B5.F5",0.0683,0.0683,58,0.0138,0.0365736008177869,15
"B6.F1",0.0501,0.0501,58,0.0037,0.0073469387755102,15
"B6.F2",0.0515,0.0515,59,0.0075,0.00139904148714721,14
"B6.F3",0.015,0.015,58,0.0884,0.0225,15
"B6.F4",0.0227,0.0227,58,0.0112,0.0100719424460432,15
"B6.F5",0.0067,0.0067,59,0.0075,0.00174375075473977,14
"B7.F1",0.0022,0.0022,58,0.1354,0.183673469387755,15
"B7.F2",0.0175,0.0175,59,0.0936,0.0180132642687709,14
"B7.F3",0.0211,0.0211,59,1e-04,0.000816326530612245,14
"B7.F4",0.0036,0.0036,58,0.0058,0.053890306122449,15
"B7.F5",0.0277,0.0277,58,0.0151,0.00184002044467161,15
"B8.F1",0.154,0.154,59,0.335,0.324023668639053,14
"B8.F2",0.127,0.127,58,0.0183,0.0107270408163265,15
"B8.F3",0.0173,0.0173,58,0.0618,0.040790314336826,15
"B8.F4",0.1211,0.1211,58,0.0731,0.0184183673469388,15
"B8.F5",0.0514,0.0514,59,0.0419,0.011153604105146,14
"B9.F1",0.0268,0.0268,59,0.0609,0.0595145513826832,14
"B9.F2",0.0085,0.0085,59,0.1105,0.0513578932081135,14
"B9.F3",0.0175,0.0175,58,0.1054,0.0761690647482015,15
"B9.F4",0.0011,0.0011,58,0.0786,0.101033163265306,15
"B9.F5",0.0014,0.0014,58,0.0645,0.0647610483042138,15
"B10.F1",0.0132,0.0132,58,0.0077,0.0130612244897959,15
"B10.F2",0.077,0.077,59,0.0583,0.0382610795797609,14
"B10.F3",0.0317,0.0317,59,0.3152,0.21505132230407,14
"B10.F4",0.0916,0.0916,58,0.0455,0.0262987012987013,15
"B10.F5",0.0195,0.0195,58,0.0315,0.00437324303603373,15
"B11.F1",0.0711,0.0711,58,0.0293,0.0400715563506261,15
"B11.F2",0.0218,0.0218,58,0.0359,0.0184183673469388,15
"B11.F3",0.0015,0.0015,59,0.1915,0.137959183673469,14
"B11.F4",9e-04,9e-04,59,0.1722,0.06222557929875,14
"B11.F5",0.0576,0.0576,58,1e-04,0.000459183673469388,15
"B12.F1",0.0395,0.0395,59,0.1181,0.0933268928873324,14
"B12.F2",0.0036,0.0036,58,0.0906,0.0073469387755102,15
"B12.F3",0.1032,0.1032,58,0.025,0.00371274409044193,15
"B12.F4",0.1168,0.1168,58,0.0108,0.0152089189879888,15
"B12.F5",0.0053,0.0053,59,0.185,0.119062915106871,14
"B13.F1",0.0247,0.0247,58,0,0.000114795918367347,15
"B13.F2",0.0489,0.0489,59,0.0187,0.00893128849172805,14
"B13.F3",0.0097,0.0097,59,0.1961,0.161763072092742,14
"B13.F4",0.0056,0.0056,58,0.0154,0.0152089189879888,15
"B13.F5",0.0639,0.0639,58,1e-04,0.00511116790186558,15
"B14.F1",0.1107,0.1107,58,0.0149,0.000392857142857143,15
"B14.F2",0.0103,0.0103,58,0.094,0.0555612244897959,15
"B14.F3",0,0,58,0.0018,0.00103316326530612,15
"B14.F4",0.0763,0.0763,59,0.0584,0.00012102435009924,14
"B14.F5",0.0111,0.0111,59,0.0347,4.34730105059775e-05,14
"B15.F1",0.0038,0.0038,58,0.0881,0.00862244897959183,15
"B15.F2",0.0118,0.0118,59,0.0067,0.00559616594858886,14
"B15.F3",0.0474,0.0474,59,0.0283,0.0332761743750755,14
"B15.F4",0.0334,0.0334,58,0.0059,0.0174929721441349,15
"B15.F5",0.0557,0.0557,58,0.0159,0.00536992077689752,15
"B16.F1",0.035,0.035,58,0.2877,0.183673469387755,15
"B16.F2",0.0012,0.0012,58,0.2964,0.21099220546895,15
"B16.F3",0.0326,0.0326,58,0.0564,0.0459183673469388,15
"B16.F4",0.0248,0.0248,59,0.0043,0.016814394396812,14
