"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0016,0.0016,57,0.1198,0.00407125913733843,14
"B1.F2",0.0196,0.0196,56,0.0733,0.0046377183967112,15
"B1.F3",0.0344,0.0344,57,0.0747,0.329047216519744,14
"B1.F4",6e-04,6e-04,57,0.0633,0.0674057220312727,14
"B1.F5",0.0025,0.0025,57,1e-04,0.00713174465983455,14
"B2.F1",0.0031,0.0031,56,0.0015,0.00326530612244898,15
"B2.F2",0.0428,0.0428,57,0.5203,0.390287761019468,14
"B2.F3",0.0024,0.0024,57,0.0833,0.0557929875003046,14
"B2.F4",0.0142,0.0142,57,0,0.000394727223995517,14
"B2.F5",0.0141,0.0141,57,0.0058,0.0053068882337175,14
"B3.F1",4e-04,4e-04,56,0.0538,0.0776020408163265,15
"B3.F2",0.0036,0.0036,57,0.0036,0.0288930581613508,14
"B3.F3",0.0097,0.0097,57,0.0348,0.0126751297483005,14
"B3.F4",0.0391,0.0391,57,0.1255,0.124202508308469,14
"B3.F5",0,0,57,0.0215,0.00214907044175337,14
"B4.F1",5e-04,5e-04,56,0.1326,0.0625,15
"B4.F2",7e-04,7e-04,57,0.0464,0.132672205842938,14
"B4.F3",0.0048,0.0048,57,0.102,0.105277194715397,14
"B4.F4",0.0697,0.0697,57,0.1164,0.0707209274242241,14
"B4.F5",0.0019,0.0019,57,0.0142,0.0270453142363255,14
"B5.F1",0.035,0.035,57,0.1487,0.0543931839086024,14
"B5.F2",0.0154,0.0154,56,0.0042,0.0283787255909558,15
"B5.F3",0.0131,0.0131,57,0.133,0.0473421084410095,14
"B5.F4",0.0053,0.0053,57,0.0059,0.0365279664156069,14
"B5.F5",0.01,0.01,57,0.1125,0.0403547671840355,14
"B6.F1",0.026,0.026,56,0.2099,0.227248201438849,15
"B6.F2",0.104,0.104,57,0.1657,0.152671718525377,14
"B6.F3",6e-04,6e-04,57,0.0031,0.0427748462990754,14
"B6.F4",0.01,0.01,57,0.0065,0.0126751297483005,14
"B6.F5",0.0023,0.0023,57,0.0234,0.0301461176186451,14
"B7.F1",0.0175,0.0175,57,0.0079,0.000309822336254054,14
"B7.F2",3e-04,3e-04,57,0.022,0.0181330864257694,14
"B7.F3",0.035,0.035,56,0.089,0.131050873586845,15
"B7.F4",0.0085,0.0085,57,0.0512,0.0854437869822485,14
"B7.F5",0.0261,0.0261,57,0.2208,0.0335713067420385,14
"B8.F1",0.0064,0.0064,57,0.0125,0.000236686390532544,14
"B8.F2",0.0553,0.0553,57,0.5897,0.476185423771631,14
"B8.F3",6e-04,6e-04,57,0.0144,0.128337157348146,14
"B8.F4",0.002,0.002,57,0.0071,0.0349760371786803,14
"B8.F5",1e-04,1e-04,56,0.0365,0.0115621788283659,15
"B9.F1",0.0036,0.0036,57,0.0037,0.0596456407029094,14
"B9.F2",0.0067,0.0067,57,0.039,0.0503654935372997,14
"B9.F3",0.0088,0.0088,57,0.1692,0.409938519630149,14
"B9.F4",6e-04,6e-04,57,0.0478,0.0340239535745154,14
"B9.F5",3e-04,3e-04,56,0.0226,0.0253034755941733,15
"B10.F1",1e-04,1e-04,57,0.0562,0.00444499320903815,14
"B10.F2",0.0033,0.0033,57,0.0141,0.0204081632653061,14
"B10.F3",1e-04,1e-04,56,0.0038,0.00420779220779221,15
"B10.F4",0.0049,0.0049,57,0.1154,0.110379048264511,14
"B10.F5",0.0034,0.0034,57,0.0342,0.0365608018355271,14
"B11.F1",0.0243,0.0243,57,0.0073,0.00301895906291511,14
"B11.F2",0.0156,0.0156,57,0.0634,0.0785994493311567,14
"B11.F3",0.0205,0.0205,56,0.1014,0.101943371943372,15
"B11.F4",2e-04,2e-04,57,0.016,0.0785994493311567,14
"B11.F5",0.0119,0.0119,57,0.0567,0.0223846637943554,14
"B12.F1",0.0043,0.0043,57,0.0079,0.00853947814300237,14
"B12.F2",0.0042,0.0042,57,0.0093,0.00301895906291511,14
"B12.F3",0.0517,0.0517,56,0.1822,0.375655190133607,15
"B12.F4",0.0342,0.0342,57,0.0517,0.0186087040712591,14
"B12.F5",1e-04,1e-04,57,0.1114,0.11216875078944,14
"B13.F1",0.0067,0.0067,56,0.0141,0.0800292207792207,15
"B13.F2",0.0022,0.0022,57,0.0494,0.0186087040712591,14
"B13.F3",0,0,57,0.017,0.00464195145513827,14
"B13.F4",0.0124,0.0124,57,0.0713,0.146565328944184,14
"B13.F5",0.0038,0.0038,57,0.0416,0.0348487467588591,14
"B14.F1",0.0017,0.0017,57,0.0684,0.0439804098340684,14
"B14.F2",0.0169,0.0169,56,0.0037,0.0950154162384378,15
"B14.F3",0.0112,0.0112,57,0.002,0.000120758362516604,14
"B14.F4",0.0042,0.0042,57,0.0524,0.0600423966277625,14
"B14.F5",1e-04,1e-04,57,0,0.00593019315486276,14
"B15.F1",0.0028,0.0028,56,0.0214,0.00510204081632653,15
"B15.F2",0.0224,0.0224,57,0.1045,0.0301461176186451,14
"B15.F3",0.0069,0.0069,57,0.0201,0.00550208412277378,14
"B15.F4",0.0515,0.0515,57,0.0117,0.00871218668971478,14
"B15.F5",0.0024,0.0024,57,0.0076,0.0382610795797609,14
"B16.F1",6e-04,6e-04,57,0.009,0.00667137740308472,14
"B16.F2",0.0036,0.0036,57,0.0017,0.0316918246588576,14
"B16.F3",0.0193,0.0193,57,0.2239,0.128619838311468,14
"B16.F4",3e-04,3e-04,56,0.0057,0.00646882187579862,15
"B16.F5",0.0094,0.0094,57,0.0574,0.103316912972085,14
"B17.F1",0.0015,0.0015,57,0.0104,0.104608607251779,14
"B17.F2",2e-04,2e-04,56,0.0063,0.00485880398671096,15
