"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0366,0.0366,60,0.0013,0.0198286295202595,14
"B1.F2",0.0151,0.0151,59,0.0115,0.00369281880909788,15
"B1.F3",0.052,0.052,59,0.0094,0.0308453237410072,15
"B1.F4",7e-04,7e-04,59,0.1183,0.21099220546895,15
"B1.F5",0.0132,0.0132,59,0.1001,0.000156529516994633,15
"B2.F1",0.0677,0.0677,59,0.013,0.0703494347379239,15
"B2.F2",0.0134,0.0134,59,0.3511,0.330625,15
"B2.F3",0.0081,0.0081,59,1e-04,0.00368622448979592,15
"B2.F4",0.0079,0.0079,60,0.1616,0.291449502878074,14
"B2.F5",0.0819,0.0819,59,5e-04,0.00510204081632653,15
"B3.F1",0.0127,0.0127,59,0.0325,0.0308453237410072,15
"B3.F2",0.0144,0.0144,60,0.1142,0.104378698224852,14
"B3.F3",0.0301,0.0301,59,0.0417,0.0445596518177164,15
"B3.F4",7e-04,7e-04,59,0.2093,0.16,15
"B3.F5",0.0674,0.0674,59,0.0192,0.00328879753340185,15
"B4.F1",0.0037,0.0037,60,0.0454,0.0417775630962444,14
"B4.F2",0.0039,0.0039,59,0.0977,0.0797469971888577,15
"B4.F3",0.0748,0.0748,59,0.0044,0.0321171634121274,15
"B4.F4",0.0184,0.0184,59,0.0033,0.0334146968139774,15
"B4.F5",0.0336,0.0336,59,0.026,0.0371938775510204,15
"B5.F1",0.0148,0.0148,60,0.1459,0.0707209274242241,14
"B5.F2",0.0448,0.0448,59,0.0712,0.0699718885765397,15
"B5.F3",0.0086,0.0086,59,0.175,0.157436749297214,15
"B5.F4",2e-04,2e-04,59,0.1544,0.148688311688312,15
"B5.F5",0.0392,0.0392,59,0.0044,0.0152361751152074,15
"B6.F1",0.0257,0.0257,59,0.44,0.11031887755102,15
"B6.F2",0.0123,0.0123,59,0.0013,3.19447993866598e-06,15
"B6.F3",0.0585,0.0585,60,0.0045,0.000834670947030497,14
"B6.F4",0.0212,0.0212,59,0.0491,0.0122576530612245,15
"B6.F5",0.0036,0.0036,59,0.1288,0.129060184002044,15
"B7.F1",0.0975,0.0975,59,0.039,0.070489417989418,15
"B7.F2",0.0192,0.0192,60,0.0049,0.00352907004889384,14
"B7.F3",0.0064,0.0064,59,0.2599,0.2025,15
"B7.F4",0.0067,0.0067,59,0.0718,0.0385841836734694,15
"B7.F5",0.0055,0.0055,59,0.0281,0.00736008177868643,15
"B8.F1",0.0291,0.0291,60,0.1439,0.129475402646134,14
"B8.F2",0.0387,0.0387,59,0.0085,0.0184513161257347,15
"B8.F3",1e-04,1e-04,59,0.002,0,15
"B8.F4",0.0575,0.0575,59,0.0177,0.0307347670250896,15
"B8.F5",0.0055,0.0055,59,0.3895,0.168987988755431,15
"B9.F1",0.0707,0.0707,59,0.0358,0.0107462305136724,15
"B9.F2",0.0288,0.0288,59,0.011,0.00103316326530612,15
"B9.F3",0.0035,0.0035,59,0.2005,0.217112024665982,15
"B9.F4",0.0266,0.0266,59,0.2893,0.277607913669065,15
"B9.F5",0.0211,0.0211,60,0.0203,0.0651401461974149,14
"B10.F1",0.0022,0.0022,59,0.0988,0.0195400822199383,15
"B10.F2",0.0352,0.0352,59,0.0194,0.0214413265306122,15
"B10.F3",0.0122,0.0122,60,0,0.00139904148714721,14
"B10.F4",6e-04,6e-04,59,0.1975,0.161720546894965,15
"B10.F5",0.0814,0.0814,59,0.0013,0.0156529516994633,15
"B11.F1",0.0501,0.0501,59,0.0011,0.00414004600051112,15
"B11.F2",7e-04,7e-04,60,0.1033,0.0497112643454107,14
"B11.F3",0.0588,0.0588,59,0.218,0.147083761562179,15
"B11.F4",7e-04,7e-04,59,0.1307,0.016530612244898,15
"B11.F5",0.0489,0.0489,59,0.1397,0.154336734693878,15
"B12.F1",6e-04,6e-04,59,0.3662,0.331216457960644,15
"B12.F2",0.03,0.03,59,0.0206,0.000204081632653061,15
