"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0058,0.0058,59,0.0925,0.00328879753340185,15
"B1.F2",0.0367,0.0367,59,0.0017,0.0402877697841727,15
"B1.F3",0.0301,0.0301,60,0.0026,0.0341579125720095,14
"B1.F4",1e-04,1e-04,59,0.2266,0.19297193877551,15
"B1.F5",0.0181,0.0181,59,0.0772,0.0857653061224489,15
"B2.F1",0.011,0.011,59,0.1275,0.254037822642474,15
"B2.F2",0.0033,0.0033,59,0.0036,0.00252252252252252,15
"B2.F3",0.0018,0.0018,59,0.1776,0.0467703807820087,15
"B2.F4",0.1684,0.1684,60,0.0182,0.0638811737712837,14
"B2.F5",0.0067,0.0067,59,0.5707,0.191748658318426,15
"B3.F1",7e-04,7e-04,59,0.0028,0.00830884232047023,15
"B3.F2",0.0444,0.0444,59,0.0186,0.0139902363823227,15
"B3.F3",2e-04,2e-04,59,0.4399,0.09,15
"B3.F4",2e-04,2e-04,60,0.0801,0.0368850661533588,14
"B3.F5",0.069,0.069,59,0.1842,0.260829081632653,15
"B4.F1",0,0,59,0.3542,0.154336734693878,15
"B4.F2",0.0029,0.0029,59,0.2515,0.384644134934833,15
"B4.F3",0.0033,0.0033,59,0.1567,0.0736734693877551,15
"B4.F4",0.0722,0.0722,59,0.005,0.00646882187579862,15
"B4.F5",7e-04,7e-04,60,0.0668,0.0164153088291019,14
"B5.F1",0.0338,0.0338,59,0.0391,0.00566546762589928,15
"B5.F2",0.0052,0.0052,59,0.1294,0.174604591836735,15
"B5.F3",0.101,0.101,60,0.0045,0.0198286295202595,14
"B5.F4",0.0463,0.0463,59,0.0117,0.00215946843853821,15
"B5.F5",0.0897,0.0897,59,0.2817,0.255408530318602,15
"B6.F1",0.0101,0.0101,59,0.1126,0.00286989795918367,15
"B6.F2",0,0,59,0.3703,0.181924460431655,15
"B6.F3",0.001,0.001,59,0.1149,0.115114795918367,15
"B6.F4",0.0394,0.0394,59,1e-04,0.00830884232047023,15
"B6.F5",0.0437,0.0437,60,0.3556,0.302141760678346,14
"B7.F1",0.0161,0.0161,60,0.0376,0.00667137740308472,14
"B7.F2",0.0015,0.0015,59,0.2444,0.298584183673469,15
"B7.F3",0.0099,0.0099,59,0.1505,0.0589795918367347,15
"B7.F4",0.0383,0.0383,59,0.0083,0.00154612829031434,15
"B7.F5",0.0593,0.0593,59,0.0555,0.120876156217883,15
"B8.F1",0.0036,0.0036,59,0.1428,0.0523383593151035,15
"B8.F2",0.0724,0.0724,59,0.0225,0.00332467532467532,15
"B8.F3",0.0035,0.0035,60,0.2345,0.0960318802077044,14
"B8.F4",0.0044,0.0044,59,0.2306,0.176415154612829,15
"B8.F5",0.0726,0.0726,59,0.03,0.012279580884232,15
"B9.F1",0.0563,0.0563,60,0.0169,0.0595145513826832,14
"B9.F2",0,0,59,0.1674,0.0542780061664954,15
"B9.F3",0.0089,0.0089,59,0.0826,0.000938311688311688,15
"B9.F4",3e-04,3e-04,59,0.1825,0.0717474489795918,15
"B9.F5",0.0515,0.0515,59,0.0133,0.0061734693877551,15
"B10.F1",3e-04,3e-04,59,0.0846,0.0987755102040816,15
"B10.F2",0.0049,0.0049,59,0.0195,0.0738052645029389,15
"B10.F3",0.0478,0.0478,59,3e-04,0.00292207792207792,15
"B10.F4",1e-04,1e-04,59,0.1649,0.0611639260020555,15
"B10.F5",0.0709,0.0709,60,0.0031,0.00256087524809992,14
"B11.F1",1e-04,1e-04,59,0.1791,0.180625,15
"B11.F2",0.0057,0.0057,59,0.0581,0.00219480519480519,15
"B11.F3",0.0018,0.0018,59,0.1464,0.184002044467161,15
"B11.F4",0.0047,0.0047,60,0.0203,0.0179736746769714,14
"B11.F5",0.1469,0.1469,59,0.0467,0.141636690647482,15
"B12.F1",0,0,59,0.1322,0.0901610017889087,15
"B12.F2",0,0,60,0.0544,0.0245656782242148,14
"B12.F3",0.0186,0.0186,59,1e-04,0.0157374100719424,15
"B12.F4",0,0,59,0.0669,0.0787407360081779,15
"B12.F5",0.1458,0.1458,59,0.0295,0.000114795918367347,15
"B13.F1",0.0061,0.0061,59,0.4048,0.523974571939688,15
"B13.F2",0.0914,0.0914,59,0.0198,0.00510204081632653,15
"B13.F3",2e-04,2e-04,59,9e-04,0.0267857142857143,15
"B13.F4",0.0213,0.0213,59,0.0517,0.040790314336826,15
"B13.F5",0.0986,0.0986,60,0.0423,0.00174375075473977,14
"B14.F1",0.001,0.001,59,0.0223,0.00103316326530612,15
"B14.F2",0.0038,0.0038,60,0.0378,0.0651401461974149,14
"B14.F3",0.0327,0.0327,59,0.0432,0.00510204081632653,15
"B14.F4",0.0385,0.0385,59,0.0432,0.000115621788283659,15
"B14.F5",0.0028,0.0028,59,0.0614,0.000321171634121274,15
"B15.F1",8e-04,8e-04,59,0.1686,0.125912127440904,15
"B15.F2",0.0079,0.0079,59,0.1886,0.425539568345324,15
"B15.F3",0.0085,0.0085,60,0.1557,0.00895096093333979,14
"B15.F4",0.0556,0.0556,59,0.0336,0.0079719387755102,15
"B15.F5",0.0944,0.0944,59,0.0114,0.0258290816326531,15
"B16.F1",0.0395,0.0395,59,0.0845,0.0950154162384378,15
"B16.F2",0.0728,0.0728,59,0.0057,0.00217112024665982,15
"B16.F3",0.0269,0.0269,59,0.0015,0.00250447227191413,15
"B16.F4",0.049,0.049,60,0.4279,0.300145229220119,14
"B16.F5",0.0283,0.0283,59,0.155,0.19297193877551,15
