"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0039,0.0039,42,0.3724,0.349173553719008,11
"B1.F2",0.1044,0.1044,43,0.037,0.0267768595041322,10
"B1.F3",0.1092,0.1092,43,0.038,0.04,10
"B1.F4",0.0516,0.0516,42,0.0485,0.0846280991735537,11
"B1.F5",0.1787,0.1787,42,0.079,0.0267768595041322,11
"B2.F1",0.0487,0.0487,43,0.3119,0.229237832874196,10
"B2.F2",0.004,0.004,42,0.3453,0.382148760330578,11
"B2.F3",0.0228,0.0228,42,0.0846,0.0298347107438017,11
"B2.F4",0.0412,0.0412,43,0.3537,0.374692378328742,10
"B2.F5",0.0557,0.0557,42,0.0654,0.24099173553719,11
"B3.F1",0.0306,0.0306,42,0,0.00826446280991736,11
"B3.F2",0.0237,0.0237,42,0.2613,0.198429752066116,11
"B3.F3",0.2125,0.2125,43,0.068,0.111111111111111,10
"B3.F4",0.0115,0.0115,43,0.0087,0.0194306703397612,10
"B3.F5",0.019,0.019,42,0.28,0.297520661157025,11
"B4.F1",0.1811,0.1811,43,0.0088,0.0558677685950413,10
"B4.F2",0.0416,0.0416,42,0.283,0.40495867768595,11
"B4.F3",2e-04,2e-04,42,0.0063,8.26446280991736e-05,11
"B4.F4",0.0671,0.0671,43,0.01,0.00444444444444444,10
"B4.F5",0.1075,0.1075,42,0.0286,0.011900826446281,11
"B5.F1",0.0992,0.0992,42,0.0057,0.00826446280991736,11
"B5.F2",0.0337,0.0337,43,0.0411,0.206611570247934,10
"B5.F3",0.1499,0.1499,43,0.0098,0.0229568411386593,10
"B5.F4",0.0506,0.0506,42,0.028,0.0516528925619835,11
"B5.F5",0.0244,0.0244,42,0.0902,0.25,11
"B6.F1",0.0741,0.0741,42,0.1318,0.24099173553719,11
"B6.F2",0.1988,0.1988,43,0.1953,0.119338842975207,10
"B6.F3",0.0143,0.0143,42,0.4562,0.393471074380165,11
"B6.F4",0.0477,0.0477,43,0.1865,0.0811386593204775,10
"B6.F5",0.2603,0.2603,42,5e-04,0.00251141552511416,11
"B7.F1",0.0912,0.0912,42,5e-04,0.116749688667497,11
"B7.F2",0.0477,0.0477,43,0.0111,3.67309458218549e-05,10
"B7.F3",0.035,0.035,43,0.7256,0.689403122130395,10
"B7.F4",0.1223,0.1223,42,0.0784,0.00297520661157025,11
"B7.F5",0.0612,0.0612,42,0,0.0330578512396694,11
"B8.F1",0.004,0.004,42,0.3359,0.37099173553719,11
"B8.F2",0.0462,0.0462,43,0.0031,0.136675849403122,10
"B8.F3",0.1982,0.1982,42,0,0.0420298879202989,11
"B8.F4",0.0641,0.0641,42,0.0577,0.138925619834711,11
"B8.F5",0.1856,0.1856,43,0.2104,0.119338842975207,10
"B9.F1",0.073,0.073,42,0.0174,0.047603305785124,11
"B9.F2",0.1065,0.1065,42,0.0375,0.000330578512396694,11
"B9.F3",0.069,0.069,42,0.0535,0.0558677685950413,11
"B9.F4",1e-04,1e-04,43,0.0246,0.0558677685950413,10
"B9.F5",0.0489,0.0489,43,0.4238,0.592433425160698,10
"B10.F1",0.0646,0.0646,42,0.0188,0.011900826446281,11
"B10.F2",0,0,43,0.1282,0.0955371900826446,10
"B10.F3",0.0072,0.0072,42,0.1241,0.125702479338843,11
"B10.F4",0.3003,0.3003,43,0.1293,0.119338842975207,10
"B10.F5",0.0667,0.0667,42,0.0976,0.0602479338842975,11
"B11.F1",0,0,43,0.0875,0.265381083562902,10
"B11.F2",0.2335,0.2335,42,0.0705,0.0348899958489,11
"B11.F3",0.1386,0.1386,43,0.0013,0.016198347107438,10
"B11.F4",0.1915,0.1915,42,9e-04,0.047603305785124,11
"B11.F5",0.0015,0.0015,42,0.5673,0.528925619834711,11
"B12.F1",0.038,0.038,42,0.032,0.00826446280991736,11
"B12.F2",6e-04,6e-04,42,0.0162,0.00406807804068078,11
"B12.F3",0.0905,0.0905,43,0.0861,0.10317722681359,10
"B12.F4",0.1629,0.1629,42,9e-04,0.00669421487603306,11
"B12.F5",0.0979,0.0979,43,0,0.00179981634527089,10
"B13.F1",0.0212,0.0212,42,0.003,0.000743801652892562,11
"B13.F2",0.0323,0.0323,42,0.5187,0.338512396694215,11
"B13.F3",0.0842,0.0842,43,0.0511,0.016198347107438,10
"B13.F4",0.0843,0.0843,42,0.0029,0.0516528925619835,11
"B13.F5",0.1524,0.1524,43,0.0163,0.000918273645546373,10
"B14.F1",6e-04,6e-04,42,0.0254,0.016198347107438,11
"B14.F2",0.2024,0.2024,42,0.0186,0.0020755500207555,11
"B14.F3",0.016,0.016,43,0.4523,0.420532598714417,10
"B14.F4",1e-04,1e-04,42,0.4187,0.393471074380165,11
"B14.F5",0.0966,0.0966,43,0.0901,0.0502846648301193,10
"B15.F1",0.2314,0.2314,43,1e-04,0.00826446280991735,10
"B15.F2",0.167,0.167,42,0.0488,0.04,11
"B15.F3",0.0022,0.0022,42,0.072,0.259173553719008,11
"B15.F4",0.0106,0.0106,42,0.093,0.132231404958678,11
"B15.F5",0.0084,0.0084,43,0.0678,0.0558677685950413,10
"B16.F1",0.0328,0.0328,43,0.0711,0.145785123966942,10
"B16.F2",0.2813,0.2813,42,0.656,0.502809917355372,11
"B16.F3",0.0492,0.0492,43,5e-04,0.00826446280991735,10
"B16.F4",0.0866,0.0866,42,0.0054,0.00826446280991736,11
"B16.F5",2e-04,2e-04,42,0.3339,0.297520661157025,11
"B17.F1",0.0404,0.0404,42,0.1852,0.175674553756745,11
"B17.F2",0.1536,0.1536,42,0.0187,0.00528925619834711,11
"B17.F3",0.0582,0.0582,43,0.0686,0.0679155188246097,10
"B17.F4",0.1878,0.1878,43,0.1781,0.27801652892562,10
"B17.F5",0.054,0.054,42,0.0577,0.0364462809917355,11
"B18.F1",0.1137,0.1137,43,0.0213,0.0133407243163341,10
"B18.F2",0.0499,0.0499,43,0.0094,0.0502846648301193,10
"B18.F3",0.1814,0.1814,42,0.0046,0.04,11
"B18.F4",0.0012,0.0012,42,0.1467,0.232148760330579,11
"B18.F5",0.0824,0.0824,42,0.0107,0.00669421487603306,11
"B19.F1",0.0928,0.0928,43,0,0.000918273645546373,10
"B19.F2",0.0414,0.0414,42,0.1046,0.0794214876033058,11
"B19.F3",0.0025,0.0025,42,0.1655,0.167355371900826,11
"B19.F4",0.0831,0.0831,42,0.0072,0.0602479338842975,11
"B19.F5",0.1465,0.1465,43,0,0.0352984389348026,10
"B20.F1",9e-04,9e-04,42,0.2336,0.190413223140496,11
"B20.F2",0.1322,0.1322,43,0.0878,0.0502846648301193,10
"B20.F3",0.2847,0.2847,42,0.0028,0.0364462809917355,11
"B20.F4",0.1322,0.1322,43,0.2863,0.229237832874196,10
"B20.F5",0.0135,0.0135,42,0.0082,0.0298347107438017,11
