"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0299,0.0299,40,0.0047,0.0298347107438017,11
"B1.F2",0.1684,0.1684,41,0,0.000918273645546373,10
"B1.F3",0.0972,0.0972,41,0.0554,0.0781966001478196,10
"B1.F4",0.0745,0.0745,41,0.013,0.00297520661157025,10
"B1.F5",0.027,0.027,41,0.4306,0.290945821854913,10
"B2.F1",0.1083,0.1083,41,0.2488,0.195739210284665,10
"B2.F2",0.0041,0.0041,40,0.0918,0.107107438016529,11
"B2.F3",0.179,0.179,41,0.0607,0.145785123966942,10
"B2.F4",0.2441,0.2441,41,0.0015,0.0132598714416896,10
"B2.F5",0.0067,0.0067,41,0.4479,0.174876033057851,10
"B3.F1",0.1879,0.1879,41,0.0071,0.0743801652892562,10
"B3.F2",0.0228,0.0228,41,0.3956,0.246979107848673,10
"B3.F3",0.1433,0.1433,40,0.0788,0.00669421487603306,11
"B3.F4",0.0513,0.0513,41,0.1313,0.217777777777778,10
"B3.F5",0.0265,0.0265,41,0.0528,0.145785123966942,10
"B4.F1",0.1902,0.1902,41,0.0112,0.00133037694013304,10
"B4.F2",0.2944,0.2944,41,0.0192,0.185160697887971,10
"B4.F3",0.2412,0.2412,41,0.1171,0.0811386593204775,10
"B4.F4",0.001,0.001,40,0.0155,0.0602479338842975,11
"B4.F5",0.1939,0.1939,41,0.0683,0.03089072543618,10
"B5.F1",0.1034,0.1034,41,0.0186,0.00620752984389348,10
"B5.F2",0.1517,0.1517,41,0.0015,0.00444444444444444,10
"B5.F3",0.166,0.166,41,0.0079,0.0267768595041322,10
"B5.F4",3e-04,3e-04,41,0.0329,0.0332594235033259,10
"B5.F5",0.2296,0.2296,40,0.132,0.16,11
"B6.F1",0.3149,0.3149,41,0.0883,0.185160697887971,10
"B6.F2",0.0972,0.0972,41,0.0227,0.04,10
"B6.F3",0.0297,0.0297,40,0.0044,0.00132231404958678,11
"B6.F4",0.0306,0.0306,41,0.1444,0.0558677685950413,10
"B6.F5",0.2399,0.2399,41,0.1774,0.265381083562902,10
"B7.F1",0.2335,0.2335,40,1e-04,0.00826446280991736,11
"B7.F2",0.1612,0.1612,41,0.066,0.0106152433425161,10
"B7.F3",0.0909,0.0909,41,0.1782,0.185160697887971,10
"B7.F4",3e-04,3e-04,41,0.1595,0.174876033057851,10
"B7.F5",0.0324,0.0324,41,0.0927,0.127860422405877,10
"B8.F1",0.1258,0.1258,41,0.2895,0.333518107908352,10
"B8.F2",0.1001,0.1001,41,0.0107,0.00444444444444444,10
"B8.F3",0.137,0.137,41,0.0749,0.0881910009182736,10
"B8.F4",0.0111,0.0111,40,0.1383,0.16,11
"B8.F5",0.1202,0.1202,41,0.0161,0.0194306703397612,10
"B9.F1",0.1779,0.1779,41,0.026,0.0229568411386593,10
"B9.F2",0.0023,0.0023,41,0.2291,0.36,10
"B9.F3",0.0209,0.0209,41,3e-04,0.0449954086317723,10
"B9.F4",0.0331,0.0331,40,0.1293,0.182561983471074,11
"B9.F5",0.1467,0.1467,41,0.1149,0.290945821854913,10
"B10.F1",0.1048,0.1048,41,0.1558,0.206611570247934,10
"B10.F2",0.1713,0.1713,41,0.0602,3.67309458218549e-05,10
"B10.F3",0.0932,0.0932,40,0.0017,0.00206611570247934,11
"B10.F4",0.3422,0.3422,41,0.1341,0.136675849403122,10
"B10.F5",0.0692,0.0692,41,0.1029,0.331496786042241,10
"B11.F1",0.0198,0.0198,41,0.0118,0.04,10
"B11.F2",0.059,0.059,41,0.0464,0.03089072543618,10
"B11.F3",0.1546,0.1546,41,0.1798,0.0352984389348026,10
"B11.F4",0.102,0.102,41,0.0601,0.0132598714416896,10
"B11.F5",0.2721,0.2721,40,0.0065,0.0010170195101702,11
