"","FP","TP","TN","FN","accuracy"
"B1.F1",5,4,1,2,0.416666666666667
"B1.F2",3,2,2,4,0.363636363636364
"B1.F3",1,2,5,4,0.583333333333333
"B1.F4",1,1,4,4,0.5
"B1.F5",3,3,3,2,0.545454545454545
"B1.F11",4,5,2,1,0.583333333333333
"B1.F21",3,1,2,4,0.3
"B1.F31",2,4,3,2,0.636363636363636
"B1.F41",2,1,4,5,0.416666666666667
"B1.F51",1,4,5,1,0.818181818181818
"B1.F12",4,3,2,3,0.416666666666667
"B1.F22",2,2,4,4,0.5
"B1.F32",3,5,2,1,0.636363636363636
"B1.F42",0,2,5,3,0.7
"B1.F52",5,2,1,3,0.272727272727273
"B1.F13",3,4,3,2,0.583333333333333
"B1.F23",1,4,4,1,0.8
"B1.F33",4,4,2,1,0.545454545454545
"B1.F43",1,2,5,4,0.583333333333333
"B1.F53",1,4,4,2,0.727272727272727
"B1.F14",1,4,5,1,0.818181818181818
"B1.F24",1,5,4,1,0.818181818181818
"B1.F34",2,6,4,0,0.833333333333333
"B1.F44",1,2,4,4,0.545454545454545
"B1.F54",3,4,3,1,0.636363636363636
"B1.F15",3,5,3,1,0.666666666666667
"B1.F25",0,2,6,4,0.666666666666667
"B1.F35",5,5,1,0,0.545454545454545
"B1.F45",1,4,4,2,0.727272727272727
"B1.F55",3,2,2,3,0.4
"B1.F16",3,3,2,3,0.454545454545455
"B1.F26",1,2,4,3,0.6
"B1.F36",3,2,3,3,0.454545454545455
"B1.F46",2,6,4,0,0.833333333333333
"B1.F56",3,4,3,2,0.583333333333333
"B1.F17",2,3,3,3,0.545454545454545
"B1.F27",3,3,3,3,0.5
"B1.F37",3,1,3,5,0.333333333333333
"B1.F47",2,3,3,2,0.6
"B1.F57",2,1,4,4,0.454545454545455
"B1.F18",2,5,3,1,0.727272727272727
"B1.F28",1,2,5,3,0.636363636363636
"B1.F38",3,3,3,3,0.5
"B1.F48",2,3,4,3,0.583333333333333
"B1.F58",2,4,3,1,0.7
"B1.F19",2,2,3,4,0.454545454545455
"B1.F29",0,3,6,2,0.818181818181818
"B1.F39",4,0,2,5,0.181818181818182
"B1.F49",2,4,4,2,0.666666666666667
"B1.F59",2,4,3,2,0.636363636363636
"B1.F110",2,2,4,3,0.545454545454545
"B1.F210",0,3,6,3,0.75
"B1.F310",0,4,5,2,0.818181818181818
"B1.F410",4,4,2,1,0.545454545454545
"B1.F510",3,4,2,2,0.545454545454545
"B1.F111",1,2,5,3,0.636363636363636
"B1.F211",2,4,3,2,0.636363636363636
"B1.F311",4,3,2,2,0.454545454545455
"B1.F411",2,5,4,1,0.75
"B1.F511",3,2,2,4,0.363636363636364
"B1.F112",3,2,3,3,0.454545454545455
"B1.F212",2,2,4,4,0.5
"B1.F312",3,1,2,5,0.272727272727273
"B1.F412",4,5,1,0,0.6
"B1.F512",3,3,3,3,0.5
"B1.F113",1,3,4,3,0.636363636363636
"B1.F213",2,3,3,3,0.545454545454545
"B1.F313",2,4,4,1,0.727272727272727
"B1.F413",1,4,5,1,0.818181818181818
"B1.F513",5,4,1,2,0.416666666666667
"B1.F114",2,4,4,2,0.666666666666667
"B1.F214",1,3,4,2,0.7
"B1.F314",3,4,3,2,0.583333333333333
"B1.F414",6,3,0,3,0.25
"B1.F514",1,0,4,5,0.4
"B1.F115",1,3,4,3,0.636363636363636
"B1.F215",2,3,4,2,0.636363636363636
"B1.F315",1,2,5,4,0.583333333333333
"B1.F415",5,4,1,1,0.454545454545455
"B1.F515",2,4,3,2,0.636363636363636
"B1.F116",1,2,4,4,0.545454545454545
"B1.F216",3,3,2,2,0.5
"B1.F316",2,3,4,2,0.636363636363636
"B1.F416",5,3,1,3,0.333333333333333
"B1.F516",4,3,2,3,0.416666666666667
"B1.F117",1,3,4,2,0.7
"B1.F217",0,2,6,4,0.666666666666667
"B1.F317",5,2,1,4,0.25
"B1.F417",5,4,0,2,0.363636363636364
"B1.F517",4,2,2,3,0.363636363636364
"B1.F118",0,3,5,2,0.8
"B1.F218",3,2,3,4,0.416666666666667
"B1.F318",3,2,2,3,0.4
"B1.F418",3,5,3,1,0.666666666666667
"B1.F518",1,2,5,4,0.583333333333333
"B1.F119",1,1,4,4,0.5
"B1.F219",3,3,3,3,0.5
"B1.F319",3,3,2,3,0.454545454545455
"B1.F419",2,3,4,2,0.636363636363636
"B1.F519",2,4,4,2,0.666666666666667
