"","FP","TP","TN","FN","accuracy"
"B1.F1",4,4,5,5,0.5
"B1.F2",4,4,5,5,0.5
"B1.F3",5,3,5,6,0.421052631578947
"B1.F4",2,4,7,6,0.578947368421053
"B1.F5",4,5,5,4,0.555555555555556
"B1.F11",4,5,5,5,0.526315789473684
"B1.F21",4,7,5,2,0.666666666666667
"B1.F31",3,5,6,4,0.611111111111111
"B1.F41",1,2,8,7,0.555555555555556
"B1.F51",7,2,3,7,0.263157894736842
"B1.F12",2,4,8,5,0.631578947368421
"B1.F22",5,4,4,5,0.444444444444444
"B1.F32",6,4,3,5,0.388888888888889
"B1.F42",3,5,6,4,0.611111111111111
"B1.F52",3,5,6,5,0.578947368421053
"B1.F13",4,6,5,3,0.611111111111111
"B1.F23",5,6,4,3,0.555555555555556
"B1.F33",1,4,8,6,0.631578947368421
"B1.F43",4,3,5,6,0.444444444444444
"B1.F53",7,7,3,2,0.526315789473684
"B1.F14",4,5,5,4,0.555555555555556
"B1.F24",2,4,7,5,0.611111111111111
"B1.F34",8,6,2,3,0.421052631578947
"B1.F44",5,5,4,4,0.5
"B1.F54",0,1,9,9,0.526315789473684
"B1.F15",3,4,6,5,0.555555555555556
"B1.F25",2,7,7,3,0.736842105263158
"B1.F35",5,5,4,4,0.5
"B1.F45",1,3,9,6,0.631578947368421
"B1.F55",4,5,5,4,0.555555555555556
"B1.F16",2,4,7,5,0.611111111111111
"B1.F26",3,3,6,6,0.5
"B1.F36",5,3,4,6,0.388888888888889
"B1.F46",1,3,9,6,0.631578947368421
"B1.F56",5,7,4,3,0.578947368421053
"B1.F17",2,4,7,5,0.611111111111111
"B1.F27",4,4,5,6,0.473684210526316
"B1.F37",5,5,4,4,0.5
"B1.F47",3,3,6,6,0.5
"B1.F57",5,5,5,4,0.526315789473684
"B1.F18",6,3,3,6,0.333333333333333
"B1.F28",4,5,5,5,0.526315789473684
"B1.F38",4,3,6,6,0.473684210526316
"B1.F48",4,2,5,7,0.388888888888889
"B1.F58",5,7,4,2,0.611111111111111
"B1.F19",3,3,6,7,0.473684210526316
"B1.F29",6,2,3,7,0.277777777777778
"B1.F39",4,2,5,7,0.388888888888889
"B1.F49",3,5,6,4,0.611111111111111
"B1.F59",7,6,3,3,0.473684210526316
"B1.F110",6,6,3,4,0.473684210526316
"B1.F210",6,4,3,5,0.388888888888889
"B1.F310",4,4,6,5,0.526315789473684
"B1.F410",2,2,7,7,0.5
"B1.F510",4,1,5,8,0.333333333333333
"B1.F111",2,1,7,8,0.444444444444444
"B1.F211",4,4,6,5,0.526315789473684
"B1.F311",7,7,2,3,0.473684210526316
"B1.F411",3,7,6,2,0.722222222222222
"B1.F511",6,4,3,5,0.388888888888889
"B1.F112",3,5,6,4,0.611111111111111
"B1.F212",4,5,5,4,0.555555555555556
"B1.F312",6,4,4,5,0.421052631578947
"B1.F412",0,6,9,4,0.789473684210526
"B1.F512",3,4,6,5,0.555555555555556
"B1.F113",4,5,5,4,0.555555555555556
"B1.F213",4,5,5,4,0.555555555555556
"B1.F313",3,5,7,4,0.631578947368421
"B1.F413",4,2,5,7,0.388888888888889
"B1.F513",6,4,3,6,0.368421052631579
"B1.F114",3,3,6,6,0.5
"B1.F214",4,6,6,3,0.631578947368421
"B1.F314",3,5,6,5,0.578947368421053
"B1.F414",3,7,6,2,0.722222222222222
"B1.F514",6,2,3,7,0.277777777777778
"B1.F115",3,4,6,5,0.555555555555556
"B1.F215",2,4,7,5,0.611111111111111
"B1.F315",2,3,7,6,0.555555555555556
"B1.F415",6,4,4,5,0.421052631578947
"B1.F515",6,3,3,7,0.315789473684211
"B1.F116",1,2,8,8,0.526315789473684
"B1.F216",6,4,3,5,0.388888888888889
"B1.F316",6,6,4,3,0.526315789473684
"B1.F416",4,4,5,5,0.5
"B1.F516",6,7,3,2,0.555555555555556
"B1.F117",5,5,4,5,0.473684210526316
"B1.F217",3,3,6,6,0.5
"B1.F317",2,2,7,7,0.5
"B1.F417",6,6,3,3,0.5
"B1.F517",4,6,6,3,0.631578947368421
"B1.F118",5,4,4,5,0.444444444444444
"B1.F218",3,3,6,6,0.5
"B1.F318",3,5,6,4,0.611111111111111
"B1.F418",5,5,4,4,0.5
"B1.F518",2,3,8,7,0.55
"B1.F119",4,4,5,5,0.5
"B1.F219",6,3,3,6,0.333333333333333
"B1.F319",4,4,6,5,0.526315789473684
"B1.F419",5,4,4,6,0.421052631578947
"B1.F519",6,2,3,7,0.277777777777778
