"","FP","TP","TN","FN","accuracy"
"B1.F1",3,7,7,3,0.7
"B1.F2",3,3,7,7,0.5
"B1.F3",3,6,6,4,0.631578947368421
"B1.F4",8,6,2,3,0.421052631578947
"B1.F5",5,6,4,3,0.555555555555556
"B1.F11",7,6,3,4,0.45
"B1.F21",4,6,5,4,0.578947368421053
"B1.F31",7,5,3,4,0.421052631578947
"B1.F41",3,5,6,5,0.578947368421053
"B1.F51",3,5,7,4,0.631578947368421
"B1.F12",6,6,3,3,0.5
"B1.F22",2,3,8,7,0.55
"B1.F32",3,5,7,4,0.631578947368421
"B1.F42",5,7,4,3,0.578947368421053
"B1.F52",2,5,8,5,0.65
"B1.F13",2,4,7,6,0.578947368421053
"B1.F23",5,3,5,6,0.421052631578947
"B1.F33",6,4,4,6,0.4
"B1.F43",4,5,6,5,0.55
"B1.F53",7,6,2,3,0.444444444444444
"B1.F14",3,6,6,4,0.631578947368421
"B1.F24",5,4,5,5,0.473684210526316
"B1.F34",2,7,8,3,0.75
"B1.F44",4,7,5,2,0.666666666666667
"B1.F54",1,1,9,9,0.5
"B1.F15",6,6,4,3,0.526315789473684
"B1.F25",4,4,5,6,0.473684210526316
"B1.F35",4,6,6,4,0.6
"B1.F45",4,3,5,7,0.421052631578947
"B1.F55",7,3,3,6,0.315789473684211
"B1.F16",7,2,3,8,0.25
"B1.F26",3,5,7,4,0.631578947368421
"B1.F36",5,7,4,3,0.578947368421053
"B1.F46",4,7,6,3,0.65
"B1.F56",0,2,9,7,0.611111111111111
"B1.F17",3,3,7,6,0.526315789473684
"B1.F27",7,4,3,6,0.35
"B1.F37",2,4,7,6,0.578947368421053
"B1.F47",3,5,6,5,0.578947368421053
"B1.F57",5,4,5,5,0.473684210526316
"B1.F18",7,8,3,2,0.55
"B1.F28",3,6,6,3,0.666666666666667
"B1.F38",5,6,5,4,0.55
"B1.F48",6,5,4,4,0.473684210526316
"B1.F58",2,4,7,6,0.578947368421053
"B1.F19",5,4,4,6,0.421052631578947
"B1.F29",2,1,8,8,0.473684210526316
"B1.F39",5,4,5,6,0.45
"B1.F49",6,6,3,3,0.5
"B1.F59",5,3,5,7,0.4
"B1.F110",1,3,8,6,0.611111111111111
"B1.F210",4,5,5,5,0.526315789473684
"B1.F310",6,5,4,4,0.473684210526316
"B1.F410",6,7,4,3,0.55
"B1.F510",5,4,5,6,0.45
"B1.F111",5,3,5,6,0.421052631578947
"B1.F211",4,1,6,8,0.368421052631579
"B1.F311",3,3,6,7,0.473684210526316
"B1.F411",7,5,2,5,0.368421052631579
"B1.F511",5,5,5,5,0.5
"B1.F112",3,3,6,7,0.473684210526316
"B1.F212",5,6,5,4,0.55
"B1.F312",5,5,5,4,0.526315789473684
"B1.F412",7,2,3,8,0.25
"B1.F512",3,4,6,5,0.555555555555556
"B1.F113",3,3,6,7,0.473684210526316
"B1.F213",7,5,3,5,0.4
"B1.F313",5,3,4,6,0.388888888888889
"B1.F413",4,4,6,5,0.526315789473684
"B1.F513",6,6,4,4,0.5
"B1.F114",4,4,6,6,0.5
"B1.F214",2,4,7,6,0.578947368421053
"B1.F314",3,6,7,3,0.684210526315789
"B1.F414",5,0,5,9,0.263157894736842
"B1.F514",8,5,1,5,0.315789473684211
"B1.F115",4,6,6,4,0.6
"B1.F215",5,3,4,6,0.388888888888889
"B1.F315",3,5,6,5,0.578947368421053
"B1.F415",3,2,7,7,0.473684210526316
"B1.F515",1,3,9,7,0.6
"B1.F116",3,4,6,6,0.526315789473684
"B1.F216",5,6,5,4,0.55
"B1.F316",2,5,7,5,0.631578947368421
"B1.F416",5,2,5,7,0.368421052631579
"B1.F516",6,4,4,5,0.421052631578947
"B1.F117",4,5,5,4,0.555555555555556
"B1.F217",3,7,6,3,0.684210526315789
"B1.F317",7,6,3,4,0.45
"B1.F417",4,6,6,4,0.6
"B1.F517",8,5,2,4,0.368421052631579
"B1.F118",4,2,6,8,0.4
"B1.F218",4,3,5,7,0.421052631578947
"B1.F318",8,4,2,6,0.3
"B1.F418",4,5,6,4,0.578947368421053
"B1.F518",2,5,7,4,0.666666666666667
"B1.F119",4,6,5,4,0.578947368421053
"B1.F219",3,6,6,4,0.631578947368421
"B1.F319",7,3,3,6,0.315789473684211
"B1.F419",4,3,6,6,0.473684210526316
"B1.F519",3,3,7,7,0.5
