"","FP","TP","TN","FN","accuracy"
"B1.F1",5,5,4,4,0.5
"B1.F2",4,4,6,5,0.526315789473684
"B1.F3",5,5,4,4,0.5
"B1.F4",5,1,4,9,0.263157894736842
"B1.F5",4,6,5,3,0.611111111111111
"B1.F11",3,5,6,5,0.578947368421053
"B1.F21",2,5,7,4,0.666666666666667
"B1.F31",4,6,6,3,0.631578947368421
"B1.F41",4,6,5,3,0.611111111111111
"B1.F51",2,1,7,8,0.444444444444444
"B1.F12",6,4,3,5,0.388888888888889
"B1.F22",6,6,3,4,0.473684210526316
"B1.F32",3,5,6,4,0.611111111111111
"B1.F42",4,5,6,4,0.578947368421053
"B1.F52",2,7,7,2,0.777777777777778
"B1.F13",4,5,5,4,0.555555555555556
"B1.F23",2,6,7,3,0.722222222222222
"B1.F33",3,5,6,4,0.611111111111111
"B1.F43",3,7,7,3,0.7
"B1.F53",6,7,3,2,0.555555555555556
"B1.F14",4,4,5,6,0.473684210526316
"B1.F24",6,4,3,5,0.388888888888889
"B1.F34",2,3,7,6,0.555555555555556
"B1.F44",4,3,5,6,0.444444444444444
"B1.F54",7,3,3,6,0.315789473684211
"B1.F15",4,4,6,6,0.5
"B1.F25",6,4,3,5,0.388888888888889
"B1.F35",4,7,5,2,0.666666666666667
"B1.F45",4,6,5,3,0.611111111111111
"B1.F55",2,4,7,5,0.611111111111111
"B1.F16",4,4,5,5,0.5
"B1.F26",4,7,5,3,0.631578947368421
"B1.F36",3,4,6,5,0.555555555555556
"B1.F46",8,6,2,3,0.421052631578947
"B1.F56",3,1,6,8,0.388888888888889
"B1.F17",6,3,4,6,0.368421052631579
"B1.F27",4,7,5,3,0.631578947368421
"B1.F37",2,5,7,4,0.666666666666667
"B1.F47",4,3,5,6,0.444444444444444
"B1.F57",6,4,3,5,0.388888888888889
"B1.F18",5,5,4,4,0.5
"B1.F28",3,5,7,4,0.631578947368421
"B1.F38",3,4,6,5,0.555555555555556
"B1.F48",5,5,4,4,0.5
"B1.F58",4,3,5,7,0.421052631578947
"B1.F19",6,6,3,3,0.5
"B1.F29",5,5,5,5,0.5
"B1.F39",4,6,5,3,0.611111111111111
"B1.F49",4,5,5,4,0.555555555555556
"B1.F59",3,1,6,8,0.388888888888889
"B1.F110",2,3,7,7,0.526315789473684
"B1.F210",6,6,4,3,0.526315789473684
"B1.F310",4,6,5,3,0.611111111111111
"B1.F410",5,3,4,6,0.388888888888889
"B1.F510",3,5,6,4,0.611111111111111
"B1.F111",8,4,1,5,0.277777777777778
"B1.F211",2,4,7,6,0.578947368421053
"B1.F311",6,5,4,4,0.473684210526316
"B1.F411",5,6,4,3,0.555555555555556
"B1.F511",4,3,5,6,0.444444444444444
"B1.F112",6,5,4,4,0.473684210526316
"B1.F212",3,5,6,4,0.611111111111111
"B1.F312",1,6,8,3,0.777777777777778
"B1.F412",4,4,5,5,0.5
"B1.F512",2,4,7,6,0.578947368421053
"B1.F113",3,4,6,6,0.526315789473684
"B1.F213",6,4,4,5,0.421052631578947
"B1.F313",2,4,7,5,0.611111111111111
"B1.F413",8,7,1,2,0.444444444444444
"B1.F513",2,6,7,3,0.722222222222222
"B1.F114",5,5,4,5,0.473684210526316
"B1.F214",3,3,7,6,0.526315789473684
"B1.F314",4,5,5,4,0.555555555555556
"B1.F414",5,6,4,3,0.555555555555556
"B1.F514",4,3,5,6,0.444444444444444
"B1.F115",3,8,6,2,0.736842105263158
"B1.F215",5,5,4,4,0.5
"B1.F315",4,4,5,5,0.5
"B1.F415",6,6,3,3,0.5
"B1.F515",7,5,3,4,0.421052631578947
"B1.F116",6,6,3,3,0.5
"B1.F216",6,5,3,5,0.421052631578947
"B1.F316",1,5,8,4,0.722222222222222
"B1.F416",6,4,4,5,0.421052631578947
"B1.F516",3,6,6,3,0.666666666666667
"B1.F117",6,7,4,2,0.578947368421053
"B1.F217",2,2,7,8,0.473684210526316
"B1.F317",3,4,6,5,0.555555555555556
"B1.F417",3,4,6,5,0.555555555555556
"B1.F517",7,5,2,4,0.388888888888889
"B1.F118",2,5,7,5,0.631578947368421
"B1.F218",3,4,7,5,0.578947368421053
"B1.F318",6,5,3,4,0.444444444444444
"B1.F418",4,6,5,3,0.611111111111111
"B1.F518",6,8,3,1,0.611111111111111
"B1.F119",5,3,4,6,0.388888888888889
"B1.F219",4,2,5,7,0.388888888888889
"B1.F319",6,6,4,3,0.526315789473684
"B1.F419",4,6,5,3,0.611111111111111
"B1.F519",4,3,5,7,0.421052631578947
