"","FP","TP","TN","FN","accuracy"
"B1.F1",5,4,4,5,0.444444444444444
"B1.F2",1,5,8,4,0.722222222222222
"B1.F3",5,7,4,3,0.578947368421053
"B1.F4",5,3,4,6,0.388888888888889
"B1.F5",6,5,4,4,0.473684210526316
"B1.F11",4,6,5,4,0.578947368421053
"B1.F21",4,5,5,4,0.555555555555556
"B1.F31",6,7,4,2,0.578947368421053
"B1.F41",4,6,5,3,0.611111111111111
"B1.F51",3,7,6,2,0.722222222222222
"B1.F12",4,3,5,6,0.444444444444444
"B1.F22",5,7,4,3,0.578947368421053
"B1.F32",3,6,6,3,0.666666666666667
"B1.F42",7,5,3,4,0.421052631578947
"B1.F52",3,8,6,1,0.777777777777778
"B1.F13",2,5,7,4,0.666666666666667
"B1.F23",5,6,4,4,0.526315789473684
"B1.F33",5,7,4,2,0.611111111111111
"B1.F43",2,4,7,5,0.611111111111111
"B1.F53",6,7,4,2,0.578947368421053
"B1.F14",5,7,4,2,0.611111111111111
"B1.F24",7,7,2,2,0.5
"B1.F34",8,4,2,5,0.315789473684211
"B1.F44",2,6,7,4,0.684210526315789
"B1.F54",2,6,7,3,0.722222222222222
"B1.F15",8,5,2,4,0.368421052631579
"B1.F25",4,6,5,3,0.611111111111111
"B1.F35",6,5,3,4,0.444444444444444
"B1.F45",4,4,5,5,0.5
"B1.F55",2,6,7,4,0.684210526315789
"B1.F16",4,5,5,4,0.555555555555556
"B1.F26",7,5,3,4,0.421052631578947
"B1.F36",3,4,6,5,0.555555555555556
"B1.F46",3,3,6,7,0.473684210526316
"B1.F56",6,7,3,2,0.555555555555556
"B1.F17",5,5,4,4,0.5
"B1.F27",4,4,5,5,0.5
"B1.F37",5,7,4,2,0.611111111111111
"B1.F47",3,6,7,4,0.65
"B1.F57",6,6,3,3,0.5
"B1.F18",5,5,4,4,0.5
"B1.F28",2,5,7,4,0.666666666666667
"B1.F38",5,8,5,1,0.684210526315789
"B1.F48",6,7,3,2,0.555555555555556
"B1.F58",3,5,6,5,0.578947368421053
"B1.F19",5,3,4,6,0.388888888888889
"B1.F29",3,7,7,2,0.736842105263158
"B1.F39",5,8,4,1,0.666666666666667
"B1.F49",2,4,7,5,0.611111111111111
"B1.F59",5,2,4,8,0.315789473684211
"B1.F110",2,6,7,4,0.684210526315789
"B1.F210",4,8,6,1,0.736842105263158
"B1.F310",2,4,7,5,0.611111111111111
"B1.F410",4,7,5,2,0.666666666666667
"B1.F510",5,4,4,5,0.444444444444444
"B1.F111",4,4,5,5,0.5
"B1.F211",5,5,4,4,0.5
"B1.F311",4,6,5,3,0.611111111111111
"B1.F411",3,6,6,3,0.666666666666667
"B1.F511",7,5,3,5,0.4
"B1.F112",2,5,8,4,0.684210526315789
"B1.F212",7,5,2,4,0.388888888888889
"B1.F312",4,5,5,4,0.555555555555556
"B1.F412",3,4,6,5,0.555555555555556
"B1.F512",6,8,3,2,0.578947368421053
"B1.F113",5,5,4,4,0.5
"B1.F213",3,4,6,5,0.555555555555556
"B1.F313",3,5,6,4,0.611111111111111
"B1.F413",3,4,6,6,0.526315789473684
"B1.F513",5,5,5,4,0.526315789473684
"B1.F114",2,6,7,4,0.684210526315789
"B1.F214",4,3,6,6,0.473684210526316
"B1.F314",4,4,5,5,0.5
"B1.F414",4,7,5,2,0.666666666666667
"B1.F514",3,6,6,3,0.666666666666667
"B1.F115",3,4,6,5,0.555555555555556
"B1.F215",4,5,5,4,0.555555555555556
"B1.F315",5,3,4,6,0.388888888888889
"B1.F415",3,3,6,6,0.5
"B1.F515",5,8,5,2,0.65
"B1.F116",6,5,3,4,0.444444444444444
"B1.F216",5,5,5,5,0.5
"B1.F316",5,5,4,4,0.5
"B1.F416",5,7,4,2,0.611111111111111
"B1.F516",4,5,5,4,0.555555555555556
"B1.F117",2,5,7,4,0.666666666666667
"B1.F217",7,6,3,3,0.473684210526316
"B1.F317",5,4,4,5,0.444444444444444
"B1.F417",3,4,6,5,0.555555555555556
"B1.F517",5,9,4,1,0.684210526315789
"B1.F118",2,6,7,3,0.722222222222222
"B1.F218",2,6,7,3,0.722222222222222
"B1.F318",5,7,4,2,0.611111111111111
"B1.F418",5,4,4,6,0.421052631578947
"B1.F518",7,7,3,2,0.526315789473684
"B1.F119",4,7,5,3,0.631578947368421
"B1.F219",5,7,4,2,0.611111111111111
"B1.F319",4,5,6,4,0.578947368421053
"B1.F419",2,5,7,4,0.666666666666667
"B1.F519",3,5,6,4,0.611111111111111
