"","FP","TP","TN","FN","accuracy"
"B1.F1",5,6,5,4,0.55
"B1.F2",4,4,6,6,0.5
"B1.F3",4,1,6,9,0.35
"B1.F4",8,8,2,2,0.5
"B1.F5",5,5,5,5,0.5
"B1.F11",3,3,7,7,0.5
"B1.F21",6,7,4,3,0.55
"B1.F31",3,6,7,4,0.65
"B1.F41",3,7,7,3,0.7
"B1.F51",5,4,5,6,0.45
"B1.F12",6,4,4,6,0.4
"B1.F22",5,5,5,5,0.5
"B1.F32",6,3,4,7,0.35
"B1.F42",4,2,6,8,0.4
"B1.F52",6,4,4,6,0.4
"B1.F13",5,4,5,6,0.45
"B1.F23",4,4,6,6,0.5
"B1.F33",2,6,8,4,0.7
"B1.F43",5,8,5,2,0.65
"B1.F53",4,5,6,5,0.55
"B1.F14",5,7,5,3,0.6
"B1.F24",7,7,3,3,0.5
"B1.F34",5,0,5,10,0.25
"B1.F44",4,4,6,6,0.5
"B1.F54",4,3,6,7,0.45
"B1.F15",6,4,4,6,0.4
"B1.F25",1,4,9,6,0.65
"B1.F35",5,4,5,6,0.45
"B1.F45",6,4,4,6,0.4
"B1.F55",5,5,5,5,0.5
"B1.F16",6,5,4,5,0.45
"B1.F26",5,3,5,7,0.4
"B1.F36",2,3,8,7,0.55
"B1.F46",4,7,6,3,0.65
"B1.F56",6,4,4,6,0.4
"B1.F17",6,3,4,7,0.35
"B1.F27",5,6,5,4,0.55
"B1.F37",4,4,6,6,0.5
"B1.F47",3,6,7,4,0.65
"B1.F57",3,6,7,4,0.65
"B1.F18",5,6,5,4,0.55
"B1.F28",5,4,5,6,0.45
"B1.F38",8,7,2,3,0.45
"B1.F48",6,3,4,7,0.35
"B1.F58",4,3,6,7,0.45
"B1.F19",5,3,5,7,0.4
"B1.F29",6,7,4,3,0.55
"B1.F39",5,6,5,4,0.55
"B1.F49",5,6,5,4,0.55
"B1.F59",7,7,3,3,0.5
"B1.F110",3,3,7,7,0.5
"B1.F210",6,3,4,7,0.35
"B1.F310",5,8,5,2,0.65
"B1.F410",4,3,6,7,0.45
"B1.F510",2,4,8,6,0.6
"B1.F111",8,4,2,6,0.3
"B1.F211",5,4,5,6,0.45
"B1.F311",4,3,6,7,0.45
"B1.F411",8,7,2,3,0.45
"B1.F511",6,3,4,7,0.35
"B1.F112",3,6,7,4,0.65
"B1.F212",3,4,7,6,0.55
"B1.F312",5,4,5,6,0.45
"B1.F412",3,2,7,8,0.45
"B1.F512",4,9,6,1,0.75
"B1.F113",3,3,7,7,0.5
"B1.F213",4,3,6,7,0.45
"B1.F313",5,6,5,4,0.55
"B1.F413",5,4,5,6,0.45
"B1.F513",6,6,4,4,0.5
"B1.F114",6,7,4,3,0.55
"B1.F214",3,5,7,5,0.6
"B1.F314",5,5,5,5,0.5
"B1.F414",6,5,4,5,0.45
"B1.F514",3,5,7,5,0.6
"B1.F115",5,5,5,5,0.5
"B1.F215",6,4,4,6,0.4
"B1.F315",4,3,6,7,0.45
"B1.F415",4,2,6,8,0.4
"B1.F515",4,6,6,4,0.6
"B1.F116",5,4,5,6,0.45
"B1.F216",6,5,4,5,0.45
"B1.F316",4,4,6,6,0.5
"B1.F416",5,5,5,5,0.5
"B1.F516",5,7,5,3,0.6
"B1.F117",3,5,7,5,0.6
"B1.F217",5,6,5,4,0.55
"B1.F317",5,7,5,3,0.6
"B1.F417",5,4,5,6,0.45
"B1.F517",6,5,4,5,0.45
"B1.F118",5,5,5,5,0.5
"B1.F218",5,4,5,6,0.45
"B1.F318",3,5,7,5,0.6
"B1.F418",4,3,6,7,0.45
"B1.F518",3,5,7,5,0.6
"B1.F119",6,5,4,5,0.45
"B1.F219",3,3,7,7,0.5
"B1.F319",2,3,8,7,0.55
"B1.F419",7,4,3,6,0.35
"B1.F519",7,5,3,5,0.4
