"","FP","TP","TN","FN","accuracy"
"B1.F1",4,4,6,6,0.5
"B1.F2",6,6,4,4,0.5
"B1.F3",3,5,7,5,0.6
"B1.F4",7,6,3,4,0.45
"B1.F5",6,6,4,4,0.5
"B1.F11",5,1,5,9,0.3
"B1.F21",7,2,3,8,0.25
"B1.F31",6,2,4,8,0.3
"B1.F41",8,2,2,8,0.2
"B1.F51",3,2,7,8,0.45
"B1.F12",6,4,4,6,0.4
"B1.F22",4,6,6,4,0.6
"B1.F32",6,4,4,6,0.4
"B1.F42",6,4,4,6,0.4
"B1.F52",8,4,2,6,0.3
"B1.F13",7,5,3,5,0.4
"B1.F23",7,4,3,6,0.35
"B1.F33",5,4,5,6,0.45
"B1.F43",4,5,6,5,0.55
"B1.F53",5,3,5,7,0.4
"B1.F14",8,5,2,5,0.35
"B1.F24",7,6,3,4,0.45
"B1.F34",5,6,5,4,0.55
"B1.F44",4,6,6,4,0.6
"B1.F54",4,5,6,5,0.55
"B1.F15",4,7,6,3,0.65
"B1.F25",5,7,5,3,0.6
"B1.F35",3,5,7,5,0.6
"B1.F45",6,6,4,4,0.5
"B1.F55",6,4,4,6,0.4
"B1.F16",6,5,4,5,0.45
"B1.F26",5,4,5,6,0.45
"B1.F36",3,4,7,6,0.55
"B1.F46",5,7,5,3,0.6
"B1.F56",4,6,6,4,0.6
"B1.F17",5,7,5,3,0.6
"B1.F27",6,7,4,3,0.55
"B1.F37",3,5,7,5,0.6
"B1.F47",4,5,6,5,0.55
"B1.F57",6,2,4,8,0.3
"B1.F18",3,7,7,3,0.7
"B1.F28",6,2,4,8,0.3
"B1.F38",8,6,2,4,0.4
"B1.F48",5,6,5,4,0.55
"B1.F58",8,8,2,2,0.5
"B1.F19",5,6,5,4,0.55
"B1.F29",3,3,7,7,0.5
"B1.F39",7,6,3,4,0.45
"B1.F49",7,4,3,6,0.35
"B1.F59",4,5,6,5,0.55
"B1.F110",9,6,1,4,0.35
"B1.F210",5,5,5,5,0.5
"B1.F310",4,4,6,6,0.5
"B1.F410",5,3,5,7,0.4
"B1.F510",7,3,3,7,0.3
"B1.F111",5,4,5,6,0.45
"B1.F211",7,5,3,5,0.4
"B1.F311",6,5,4,5,0.45
"B1.F411",6,7,4,3,0.55
"B1.F511",5,3,5,7,0.4
"B1.F112",7,4,3,6,0.35
"B1.F212",7,5,3,5,0.4
"B1.F312",6,3,4,7,0.35
"B1.F412",7,6,3,4,0.45
"B1.F512",5,4,5,6,0.45
"B1.F113",4,3,6,7,0.45
"B1.F213",3,3,7,7,0.5
"B1.F313",9,9,1,1,0.5
"B1.F413",6,6,4,4,0.5
"B1.F513",9,3,1,7,0.2
"B1.F114",2,4,8,6,0.6
"B1.F214",4,4,6,6,0.5
"B1.F314",6,4,4,6,0.4
"B1.F414",7,5,3,5,0.4
"B1.F514",3,7,7,3,0.7
"B1.F115",8,5,2,5,0.35
"B1.F215",7,5,3,5,0.4
"B1.F315",6,5,4,5,0.45
"B1.F415",6,7,4,3,0.55
"B1.F515",7,5,3,5,0.4
"B1.F116",7,4,3,6,0.35
"B1.F216",9,5,1,5,0.3
"B1.F316",6,7,4,3,0.55
"B1.F416",7,4,3,6,0.35
"B1.F516",8,7,2,3,0.45
"B1.F117",5,5,5,5,0.5
"B1.F217",7,6,3,4,0.45
"B1.F317",6,5,4,5,0.45
"B1.F417",5,5,5,5,0.5
"B1.F517",5,5,5,5,0.5
"B1.F118",6,4,4,6,0.4
"B1.F218",5,7,5,3,0.6
"B1.F318",6,5,4,5,0.45
"B1.F418",3,3,7,7,0.5
"B1.F518",7,5,3,5,0.4
"B1.F119",4,6,6,4,0.6
"B1.F219",4,5,6,5,0.55
"B1.F319",5,7,5,3,0.6
"B1.F419",7,5,3,5,0.4
"B1.F519",6,6,4,4,0.5
