"","FP","TP","TN","FN","accuracy"
"B1.F1",8,6,2,4,0.4
"B1.F2",10,5,0,5,0.25
"B1.F3",7,2,3,8,0.25
"B1.F4",4,6,6,4,0.6
"B1.F5",7,5,3,5,0.4
"B1.F11",8,5,2,5,0.35
"B1.F21",4,4,6,6,0.5
"B1.F31",7,4,3,6,0.35
"B1.F41",8,8,2,2,0.5
"B1.F51",4,3,6,7,0.45
"B1.F12",5,8,5,2,0.65
"B1.F22",3,3,7,7,0.5
"B1.F32",5,6,5,4,0.55
"B1.F42",7,6,3,4,0.45
"B1.F52",4,6,6,4,0.6
"B1.F13",4,6,6,4,0.6
"B1.F23",3,5,7,5,0.6
"B1.F33",5,5,5,5,0.5
"B1.F43",3,5,7,5,0.6
"B1.F53",2,5,8,5,0.65
"B1.F14",5,6,5,4,0.55
"B1.F24",7,6,3,4,0.45
"B1.F34",8,5,2,5,0.35
"B1.F44",7,3,3,7,0.3
"B1.F54",5,8,5,2,0.65
"B1.F15",2,6,8,4,0.7
"B1.F25",9,8,1,2,0.45
"B1.F35",3,6,7,4,0.65
"B1.F45",6,5,4,5,0.45
"B1.F55",5,7,5,3,0.6
"B1.F16",5,6,5,4,0.55
"B1.F26",5,7,5,3,0.6
"B1.F36",4,6,6,4,0.6
"B1.F46",5,4,5,6,0.45
"B1.F56",4,5,6,5,0.55
"B1.F17",2,5,8,5,0.65
"B1.F27",3,7,7,3,0.7
"B1.F37",8,9,2,1,0.55
"B1.F47",3,6,7,4,0.65
"B1.F57",5,5,5,5,0.5
"B1.F18",7,7,3,3,0.5
"B1.F28",5,9,5,1,0.7
"B1.F38",3,5,7,5,0.6
"B1.F48",6,7,4,3,0.55
"B1.F58",5,2,5,8,0.35
"B1.F19",4,5,6,5,0.55
"B1.F29",5,5,5,5,0.5
"B1.F39",3,8,7,2,0.75
"B1.F49",4,7,6,3,0.65
"B1.F59",4,5,6,5,0.55
"B1.F110",6,7,4,3,0.55
"B1.F210",1,5,9,5,0.7
"B1.F310",4,4,6,6,0.5
"B1.F410",1,7,9,3,0.8
"B1.F510",3,5,7,5,0.6
"B1.F111",7,3,3,7,0.3
"B1.F211",5,4,5,6,0.45
"B1.F311",3,6,7,4,0.65
"B1.F411",6,6,4,4,0.5
"B1.F511",5,8,5,2,0.65
"B1.F112",5,5,5,5,0.5
"B1.F212",5,5,5,5,0.5
"B1.F312",4,3,6,7,0.45
"B1.F412",5,8,5,2,0.65
"B1.F512",4,4,6,6,0.5
"B1.F113",4,6,6,4,0.6
"B1.F213",7,8,3,2,0.55
"B1.F313",5,2,5,8,0.35
"B1.F413",3,7,7,3,0.7
"B1.F513",6,8,4,2,0.6
"B1.F114",4,5,6,5,0.55
"B1.F214",5,7,5,3,0.6
"B1.F314",5,6,5,4,0.55
"B1.F414",7,8,3,2,0.55
"B1.F514",3,4,7,6,0.55
"B1.F115",7,7,3,3,0.5
"B1.F215",7,7,3,3,0.5
"B1.F315",3,5,7,5,0.6
"B1.F415",5,6,5,4,0.55
"B1.F515",3,4,7,6,0.55
"B1.F116",9,4,1,6,0.25
"B1.F216",7,8,3,2,0.55
"B1.F316",8,5,2,5,0.35
"B1.F416",5,5,5,5,0.5
"B1.F516",2,7,8,3,0.75
"B1.F117",7,6,3,4,0.45
"B1.F217",6,3,4,7,0.35
"B1.F317",4,5,6,5,0.55
"B1.F417",5,4,5,6,0.45
"B1.F517",8,6,2,4,0.4
"B1.F118",3,5,7,5,0.6
"B1.F218",6,6,4,4,0.5
"B1.F318",4,4,6,6,0.5
"B1.F418",4,4,6,6,0.5
"B1.F518",6,6,4,4,0.5
"B1.F119",5,6,5,4,0.55
"B1.F219",3,6,7,4,0.65
"B1.F319",2,6,8,4,0.7
"B1.F419",6,5,4,5,0.45
"B1.F519",3,6,7,4,0.65
