"","FP","TP","TN","FN","accuracy"
"B1.F1",3,1,1,3,0.25
"B1.F2",2,3,2,1,0.625
"B1.F3",1,1,3,3,0.5
"B1.F4",0,4,5,1,0.9
"B1.F5",3,4,1,0,0.625
"B1.F11",3,4,2,0,0.666666666666667
"B1.F21",2,3,2,1,0.625
"B1.F31",1,3,3,1,0.75
"B1.F41",2,4,2,0,0.75
"B1.F51",2,3,2,2,0.555555555555556
"B1.F12",1,2,3,2,0.625
"B1.F22",2,3,2,1,0.625
"B1.F32",4,4,0,0,0.5
"B1.F42",2,4,2,1,0.666666666666667
"B1.F52",5,4,0,0,0.444444444444444
"B1.F13",3,4,2,0,0.666666666666667
"B1.F23",3,4,1,0,0.625
"B1.F33",2,3,2,1,0.625
"B1.F43",4,2,0,2,0.25
"B1.F53",1,5,3,0,0.888888888888889
"B1.F14",1,2,4,2,0.666666666666667
"B1.F24",0,1,4,3,0.625
"B1.F34",2,2,2,2,0.5
"B1.F44",4,3,0,1,0.375
"B1.F54",0,2,4,3,0.666666666666667
"B1.F15",1,3,3,1,0.75
"B1.F25",4,4,0,0,0.5
"B1.F35",1,2,3,3,0.555555555555556
"B1.F45",1,3,4,1,0.777777777777778
"B1.F55",2,4,2,0,0.75
"B1.F16",2,2,2,2,0.5
"B1.F26",1,4,3,0,0.875
"B1.F36",3,1,1,3,0.25
"B1.F46",2,4,2,1,0.666666666666667
"B1.F56",2,3,3,1,0.666666666666667
"B1.F17",0,3,4,1,0.875
"B1.F27",5,3,0,1,0.333333333333333
"B1.F37",0,0,4,5,0.444444444444444
"B1.F47",2,4,2,0,0.75
"B1.F57",2,3,2,1,0.625
"B1.F18",3,4,1,0,0.625
"B1.F28",2,3,2,2,0.555555555555556
"B1.F38",1,1,3,3,0.5
"B1.F48",2,1,2,3,0.375
"B1.F58",2,2,3,2,0.555555555555556
"B1.F19",2,3,2,1,0.625
"B1.F29",3,3,1,1,0.5
"B1.F39",1,4,3,0,0.875
"B1.F49",1,2,3,2,0.625
"B1.F59",3,4,2,1,0.6
"B1.F110",0,3,4,1,0.875
"B1.F210",2,3,2,2,0.555555555555556
"B1.F310",1,2,3,2,0.625
"B1.F410",3,2,1,2,0.375
"B1.F510",4,3,1,1,0.444444444444444
"B1.F111",3,4,1,0,0.625
"B1.F211",2,3,2,1,0.625
"B1.F311",4,3,1,2,0.4
"B1.F411",1,3,3,1,0.75
"B1.F511",3,3,1,1,0.5
"B1.F112",4,4,0,0,0.5
"B1.F212",3,3,2,2,0.5
"B1.F312",2,4,2,0,0.75
"B1.F412",3,3,1,1,0.5
"B1.F512",1,4,3,0,0.875
"B1.F113",3,2,1,3,0.333333333333333
"B1.F213",3,3,1,1,0.5
"B1.F313",3,3,2,1,0.555555555555556
"B1.F413",0,0,4,4,0.5
"B1.F513",3,3,1,1,0.5
"B1.F114",1,3,3,1,0.75
"B1.F214",2,2,2,3,0.444444444444444
"B1.F314",1,2,3,2,0.625
"B1.F414",2,2,2,2,0.5
"B1.F514",3,4,2,0,0.666666666666667
"B1.F115",2,3,2,1,0.625
"B1.F215",3,4,1,0,0.625
"B1.F315",0,0,4,4,0.5
"B1.F415",2,4,3,0,0.777777777777778
"B1.F515",1,4,3,1,0.777777777777778
"B1.F116",4,4,0,0,0.5
"B1.F216",4,2,0,2,0.25
"B1.F316",1,3,3,1,0.75
"B1.F416",2,2,2,2,0.5
"B1.F516",4,5,1,0,0.6
"B1.F117",2,0,2,4,0.25
"B1.F217",1,3,3,1,0.75
"B1.F317",3,2,1,2,0.375
"B1.F417",1,0,3,5,0.333333333333333
"B1.F517",2,3,3,1,0.666666666666667
"B1.F118",2,3,2,1,0.625
"B1.F218",2,1,2,3,0.375
"B1.F318",1,2,3,2,0.625
"B1.F418",1,3,3,1,0.75
"B1.F518",2,5,3,0,0.8
"B1.F119",3,3,1,1,0.5
"B1.F219",2,2,3,2,0.555555555555556
"B1.F319",1,4,3,0,0.875
"B1.F419",2,3,2,1,0.625
"B1.F519",2,4,2,1,0.666666666666667
