"","FP","TP","TN","FN","accuracy"
"B1.F1",5,3,1,3,0.333333333333333
"B1.F2",6,1,0,4,0.0909090909090909
"B1.F3",1,1,4,5,0.454545454545455
"B1.F4",3,4,2,1,0.6
"B1.F5",2,0,3,5,0.3
"B1.F11",1,2,4,3,0.6
"B1.F21",1,3,4,3,0.636363636363636
"B1.F31",4,3,1,2,0.4
"B1.F41",3,4,3,2,0.583333333333333
"B1.F51",3,3,3,2,0.545454545454545
"B1.F12",3,2,2,4,0.363636363636364
"B1.F22",4,3,1,2,0.4
"B1.F32",5,3,1,2,0.363636363636364
"B1.F42",3,1,2,4,0.3
"B1.F52",4,3,2,3,0.416666666666667
"B1.F13",5,3,1,2,0.363636363636364
"B1.F23",2,3,4,3,0.583333333333333
"B1.F33",3,1,2,4,0.3
"B1.F43",1,2,4,3,0.6
"B1.F53",5,2,0,4,0.181818181818182
"B1.F14",6,5,0,1,0.416666666666667
"B1.F24",1,1,4,5,0.454545454545455
"B1.F34",3,2,2,3,0.4
"B1.F44",4,0,1,5,0.1
"B1.F54",5,3,1,2,0.363636363636364
"B1.F15",5,4,1,1,0.454545454545455
"B1.F25",2,2,3,3,0.5
"B1.F35",3,0,2,5,0.2
"B1.F45",4,4,1,2,0.454545454545455
"B1.F55",1,2,5,4,0.583333333333333
"B1.F16",3,2,2,3,0.4
"B1.F26",4,4,2,2,0.5
"B1.F36",4,2,2,3,0.363636363636364
"B1.F46",0,2,5,3,0.7
"B1.F56",2,4,3,2,0.636363636363636
"B1.F17",5,2,1,3,0.272727272727273
"B1.F27",3,2,2,3,0.4
"B1.F37",2,2,3,4,0.454545454545455
"B1.F47",2,4,4,2,0.666666666666667
"B1.F57",3,4,2,1,0.6
"B1.F18",1,2,4,3,0.6
"B1.F28",3,1,2,4,0.3
"B1.F38",1,3,5,3,0.666666666666667
"B1.F48",2,2,3,3,0.5
"B1.F58",3,2,3,4,0.416666666666667
"B1.F19",0,2,5,4,0.636363636363636
"B1.F29",2,4,4,1,0.727272727272727
"B1.F39",3,0,2,6,0.181818181818182
"B1.F49",4,2,1,3,0.3
"B1.F59",4,4,2,1,0.545454545454545
"B1.F110",1,3,4,3,0.636363636363636
"B1.F210",3,3,3,2,0.545454545454545
"B1.F310",5,4,0,1,0.4
"B1.F410",2,2,3,4,0.454545454545455
"B1.F510",3,4,3,1,0.636363636363636
"B1.F111",4,4,2,1,0.545454545454545
"B1.F211",1,4,5,2,0.75
"B1.F311",0,1,5,5,0.545454545454545
"B1.F411",2,2,3,3,0.5
"B1.F511",1,3,4,2,0.7
"B1.F112",3,2,3,3,0.454545454545455
"B1.F212",4,0,1,5,0.1
"B1.F312",0,2,5,4,0.636363636363636
"B1.F412",3,4,3,2,0.583333333333333
"B1.F512",2,2,3,3,0.5
"B1.F113",3,3,3,3,0.5
"B1.F213",4,3,1,2,0.4
"B1.F313",5,1,0,4,0.1
"B1.F413",3,1,2,4,0.3
"B1.F513",4,3,2,3,0.416666666666667
"B1.F114",4,4,2,1,0.545454545454545
"B1.F214",2,3,4,3,0.583333333333333
"B1.F314",3,3,2,2,0.5
"B1.F414",3,1,2,5,0.272727272727273
"B1.F514",3,3,2,2,0.5
"B1.F115",4,4,2,2,0.5
"B1.F215",1,2,4,3,0.6
"B1.F315",0,3,5,2,0.8
"B1.F415",1,1,4,5,0.454545454545455
"B1.F515",4,2,2,3,0.363636363636364
"B1.F116",4,3,2,2,0.454545454545455
"B1.F216",5,3,0,2,0.3
"B1.F316",3,2,2,3,0.4
"B1.F416",2,5,3,1,0.727272727272727
"B1.F516",3,4,3,2,0.583333333333333
"B1.F117",4,2,1,3,0.3
"B1.F217",1,4,5,2,0.75
"B1.F317",2,4,4,1,0.727272727272727
"B1.F417",3,2,2,4,0.363636363636364
"B1.F517",3,1,2,4,0.3
"B1.F118",3,4,3,2,0.583333333333333
"B1.F218",4,3,2,2,0.454545454545455
"B1.F318",3,4,2,1,0.6
"B1.F418",2,1,3,5,0.363636363636364
"B1.F518",3,1,2,4,0.3
"B1.F119",1,2,4,4,0.545454545454545
"B1.F219",1,2,4,3,0.6
"B1.F319",5,4,1,2,0.416666666666667
"B1.F419",3,1,3,4,0.363636363636364
"B1.F519",3,1,2,4,0.3
