"","FP","TP","TN","FN","accuracy"
"B1.F1",5,3,5,7,0.4
"B1.F2",6,6,4,4,0.5
"B1.F3",7,6,3,4,0.45
"B1.F4",5,3,5,7,0.4
"B1.F5",5,7,5,3,0.6
"B1.F11",5,2,5,8,0.35
"B1.F21",4,4,6,6,0.5
"B1.F31",3,5,7,5,0.6
"B1.F41",5,6,5,4,0.55
"B1.F51",5,7,5,3,0.6
"B1.F12",6,10,4,0,0.7
"B1.F22",7,9,3,1,0.6
"B1.F32",4,6,6,4,0.6
"B1.F42",7,7,3,3,0.5
"B1.F52",5,3,5,7,0.4
"B1.F13",7,5,3,5,0.4
"B1.F23",5,6,5,4,0.55
"B1.F33",7,7,3,3,0.5
"B1.F43",4,7,6,3,0.65
"B1.F53",2,3,8,7,0.55
"B1.F14",6,7,4,3,0.55
"B1.F24",6,3,4,7,0.35
"B1.F34",8,6,2,4,0.4
"B1.F44",4,8,6,2,0.7
"B1.F54",1,6,9,4,0.75
"B1.F15",3,9,7,1,0.8
"B1.F25",4,4,6,6,0.5
"B1.F35",4,4,6,6,0.5
"B1.F45",5,7,5,3,0.6
"B1.F55",5,6,5,4,0.55
"B1.F16",7,4,3,6,0.35
"B1.F26",5,6,5,4,0.55
"B1.F36",6,6,4,4,0.5
"B1.F46",4,5,6,5,0.55
"B1.F56",5,3,5,7,0.4
"B1.F17",6,7,4,3,0.55
"B1.F27",6,6,4,4,0.5
"B1.F37",4,4,6,6,0.5
"B1.F47",6,5,4,5,0.45
"B1.F57",6,5,4,5,0.45
"B1.F18",3,5,7,5,0.6
"B1.F28",6,4,4,6,0.4
"B1.F38",2,3,8,7,0.55
"B1.F48",5,3,5,7,0.4
"B1.F58",6,6,4,4,0.5
"B1.F19",7,7,3,3,0.5
"B1.F29",4,5,6,5,0.55
"B1.F39",4,7,6,3,0.65
"B1.F49",2,2,8,8,0.5
"B1.F59",7,6,3,4,0.45
"B1.F110",6,2,4,8,0.3
"B1.F210",4,7,6,3,0.65
"B1.F310",6,6,4,4,0.5
"B1.F410",5,5,5,5,0.5
"B1.F510",7,8,3,2,0.55
"B1.F111",7,7,3,3,0.5
"B1.F211",2,5,8,5,0.65
"B1.F311",6,6,4,4,0.5
"B1.F411",8,4,2,6,0.3
"B1.F511",2,3,8,7,0.55
"B1.F112",7,7,3,3,0.5
"B1.F212",2,5,8,5,0.65
"B1.F312",4,7,6,3,0.65
"B1.F412",2,7,8,3,0.75
"B1.F512",6,10,4,0,0.7
"B1.F113",7,7,3,3,0.5
"B1.F213",0,6,10,4,0.8
"B1.F313",5,8,5,2,0.65
"B1.F413",6,4,4,6,0.4
"B1.F513",5,8,5,2,0.65
"B1.F114",6,4,4,6,0.4
"B1.F214",3,2,7,8,0.45
"B1.F314",8,6,2,4,0.4
"B1.F414",7,6,3,4,0.45
"B1.F514",6,6,4,4,0.5
"B1.F115",6,5,4,5,0.45
"B1.F215",6,6,4,4,0.5
"B1.F315",7,6,3,4,0.45
"B1.F415",6,3,4,7,0.35
"B1.F515",5,5,5,5,0.5
"B1.F116",6,4,4,6,0.4
"B1.F216",3,6,7,4,0.65
"B1.F316",5,7,5,3,0.6
"B1.F416",3,7,7,3,0.7
"B1.F516",6,5,4,5,0.45
"B1.F117",3,7,7,3,0.7
"B1.F217",4,7,6,3,0.65
"B1.F317",3,7,7,3,0.7
"B1.F417",5,7,5,3,0.6
"B1.F517",3,6,7,4,0.65
"B1.F118",5,7,5,3,0.6
"B1.F218",2,7,8,3,0.75
"B1.F318",6,6,4,4,0.5
"B1.F418",4,4,6,6,0.5
"B1.F518",3,5,7,5,0.6
"B1.F119",4,3,6,7,0.45
"B1.F219",6,4,4,6,0.4
"B1.F319",6,1,4,9,0.25
"B1.F419",8,6,2,4,0.4
"B1.F519",7,6,3,4,0.45
