"","FP","TP","TN","FN","accuracy"
"B1.F1",5,5,5,5,0.5
"B1.F2",3,2,7,8,0.45
"B1.F3",6,6,4,4,0.5
"B1.F4",6,3,4,7,0.35
"B1.F5",6,4,4,6,0.4
"B1.F11",5,5,5,5,0.5
"B1.F21",5,5,5,5,0.5
"B1.F31",4,4,6,6,0.5
"B1.F41",4,6,6,4,0.6
"B1.F51",5,7,5,3,0.6
"B1.F12",4,4,6,6,0.5
"B1.F22",7,6,3,4,0.45
"B1.F32",4,2,6,8,0.4
"B1.F42",3,5,7,5,0.6
"B1.F52",2,3,8,7,0.55
"B1.F13",4,6,6,4,0.6
"B1.F23",1,2,9,8,0.55
"B1.F33",6,5,4,5,0.45
"B1.F43",3,6,7,4,0.65
"B1.F53",3,8,7,2,0.75
"B1.F14",4,4,6,6,0.5
"B1.F24",2,7,8,3,0.75
"B1.F34",7,6,3,4,0.45
"B1.F44",2,6,8,4,0.7
"B1.F54",4,4,6,6,0.5
"B1.F15",4,4,6,6,0.5
"B1.F25",5,2,5,8,0.35
"B1.F35",2,3,8,7,0.55
"B1.F45",5,5,5,5,0.5
"B1.F55",3,5,7,5,0.6
"B1.F16",5,6,5,4,0.55
"B1.F26",4,2,6,8,0.4
"B1.F36",2,4,8,6,0.6
"B1.F46",4,2,6,8,0.4
"B1.F56",7,5,3,5,0.4
"B1.F17",4,4,6,6,0.5
"B1.F27",4,4,6,6,0.5
"B1.F37",5,3,5,7,0.4
"B1.F47",3,5,7,5,0.6
"B1.F57",6,4,4,6,0.4
"B1.F18",5,5,5,5,0.5
"B1.F28",6,8,4,2,0.6
"B1.F38",1,3,9,7,0.6
"B1.F48",3,3,7,7,0.5
"B1.F58",5,5,5,5,0.5
"B1.F19",3,8,7,2,0.75
"B1.F29",3,3,7,7,0.5
"B1.F39",5,5,5,5,0.5
"B1.F49",4,4,6,6,0.5
"B1.F59",6,5,4,5,0.45
"B1.F110",4,6,6,4,0.6
"B1.F210",5,5,5,5,0.5
"B1.F310",4,3,6,7,0.45
"B1.F410",6,5,4,5,0.45
"B1.F510",8,5,2,5,0.35
"B1.F111",7,4,3,6,0.35
"B1.F211",4,3,6,7,0.45
"B1.F311",7,7,3,3,0.5
"B1.F411",6,6,4,4,0.5
"B1.F511",3,1,7,9,0.4
"B1.F112",3,6,7,4,0.65
"B1.F212",7,4,3,6,0.35
"B1.F312",4,6,6,4,0.6
"B1.F412",4,4,6,6,0.5
"B1.F512",4,2,6,8,0.4
"B1.F113",4,4,6,6,0.5
"B1.F213",7,8,3,2,0.55
"B1.F313",3,4,7,6,0.55
"B1.F413",5,5,5,5,0.5
"B1.F513",7,7,3,3,0.5
"B1.F114",5,5,5,5,0.5
"B1.F214",7,8,3,2,0.55
"B1.F314",6,4,4,6,0.4
"B1.F414",5,6,5,4,0.55
"B1.F514",4,4,6,6,0.5
"B1.F115",8,7,2,3,0.45
"B1.F215",7,7,3,3,0.5
"B1.F315",3,4,7,6,0.55
"B1.F415",4,7,6,3,0.65
"B1.F515",3,5,7,5,0.6
"B1.F116",5,5,5,5,0.5
"B1.F216",4,2,6,8,0.4
"B1.F316",5,4,5,6,0.45
"B1.F416",6,4,4,6,0.4
"B1.F516",4,5,6,5,0.55
"B1.F117",3,4,7,6,0.55
"B1.F217",5,6,5,4,0.55
"B1.F317",7,4,3,6,0.35
"B1.F417",6,6,4,4,0.5
"B1.F517",5,8,5,2,0.65
"B1.F118",7,6,3,4,0.45
"B1.F218",5,4,5,6,0.45
"B1.F318",5,5,5,5,0.5
"B1.F418",6,3,4,7,0.35
"B1.F518",4,4,6,6,0.5
"B1.F119",3,2,7,8,0.45
"B1.F219",2,6,8,4,0.7
"B1.F319",4,3,6,7,0.45
"B1.F419",7,7,3,3,0.5
"B1.F519",4,4,6,6,0.5
