"","FP","TP","TN","FN","accuracy"
"B1.F1",4,5,6,5,0.55
"B1.F2",3,6,6,4,0.631578947368421
"B1.F3",6,1,4,8,0.263157894736842
"B1.F4",4,3,6,7,0.45
"B1.F5",7,8,3,2,0.55
"B1.F11",5,5,5,4,0.526315789473684
"B1.F21",5,6,5,4,0.55
"B1.F31",5,5,5,5,0.5
"B1.F41",3,5,6,5,0.578947368421053
"B1.F51",6,5,4,5,0.45
"B1.F12",4,6,6,4,0.6
"B1.F22",3,7,7,3,0.7
"B1.F32",3,4,7,5,0.578947368421053
"B1.F42",4,4,6,6,0.5
"B1.F52",6,5,3,5,0.421052631578947
"B1.F13",5,6,5,3,0.578947368421053
"B1.F23",3,5,7,5,0.6
"B1.F33",5,7,4,3,0.578947368421053
"B1.F43",6,4,4,6,0.4
"B1.F53",5,6,5,4,0.55
"B1.F14",4,2,5,7,0.388888888888889
"B1.F24",5,5,5,5,0.5
"B1.F34",3,6,7,4,0.65
"B1.F44",7,8,3,2,0.55
"B1.F54",7,4,3,6,0.35
"B1.F15",6,5,4,5,0.45
"B1.F25",5,8,5,2,0.65
"B1.F35",3,7,7,3,0.7
"B1.F45",6,4,4,6,0.4
"B1.F55",4,5,5,4,0.555555555555556
"B1.F16",5,3,5,7,0.4
"B1.F26",6,7,4,3,0.55
"B1.F36",3,6,6,3,0.666666666666667
"B1.F46",5,6,5,4,0.55
"B1.F56",4,6,6,4,0.6
"B1.F17",4,7,5,3,0.631578947368421
"B1.F27",4,7,6,3,0.65
"B1.F37",3,3,7,7,0.5
"B1.F47",6,4,4,6,0.4
"B1.F57",4,4,6,5,0.526315789473684
"B1.F18",7,7,3,2,0.526315789473684
"B1.F28",2,7,8,3,0.75
"B1.F38",3,6,6,4,0.631578947368421
"B1.F48",4,3,6,7,0.45
"B1.F58",3,4,7,6,0.55
"B1.F19",7,5,2,4,0.388888888888889
"B1.F29",5,4,5,6,0.45
"B1.F39",5,6,5,4,0.55
"B1.F49",3,6,7,4,0.65
"B1.F59",3,4,7,6,0.55
"B1.F110",5,3,5,7,0.4
"B1.F210",3,5,7,5,0.6
"B1.F310",4,7,6,2,0.684210526315789
"B1.F410",6,8,4,2,0.6
"B1.F510",5,4,4,6,0.421052631578947
"B1.F111",4,8,6,2,0.7
"B1.F211",4,5,6,4,0.578947368421053
"B1.F311",5,3,5,7,0.4
"B1.F411",3,3,7,7,0.5
"B1.F511",5,5,4,5,0.473684210526316
"B1.F112",2,3,7,7,0.526315789473684
"B1.F212",4,7,6,3,0.65
"B1.F312",4,5,6,5,0.55
"B1.F412",4,7,6,3,0.65
"B1.F512",4,6,6,3,0.631578947368421
"B1.F113",4,3,5,7,0.421052631578947
"B1.F213",7,5,3,4,0.421052631578947
"B1.F313",4,4,6,6,0.5
"B1.F413",6,4,4,6,0.4
"B1.F513",5,5,5,5,0.5
"B1.F114",2,5,8,5,0.65
"B1.F214",7,8,3,2,0.55
"B1.F314",3,5,7,5,0.6
"B1.F414",3,5,7,5,0.6
"B1.F514",4,5,5,4,0.555555555555556
"B1.F115",3,7,7,3,0.7
"B1.F215",3,5,6,4,0.611111111111111
"B1.F315",3,4,7,6,0.55
"B1.F415",3,6,7,4,0.65
"B1.F515",4,7,6,3,0.65
"B1.F116",4,5,6,5,0.55
"B1.F216",5,9,5,1,0.7
"B1.F316",7,5,3,4,0.421052631578947
"B1.F416",5,8,5,2,0.65
"B1.F516",3,3,6,7,0.473684210526316
"B1.F117",5,6,5,3,0.578947368421053
"B1.F217",6,6,4,4,0.5
"B1.F317",1,3,9,7,0.6
"B1.F417",5,3,4,7,0.368421052631579
"B1.F517",6,6,4,4,0.5
"B1.F118",5,7,5,3,0.6
"B1.F218",3,8,6,2,0.736842105263158
"B1.F318",5,2,5,8,0.35
"B1.F418",2,3,8,7,0.55
"B1.F518",6,4,4,5,0.421052631578947
"B1.F119",2,4,8,6,0.6
"B1.F219",4,7,6,3,0.65
"B1.F319",4,8,6,1,0.736842105263158
"B1.F419",6,9,3,1,0.631578947368421
"B1.F519",1,6,9,4,0.75
