"","FP","TP","TN","FN","accuracy"
"B1.F1",4,6,6,4,0.6
"B1.F2",5,6,5,4,0.55
"B1.F3",6,4,4,6,0.4
"B1.F4",6,5,4,5,0.45
"B1.F5",2,4,8,6,0.6
"B1.F11",3,6,7,4,0.65
"B1.F21",5,3,5,7,0.4
"B1.F31",5,7,5,3,0.6
"B1.F41",5,5,5,5,0.5
"B1.F51",4,4,6,6,0.5
"B1.F12",5,3,5,7,0.4
"B1.F22",1,5,9,5,0.7
"B1.F32",3,4,7,6,0.55
"B1.F42",6,5,4,5,0.45
"B1.F52",6,4,4,6,0.4
"B1.F13",6,6,4,4,0.5
"B1.F23",3,5,7,5,0.6
"B1.F33",5,4,5,6,0.45
"B1.F43",6,6,4,4,0.5
"B1.F53",6,5,4,5,0.45
"B1.F14",5,7,5,3,0.6
"B1.F24",3,7,7,3,0.7
"B1.F34",4,7,6,3,0.65
"B1.F44",6,4,4,6,0.4
"B1.F54",5,3,5,7,0.4
"B1.F15",3,6,7,4,0.65
"B1.F25",5,7,5,3,0.6
"B1.F35",6,5,4,5,0.45
"B1.F45",3,3,7,7,0.5
"B1.F55",8,6,2,4,0.4
"B1.F16",7,4,3,6,0.35
"B1.F26",4,4,6,6,0.5
"B1.F36",3,6,7,4,0.65
"B1.F46",4,2,6,8,0.4
"B1.F56",7,4,3,6,0.35
"B1.F17",6,5,4,5,0.45
"B1.F27",6,1,4,9,0.25
"B1.F37",3,5,7,5,0.6
"B1.F47",5,4,5,6,0.45
"B1.F57",7,3,3,7,0.3
"B1.F18",4,6,6,4,0.6
"B1.F28",5,7,5,3,0.6
"B1.F38",2,6,8,4,0.7
"B1.F48",3,3,7,7,0.5
"B1.F58",3,2,7,8,0.45
"B1.F19",8,4,2,6,0.3
"B1.F29",7,6,3,4,0.45
"B1.F39",3,5,7,5,0.6
"B1.F49",5,5,5,5,0.5
"B1.F59",4,6,6,4,0.6
"B1.F110",9,8,1,2,0.45
"B1.F210",5,4,5,6,0.45
"B1.F310",4,2,6,8,0.4
"B1.F410",5,4,5,6,0.45
"B1.F510",6,5,4,5,0.45
"B1.F111",6,4,4,6,0.4
"B1.F211",7,4,3,6,0.35
"B1.F311",5,6,5,4,0.55
"B1.F411",8,0,2,10,0.1
"B1.F511",3,6,7,4,0.65
"B1.F112",6,8,4,2,0.6
"B1.F212",4,4,6,6,0.5
"B1.F312",5,5,5,5,0.5
"B1.F412",3,4,7,6,0.55
"B1.F512",9,8,1,2,0.45
"B1.F113",7,5,3,5,0.4
"B1.F213",3,4,7,6,0.55
"B1.F313",4,4,6,6,0.5
"B1.F413",3,6,7,4,0.65
"B1.F513",6,7,4,3,0.55
"B1.F114",3,5,7,5,0.6
"B1.F214",5,8,5,2,0.65
"B1.F314",9,8,1,2,0.45
"B1.F414",4,4,6,6,0.5
"B1.F514",6,5,4,5,0.45
"B1.F115",7,5,3,5,0.4
"B1.F215",4,5,6,5,0.55
"B1.F315",6,4,4,6,0.4
"B1.F415",6,2,4,8,0.3
"B1.F515",4,3,6,7,0.45
"B1.F116",6,3,4,7,0.35
"B1.F216",5,5,5,5,0.5
"B1.F316",7,6,3,4,0.45
"B1.F416",4,6,6,4,0.6
"B1.F516",3,5,7,5,0.6
"B1.F117",3,2,7,8,0.45
"B1.F217",3,4,7,6,0.55
"B1.F317",3,6,7,4,0.65
"B1.F417",4,6,6,4,0.6
"B1.F517",6,5,4,5,0.45
"B1.F118",6,7,4,3,0.55
"B1.F218",5,2,5,8,0.35
"B1.F318",3,3,7,7,0.5
"B1.F418",4,5,6,5,0.55
"B1.F518",6,5,4,5,0.45
"B1.F119",6,4,4,6,0.4
"B1.F219",5,5,5,5,0.5
"B1.F319",6,6,4,4,0.5
"B1.F419",7,5,3,5,0.4
"B1.F519",6,5,4,5,0.45
