"","FP","TP","TN","FN","accuracy"
"B1.F1",4,8,6,2,0.7
"B1.F2",5,9,5,1,0.7
"B1.F3",5,5,5,5,0.5
"B1.F4",3,9,7,1,0.8
"B1.F5",2,7,8,3,0.75
"B1.F11",4,4,6,6,0.5
"B1.F21",4,6,6,4,0.6
"B1.F31",6,6,4,4,0.5
"B1.F41",8,7,2,3,0.45
"B1.F51",10,5,0,5,0.25
"B1.F12",5,6,5,4,0.55
"B1.F22",2,7,8,3,0.75
"B1.F32",3,6,7,4,0.65
"B1.F42",4,8,6,2,0.7
"B1.F52",6,5,4,5,0.45
"B1.F13",4,5,6,5,0.55
"B1.F23",5,6,5,4,0.55
"B1.F33",5,5,5,5,0.5
"B1.F43",6,5,4,5,0.45
"B1.F53",5,5,5,5,0.5
"B1.F14",7,7,3,3,0.5
"B1.F24",6,7,4,3,0.55
"B1.F34",5,3,5,7,0.4
"B1.F44",6,7,4,3,0.55
"B1.F54",6,4,4,6,0.4
"B1.F15",6,6,4,4,0.5
"B1.F25",5,6,5,4,0.55
"B1.F35",5,4,5,6,0.45
"B1.F45",5,2,5,8,0.35
"B1.F55",8,6,2,4,0.4
"B1.F16",4,7,6,3,0.65
"B1.F26",4,7,6,3,0.65
"B1.F36",7,6,3,4,0.45
"B1.F46",5,10,5,0,0.75
"B1.F56",4,5,6,5,0.55
"B1.F17",4,7,6,3,0.65
"B1.F27",4,9,6,1,0.75
"B1.F37",4,8,6,2,0.7
"B1.F47",3,7,7,3,0.7
"B1.F57",5,5,5,5,0.5
"B1.F18",3,4,7,6,0.55
"B1.F28",6,6,4,4,0.5
"B1.F38",6,3,4,7,0.35
"B1.F48",6,6,4,4,0.5
"B1.F58",7,3,3,7,0.3
"B1.F19",3,4,7,6,0.55
"B1.F29",3,3,7,7,0.5
"B1.F39",7,4,3,6,0.35
"B1.F49",4,5,6,5,0.55
"B1.F59",7,6,3,4,0.45
"B1.F110",7,8,3,2,0.55
"B1.F210",6,6,4,4,0.5
"B1.F310",6,5,4,5,0.45
"B1.F410",5,6,5,4,0.55
"B1.F510",7,7,3,3,0.5
"B1.F111",0,2,10,8,0.6
"B1.F211",6,5,4,5,0.45
"B1.F311",5,5,5,5,0.5
"B1.F411",6,4,4,6,0.4
"B1.F511",6,7,4,3,0.55
"B1.F112",7,6,3,4,0.45
"B1.F212",7,7,3,3,0.5
"B1.F312",6,6,4,4,0.5
"B1.F412",5,6,5,4,0.55
"B1.F512",5,5,5,5,0.5
"B1.F113",4,0,6,10,0.3
"B1.F213",6,8,4,2,0.6
"B1.F313",9,7,1,3,0.4
"B1.F413",4,6,6,4,0.6
"B1.F513",6,4,4,6,0.4
"B1.F114",7,5,3,5,0.4
"B1.F214",6,3,4,7,0.35
"B1.F314",5,4,5,6,0.45
"B1.F414",3,5,7,5,0.6
"B1.F514",5,5,5,5,0.5
"B1.F115",6,8,4,2,0.6
"B1.F215",5,6,5,4,0.55
"B1.F315",4,4,6,6,0.5
"B1.F415",7,5,3,5,0.4
"B1.F515",3,4,7,6,0.55
"B1.F116",6,8,4,2,0.6
"B1.F216",5,8,5,2,0.65
"B1.F316",4,7,6,3,0.65
"B1.F416",7,6,3,4,0.45
"B1.F516",3,7,7,3,0.7
"B1.F117",1,6,9,4,0.75
"B1.F217",4,5,6,5,0.55
"B1.F317",6,6,4,4,0.5
"B1.F417",5,6,5,4,0.55
"B1.F517",5,3,5,7,0.4
"B1.F118",5,7,5,3,0.6
"B1.F218",8,7,2,3,0.45
"B1.F318",8,6,2,4,0.4
"B1.F418",7,3,3,7,0.3
"B1.F518",3,4,7,6,0.55
"B1.F119",3,5,7,5,0.6
"B1.F219",5,6,5,4,0.55
"B1.F319",8,8,2,2,0.5
"B1.F419",7,8,3,2,0.55
"B1.F519",6,3,4,7,0.35
