"","FP","TP","TN","FN","accuracy"
"B1.F1",6,6,4,4,0.5
"B1.F2",3,5,7,5,0.6
"B1.F3",4,7,6,3,0.65
"B1.F4",4,5,6,5,0.55
"B1.F5",3,6,7,4,0.65
"B1.F11",3,6,7,4,0.65
"B1.F21",7,3,3,7,0.3
"B1.F31",3,3,7,7,0.5
"B1.F41",4,6,6,4,0.6
"B1.F51",4,8,6,2,0.7
"B1.F12",7,8,3,2,0.55
"B1.F22",1,6,9,4,0.75
"B1.F32",2,3,8,7,0.55
"B1.F42",4,6,6,4,0.6
"B1.F52",2,9,8,1,0.85
"B1.F13",4,3,6,7,0.45
"B1.F23",5,2,5,8,0.35
"B1.F33",5,7,5,3,0.6
"B1.F43",1,5,9,5,0.7
"B1.F53",4,3,6,7,0.45
"B1.F14",5,6,5,4,0.55
"B1.F24",3,6,7,4,0.65
"B1.F34",2,7,8,3,0.75
"B1.F44",3,6,7,4,0.65
"B1.F54",5,6,5,4,0.55
"B1.F15",4,6,6,4,0.6
"B1.F25",5,9,5,1,0.7
"B1.F35",2,5,8,5,0.65
"B1.F45",2,5,8,5,0.65
"B1.F55",5,5,5,5,0.5
"B1.F16",5,7,5,3,0.6
"B1.F26",4,9,6,1,0.75
"B1.F36",3,5,7,5,0.6
"B1.F46",2,7,8,3,0.75
"B1.F56",2,5,8,5,0.65
"B1.F17",3,3,7,7,0.5
"B1.F27",7,5,3,5,0.4
"B1.F37",6,7,4,3,0.55
"B1.F47",6,8,4,2,0.6
"B1.F57",2,6,8,4,0.7
"B1.F18",5,5,5,5,0.5
"B1.F28",3,9,7,1,0.8
"B1.F38",2,4,8,6,0.6
"B1.F48",3,5,7,5,0.6
"B1.F58",3,8,7,2,0.75
"B1.F19",3,5,7,5,0.6
"B1.F29",7,8,3,2,0.55
"B1.F39",3,6,7,4,0.65
"B1.F49",3,4,7,6,0.55
"B1.F59",4,5,6,5,0.55
"B1.F110",6,1,4,9,0.25
"B1.F210",5,4,5,6,0.45
"B1.F310",3,5,7,5,0.6
"B1.F410",6,8,4,2,0.6
"B1.F510",4,6,6,4,0.6
"B1.F111",5,5,5,5,0.5
"B1.F211",5,5,5,5,0.5
"B1.F311",2,4,8,6,0.6
"B1.F411",7,7,3,3,0.5
"B1.F511",6,4,4,6,0.4
"B1.F112",5,5,5,5,0.5
"B1.F212",6,5,4,5,0.45
"B1.F312",5,4,5,6,0.45
"B1.F412",7,8,3,2,0.55
"B1.F512",5,7,5,3,0.6
"B1.F113",3,3,7,7,0.5
"B1.F213",6,7,4,3,0.55
"B1.F313",3,5,7,5,0.6
"B1.F413",6,7,4,3,0.55
"B1.F513",2,3,8,7,0.55
"B1.F114",3,5,7,5,0.6
"B1.F214",4,9,6,1,0.75
"B1.F314",6,6,4,4,0.5
"B1.F414",5,6,5,4,0.55
"B1.F514",4,8,6,2,0.7
"B1.F115",3,6,7,4,0.65
"B1.F215",1,4,9,6,0.65
"B1.F315",2,8,8,2,0.8
"B1.F415",2,7,8,3,0.75
"B1.F515",2,4,8,6,0.6
"B1.F116",2,5,8,5,0.65
"B1.F216",6,8,4,2,0.6
"B1.F316",4,4,6,6,0.5
"B1.F416",3,4,7,6,0.55
"B1.F516",7,8,3,2,0.55
"B1.F117",2,5,8,5,0.65
"B1.F217",3,7,7,3,0.7
"B1.F317",4,7,6,3,0.65
"B1.F417",7,7,3,3,0.5
"B1.F517",3,6,7,4,0.65
"B1.F118",2,5,8,5,0.65
"B1.F218",5,8,5,2,0.65
"B1.F318",2,5,8,5,0.65
"B1.F418",6,5,4,5,0.45
"B1.F518",3,6,7,4,0.65
"B1.F119",5,5,5,5,0.5
"B1.F219",6,6,4,4,0.5
"B1.F319",3,4,7,6,0.55
"B1.F419",4,6,6,4,0.6
"B1.F519",4,3,6,7,0.45
