"","FP","TP","TN","FN","accuracy"
"B1.F1",5,4,5,6,0.45
"B1.F2",5,4,5,6,0.45
"B1.F3",6,3,4,7,0.35
"B1.F4",4,4,6,6,0.5
"B1.F5",6,3,4,7,0.35
"B1.F11",5,5,5,5,0.5
"B1.F21",4,3,6,7,0.45
"B1.F31",5,7,5,3,0.6
"B1.F41",5,7,5,3,0.6
"B1.F51",4,4,6,6,0.5
"B1.F12",5,6,5,4,0.55
"B1.F22",8,3,2,7,0.25
"B1.F32",3,2,7,8,0.45
"B1.F42",5,3,5,7,0.4
"B1.F52",5,4,5,6,0.45
"B1.F13",2,5,8,5,0.65
"B1.F23",4,4,6,6,0.5
"B1.F33",5,6,5,4,0.55
"B1.F43",2,4,8,6,0.6
"B1.F53",8,7,2,3,0.45
"B1.F14",3,5,7,5,0.6
"B1.F24",4,4,6,6,0.5
"B1.F34",5,6,5,4,0.55
"B1.F44",8,5,2,5,0.35
"B1.F54",3,4,7,6,0.55
"B1.F15",4,5,6,5,0.55
"B1.F25",2,5,8,5,0.65
"B1.F35",3,4,7,6,0.55
"B1.F45",1,3,9,7,0.6
"B1.F55",3,6,7,4,0.65
"B1.F16",5,5,5,5,0.5
"B1.F26",6,6,4,4,0.5
"B1.F36",7,5,3,5,0.4
"B1.F46",2,4,8,6,0.6
"B1.F56",8,4,2,6,0.3
"B1.F17",3,6,7,4,0.65
"B1.F27",5,5,5,5,0.5
"B1.F37",4,2,6,8,0.4
"B1.F47",1,6,9,4,0.75
"B1.F57",4,8,6,2,0.7
"B1.F18",6,8,4,2,0.6
"B1.F28",4,3,6,7,0.45
"B1.F38",3,3,7,7,0.5
"B1.F48",6,3,4,7,0.35
"B1.F58",2,4,8,6,0.6
"B1.F19",6,6,4,4,0.5
"B1.F29",4,9,6,1,0.75
"B1.F39",3,2,7,8,0.45
"B1.F49",1,3,9,7,0.6
"B1.F59",2,5,8,5,0.65
"B1.F110",6,5,4,5,0.45
"B1.F210",4,7,6,3,0.65
"B1.F310",6,5,4,5,0.45
"B1.F410",5,6,5,4,0.55
"B1.F510",5,6,5,4,0.55
"B1.F111",6,9,4,1,0.65
"B1.F211",4,5,6,5,0.55
"B1.F311",4,1,6,9,0.35
"B1.F411",6,7,4,3,0.55
"B1.F511",6,6,4,4,0.5
"B1.F112",5,7,5,3,0.6
"B1.F212",3,5,7,5,0.6
"B1.F312",7,6,3,4,0.45
"B1.F412",4,4,6,6,0.5
"B1.F512",6,3,4,7,0.35
"B1.F113",4,2,6,8,0.4
"B1.F213",7,7,3,3,0.5
"B1.F313",7,4,3,6,0.35
"B1.F413",3,5,7,5,0.6
"B1.F513",5,3,5,7,0.4
"B1.F114",6,5,4,5,0.45
"B1.F214",7,6,3,4,0.45
"B1.F314",6,4,4,6,0.4
"B1.F414",6,5,4,5,0.45
"B1.F514",3,2,7,8,0.45
"B1.F115",5,5,5,5,0.5
"B1.F215",1,5,9,5,0.7
"B1.F315",2,3,8,7,0.55
"B1.F415",4,6,6,4,0.6
"B1.F515",4,6,6,4,0.6
"B1.F116",7,6,3,4,0.45
"B1.F216",9,5,1,5,0.3
"B1.F316",6,3,4,7,0.35
"B1.F416",7,6,3,4,0.45
"B1.F516",6,4,4,6,0.4
"B1.F117",5,3,5,7,0.4
"B1.F217",3,7,7,3,0.7
"B1.F317",4,5,6,5,0.55
"B1.F417",5,8,5,2,0.65
"B1.F517",4,8,6,2,0.7
"B1.F118",4,4,6,6,0.5
"B1.F218",2,5,8,5,0.65
"B1.F318",3,1,7,9,0.4
"B1.F418",5,3,5,7,0.4
"B1.F518",3,8,7,2,0.75
"B1.F119",5,4,5,6,0.45
"B1.F219",5,4,5,6,0.45
"B1.F319",6,5,4,5,0.45
"B1.F419",5,6,5,4,0.55
"B1.F519",3,2,7,8,0.45
