"","FP","TP","TN","FN","accuracy"
"B1.F1",7,4,2,5,0.333333333333333
"B1.F2",7,6,3,4,0.45
"B1.F3",7,5,2,4,0.388888888888889
"B1.F4",2,1,7,8,0.444444444444444
"B1.F5",4,2,5,7,0.388888888888889
"B1.F11",4,6,6,3,0.631578947368421
"B1.F21",4,8,5,2,0.684210526315789
"B1.F31",3,5,6,4,0.611111111111111
"B1.F41",4,7,5,2,0.666666666666667
"B1.F51",6,5,3,4,0.444444444444444
"B1.F12",2,2,7,7,0.5
"B1.F22",4,5,5,4,0.555555555555556
"B1.F32",8,3,2,6,0.263157894736842
"B1.F42",7,7,2,3,0.473684210526316
"B1.F52",6,6,3,3,0.5
"B1.F13",7,4,3,5,0.368421052631579
"B1.F23",2,5,7,4,0.666666666666667
"B1.F33",3,6,6,3,0.666666666666667
"B1.F43",6,8,3,1,0.611111111111111
"B1.F53",3,7,6,3,0.684210526315789
"B1.F14",3,5,6,4,0.611111111111111
"B1.F24",5,7,4,2,0.611111111111111
"B1.F34",2,5,7,4,0.666666666666667
"B1.F44",6,6,4,4,0.5
"B1.F54",6,4,3,5,0.388888888888889
"B1.F15",5,2,4,8,0.315789473684211
"B1.F25",4,5,5,4,0.555555555555556
"B1.F35",4,3,5,6,0.444444444444444
"B1.F45",5,5,5,4,0.526315789473684
"B1.F55",3,3,6,6,0.5
"B1.F16",5,4,4,5,0.444444444444444
"B1.F26",6,3,3,6,0.333333333333333
"B1.F36",6,4,3,5,0.388888888888889
"B1.F46",2,2,8,8,0.5
"B1.F56",5,5,4,4,0.5
"B1.F17",4,7,5,3,0.631578947368421
"B1.F27",5,5,5,4,0.526315789473684
"B1.F37",5,6,4,3,0.555555555555556
"B1.F47",5,6,4,3,0.555555555555556
"B1.F57",3,5,6,4,0.611111111111111
"B1.F18",6,2,4,7,0.315789473684211
"B1.F28",5,7,4,2,0.611111111111111
"B1.F38",5,3,4,6,0.388888888888889
"B1.F48",3,6,6,4,0.631578947368421
"B1.F58",6,5,3,4,0.444444444444444
"B1.F19",6,3,3,6,0.333333333333333
"B1.F29",5,6,4,4,0.526315789473684
"B1.F39",9,7,1,2,0.421052631578947
"B1.F49",5,3,4,6,0.388888888888889
"B1.F59",2,4,7,5,0.611111111111111
"B1.F110",6,4,3,5,0.388888888888889
"B1.F210",3,4,6,5,0.555555555555556
"B1.F310",1,5,8,4,0.722222222222222
"B1.F410",4,8,6,2,0.7
"B1.F510",3,5,6,4,0.611111111111111
"B1.F111",5,3,4,6,0.388888888888889
"B1.F211",7,5,2,5,0.368421052631579
"B1.F311",7,5,3,4,0.421052631578947
"B1.F411",6,5,3,4,0.444444444444444
"B1.F511",2,2,7,7,0.5
"B1.F112",6,5,3,5,0.421052631578947
"B1.F212",5,5,4,4,0.5
"B1.F312",9,6,1,3,0.368421052631579
"B1.F412",6,6,3,3,0.5
"B1.F512",4,6,5,3,0.611111111111111
"B1.F113",7,5,2,4,0.388888888888889
"B1.F213",4,6,6,3,0.631578947368421
"B1.F313",2,4,7,6,0.578947368421053
"B1.F413",4,6,5,3,0.611111111111111
"B1.F513",6,5,3,4,0.444444444444444
"B1.F114",5,4,4,6,0.421052631578947
"B1.F214",4,4,5,5,0.5
"B1.F314",5,7,4,2,0.611111111111111
"B1.F414",2,5,8,4,0.684210526315789
"B1.F514",3,4,6,5,0.555555555555556
"B1.F115",5,5,4,5,0.473684210526316
"B1.F215",5,5,5,4,0.526315789473684
"B1.F315",3,5,6,4,0.611111111111111
"B1.F415",5,4,4,5,0.444444444444444
"B1.F515",6,4,3,5,0.388888888888889
"B1.F116",7,2,2,7,0.222222222222222
"B1.F216",5,4,4,5,0.444444444444444
"B1.F316",5,5,4,4,0.5
"B1.F416",5,5,4,4,0.5
"B1.F516",5,5,5,5,0.5
"B1.F117",4,5,5,4,0.555555555555556
"B1.F217",5,4,4,6,0.421052631578947
"B1.F317",7,4,2,5,0.333333333333333
"B1.F417",4,1,6,8,0.368421052631579
"B1.F517",7,2,2,7,0.222222222222222
"B1.F118",5,5,5,4,0.526315789473684
"B1.F218",6,6,3,3,0.5
"B1.F318",5,4,4,5,0.444444444444444
"B1.F418",5,4,4,5,0.444444444444444
"B1.F518",2,6,7,4,0.684210526315789
"B1.F119",4,6,5,3,0.611111111111111
"B1.F219",5,5,5,5,0.5
"B1.F319",4,6,5,3,0.611111111111111
"B1.F419",7,7,2,2,0.5
"B1.F519",6,4,3,5,0.388888888888889
