"","FP","TP","TN","FN","accuracy"
"B1.F1",6,5,3,4,0.444444444444444
"B1.F2",7,4,2,5,0.333333333333333
"B1.F3",2,3,7,6,0.555555555555556
"B1.F4",7,6,3,4,0.45
"B1.F5",5,6,4,3,0.555555555555556
"B1.F11",3,3,6,6,0.5
"B1.F21",5,7,5,2,0.631578947368421
"B1.F31",5,6,4,3,0.555555555555556
"B1.F41",6,7,3,2,0.555555555555556
"B1.F51",5,8,4,2,0.631578947368421
"B1.F12",6,3,3,6,0.333333333333333
"B1.F22",4,6,5,4,0.578947368421053
"B1.F32",6,7,3,2,0.555555555555556
"B1.F42",5,8,4,1,0.666666666666667
"B1.F52",5,6,5,3,0.578947368421053
"B1.F13",4,5,5,4,0.555555555555556
"B1.F23",6,6,4,3,0.526315789473684
"B1.F33",4,4,5,5,0.5
"B1.F43",5,4,4,6,0.421052631578947
"B1.F53",6,5,3,4,0.444444444444444
"B1.F14",3,5,6,5,0.578947368421053
"B1.F24",6,5,3,4,0.444444444444444
"B1.F34",7,4,3,5,0.368421052631579
"B1.F44",5,4,4,5,0.444444444444444
"B1.F54",5,6,4,3,0.555555555555556
"B1.F15",6,3,3,6,0.333333333333333
"B1.F25",5,8,5,1,0.684210526315789
"B1.F35",5,3,4,6,0.388888888888889
"B1.F45",3,6,6,3,0.666666666666667
"B1.F55",6,4,3,6,0.368421052631579
"B1.F16",7,6,2,3,0.444444444444444
"B1.F26",6,4,3,5,0.388888888888889
"B1.F36",3,4,6,5,0.555555555555556
"B1.F46",5,7,4,2,0.611111111111111
"B1.F56",5,10,5,0,0.75
"B1.F17",6,7,3,2,0.555555555555556
"B1.F27",5,7,4,3,0.578947368421053
"B1.F37",2,3,7,6,0.555555555555556
"B1.F47",8,6,2,3,0.421052631578947
"B1.F57",5,5,4,4,0.5
"B1.F18",5,6,4,3,0.555555555555556
"B1.F28",3,7,6,2,0.722222222222222
"B1.F38",8,7,2,3,0.45
"B1.F48",2,9,7,0,0.888888888888889
"B1.F58",6,7,3,2,0.555555555555556
"B1.F19",5,4,4,5,0.444444444444444
"B1.F29",6,5,3,5,0.421052631578947
"B1.F39",3,7,6,2,0.722222222222222
"B1.F49",6,6,3,3,0.5
"B1.F59",6,4,4,5,0.421052631578947
"B1.F110",6,5,3,4,0.444444444444444
"B1.F210",4,3,5,6,0.444444444444444
"B1.F310",7,9,3,1,0.6
"B1.F410",2,4,7,5,0.611111111111111
"B1.F510",6,9,3,0,0.666666666666667
"B1.F111",4,5,5,4,0.555555555555556
"B1.F211",6,7,3,2,0.555555555555556
"B1.F311",4,5,5,4,0.555555555555556
"B1.F411",6,6,3,3,0.5
"B1.F511",3,4,7,6,0.55
"B1.F112",3,5,6,4,0.611111111111111
"B1.F212",8,4,2,5,0.315789473684211
"B1.F312",7,5,2,4,0.388888888888889
"B1.F412",4,6,5,3,0.611111111111111
"B1.F512",5,6,4,4,0.526315789473684
"B1.F113",3,7,6,2,0.722222222222222
"B1.F213",8,7,2,2,0.473684210526316
"B1.F313",5,8,4,1,0.666666666666667
"B1.F413",4,4,5,6,0.473684210526316
"B1.F513",4,4,5,5,0.5
"B1.F114",5,5,4,4,0.5
"B1.F214",6,6,3,3,0.5
"B1.F314",6,6,4,4,0.5
"B1.F414",5,7,4,2,0.611111111111111
"B1.F514",7,5,2,4,0.388888888888889
"B1.F115",6,7,3,2,0.555555555555556
"B1.F215",5,5,4,4,0.5
"B1.F315",4,6,5,3,0.611111111111111
"B1.F415",5,4,5,6,0.45
"B1.F515",3,5,6,4,0.611111111111111
"B1.F116",6,4,4,5,0.421052631578947
"B1.F216",4,6,5,3,0.611111111111111
"B1.F316",3,8,6,1,0.777777777777778
"B1.F416",6,7,3,2,0.555555555555556
"B1.F516",5,4,4,6,0.421052631578947
"B1.F117",8,5,2,4,0.368421052631579
"B1.F217",6,6,3,3,0.5
"B1.F317",3,5,6,4,0.611111111111111
"B1.F417",7,7,2,2,0.5
"B1.F517",3,5,6,5,0.578947368421053
"B1.F118",2,4,7,5,0.611111111111111
"B1.F218",5,3,4,7,0.368421052631579
"B1.F318",5,4,4,5,0.444444444444444
"B1.F418",4,5,6,4,0.578947368421053
"B1.F518",6,5,3,4,0.444444444444444
"B1.F119",5,8,4,1,0.666666666666667
"B1.F219",4,4,6,5,0.526315789473684
"B1.F319",4,8,5,2,0.684210526315789
"B1.F419",4,4,5,5,0.5
"B1.F519",5,7,4,2,0.611111111111111
