"","FP","TP","TN","FN","accuracy"
"B1.F1",5,5,5,5,0.5
"B1.F2",3,4,6,5,0.555555555555556
"B1.F3",3,7,6,2,0.722222222222222
"B1.F4",3,5,6,4,0.611111111111111
"B1.F5",6,3,3,6,0.333333333333333
"B1.F11",4,7,5,2,0.666666666666667
"B1.F21",3,5,6,4,0.611111111111111
"B1.F31",2,7,7,2,0.777777777777778
"B1.F41",7,6,2,4,0.421052631578947
"B1.F51",1,3,9,6,0.631578947368421
"B1.F12",4,3,5,7,0.421052631578947
"B1.F22",4,4,5,5,0.5
"B1.F32",3,4,6,5,0.555555555555556
"B1.F42",3,6,6,3,0.666666666666667
"B1.F52",5,7,5,2,0.631578947368421
"B1.F13",5,7,4,2,0.611111111111111
"B1.F23",2,2,7,7,0.5
"B1.F33",5,7,4,2,0.611111111111111
"B1.F43",3,7,6,3,0.684210526315789
"B1.F53",4,4,6,5,0.526315789473684
"B1.F14",5,6,4,3,0.555555555555556
"B1.F24",2,8,7,1,0.833333333333333
"B1.F34",5,4,5,5,0.473684210526316
"B1.F44",4,6,5,4,0.578947368421053
"B1.F54",4,4,5,5,0.5
"B1.F15",4,5,5,5,0.526315789473684
"B1.F25",6,7,3,2,0.555555555555556
"B1.F35",3,5,6,4,0.611111111111111
"B1.F45",8,7,2,2,0.473684210526316
"B1.F55",3,5,6,4,0.611111111111111
"B1.F16",4,3,5,6,0.444444444444444
"B1.F26",5,5,4,4,0.5
"B1.F36",1,5,9,4,0.736842105263158
"B1.F46",4,6,5,3,0.611111111111111
"B1.F56",4,6,5,4,0.578947368421053
"B1.F17",5,4,4,5,0.444444444444444
"B1.F27",6,4,3,5,0.388888888888889
"B1.F37",3,8,6,2,0.736842105263158
"B1.F47",7,6,2,3,0.444444444444444
"B1.F57",5,2,5,7,0.368421052631579
"B1.F18",5,5,4,5,0.473684210526316
"B1.F28",4,8,5,1,0.722222222222222
"B1.F38",7,5,2,4,0.388888888888889
"B1.F48",5,5,5,4,0.526315789473684
"B1.F58",3,6,6,3,0.666666666666667
"B1.F19",3,6,6,3,0.666666666666667
"B1.F29",3,3,6,6,0.5
"B1.F39",7,5,2,5,0.368421052631579
"B1.F49",4,3,5,6,0.444444444444444
"B1.F59",6,7,4,2,0.578947368421053
"B1.F110",4,4,5,5,0.5
"B1.F210",4,6,5,4,0.578947368421053
"B1.F310",5,6,5,3,0.578947368421053
"B1.F410",7,6,2,3,0.444444444444444
"B1.F510",4,6,5,3,0.611111111111111
"B1.F111",2,5,7,5,0.631578947368421
"B1.F211",7,7,2,2,0.5
"B1.F311",4,4,5,5,0.5
"B1.F411",3,4,6,5,0.555555555555556
"B1.F511",4,4,6,5,0.526315789473684
"B1.F112",4,4,6,6,0.5
"B1.F212",4,7,5,2,0.666666666666667
"B1.F312",6,5,3,4,0.444444444444444
"B1.F412",2,5,7,4,0.666666666666667
"B1.F512",3,3,6,6,0.5
"B1.F113",5,6,4,3,0.555555555555556
"B1.F213",6,4,3,5,0.388888888888889
"B1.F313",6,8,4,1,0.631578947368421
"B1.F413",6,2,3,7,0.277777777777778
"B1.F513",4,7,5,3,0.631578947368421
"B1.F114",4,5,5,4,0.555555555555556
"B1.F214",4,6,5,3,0.611111111111111
"B1.F314",4,6,5,3,0.611111111111111
"B1.F414",1,5,9,5,0.7
"B1.F514",4,4,5,5,0.5
"B1.F115",3,5,6,4,0.611111111111111
"B1.F215",2,4,7,5,0.611111111111111
"B1.F315",7,7,3,2,0.526315789473684
"B1.F415",0,5,9,4,0.777777777777778
"B1.F515",4,8,5,2,0.684210526315789
"B1.F116",7,2,2,8,0.210526315789474
"B1.F216",4,4,5,5,0.5
"B1.F316",6,4,3,5,0.388888888888889
"B1.F416",5,4,4,5,0.444444444444444
"B1.F516",7,6,3,3,0.473684210526316
"B1.F117",3,4,6,5,0.555555555555556
"B1.F217",5,8,4,1,0.666666666666667
"B1.F317",6,5,4,4,0.473684210526316
"B1.F417",1,4,8,6,0.631578947368421
"B1.F517",3,2,6,7,0.444444444444444
"B1.F118",8,6,2,3,0.421052631578947
"B1.F218",5,5,4,4,0.5
"B1.F318",2,5,7,4,0.666666666666667
"B1.F418",4,5,5,4,0.555555555555556
"B1.F518",2,5,7,5,0.631578947368421
"B1.F119",3,3,6,6,0.5
"B1.F219",6,2,3,7,0.277777777777778
"B1.F319",7,6,3,3,0.473684210526316
"B1.F419",6,5,3,5,0.421052631578947
"B1.F519",2,5,7,4,0.666666666666667
