"","FP","TP","TN","FN","accuracy"
"B1.F1",5,2,2,5,0.285714285714286
"B1.F2",2,2,5,4,0.538461538461538
"B1.F3",1,3,5,4,0.615384615384615
"B1.F4",2,2,4,4,0.5
"B1.F5",4,3,3,4,0.428571428571429
"B1.F11",3,3,3,3,0.5
"B1.F21",3,3,4,3,0.538461538461538
"B1.F31",2,2,4,5,0.461538461538462
"B1.F41",3,4,4,3,0.571428571428571
"B1.F51",3,3,4,4,0.5
"B1.F12",1,2,5,4,0.583333333333333
"B1.F22",1,1,6,6,0.5
"B1.F32",2,4,5,2,0.692307692307692
"B1.F42",3,5,3,2,0.615384615384615
"B1.F52",1,2,6,5,0.571428571428571
"B1.F13",3,2,4,4,0.461538461538462
"B1.F23",3,3,4,4,0.5
"B1.F33",2,3,4,4,0.538461538461538
"B1.F43",3,2,4,5,0.428571428571429
"B1.F53",4,3,2,3,0.416666666666667
"B1.F14",2,3,5,4,0.571428571428571
"B1.F24",1,5,6,1,0.846153846153846
"B1.F34",1,1,5,6,0.461538461538462
"B1.F44",4,4,3,3,0.5
"B1.F54",3,3,3,3,0.5
"B1.F15",3,3,4,4,0.5
"B1.F25",3,4,3,3,0.538461538461538
"B1.F35",3,2,3,4,0.416666666666667
"B1.F45",1,1,6,5,0.538461538461538
"B1.F55",2,4,5,3,0.642857142857143
"B1.F16",4,1,3,6,0.285714285714286
"B1.F26",1,3,5,4,0.615384615384615
"B1.F36",4,3,3,3,0.461538461538462
"B1.F46",3,5,3,1,0.666666666666667
"B1.F56",2,3,5,4,0.571428571428571
"B1.F17",0,2,6,4,0.666666666666667
"B1.F27",3,3,4,4,0.5
"B1.F37",2,3,4,4,0.538461538461538
"B1.F47",4,2,3,4,0.384615384615385
"B1.F57",6,3,1,4,0.285714285714286
"B1.F18",3,3,4,4,0.5
"B1.F28",2,2,4,5,0.461538461538462
"B1.F38",2,1,5,5,0.461538461538462
"B1.F48",1,4,6,2,0.769230769230769
"B1.F58",3,4,3,3,0.538461538461538
"B1.F19",3,4,4,3,0.571428571428571
"B1.F29",4,2,2,4,0.333333333333333
"B1.F39",4,4,3,3,0.5
"B1.F49",4,4,3,3,0.5
"B1.F59",1,2,5,4,0.583333333333333
"B1.F110",4,2,3,5,0.357142857142857
"B1.F210",3,3,4,3,0.538461538461538
"B1.F310",3,2,4,5,0.428571428571429
"B1.F410",1,3,5,4,0.615384615384615
"B1.F510",1,2,5,4,0.583333333333333
"B1.F111",3,2,4,5,0.428571428571429
"B1.F211",1,5,5,1,0.833333333333333
"B1.F311",3,3,4,4,0.5
"B1.F411",2,2,5,4,0.538461538461538
"B1.F511",4,3,2,4,0.384615384615385
"B1.F112",4,5,3,1,0.615384615384615
"B1.F212",2,1,5,5,0.461538461538462
"B1.F312",3,1,3,6,0.307692307692308
"B1.F412",2,3,5,4,0.571428571428571
"B1.F512",3,2,3,5,0.384615384615385
"B1.F113",0,1,6,6,0.538461538461538
"B1.F213",4,2,3,4,0.384615384615385
"B1.F313",3,4,4,3,0.571428571428571
"B1.F413",3,4,3,2,0.583333333333333
"B1.F513",3,2,4,5,0.428571428571429
"B1.F114",7,5,0,2,0.357142857142857
"B1.F214",3,3,3,3,0.5
"B1.F314",3,3,4,4,0.5
"B1.F414",0,1,6,6,0.538461538461538
"B1.F514",3,3,4,3,0.538461538461538
"B1.F115",3,3,3,3,0.5
"B1.F215",4,4,3,2,0.538461538461538
"B1.F315",2,3,5,4,0.571428571428571
"B1.F415",6,4,1,3,0.357142857142857
"B1.F515",2,2,4,5,0.461538461538462
"B1.F116",3,1,4,6,0.357142857142857
"B1.F216",3,3,3,3,0.5
"B1.F316",2,2,5,5,0.5
"B1.F416",5,2,1,4,0.25
"B1.F516",2,3,5,4,0.571428571428571
"B1.F117",4,4,3,3,0.5
"B1.F217",6,3,1,3,0.307692307692308
"B1.F317",0,2,6,5,0.615384615384615
"B1.F417",2,5,5,1,0.769230769230769
"B1.F517",1,3,5,4,0.615384615384615
"B1.F118",4,4,2,2,0.5
"B1.F218",4,2,3,5,0.357142857142857
"B1.F318",4,3,3,4,0.428571428571429
"B1.F418",4,2,2,4,0.333333333333333
"B1.F518",3,1,4,6,0.357142857142857
"B1.F119",1,2,5,5,0.538461538461538
"B1.F219",3,5,3,2,0.615384615384615
"B1.F319",3,4,4,2,0.615384615384615
"B1.F419",3,3,4,4,0.5
"B1.F519",4,5,3,1,0.615384615384615
