"","FP","TP","TN","FN","accuracy"
"B1.F1",4,5,3,2,0.571428571428571
"B1.F2",4,1,2,5,0.25
"B1.F3",4,5,2,1,0.583333333333333
"B1.F4",3,2,3,4,0.416666666666667
"B1.F5",1,3,5,3,0.666666666666667
"B1.F11",1,3,5,3,0.666666666666667
"B1.F21",4,6,3,0,0.692307692307692
"B1.F31",5,3,1,4,0.307692307692308
"B1.F41",2,3,4,3,0.583333333333333
"B1.F51",3,2,3,4,0.416666666666667
"B1.F12",2,2,4,4,0.5
"B1.F22",3,3,3,3,0.5
"B1.F32",4,6,2,1,0.615384615384615
"B1.F42",4,6,3,0,0.692307692307692
"B1.F52",2,2,4,4,0.5
"B1.F13",3,4,4,2,0.615384615384615
"B1.F23",3,1,3,5,0.333333333333333
"B1.F33",5,4,1,2,0.416666666666667
"B1.F43",4,5,2,2,0.538461538461538
"B1.F53",3,2,3,4,0.416666666666667
"B1.F14",4,5,2,1,0.583333333333333
"B1.F24",2,3,4,4,0.538461538461538
"B1.F34",1,3,5,3,0.666666666666667
"B1.F44",3,4,3,2,0.583333333333333
"B1.F54",6,5,1,1,0.461538461538462
"B1.F15",5,5,2,1,0.538461538461538
"B1.F25",4,3,2,3,0.416666666666667
"B1.F35",2,3,4,3,0.583333333333333
"B1.F45",1,2,5,4,0.583333333333333
"B1.F55",4,4,2,3,0.461538461538462
"B1.F16",3,3,3,3,0.5
"B1.F26",1,1,5,5,0.5
"B1.F36",2,4,4,2,0.666666666666667
"B1.F46",3,3,4,4,0.5
"B1.F56",5,1,1,5,0.166666666666667
"B1.F17",6,6,0,0,0.5
"B1.F27",2,2,4,4,0.5
"B1.F37",4,2,3,4,0.384615384615385
"B1.F47",2,4,4,2,0.666666666666667
"B1.F57",1,3,5,4,0.615384615384615
"B1.F18",3,4,4,2,0.615384615384615
"B1.F28",2,4,4,3,0.615384615384615
"B1.F38",2,4,4,2,0.666666666666667
"B1.F48",4,2,2,4,0.333333333333333
"B1.F58",6,5,0,1,0.416666666666667
"B1.F19",3,5,3,1,0.666666666666667
"B1.F29",1,3,5,3,0.666666666666667
"B1.F39",5,5,2,1,0.538461538461538
"B1.F49",4,2,2,4,0.333333333333333
"B1.F59",3,4,3,3,0.538461538461538
"B1.F110",4,5,2,1,0.583333333333333
"B1.F210",5,4,1,2,0.416666666666667
"B1.F310",3,5,4,1,0.692307692307692
"B1.F410",1,3,5,3,0.666666666666667
"B1.F510",5,4,1,3,0.384615384615385
"B1.F111",3,3,3,3,0.5
"B1.F211",6,4,1,2,0.384615384615385
"B1.F311",2,2,4,4,0.5
"B1.F411",2,3,4,4,0.538461538461538
"B1.F511",2,3,4,3,0.583333333333333
"B1.F112",5,3,1,3,0.333333333333333
"B1.F212",5,3,1,3,0.333333333333333
"B1.F312",3,3,4,3,0.538461538461538
"B1.F412",0,3,6,4,0.692307692307692
"B1.F512",2,2,4,4,0.5
"B1.F113",4,2,3,4,0.384615384615385
"B1.F213",1,4,5,3,0.692307692307692
"B1.F313",5,5,1,1,0.5
"B1.F413",4,3,2,3,0.416666666666667
"B1.F513",4,3,2,3,0.416666666666667
"B1.F114",1,0,5,7,0.384615384615385
"B1.F214",4,2,3,4,0.384615384615385
"B1.F314",3,2,3,4,0.416666666666667
"B1.F414",5,3,1,3,0.333333333333333
"B1.F514",4,4,2,2,0.5
"B1.F115",5,3,1,3,0.333333333333333
"B1.F215",2,2,4,4,0.5
"B1.F315",2,3,5,4,0.571428571428571
"B1.F415",2,1,4,5,0.416666666666667
"B1.F515",3,3,3,3,0.5
"B1.F116",0,2,6,5,0.615384615384615
"B1.F216",3,3,3,3,0.5
"B1.F316",4,2,3,4,0.384615384615385
"B1.F416",4,6,2,0,0.666666666666667
"B1.F516",1,3,5,3,0.666666666666667
"B1.F117",4,3,2,3,0.416666666666667
"B1.F217",4,2,3,5,0.357142857142857
"B1.F317",3,2,3,4,0.416666666666667
"B1.F417",3,3,3,3,0.5
"B1.F517",5,5,1,1,0.5
"B1.F118",1,2,5,5,0.538461538461538
"B1.F218",3,4,3,2,0.583333333333333
"B1.F318",5,5,2,1,0.538461538461538
"B1.F418",3,3,3,3,0.5
"B1.F518",3,4,3,2,0.583333333333333
"B1.F119",1,6,6,0,0.923076923076923
"B1.F219",3,3,3,3,0.5
"B1.F319",2,4,4,3,0.615384615384615
"B1.F419",3,4,3,2,0.583333333333333
"B1.F519",3,5,3,1,0.666666666666667
