"","FP","TP","TN","FN","accuracy"
"B1.F1",5,6,2,0,0.615384615384615
"B1.F2",4,4,2,2,0.5
"B1.F3",3,2,3,4,0.416666666666667
"B1.F4",2,2,4,5,0.461538461538462
"B1.F5",2,3,4,3,0.583333333333333
"B1.F11",4,3,2,3,0.416666666666667
"B1.F21",4,2,2,4,0.333333333333333
"B1.F31",4,3,2,4,0.384615384615385
"B1.F41",1,2,5,4,0.583333333333333
"B1.F51",4,2,3,4,0.384615384615385
"B1.F12",2,3,4,3,0.583333333333333
"B1.F22",3,2,3,4,0.416666666666667
"B1.F32",4,3,2,3,0.416666666666667
"B1.F42",4,5,2,2,0.538461538461538
"B1.F52",3,4,4,2,0.615384615384615
"B1.F13",2,3,4,3,0.583333333333333
"B1.F23",3,2,4,4,0.461538461538462
"B1.F33",2,3,4,3,0.583333333333333
"B1.F43",2,4,4,2,0.666666666666667
"B1.F53",4,3,2,4,0.384615384615385
"B1.F14",4,3,2,3,0.416666666666667
"B1.F24",6,3,1,3,0.307692307692308
"B1.F34",3,2,3,5,0.384615384615385
"B1.F44",2,2,4,4,0.5
"B1.F54",1,1,5,5,0.5
"B1.F15",4,3,2,3,0.416666666666667
"B1.F25",3,5,3,1,0.666666666666667
"B1.F35",3,3,3,3,0.5
"B1.F45",3,5,4,2,0.642857142857143
"B1.F55",5,4,1,2,0.416666666666667
"B1.F16",4,2,3,4,0.384615384615385
"B1.F26",3,5,3,1,0.666666666666667
"B1.F36",4,5,2,1,0.583333333333333
"B1.F46",2,5,4,2,0.692307692307692
"B1.F56",2,3,4,3,0.583333333333333
"B1.F17",1,2,5,5,0.538461538461538
"B1.F27",5,5,1,1,0.5
"B1.F37",4,3,2,3,0.416666666666667
"B1.F47",6,4,1,2,0.384615384615385
"B1.F57",4,2,2,4,0.333333333333333
"B1.F18",1,3,5,3,0.666666666666667
"B1.F28",4,2,2,4,0.333333333333333
"B1.F38",5,4,2,2,0.461538461538462
"B1.F48",3,4,3,3,0.538461538461538
"B1.F58",2,1,4,5,0.416666666666667
"B1.F19",5,3,1,3,0.333333333333333
"B1.F29",4,5,3,1,0.615384615384615
"B1.F39",2,2,4,4,0.5
"B1.F49",2,5,4,2,0.692307692307692
"B1.F59",4,3,2,3,0.416666666666667
"B1.F110",3,2,3,4,0.416666666666667
"B1.F210",5,4,2,2,0.461538461538462
"B1.F310",6,3,0,3,0.25
"B1.F410",2,4,4,2,0.666666666666667
"B1.F510",4,4,2,3,0.461538461538462
"B1.F111",3,3,3,3,0.5
"B1.F211",4,4,3,2,0.538461538461538
"B1.F311",2,2,4,4,0.5
"B1.F411",4,2,2,4,0.333333333333333
"B1.F511",2,4,4,3,0.615384615384615
"B1.F112",4,2,3,5,0.357142857142857
"B1.F212",4,3,2,3,0.416666666666667
"B1.F312",3,3,3,3,0.5
"B1.F412",2,3,4,3,0.583333333333333
"B1.F512",4,1,2,5,0.25
"B1.F113",4,3,2,3,0.416666666666667
"B1.F213",3,1,3,5,0.333333333333333
"B1.F313",1,2,5,4,0.583333333333333
"B1.F413",3,3,4,3,0.538461538461538
"B1.F513",4,2,2,5,0.307692307692308
"B1.F114",4,2,2,4,0.333333333333333
"B1.F214",6,4,1,3,0.357142857142857
"B1.F314",2,2,4,4,0.5
"B1.F414",2,0,4,6,0.333333333333333
"B1.F514",2,3,4,3,0.583333333333333
"B1.F115",4,5,2,1,0.583333333333333
"B1.F215",3,4,3,2,0.583333333333333
"B1.F315",2,2,4,5,0.461538461538462
"B1.F415",4,5,3,1,0.615384615384615
"B1.F515",4,0,2,6,0.166666666666667
"B1.F116",2,1,4,5,0.416666666666667
"B1.F216",2,2,4,4,0.5
"B1.F316",4,3,2,4,0.384615384615385
"B1.F416",4,3,2,3,0.416666666666667
"B1.F516",4,3,3,3,0.461538461538462
"B1.F117",4,2,2,4,0.333333333333333
"B1.F217",3,4,4,2,0.615384615384615
"B1.F317",2,4,4,2,0.666666666666667
"B1.F417",3,2,3,4,0.416666666666667
"B1.F517",3,6,3,1,0.692307692307692
"B1.F118",3,2,3,4,0.416666666666667
"B1.F218",1,1,5,5,0.5
"B1.F318",6,3,0,3,0.25
"B1.F418",2,5,4,2,0.692307692307692
"B1.F518",4,2,3,4,0.384615384615385
"B1.F119",5,4,2,3,0.428571428571429
"B1.F219",1,3,5,3,0.666666666666667
"B1.F319",2,2,4,4,0.5
"B1.F419",4,4,2,2,0.5
"B1.F519",2,3,4,3,0.583333333333333
