"","FP","TP","TN","FN","accuracy"
"B1.F1",2,2,1,1,0.5
"B1.F2",2,2,1,1,0.5
"B1.F3",3,3,1,1,0.5
"B1.F4",1,1,2,2,0.5
"B1.F5",0,0,3,3,0.5
"B1.F11",0,2,3,2,0.714285714285714
"B1.F21",2,2,1,1,0.5
"B1.F31",3,3,1,0,0.571428571428571
"B1.F41",1,1,2,2,0.5
"B1.F51",0,2,3,1,0.833333333333333
"B1.F12",1,3,2,0,0.833333333333333
"B1.F22",0,0,3,4,0.428571428571429
"B1.F32",2,3,2,0,0.714285714285714
"B1.F42",1,3,2,0,0.833333333333333
"B1.F52",2,3,1,0,0.666666666666667
"B1.F13",3,3,0,1,0.428571428571429
"B1.F23",1,2,2,1,0.666666666666667
"B1.F33",2,1,2,2,0.428571428571429
"B1.F43",2,3,1,0,0.666666666666667
"B1.F53",1,1,2,2,0.5
"B1.F14",3,2,0,1,0.333333333333333
"B1.F24",2,0,1,3,0.166666666666667
"B1.F34",1,4,2,0,0.857142857142857
"B1.F44",2,2,2,1,0.571428571428571
"B1.F54",0,2,3,1,0.833333333333333
"B1.F15",2,3,1,0,0.666666666666667
"B1.F25",1,0,2,3,0.333333333333333
"B1.F35",2,3,1,0,0.666666666666667
"B1.F45",2,2,1,1,0.5
"B1.F55",2,1,2,3,0.375
"B1.F16",0,3,3,1,0.857142857142857
"B1.F26",1,2,2,1,0.666666666666667
"B1.F36",3,3,0,0,0.5
"B1.F46",2,3,2,0,0.714285714285714
"B1.F56",1,2,2,1,0.666666666666667
"B1.F17",2,1,1,2,0.333333333333333
"B1.F27",2,0,1,3,0.166666666666667
"B1.F37",2,0,2,4,0.25
"B1.F47",2,2,1,1,0.5
"B1.F57",3,1,0,2,0.166666666666667
"B1.F18",1,1,2,2,0.5
"B1.F28",1,0,2,3,0.333333333333333
"B1.F38",1,3,2,1,0.714285714285714
"B1.F48",2,2,2,1,0.571428571428571
"B1.F58",3,1,0,2,0.166666666666667
"B1.F19",3,2,1,1,0.428571428571429
"B1.F29",2,1,1,3,0.285714285714286
"B1.F39",3,1,0,2,0.166666666666667
"B1.F49",0,3,3,0,1
"B1.F59",1,2,2,1,0.666666666666667
"B1.F110",2,3,1,0,0.666666666666667
"B1.F210",2,2,1,1,0.5
"B1.F310",0,2,3,1,0.833333333333333
"B1.F410",1,0,2,3,0.333333333333333
"B1.F510",3,3,1,1,0.5
"B1.F111",4,2,0,1,0.285714285714286
"B1.F211",2,3,1,0,0.666666666666667
"B1.F311",0,2,3,1,0.833333333333333
"B1.F411",2,1,1,2,0.333333333333333
"B1.F511",2,1,1,3,0.285714285714286
"B1.F112",3,2,1,1,0.428571428571429
"B1.F212",2,1,1,2,0.333333333333333
"B1.F312",2,3,1,0,0.666666666666667
"B1.F412",1,1,2,3,0.428571428571429
"B1.F512",3,2,0,1,0.333333333333333
"B1.F113",2,1,1,2,0.333333333333333
"B1.F213",1,1,2,2,0.5
"B1.F313",3,2,0,1,0.333333333333333
"B1.F413",3,1,1,2,0.285714285714286
"B1.F513",2,2,1,2,0.428571428571429
"B1.F114",2,3,2,1,0.625
"B1.F214",2,3,1,0,0.666666666666667
"B1.F314",2,2,1,1,0.5
"B1.F414",1,1,2,2,0.5
"B1.F514",0,0,3,3,0.5
"B1.F115",2,3,1,0,0.666666666666667
"B1.F215",1,3,3,0,0.857142857142857
"B1.F315",0,3,3,1,0.857142857142857
"B1.F415",0,1,3,2,0.666666666666667
"B1.F515",3,2,0,1,0.333333333333333
"B1.F116",1,0,3,4,0.375
"B1.F216",2,2,1,1,0.5
"B1.F316",3,1,0,2,0.166666666666667
"B1.F416",2,1,1,2,0.333333333333333
"B1.F516",3,3,0,0,0.5
"B1.F117",3,3,0,0,0.5
"B1.F217",2,2,1,1,0.5
"B1.F317",4,3,0,0,0.428571428571429
"B1.F417",1,1,2,2,0.5
"B1.F517",0,0,3,4,0.428571428571429
"B1.F118",1,3,2,1,0.714285714285714
"B1.F218",1,2,2,1,0.666666666666667
"B1.F318",0,2,3,1,0.833333333333333
"B1.F418",4,2,0,1,0.285714285714286
"B1.F518",1,3,2,0,0.833333333333333
"B1.F119",0,0,3,3,0.5
"B1.F219",4,4,0,0,0.5
"B1.F319",1,1,2,2,0.5
"B1.F419",2,2,1,1,0.5
"B1.F519",1,0,2,3,0.333333333333333
