"","FP","TP","TN","FN","accuracy"
"B1.F1",1,2,3,1,0.714285714285714
"B1.F2",3,3,0,0,0.5
"B1.F3",1,2,2,1,0.666666666666667
"B1.F4",2,3,1,0,0.666666666666667
"B1.F5",2,3,1,1,0.571428571428571
"B1.F11",3,2,0,1,0.333333333333333
"B1.F21",1,3,2,1,0.714285714285714
"B1.F31",1,2,2,1,0.666666666666667
"B1.F41",1,2,3,1,0.714285714285714
"B1.F51",3,1,0,2,0.166666666666667
"B1.F12",2,2,1,1,0.5
"B1.F22",4,2,0,1,0.285714285714286
"B1.F32",1,3,2,0,0.833333333333333
"B1.F42",0,2,3,1,0.833333333333333
"B1.F52",2,3,1,1,0.571428571428571
"B1.F13",1,1,2,2,0.5
"B1.F23",0,2,3,1,0.833333333333333
"B1.F33",3,2,0,1,0.333333333333333
"B1.F43",3,2,0,1,0.333333333333333
"B1.F53",1,2,3,2,0.625
"B1.F14",0,2,3,1,0.833333333333333
"B1.F24",2,2,1,1,0.5
"B1.F34",1,4,2,0,0.857142857142857
"B1.F44",2,3,2,0,0.714285714285714
"B1.F54",1,3,2,0,0.833333333333333
"B1.F15",2,3,2,1,0.625
"B1.F25",0,1,3,2,0.666666666666667
"B1.F35",3,2,0,1,0.333333333333333
"B1.F45",1,1,2,2,0.5
"B1.F55",1,2,2,1,0.666666666666667
"B1.F16",0,0,3,4,0.428571428571429
"B1.F26",3,2,0,1,0.333333333333333
"B1.F36",3,2,0,1,0.333333333333333
"B1.F46",4,2,0,1,0.285714285714286
"B1.F56",3,1,0,2,0.166666666666667
"B1.F17",2,3,1,0,0.666666666666667
"B1.F27",1,3,2,0,0.833333333333333
"B1.F37",2,3,1,0,0.666666666666667
"B1.F47",2,1,2,3,0.375
"B1.F57",2,2,1,1,0.5
"B1.F18",1,1,2,2,0.5
"B1.F28",1,1,2,2,0.5
"B1.F38",0,2,3,1,0.833333333333333
"B1.F48",2,3,1,1,0.571428571428571
"B1.F58",2,3,2,0,0.714285714285714
"B1.F19",3,0,0,3,0
"B1.F29",3,3,1,0,0.571428571428571
"B1.F39",3,3,0,0,0.5
"B1.F49",1,0,2,3,0.333333333333333
"B1.F59",0,3,3,1,0.857142857142857
"B1.F110",1,1,2,2,0.5
"B1.F210",1,2,2,2,0.571428571428571
"B1.F310",3,2,1,1,0.428571428571429
"B1.F410",3,1,0,2,0.166666666666667
"B1.F510",3,0,0,3,0
"B1.F111",2,2,1,1,0.5
"B1.F211",2,2,1,1,0.5
"B1.F311",3,1,0,3,0.142857142857143
"B1.F411",3,2,1,1,0.428571428571429
"B1.F511",1,0,2,3,0.333333333333333
"B1.F112",3,3,0,1,0.428571428571429
"B1.F212",1,2,2,1,0.666666666666667
"B1.F312",3,2,1,1,0.428571428571429
"B1.F412",2,2,1,1,0.5
"B1.F512",0,1,3,2,0.666666666666667
"B1.F113",3,0,0,3,0
"B1.F213",0,2,3,2,0.714285714285714
"B1.F313",2,3,1,0,0.666666666666667
"B1.F413",2,2,2,1,0.571428571428571
"B1.F513",1,2,2,1,0.666666666666667
"B1.F114",2,2,1,2,0.428571428571429
"B1.F214",1,3,2,0,0.833333333333333
"B1.F314",0,3,3,0,1
"B1.F414",3,2,0,1,0.333333333333333
"B1.F514",4,2,0,1,0.285714285714286
"B1.F115",3,2,0,1,0.333333333333333
"B1.F215",2,2,1,1,0.5
"B1.F315",3,2,1,1,0.428571428571429
"B1.F415",1,2,2,1,0.666666666666667
"B1.F515",1,1,2,3,0.428571428571429
"B1.F116",3,2,1,1,0.428571428571429
"B1.F216",2,2,1,1,0.5
"B1.F316",1,0,2,4,0.285714285714286
"B1.F416",2,3,1,0,0.666666666666667
"B1.F516",3,0,0,3,0
"B1.F117",2,2,1,2,0.428571428571429
"B1.F217",3,3,1,0,0.571428571428571
"B1.F317",2,0,1,3,0.166666666666667
"B1.F417",3,1,0,2,0.166666666666667
"B1.F517",2,3,1,0,0.666666666666667
"B1.F118",2,2,1,1,0.5
"B1.F218",1,2,2,1,0.666666666666667
"B1.F318",4,3,0,0,0.428571428571429
"B1.F418",2,2,1,1,0.5
"B1.F518",1,2,2,2,0.571428571428571
"B1.F119",2,2,1,2,0.428571428571429
"B1.F219",2,2,1,1,0.5
"B1.F319",1,2,2,1,0.666666666666667
"B1.F419",1,2,2,1,0.666666666666667
"B1.F519",2,2,2,1,0.571428571428571
