"","FP","TP","TN","FN","accuracy"
"B1.F1",3,3,2,2,0.5
"B1.F2",2,2,2,3,0.444444444444444
"B1.F3",3,3,2,2,0.5
"B1.F4",3,2,1,2,0.375
"B1.F5",2,1,3,3,0.444444444444444
"B1.F11",2,3,3,2,0.6
"B1.F21",2,1,2,4,0.333333333333333
"B1.F31",2,0,3,4,0.333333333333333
"B1.F41",2,3,2,1,0.625
"B1.F51",2,2,3,3,0.5
"B1.F12",1,2,3,2,0.625
"B1.F22",1,1,3,3,0.5
"B1.F32",3,2,2,3,0.4
"B1.F42",5,5,0,0,0.5
"B1.F52",2,1,3,4,0.4
"B1.F13",4,2,0,3,0.222222222222222
"B1.F23",2,3,3,1,0.666666666666667
"B1.F33",3,2,2,2,0.444444444444444
"B1.F43",2,2,2,3,0.444444444444444
"B1.F53",4,2,1,3,0.3
"B1.F14",2,2,2,3,0.444444444444444
"B1.F24",1,2,3,3,0.555555555555556
"B1.F34",3,2,2,2,0.444444444444444
"B1.F44",1,2,4,3,0.6
"B1.F54",3,1,2,3,0.333333333333333
"B1.F15",3,3,1,2,0.444444444444444
"B1.F25",3,1,2,4,0.3
"B1.F35",3,2,2,3,0.4
"B1.F45",0,1,4,3,0.625
"B1.F55",3,2,2,2,0.444444444444444
"B1.F16",2,3,3,2,0.6
"B1.F26",3,3,2,2,0.5
"B1.F36",2,3,3,2,0.6
"B1.F46",2,0,2,4,0.25
"B1.F56",3,2,1,2,0.375
"B1.F17",2,2,2,2,0.5
"B1.F27",2,2,3,2,0.555555555555556
"B1.F37",3,2,2,3,0.4
"B1.F47",2,2,3,3,0.5
"B1.F57",2,2,2,3,0.444444444444444
"B1.F18",3,4,2,0,0.666666666666667
"B1.F28",2,1,2,3,0.375
"B1.F38",4,1,1,4,0.2
"B1.F48",3,0,2,5,0.2
"B1.F58",1,4,3,1,0.777777777777778
"B1.F19",5,2,0,3,0.2
"B1.F29",2,0,2,5,0.222222222222222
"B1.F39",4,2,0,2,0.25
"B1.F49",2,1,3,4,0.4
"B1.F59",0,2,5,2,0.777777777777778
"B1.F110",2,2,2,3,0.444444444444444
"B1.F210",4,1,1,3,0.222222222222222
"B1.F310",4,2,1,2,0.333333333333333
"B1.F410",2,2,2,3,0.444444444444444
"B1.F510",2,2,3,3,0.5
"B1.F111",3,1,2,3,0.333333333333333
"B1.F211",3,1,1,4,0.222222222222222
"B1.F311",5,4,0,0,0.444444444444444
"B1.F411",1,1,3,4,0.444444444444444
"B1.F511",3,1,2,4,0.3
"B1.F112",4,2,1,3,0.3
"B1.F212",3,2,2,3,0.4
"B1.F312",4,2,0,2,0.25
"B1.F412",0,1,5,4,0.6
"B1.F512",3,3,1,1,0.5
"B1.F113",2,2,2,3,0.444444444444444
"B1.F213",2,2,2,3,0.444444444444444
"B1.F313",5,2,0,2,0.222222222222222
"B1.F413",3,1,2,3,0.333333333333333
"B1.F513",3,1,2,4,0.3
"B1.F114",5,3,0,2,0.3
"B1.F214",2,2,2,2,0.5
"B1.F314",1,2,4,3,0.6
"B1.F414",3,3,2,1,0.555555555555556
"B1.F514",2,0,2,5,0.222222222222222
"B1.F115",3,3,2,2,0.5
"B1.F215",1,2,4,3,0.6
"B1.F315",2,3,3,2,0.6
"B1.F415",2,1,2,3,0.375
"B1.F515",1,2,3,2,0.625
"B1.F116",3,3,2,1,0.555555555555556
"B1.F216",1,0,3,5,0.333333333333333
"B1.F316",3,3,1,1,0.5
"B1.F416",3,2,2,3,0.4
"B1.F516",1,2,4,3,0.6
"B1.F117",1,4,3,1,0.777777777777778
"B1.F217",3,1,1,3,0.25
"B1.F317",3,1,2,3,0.333333333333333
"B1.F417",4,3,1,2,0.4
"B1.F517",3,3,2,2,0.5
"B1.F118",4,2,1,2,0.333333333333333
"B1.F218",2,1,3,4,0.4
"B1.F318",1,3,3,2,0.666666666666667
"B1.F418",3,1,2,3,0.333333333333333
"B1.F518",3,2,1,3,0.333333333333333
"B1.F119",2,3,2,1,0.625
"B1.F219",3,2,2,2,0.444444444444444
"B1.F319",4,2,1,3,0.3
"B1.F419",3,1,1,4,0.222222222222222
"B1.F519",2,1,3,4,0.4
