"","FP","TP","TN","FN","accuracy"
"B1.F1",1,0,3,5,0.333333333333333
"B1.F2",1,1,4,3,0.555555555555556
"B1.F3",3,4,2,1,0.6
"B1.F4",2,3,2,1,0.625
"B1.F5",3,5,2,0,0.7
"B1.F11",0,1,4,4,0.555555555555556
"B1.F21",3,1,2,3,0.333333333333333
"B1.F31",4,3,1,2,0.4
"B1.F41",5,1,0,3,0.111111111111111
"B1.F51",2,2,2,3,0.444444444444444
"B1.F12",2,3,2,2,0.555555555555556
"B1.F22",2,1,2,4,0.333333333333333
"B1.F32",2,4,3,1,0.7
"B1.F42",3,2,2,2,0.444444444444444
"B1.F52",2,3,3,1,0.666666666666667
"B1.F13",1,3,3,2,0.666666666666667
"B1.F23",3,0,2,5,0.2
"B1.F33",4,2,1,3,0.3
"B1.F43",3,4,1,0,0.625
"B1.F53",3,2,2,2,0.444444444444444
"B1.F14",3,3,2,1,0.555555555555556
"B1.F24",0,1,4,3,0.625
"B1.F34",3,4,1,1,0.555555555555556
"B1.F44",4,3,1,2,0.4
"B1.F54",0,2,5,3,0.7
"B1.F15",2,1,3,3,0.444444444444444
"B1.F25",2,3,2,2,0.555555555555556
"B1.F35",3,2,2,3,0.4
"B1.F45",3,4,1,1,0.555555555555556
"B1.F55",2,2,3,2,0.555555555555556
"B1.F16",2,2,3,3,0.5
"B1.F26",1,1,4,4,0.5
"B1.F36",1,1,3,3,0.5
"B1.F46",2,3,2,1,0.625
"B1.F56",3,3,2,2,0.5
"B1.F17",2,2,2,2,0.5
"B1.F27",2,5,2,0,0.777777777777778
"B1.F37",3,1,2,4,0.3
"B1.F47",4,3,1,1,0.444444444444444
"B1.F57",2,3,3,2,0.6
"B1.F18",2,4,3,0,0.777777777777778
"B1.F28",2,3,2,2,0.555555555555556
"B1.F38",0,2,5,3,0.7
"B1.F48",2,1,3,4,0.4
"B1.F58",1,3,3,1,0.75
"B1.F19",4,0,1,5,0.1
"B1.F29",2,2,3,3,0.5
"B1.F39",1,4,3,0,0.875
"B1.F49",2,5,3,0,0.8
"B1.F59",1,2,3,2,0.625
"B1.F110",0,1,5,4,0.6
"B1.F210",3,2,1,3,0.333333333333333
"B1.F310",4,2,1,2,0.333333333333333
"B1.F410",5,3,0,1,0.333333333333333
"B1.F510",4,2,0,3,0.222222222222222
"B1.F111",2,2,2,3,0.444444444444444
"B1.F211",2,3,2,1,0.625
"B1.F311",2,1,3,3,0.444444444444444
"B1.F411",1,1,4,4,0.5
"B1.F511",2,2,3,3,0.5
"B1.F112",3,2,1,3,0.333333333333333
"B1.F212",2,1,3,3,0.444444444444444
"B1.F312",1,1,4,4,0.5
"B1.F412",4,4,1,1,0.5
"B1.F512",3,4,1,0,0.625
"B1.F113",3,3,1,2,0.444444444444444
"B1.F213",2,1,3,3,0.444444444444444
"B1.F313",3,3,2,1,0.555555555555556
"B1.F413",3,3,2,2,0.5
"B1.F513",1,3,3,2,0.666666666666667
"B1.F114",3,4,2,1,0.6
"B1.F214",2,1,3,4,0.4
"B1.F314",1,3,4,1,0.777777777777778
"B1.F414",2,3,2,1,0.625
"B1.F514",1,1,3,4,0.444444444444444
"B1.F115",3,1,2,3,0.333333333333333
"B1.F215",1,1,3,4,0.444444444444444
"B1.F315",2,3,3,2,0.6
"B1.F415",1,2,3,2,0.625
"B1.F515",3,3,2,2,0.5
"B1.F116",1,3,4,1,0.777777777777778
"B1.F216",3,2,2,3,0.4
"B1.F316",2,2,3,3,0.5
"B1.F416",3,2,1,2,0.375
"B1.F516",0,2,4,3,0.666666666666667
"B1.F117",0,1,5,4,0.6
"B1.F217",2,1,2,3,0.375
"B1.F317",3,4,2,1,0.6
"B1.F417",1,4,3,1,0.777777777777778
"B1.F517",5,2,0,2,0.222222222222222
"B1.F118",1,2,3,3,0.555555555555556
"B1.F218",2,1,3,4,0.4
"B1.F318",3,3,2,1,0.555555555555556
"B1.F418",0,2,4,3,0.666666666666667
"B1.F518",4,4,1,0,0.555555555555556
"B1.F119",1,1,4,4,0.5
"B1.F219",2,2,2,3,0.444444444444444
"B1.F319",3,3,1,1,0.5
"B1.F419",2,4,3,1,0.7
"B1.F519",3,4,2,0,0.666666666666667
