"","FP","TP","TN","FN","accuracy"
"B1.F1",3,2,1,3,0.333333333333333
"B1.F2",1,2,4,3,0.6
"B1.F3",3,1,2,3,0.333333333333333
"B1.F4",3,3,2,1,0.555555555555556
"B1.F5",1,1,3,4,0.444444444444444
"B1.F11",2,1,2,4,0.333333333333333
"B1.F21",4,4,1,0,0.555555555555556
"B1.F31",1,1,3,4,0.444444444444444
"B1.F41",3,2,2,3,0.4
"B1.F51",3,2,2,2,0.444444444444444
"B1.F12",3,2,1,2,0.375
"B1.F22",4,2,1,2,0.333333333333333
"B1.F32",4,4,0,1,0.444444444444444
"B1.F42",1,2,4,3,0.6
"B1.F52",2,4,3,1,0.7
"B1.F13",3,2,2,3,0.4
"B1.F23",2,1,2,4,0.333333333333333
"B1.F33",4,2,1,2,0.333333333333333
"B1.F43",2,1,3,4,0.4
"B1.F53",2,1,2,3,0.375
"B1.F14",2,1,2,4,0.333333333333333
"B1.F24",2,4,2,1,0.666666666666667
"B1.F34",2,1,3,3,0.444444444444444
"B1.F44",2,1,3,4,0.4
"B1.F54",3,0,2,4,0.222222222222222
"B1.F15",2,4,3,1,0.7
"B1.F25",3,1,2,3,0.333333333333333
"B1.F35",3,2,1,2,0.375
"B1.F45",3,0,1,5,0.111111111111111
"B1.F55",2,0,3,5,0.3
"B1.F16",4,2,1,2,0.333333333333333
"B1.F26",1,1,3,3,0.5
"B1.F36",2,2,3,3,0.5
"B1.F46",3,3,1,2,0.444444444444444
"B1.F56",3,4,2,1,0.6
"B1.F17",3,3,2,2,0.5
"B1.F27",3,1,2,4,0.3
"B1.F37",3,4,2,1,0.6
"B1.F47",1,1,3,3,0.5
"B1.F57",3,1,1,3,0.25
"B1.F18",3,3,2,1,0.555555555555556
"B1.F28",3,2,2,3,0.4
"B1.F38",1,0,4,5,0.4
"B1.F48",1,3,3,2,0.666666666666667
"B1.F58",3,2,1,2,0.375
"B1.F19",3,3,2,2,0.5
"B1.F29",1,2,3,2,0.625
"B1.F39",3,1,1,3,0.25
"B1.F49",4,3,1,2,0.4
"B1.F59",2,2,3,3,0.5
"B1.F110",4,1,1,3,0.222222222222222
"B1.F210",2,1,2,3,0.375
"B1.F310",3,1,2,4,0.3
"B1.F410",2,2,2,3,0.444444444444444
"B1.F510",0,1,5,4,0.6
"B1.F111",2,2,3,2,0.555555555555556
"B1.F211",0,1,4,3,0.625
"B1.F311",3,1,1,4,0.222222222222222
"B1.F411",3,2,2,3,0.4
"B1.F511",2,1,3,4,0.4
"B1.F112",3,2,2,3,0.4
"B1.F212",2,1,2,3,0.375
"B1.F312",1,3,4,2,0.7
"B1.F412",2,2,3,2,0.555555555555556
"B1.F512",1,1,3,4,0.444444444444444
"B1.F113",3,3,1,1,0.5
"B1.F213",4,1,1,4,0.2
"B1.F313",2,2,2,3,0.444444444444444
"B1.F413",3,2,2,2,0.444444444444444
"B1.F513",4,1,1,4,0.2
"B1.F114",1,1,3,3,0.5
"B1.F214",3,2,2,3,0.4
"B1.F314",3,1,2,3,0.333333333333333
"B1.F414",3,2,2,3,0.4
"B1.F514",2,1,2,4,0.333333333333333
"B1.F115",5,3,0,2,0.3
"B1.F215",2,0,2,5,0.222222222222222
"B1.F315",2,1,2,3,0.375
"B1.F415",2,1,3,3,0.444444444444444
"B1.F515",3,2,2,3,0.4
"B1.F116",1,3,4,1,0.777777777777778
"B1.F216",5,0,0,4,0
"B1.F316",4,4,1,1,0.5
"B1.F416",2,1,2,4,0.333333333333333
"B1.F516",1,3,3,2,0.666666666666667
"B1.F117",3,2,2,2,0.444444444444444
"B1.F217",3,1,1,3,0.25
"B1.F317",4,3,1,2,0.4
"B1.F417",2,0,3,5,0.3
"B1.F517",2,1,2,4,0.333333333333333
"B1.F118",2,3,2,2,0.555555555555556
"B1.F218",3,3,1,1,0.5
"B1.F318",2,3,3,2,0.6
"B1.F418",2,2,3,2,0.555555555555556
"B1.F518",1,1,4,4,0.5
"B1.F119",1,2,4,3,0.6
"B1.F219",3,1,2,4,0.3
"B1.F319",2,3,2,1,0.625
"B1.F419",2,4,3,1,0.7
"B1.F519",3,0,1,4,0.125
