"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"12","sex_baby","53","male (n = 33), 1.3 (1-1.6)","female (n = 20), 1.5 (1.1-1.9)",NA,"1.26 (1.02-1.55)","1.26","1.02","1.55","0.0325",0.26
"13","mode_delivery","53","vaginal (n = 52), 1.4 (1-1.8)","caesarean (n = 1), 1.7 (NA-NA)",NA,NA,NA,NA,NA,NA,NA
"15","breastfed_child","53","nonexclusive (n = 32), 1.4 (1-1.8)","exclusive (n = 21), 1.3 (0.9-1.7)",NA,"0.83 (0.67-1.02)","0.83","0.67","1.02","0.0794",0.318
"16","age_at_first_dose","53",NA,NA,"-0.012","1.00 (0.98-1.02)","1.00","0.98","1.02","0.9310",0.951
"17","birth_weight","53",NA,NA,"-0.047","0.97 (0.78-1.19)","0.97","0.78","1.19","0.7394",0.951
"19","antibiotic_exposure","53","no (n = 47), 1.4 (1-1.8)","yes (n = 6), 1.1 (0.7-1.5)",NA,NA,NA,NA,NA,NA,NA
"21","A1AT_BS3_Concugml","48",NA,NA,"0.112","1.02 (0.97-1.08)","1.02","0.97","1.08","0.4468",0.749
"22","MPO_BS3_Concngml","47",NA,NA,"-0.157","0.96 (0.89-1.04)","0.96","0.89","1.04","0.2909",0.749
"24","MB1_IgA","42",NA,NA,"0.115","1.03 (0.95-1.12)","1.03","0.95","1.12","0.4680",0.749
"25","BM1_IgA","27",NA,NA,"0.012","1.00 (0.87-1.16)","1.00","0.87","1.16","0.9512",0.951
"26","pre_exposed","50","no (n = 48), 1.4 (1-1.8)","yes (n = 2), 0.9 (0.5-1.3)",NA,NA,NA,NA,NA,NA,NA
